,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12100,10100,11200,11900,8700,11900
1,22/11/2022,13200,10700,12100,13200,19400,13200
2,23/11/2022,13400,10700,11200,12900,18900,12900
3,24/11/2022,12900,11300,12900,12700,8100,12700
4,25/11/2022,14000,11600,12200,11800,39900,11800
5,28/11/2022,13900,11300,11300,13700,14900,13700
6,29/11/2022,13800,11700,12100,13800,7500,13800
7,30/11/2022,12800,11900,12800,12700,7500,12700
8,01/12/2022,13400,11300,12000,13300,25902,13300
9,02/12/2022,13100,13100,13100,13100,100,13100
10,05/12/2022,13300,11300,12500,12900,15900,12900
11,06/12/2022,13100,11700,13100,13100,15800,13100
12,07/12/2022,13100,13100,13100,13100,401,13100
13,08/12/2022,13200,11400,13100,13200,8200,13200
14,09/12/2022,13000,11800,12900,13000,11500,13000
15,12/12/2022,13000,11400,11400,12800,19400,12800
16,13/12/2022,13400,11300,12000,12700,7200,12700
17,14/12/2022,13900,11800,12600,13600,6004,13600
18,15/12/2022,13400,12000,12900,13200,16102,13200
19,16/12/2022,12900,12700,12700,12900,1000,12900
20,19/12/2022,13400,11700,12000,13300,17700,13300
21,20/12/2022,14500,11900,13400,14300,21500,14300
22,21/12/2022,15200,12100,14300,15200,8022,15200
23,22/12/2022,15100,12100,14900,15100,21701,15100
24,23/12/2022,15600,12200,15300,15300,14501,15300
25,26/12/2022,15700,12500,15700,14200,6200,14200
26,27/12/2022,16000,12700,13900,14000,20129,14000
27,28/12/2022,16100,12900,12900,15000,12200,15000
28,29/12/2022,15900,13300,14900,15900,41205,15900
29,30/12/2022,17000,13600,16800,15900,17700,15900
30,03/01/2023,16200,13600,16200,15900,23200,15900
31,04/01/2023,15700,13100,14100,15600,23300,15600
32,05/01/2023,16400,13800,16200,15000,8100,15000
33,06/01/2023,15200,14700,14900,14700,4300,14700
34,09/01/2023,16600,12800,13800,15000,45400,15000
35,10/01/2023,16900,13100,14700,14900,29400,14900
36,11/01/2023,14800,12800,14000,13400,11700,13400
37,12/01/2023,12500,11500,12500,11900,12450,11900
38,13/01/2023,11500,10800,11500,10800,7600,10800
39,16/01/2023,12000,10500,10600,11600,9900,11600
40,17/01/2023,12300,10900,11200,11800,22200,11800
41,18/01/2023,11900,10800,11900,11300,17220,11300
42,19/01/2023,11900,10700,11900,11800,13141,11800
43,27/01/2023,11700,10700,11700,11400,2100,11400
44,30/01/2023,11600,10800,10800,11400,3200,11400
45,31/01/2023,11600,11000,11000,11400,5500,11400
46,01/02/2023,11500,11000,11000,11400,5600,11400
47,02/02/2023,11300,10900,11300,11300,8200,11300
48,03/02/2023,12000,10900,10900,11200,11700,11200
49,06/02/2023,12100,10900,10900,12100,22200,12100
50,07/02/2023,12400,11000,11900,11000,27500,11000
51,08/02/2023,11800,10900,10900,11800,15100,11800
52,09/02/2023,12400,10800,11300,11500,23800,11500
53,10/02/2023,12100,10800,10900,11200,35600,11200
54,13/02/2023,12300,10900,11400,11100,17000,11100
55,14/02/2023,11800,10900,11500,11700,31900,11700
56,15/02/2023,11900,10900,11700,11400,28400,11400
57,16/02/2023,11500,11000,11000,11400,22000,11400
58,17/02/2023,11600,10700,11200,11400,15200,11400
59,20/02/2023,11700,10500,10800,11400,44300,11400
60,21/02/2023,11600,10800,11300,11400,25900,11400
61,22/02/2023,11500,10900,10900,11200,9700,11200
