,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,28500,28500,28500,28500,-,27000
1,22/11/2022,30000,28800,28800,30000,7600,28400
2,23/11/2022,30000,30000,30000,30000,3000,28400
3,24/11/2022,30000,30000,30000,30000,3900,28400
4,25/11/2022,30000,30000,30000,30000,4000,28400
5,28/11/2022,30000,30000,30000,30000,-,28400
6,29/11/2022,28100,27500,27500,28000,3100,26500
7,30/11/2022,31000,30000,30000,30000,2200,28400
8,01/12/2022,29600,29200,29600,29200,1800,27600
9,02/12/2022,30500,30000,30500,30000,500,28400
10,05/12/2022,31000,28500,28600,31000,700,29300
11,06/12/2022,30700,30700,30700,30700,100,29100
12,07/12/2022,30000,30000,30000,30000,1200,28400
13,08/12/2022,30000,30000,30000,30000,-,28400
14,09/12/2022,30000,30000,30000,30000,100,28400
15,12/12/2022,30000,30000,30000,30000,-,28400
16,13/12/2022,29000,29000,29000,29000,400,27400
17,14/12/2022,29300,29000,29000,29300,3800,27700
18,15/12/2022,30000,29000,29000,30000,500,28400
19,16/12/2022,30200,30000,30100,30000,2100,28400
20,19/12/2022,30000,30000,30000,30000,-,28400
21,20/12/2022,30000,30000,30000,30000,-,28400
22,21/12/2022,28000,28000,28000,28000,1400,26500
23,22/12/2022,28000,28000,28000,28000,-,26500
24,23/12/2022,28000,28000,28000,28000,-,26500
25,26/12/2022,28100,28100,28100,28100,600,26600
26,27/12/2022,28200,28200,28200,28200,200,26700
27,28/12/2022,28700,28000,28700,28000,2600,26500
28,29/12/2022,29700,28600,28600,29700,2500,28100
29,30/12/2022,28200,28200,28200,28200,1300,26700
30,03/01/2023,28300,28200,28300,28200,5500,26700
31,04/01/2023,29900,29900,29900,29900,100,28300
32,05/01/2023,31900,28800,31900,31000,400,29300
33,06/01/2023,30100,30100,30100,30100,-,28500
34,09/01/2023,30000,30000,30000,30000,5300,28400
35,10/01/2023,30000,30000,30000,30000,-,28400
36,11/01/2023,29900,28000,29900,28000,31700,26500
37,12/01/2023,28100,28000,28000,28100,10600,26600
38,13/01/2023,28100,28000,28000,28100,800,26600
39,16/01/2023,28300,28100,28300,28100,3800,26600
40,17/01/2023,28200,28200,28200,28200,-,26700
41,18/01/2023,30000,28000,28200,30000,3700,28400
42,19/01/2023,28200,28000,28100,28000,20500,26500
43,27/01/2023,28000,27500,28000,27600,3100,26100
44,30/01/2023,28100,27500,27700,27500,7500,26000
45,31/01/2023,28000,28000,28000,28000,500,26500
46,01/02/2023,28000,28000,28000,28000,-,26500
47,02/02/2023,28000,28000,28000,28000,-,26500
48,03/02/2023,28000,28000,28000,28000,-,26500
49,06/02/2023,27900,27900,27900,27900,1100,26400
50,07/02/2023,27500,27500,27500,27500,200,26000
51,08/02/2023,28100,28100,28100,28100,1000,26600
52,09/02/2023,27800,27500,27500,27800,900,26300
53,10/02/2023,27500,27500,27500,27500,-,26000
54,13/02/2023,27900,25500,27900,26000,1800,24600
55,14/02/2023,26000,26000,26000,26000,1500,24600
56,15/02/2023,26000,26000,26000,26000,2500,24600
57,16/02/2023,26000,26000,26000,26000,4300,24600
58,17/02/2023,27000,26000,26000,26000,5500,24600
59,20/02/2023,26100,26100,26100,26100,300,24700
60,21/02/2023,26100,26100,26100,26100,1500,24700
61,22/02/2023,26100,26100,26100,26100,-,24700
62,23/02/2023,26100,26100,26100,26100,-,24700
63,24/02/2023,26500,26500,26500,26500,1500,25100
64,27/02/2023,26500,26500,26500,26500,-,25100
65,28/02/2023,26500,26500,26500,26500,-,25100
66,01/03/2023,26400,26400,26400,26400,100,25000
67,02/03/2023,28000,27900,28000,27900,200,26400
68,03/03/2023,28000,28000,28000,28000,-,26500
69,06/03/2023,28000,28000,28000,28000,-,26500
70,07/03/2023,28000,28000,28000,28000,-,26500
71,08/03/2023,28000,28000,28000,28000,-,26500
72,09/03/2023,25500,25000,25500,25500,4600,24100
73,10/03/2023,26000,25300,25500,26000,4000,24600
74,13/03/2023,25600,25300,25300,25600,6000,24200
75,14/03/2023,25400,25400,25400,25400,300,24000
76,15/03/2023,25400,25400,25400,25400,-,24000
77,16/03/2023,25400,24500,25400,24500,800,23200
78,17/03/2023,24600,24600,24600,24600,1200,23300
79,20/03/2023,24500,24500,24500,24500,300,23200
80,21/03/2023,24500,24000,24000,24500,400,23200
81,22/03/2023,24500,24500,24500,24500,600,23200
82,23/03/2023,25400,25000,25000,25400,700,24000
83,24/03/2023,25400,25400,25400,25400,1600,24000
84,27/03/2023,25000,24900,24900,25000,300,23700
85,28/03/2023,25400,25200,25400,25200,600,23900
86,29/03/2023,25800,25200,25200,25800,1900,24400
87,30/03/2023,25500,25500,25500,25500,-,24100
88,31/03/2023,26000,25500,26000,25500,1900,24100
89,03/04/2023,25900,25900,25900,25900,-,24500
90,04/04/2023,25800,25000,25500,25800,2100,24400
91,05/04/2023,25500,25500,25500,25500,100,24100
92,06/04/2023,25800,25800,25800,25800,300,24400
93,07/04/2023,26000,26000,26000,26000,100,24600
94,10/04/2023,27500,26500,27500,26500,400,25100
95,11/04/2023,25100,25000,25100,25000,1500,23700
