,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16000,16000,16000,16000,-,14800
1,22/11/2022,16000,16000,16000,16000,100,14800
2,23/11/2022,16000,16000,16000,16000,-,14800
3,24/11/2022,16000,16000,16000,16000,-,14800
4,25/11/2022,16000,16000,16000,16000,-,14800
5,28/11/2022,16000,16000,16000,16000,2,14800
6,29/11/2022,16000,16000,16000,16000,-,14800
7,30/11/2022,15000,15000,15000,15000,700,13900
8,01/12/2022,15000,15000,15000,15000,3044,13900
9,02/12/2022,15000,15000,15000,15000,-,13900
10,05/12/2022,15000,15000,15000,15000,-,13900
11,06/12/2022,15000,15000,15000,15000,-,13900
12,07/12/2022,15000,15000,15000,15000,-,13900
13,08/12/2022,16000,16000,16000,16000,6041,14800
14,09/12/2022,16000,16000,16000,16000,-,14800
15,12/12/2022,16000,16000,16000,16000,-,14800
16,13/12/2022,16000,16000,16000,16000,-,14800
17,14/12/2022,16000,16000,16000,16000,-,14800
18,15/12/2022,16000,16000,16000,16000,-,14800
19,16/12/2022,16000,16000,16000,16000,-,14800
20,19/12/2022,15000,13600,15000,13600,1108,12600
21,20/12/2022,14900,14900,14900,14900,-,13800
22,21/12/2022,14900,14900,14900,14900,-,13800
23,22/12/2022,14900,14900,14900,14900,-,13800
24,23/12/2022,15000,13800,13800,15000,30463,13900
25,26/12/2022,14800,14800,14800,14800,-,13700
26,27/12/2022,13800,13800,13800,13800,100,12700
27,28/12/2022,13800,13800,13800,13800,-,12700
28,29/12/2022,13800,13800,13800,13800,-,12700
29,30/12/2022,15800,15800,15800,15800,100,14600
30,03/01/2023,15800,15800,15800,15800,4300,14600
31,04/01/2023,15800,15800,15800,15800,-,14600
32,05/01/2023,15800,15800,15800,15800,-,14600
33,06/01/2023,15800,15800,15800,15800,-,14600
34,09/01/2023,15800,15800,15800,15800,-,14600
35,10/01/2023,15800,15800,15800,15800,-,14600
36,11/01/2023,14500,14500,14500,14500,100,13400
37,12/01/2023,15000,14600,15000,14600,500,13500
38,13/01/2023,15000,15000,15000,15000,100,13900
39,16/01/2023,15000,15000,15000,15000,-,13900
40,17/01/2023,15000,15000,15000,15000,-,13900
41,18/01/2023,15500,15500,15500,15500,100,14300
42,19/01/2023,15500,15500,15500,15500,-,14300
43,27/01/2023,15500,15500,15500,15500,-,14300
44,30/01/2023,15500,15500,15500,15500,-,14300
45,31/01/2023,13200,13200,13200,13200,100,12200
46,01/02/2023,15100,14100,15100,14100,200,13000
47,02/02/2023,15600,15600,15600,15600,100,14400
48,03/02/2023,15600,15600,15600,15600,-,14400
49,06/02/2023,13600,13600,13600,13600,100,12600
50,07/02/2023,13600,13600,13600,13600,-,12600
51,08/02/2023,13600,13600,13600,13600,-,12600
52,09/02/2023,13600,13600,13600,13600,-,12600
53,10/02/2023,13600,13600,13600,13600,-,12600
54,13/02/2023,13600,13600,13600,13600,-,12600
55,14/02/2023,12100,12100,12100,12100,100,11200
56,15/02/2023,12100,12100,12100,12100,-,11200
57,16/02/2023,12100,12100,12100,12100,-,11200
58,17/02/2023,13900,13900,13900,13900,200,12800
59,20/02/2023,13900,13900,13900,13900,-,12800
60,21/02/2023,13900,13900,13900,13900,-,12800
61,22/02/2023,13900,13900,13900,13900,-,12800
62,23/02/2023,13900,13900,13900,13900,-,12800
63,24/02/2023,13900,13900,13900,13900,-,12800
64,27/02/2023,13900,13900,13900,13900,-,12800
65,28/02/2023,13900,13900,13900,13900,-,12800
66,01/03/2023,13900,13900,13900,13900,-,12800
67,02/03/2023,13900,13900,13900,13900,-,12800
68,03/03/2023,13900,13900,13900,13900,-,12800
69,06/03/2023,13900,13900,13900,13900,-,12800
70,07/03/2023,13900,13900,13900,13900,-,12800
71,08/03/2023,13900,13900,13900,13900,-,12800
72,09/03/2023,13900,13900,13900,13900,-,12800
73,10/03/2023,13900,13900,13900,13900,-,12800
74,13/03/2023,13900,13900,13900,13900,-,12800
75,14/03/2023,15900,15600,15600,15900,300,14700
76,15/03/2023,15700,15700,15700,15700,-,14500
77,16/03/2023,15700,15700,15700,15700,-,14500
78,17/03/2023,15700,15700,15700,15700,-,14500
79,20/03/2023,15700,15700,15700,15700,-,14500
80,21/03/2023,15700,15700,15700,15700,-,14500
81,22/03/2023,15700,15700,15700,15700,-,14500
82,23/03/2023,15000,15000,15000,15000,200,13900
83,24/03/2023,15000,15000,15000,15000,-,13900
84,27/03/2023,15000,15000,15000,15000,-,13900
85,28/03/2023,15000,15000,15000,15000,-,13900
86,29/03/2023,16600,16600,16600,16600,5000,15300
87,30/03/2023,16600,16600,16600,16600,1,15300
88,31/03/2023,16600,16600,16600,16600,-,15300
89,03/04/2023,17000,17000,17000,17000,100,15700
90,04/04/2023,14500,14500,14500,14500,1000,13400
91,05/04/2023,13000,12400,13000,13000,4100,12000
92,06/04/2023,12700,12700,12700,12700,-,11700
93,07/04/2023,12700,12700,12700,12700,-,11700
94,10/04/2023,12700,12700,12700,12700,-,11700
95,11/04/2023,12700,12700,12700,12700,-,11700
96,12/04/2023,12700,12700,12700,12700,-,11700
97,13/04/2023,12700,12700,12700,12700,-,11700
98,14/04/2023,12700,12700,12700,12700,-,11700
99,17/04/2023,12700,12700,12700,12700,-,11700
100,18/04/2023,11000,11000,11000,11000,100,10200
101,19/04/2023,9600,9600,9600,9600,100,8900
102,20/04/2023,9600,9600,9600,9600,-,8900
103,21/04/2023,9600,9600,9600,9600,-,8900
104,24/04/2023,9600,9600,9600,9600,-,8900
105,25/04/2023,9600,9600,9600,9600,-,8900
106,26/04/2023,9600,9600,9600,9600,-,8900
107,27/04/2023,11000,11000,11000,11000,100,10200
108,28/04/2023,12600,12600,12600,12600,100,11600
109,04/05/2023,14400,14400,14400,14400,100,13300
110,05/05/2023,16000,16000,16000,16000,100,14800
111,08/05/2023,16000,16000,16000,16000,-,14800
112,09/05/2023,16000,16000,16000,16000,-,14800
113,10/05/2023,16000,16000,16000,16000,-,14800
114,11/05/2023,16000,16000,16000,16000,-,14800
115,12/05/2023,16000,16000,16000,16000,-,14800
116,15/05/2023,16000,16000,16000,16000,-,14800
117,16/05/2023,13700,13700,13700,13700,100,12700
118,17/05/2023,13700,13700,13700,13700,-,12700
119,18/05/2023,13700,13700,13700,13700,-,12700
120,19/05/2023,13700,13700,13700,13700,-,12700
121,22/05/2023,13700,13700,13700,13700,-,12700
122,23/05/2023,13700,13700,13700,13700,-,12700
123,24/05/2023,13700,13700,13700,13700,-,12700
124,25/05/2023,13700,13700,13700,13700,-,12700
125,26/05/2023,13700,13700,13700,13700,-,12700
126,29/05/2023,13700,13700,13700,13700,-,12700
127,30/05/2023,14000,14000,14000,14000,100,12900
128,31/05/2023,14000,14000,14000,14000,-,12900
129,01/06/2023,14000,14000,14000,14000,-,12900
130,02/06/2023,14000,14000,14000,14000,-,12900
131,05/06/2023,14000,14000,14000,14000,-,12900
132,06/06/2023,14000,14000,14000,14000,-,12900
133,07/06/2023,14000,14000,14000,14000,-,12900
134,08/06/2023,14000,14000,14000,14000,-,12900
135,09/06/2023,14000,14000,14000,14000,4725,12900
136,12/06/2023,14000,14000,14000,14000,-,12900
137,13/06/2023,15000,14500,14500,15000,200,13900
138,14/06/2023,14800,14800,14800,14800,-,13700
139,15/06/2023,17000,17000,17000,17000,100,15700
140,16/06/2023,17000,17000,17000,17000,-,15700
141,19/06/2023,17000,17000,17000,17000,-,15700
142,20/06/2023,17000,17000,17000,17000,-,15700
143,21/06/2023,17000,17000,17000,17000,-,15700
144,22/06/2023,15000,15000,15000,15000,100,13900
145,23/06/2023,15000,15000,15000,15000,-,13900
146,26/06/2023,15000,15000,15000,15000,-,13900
147,27/06/2023,15000,14500,15000,14500,300,13400
148,28/06/2023,14800,14800,14800,14800,-,13700
149,29/06/2023,14800,14800,14800,14800,-,13700
150,30/06/2023,14800,14800,14800,14800,-,13700
151,03/07/2023,14800,14800,14800,14800,-,13700
152,04/07/2023,14800,14800,14800,14800,-,13700
153,05/07/2023,14800,14800,14800,14800,-,13700
154,06/07/2023,14800,14800,14800,14800,500,13700
155,07/07/2023,15000,15000,15000,15000,169,13900
156,10/07/2023,15000,15000,15000,15000,-,13900
157,11/07/2023,12800,12800,12800,12800,300,11800
158,12/07/2023,12800,12800,12800,12800,-,11800
159,13/07/2023,12800,12800,12800,12800,-,11800
160,14/07/2023,12800,12800,12800,12800,-,11800
161,17/07/2023,12800,12800,12800,12800,-,11800
162,18/07/2023,13000,13000,13000,13000,200,12000
163,19/07/2023,13000,13000,13000,13000,-,12000
164,20/07/2023,13000,13000,13000,13000,-,12000
165,21/07/2023,13000,13000,13000,13000,-,12000
166,24/07/2023,13500,13000,13000,13500,500,12500
167,25/07/2023,11300,11300,11300,11300,100,10400
168,26/07/2023,11300,11300,11300,11300,-,10400
169,27/07/2023,11300,11300,11300,11300,-,10400
170,28/07/2023,11300,11300,11300,11300,-,10400
171,31/07/2023,9900,9900,9900,9900,100,9100
172,01/08/2023,9900,9900,9900,9900,-,9100
173,02/08/2023,9900,9900,9900,9900,-,9100
174,03/08/2023,9900,9900,9900,9900,-,9100
175,04/08/2023,9900,9900,9900,9900,-,9100
176,07/08/2023,11000,11000,11000,11000,100,10200
177,08/08/2023,9400,9400,9400,9400,100,8700
178,09/08/2023,9400,9400,9400,9400,-,8700
179,10/08/2023,9400,9400,9400,9400,-,8700
180,11/08/2023,9400,9400,9400,9400,-,8700
