,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12100,12100,12100,12100,-,11200
1,22/11/2022,12100,12000,12000,12100,207000,11200
2,23/11/2022,12000,12000,12000,12000,-,11100
3,24/11/2022,12000,12000,12000,12000,18000,11100
4,25/11/2022,12000,12000,12000,12000,-,11100
5,28/11/2022,12000,12000,12000,12000,-,11100
6,29/11/2022,12000,12000,12000,12000,-,11100
7,30/11/2022,12000,12000,12000,12000,-,11100
8,01/12/2022,12000,12000,12000,12000,-,11100
9,02/12/2022,12000,12000,12000,12000,-,11100
10,05/12/2022,12000,12000,12000,12000,-,11100
11,06/12/2022,12000,12000,12000,12000,-,11100
12,07/12/2022,12000,12000,12000,12000,-,11100
13,08/12/2022,12000,12000,12000,12000,-,11100
14,09/12/2022,12000,12000,12000,12000,-,11100
15,12/12/2022,12000,12000,12000,12000,-,11100
16,13/12/2022,12000,12000,12000,12000,100,11100
17,14/12/2022,12000,12000,12000,12000,-,11100
18,15/12/2022,12000,12000,12000,12000,-,11100
19,16/12/2022,12000,12000,12000,12000,-,11100
20,19/12/2022,12000,12000,12000,12000,-,11100
21,20/12/2022,12000,12000,12000,12000,-,11100
22,21/12/2022,12000,12000,12000,12000,-,11100
23,22/12/2022,12000,12000,12000,12000,-,11100
24,23/12/2022,12000,12000,12000,12000,-,11100
25,26/12/2022,12000,12000,12000,12000,-,11100
26,27/12/2022,12000,12000,12000,12000,-,11100
27,28/12/2022,12000,12000,12000,12000,-,11100
28,29/12/2022,12000,12000,12000,12000,-,11100
29,30/12/2022,12000,12000,12000,12000,-,11100
30,03/01/2023,12000,12000,12000,12000,-,11100
31,04/01/2023,12000,12000,12000,12000,-,11100
32,05/01/2023,12000,12000,12000,12000,-,11100
33,06/01/2023,12000,12000,12000,12000,-,11100
34,09/01/2023,12000,12000,12000,12000,-,11100
35,10/01/2023,12000,12000,12000,12000,-,11100
36,11/01/2023,12000,12000,12000,12000,-,11100
