,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,800,800,800,800,-,700
1,22/11/2022,800,800,800,800,-,700
2,23/11/2022,800,800,800,800,-,700
3,24/11/2022,800,800,800,800,-,700
4,25/11/2022,900,700,700,800,147905,700
5,28/11/2022,700,700,700,700,-,600
6,29/11/2022,700,700,700,700,-,600
7,30/11/2022,700,700,700,700,-,600
8,01/12/2022,700,700,700,700,-,600
9,02/12/2022,800,600,800,800,125768,700
10,05/12/2022,800,800,800,800,-,700
11,06/12/2022,800,800,800,800,-,700
12,07/12/2022,800,800,800,800,-,700
13,08/12/2022,800,800,800,800,-,700
14,09/12/2022,800,700,800,800,155836,700
15,12/12/2022,700,700,700,700,-,600
16,13/12/2022,700,700,700,700,-,600
17,14/12/2022,700,700,700,700,-,600
18,15/12/2022,700,700,700,700,-,600
19,16/12/2022,800,600,700,800,39886,700
20,19/12/2022,700,700,700,700,-,600
21,20/12/2022,700,700,700,700,-,600
22,21/12/2022,700,700,700,700,-,600
23,22/12/2022,700,700,700,700,-,600
24,23/12/2022,700,600,700,700,6806,600
25,26/12/2022,600,600,600,600,-,500
26,27/12/2022,600,600,600,600,-,500
27,28/12/2022,600,600,600,600,-,500
28,29/12/2022,600,600,600,600,-,500
29,30/12/2022,700,600,600,700,4801,600
30,03/01/2023,700,700,700,700,-,600
31,04/01/2023,700,700,700,700,-,600
32,05/01/2023,700,700,700,700,-,600
33,06/01/2023,800,600,600,800,43602,700
34,09/01/2023,800,800,800,800,-,700
35,10/01/2023,800,800,800,800,-,700
36,11/01/2023,800,800,800,800,-,700
37,12/01/2023,800,800,800,800,-,700
38,13/01/2023,900,800,800,900,62400,800
39,16/01/2023,900,900,900,900,-,800
40,17/01/2023,900,900,900,900,-,800
41,18/01/2023,900,900,900,900,-,800
42,19/01/2023,900,900,900,900,-,800
43,27/01/2023,1000,900,900,1000,9640,900
44,30/01/2023,1000,1000,1000,1000,-,900
45,31/01/2023,1000,1000,1000,1000,-,900
46,01/02/2023,1000,1000,1000,1000,-,900
47,02/02/2023,1000,1000,1000,1000,-,900
48,03/02/2023,1000,900,1000,1000,11025,900
49,06/02/2023,900,900,900,900,-,800
50,07/02/2023,900,900,900,900,-,800
51,08/02/2023,900,900,900,900,-,800
52,09/02/2023,900,900,900,900,-,800
53,10/02/2023,1000,800,900,900,11701,900
54,13/02/2023,800,800,800,800,-,800
55,14/02/2023,800,800,800,800,-,800
56,15/02/2023,800,800,800,800,-,800
57,16/02/2023,800,800,800,800,-,800
58,17/02/2023,900,700,800,900,12890,900
59,20/02/2023,800,800,800,800,-,800
60,21/02/2023,800,800,800,800,-,800
61,22/02/2023,800,800,800,800,-,800
62,23/02/2023,800,800,800,800,-,800
63,24/02/2023,900,700,800,900,44590,900
64,27/02/2023,700,700,700,700,-,700
65,28/02/2023,700,700,700,700,-,700
66,01/03/2023,700,700,700,700,-,700
67,02/03/2023,700,700,700,700,-,700
68,03/03/2023,800,700,800,800,945,800
69,06/03/2023,800,800,800,800,-,800
70,07/03/2023,800,800,800,800,-,800
71,08/03/2023,800,800,800,800,-,800
72,09/03/2023,800,800,800,800,-,800
73,10/03/2023,900,800,800,800,310,800
74,13/03/2023,800,800,800,800,-,800
75,14/03/2023,800,800,800,800,-,800
76,15/03/2023,800,800,800,800,-,800
77,16/03/2023,800,800,800,800,-,800
78,17/03/2023,900,700,900,700,59941,700
79,20/03/2023,700,700,700,700,-,700
80,21/03/2023,700,700,700,700,-,700
81,22/03/2023,700,700,700,700,-,700
82,23/03/2023,700,700,700,700,-,700
83,24/03/2023,700,600,700,600,64000,600
84,27/03/2023,600,600,600,600,-,600
85,28/03/2023,600,600,600,600,-,600
86,29/03/2023,600,600,600,600,-,600
87,30/03/2023,600,600,600,600,-,600
88,31/03/2023,700,500,500,700,81400,700
89,03/04/2023,500,500,500,500,-,500
90,04/04/2023,500,500,500,500,-,500
91,05/04/2023,500,500,500,500,-,500
92,06/04/2023,500,500,500,500,-,500
93,07/04/2023,600,500,500,600,22581,600
94,10/04/2023,600,600,600,600,-,600
95,11/04/2023,600,600,600,600,-,600
96,12/04/2023,600,600,600,600,-,600
97,13/04/2023,600,600,600,600,-,600
98,14/04/2023,700,500,700,700,6301,700
99,17/04/2023,600,600,600,600,-,600
100,18/04/2023,600,600,600,600,-,600
101,19/04/2023,600,600,600,600,-,600
102,20/04/2023,600,600,600,600,-,600
103,21/04/2023,700,500,600,600,30800,600
104,24/04/2023,600,600,600,600,-,600
105,25/04/2023,600,600,600,600,-,600
106,26/04/2023,600,600,600,600,-,600
107,27/04/2023,600,600,600,600,-,600
108,28/04/2023,700,600,600,700,33279,700
109,04/05/2023,600,600,600,600,-,600
110,05/05/2023,700,700,700,700,35600,700
111,08/05/2023,700,700,700,700,-,700
112,09/05/2023,700,700,700,700,-,700
113,10/05/2023,700,700,700,700,-,700
114,11/05/2023,700,700,700,700,-,700
115,12/05/2023,800,700,700,800,18602,800
116,15/05/2023,800,800,800,800,-,800
117,16/05/2023,800,800,800,800,-,800
118,17/05/2023,800,800,800,800,-,800
119,18/05/2023,800,800,800,800,-,800
120,19/05/2023,800,700,800,800,2730,800
121,22/05/2023,800,800,800,800,-,800
122,23/05/2023,800,800,800,800,-,800
123,24/05/2023,800,800,800,800,-,800
124,25/05/2023,800,800,800,800,-,800
125,26/05/2023,800,700,700,800,21023,800
126,29/05/2023,700,700,700,700,-,700
127,30/05/2023,700,700,700,700,-,700
128,31/05/2023,700,700,700,700,-,700
129,01/06/2023,700,700,700,700,-,700
130,02/06/2023,800,700,700,800,73001,800
131,05/06/2023,800,800,800,800,-,800
132,06/06/2023,800,800,800,800,-,800
133,07/06/2023,800,800,800,800,-,800
134,08/06/2023,800,800,800,800,-,800
135,09/06/2023,900,800,900,900,100312,900
136,12/06/2023,900,900,900,900,-,900
137,13/06/2023,900,900,900,900,-,900
138,14/06/2023,900,900,900,900,-,900
139,15/06/2023,900,900,900,900,-,900
140,16/06/2023,1000,900,900,900,51486,900
141,19/06/2023,900,900,900,900,-,900
142,20/06/2023,900,900,900,900,-,900
143,21/06/2023,900,900,900,900,-,900
144,22/06/2023,900,900,900,900,-,900
145,23/06/2023,1000,800,800,800,53711,800
146,26/06/2023,800,800,800,800,-,800
147,27/06/2023,800,800,800,800,-,800
