,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6000,6000,6000,6000,-,6000
1,22/11/2022,6000,6000,6000,6000,-,6000
2,23/11/2022,6000,6000,6000,6000,-,6000
3,24/11/2022,6000,6000,6000,6000,-,6000
4,25/11/2022,6000,6000,6000,6000,-,6000
5,28/11/2022,6000,6000,6000,6000,-,6000
6,29/11/2022,6900,6000,6000,6900,600,6900
7,30/11/2022,6800,6800,6800,6800,600,6800
8,01/12/2022,6800,6800,6800,6800,-,6800
9,02/12/2022,7700,7700,7700,7700,100,7700
10,05/12/2022,7700,7700,7700,7700,-,7700
11,06/12/2022,7700,7700,7700,7700,-,7700
12,07/12/2022,7700,7700,7700,7700,-,7700
13,08/12/2022,7700,7700,7700,7700,100,7700
14,09/12/2022,7700,7700,7700,7700,-,7700
15,12/12/2022,7700,7700,7700,7700,100,7700
16,13/12/2022,7700,7700,7700,7700,-,7700
17,14/12/2022,7700,7700,7700,7700,-,7700
18,15/12/2022,7700,7700,7700,7700,-,7700
19,16/12/2022,7700,7700,7700,7700,-,7700
20,19/12/2022,7700,7700,7700,7700,-,7700
21,20/12/2022,7700,7700,7700,7700,-,7700
22,21/12/2022,7700,7700,7700,7700,-,7700
23,22/12/2022,7700,7700,7700,7700,-,7700
24,23/12/2022,7700,7700,7700,7700,1,7700
25,26/12/2022,7700,7700,7700,7700,-,7700
26,27/12/2022,7700,7700,7700,7700,-,7700
27,28/12/2022,7700,7700,7700,7700,-,7700
28,29/12/2022,7700,7700,7700,7700,-,7700
29,30/12/2022,7700,7700,7700,7700,-,7700
30,03/01/2023,7700,7700,7700,7700,-,7700
31,04/01/2023,7700,7700,7700,7700,-,7700
32,05/01/2023,7700,7700,7700,7700,-,7700
33,06/01/2023,7700,7700,7700,7700,-,7700
34,09/01/2023,7700,7700,7700,7700,-,7700
35,10/01/2023,6600,6600,6600,6600,100,6600
36,11/01/2023,6600,6600,6600,6600,-,6600
37,12/01/2023,6600,6600,6600,6600,-,6600
38,13/01/2023,6600,6600,6600,6600,2,6600
39,16/01/2023,6600,6600,6600,6600,-,6600
40,17/01/2023,7000,7000,7000,7000,100,7000
41,18/01/2023,6000,6000,6000,6000,100,6000
42,19/01/2023,6000,6000,6000,6000,-,6000
43,27/01/2023,6000,6000,6000,6000,-,6000
44,30/01/2023,6000,6000,6000,6000,-,6000
45,31/01/2023,6800,6800,6800,6800,500,6800
46,01/02/2023,6800,6800,6800,6800,-,6800
47,02/02/2023,6800,6800,6800,6800,-,6800
48,03/02/2023,6800,6800,6800,6800,-,6800
49,06/02/2023,6800,6800,6800,6800,-,6800
50,07/02/2023,6800,6800,6800,6800,-,6800
51,08/02/2023,6800,6800,6800,6800,-,6800
52,09/02/2023,6800,6800,6800,6800,-,6800
53,10/02/2023,6800,6800,6800,6800,-,6800
54,13/02/2023,6800,6800,6800,6800,-,6800
55,14/02/2023,6800,6800,6800,6800,-,6800
56,15/02/2023,6800,6800,6800,6800,-,6800
57,16/02/2023,6800,6800,6800,6800,-,6800
58,17/02/2023,6800,6800,6800,6800,-,6800
59,20/02/2023,6800,6800,6800,6800,-,6800
60,21/02/2023,6800,6800,6800,6800,-,6800
61,22/02/2023,6800,6800,6800,6800,-,6800
62,23/02/2023,6800,6800,6800,6800,-,6800
63,24/02/2023,6800,6800,6800,6800,-,6800
64,27/02/2023,6800,6800,6800,6800,1,6800
65,28/02/2023,6800,6800,6800,6800,-,6800
66,01/03/2023,6800,6800,6800,6800,-,6800
67,02/03/2023,6800,6800,6800,6800,-,6800
68,03/03/2023,6800,6800,6800,6800,-,6800
69,06/03/2023,6800,6800,6800,6800,-,6800
70,07/03/2023,6800,6800,6800,6800,-,6800
71,08/03/2023,6800,6800,6800,6800,-,6800
72,09/03/2023,6800,6800,6800,6800,-,6800
73,10/03/2023,6800,6800,6800,6800,1700,6800
74,13/03/2023,7800,6800,6800,7800,4265,7800
75,14/03/2023,8700,6500,8600,8700,5600,8700
76,15/03/2023,9500,9000,9000,9500,3001,9500
77,16/03/2023,10500,8100,10500,8100,607,8100
78,17/03/2023,7400,7400,7400,7400,300,7400
79,20/03/2023,7000,7000,7000,7000,140,7000
80,21/03/2023,7000,7000,7000,7000,-,7000
81,22/03/2023,8000,8000,8000,8000,252,8000
82,23/03/2023,9200,9200,9200,9200,308,9200
83,24/03/2023,10500,10200,10300,10200,1100,10200
84,27/03/2023,10500,10500,10500,10500,244,10500
85,28/03/2023,11000,11000,11000,11000,100,11000
86,29/03/2023,11000,11000,11000,11000,-,11000
87,30/03/2023,9400,9400,9400,9400,500,9400
88,31/03/2023,8000,8000,8000,8000,500,8000
89,03/04/2023,9200,9200,9200,9200,105,9200
90,04/04/2023,10500,10500,10500,10500,1700,10500
91,05/04/2023,11100,11000,11100,11000,300,11000
92,06/04/2023,11000,11000,11000,11000,-,11000
93,07/04/2023,9400,9400,9400,9400,1600,9400
94,10/04/2023,10800,10800,10800,10800,106,10800
95,11/04/2023,10800,10800,10800,10800,-,10800
96,12/04/2023,9200,9200,9200,9200,100,9200
97,13/04/2023,9200,9200,9200,9200,100,9200
98,14/04/2023,9200,9200,9200,9200,-,9200
99,17/04/2023,9200,9200,9200,9200,-,9200
100,18/04/2023,9200,9200,9200,9200,-,9200
101,19/04/2023,9200,9200,9200,9200,-,9200
102,20/04/2023,9200,9200,9200,9200,-,9200
103,21/04/2023,9200,9200,9200,9200,-,9200
104,24/04/2023,9200,9200,9200,9200,-,9200
105,25/04/2023,9200,9200,9200,9200,-,9200
106,26/04/2023,9200,9200,9200,9200,-,9200
107,27/04/2023,9200,9200,9200,9200,-,9200
108,28/04/2023,9200,9200,9200,9200,-,9200
109,04/05/2023,9200,9200,9200,9200,-,9200
110,05/05/2023,9200,9200,9200,9200,-,9200
111,08/05/2023,9200,9200,9200,9200,500,9200
112,09/05/2023,10500,7900,7900,10500,200,10500
113,10/05/2023,10500,10500,10500,10500,100,10500
114,11/05/2023,10500,10000,10500,10000,400,10000
115,12/05/2023,10200,10200,10200,10200,-,10200
116,15/05/2023,10000,9900,10000,9900,200,9900
117,16/05/2023,10000,10000,10000,10000,-,10000
118,17/05/2023,10000,10000,10000,10000,-,10000
119,18/05/2023,10000,10000,10000,10000,-,10000
120,19/05/2023,10000,10000,10000,10000,-,10000
121,22/05/2023,9800,8500,9800,8500,1100,8500
122,23/05/2023,9000,9000,9000,9000,100,9000
123,24/05/2023,9500,9500,9500,9500,101,9500
124,25/05/2023,8500,8100,8100,8100,1800,8100
125,26/05/2023,9300,7000,9300,8000,901,8000
126,29/05/2023,7400,7400,7400,7400,100,7400
127,30/05/2023,7400,7400,7400,7400,900,7400
128,31/05/2023,7100,6400,7100,6400,900,6400
129,01/06/2023,7700,7000,7000,7700,300,7700
130,02/06/2023,7400,7400,7400,7400,2000,7400
131,05/06/2023,7700,7700,7700,7700,100,7700
132,06/06/2023,7000,6800,7000,6800,3700,6800
133,07/06/2023,6800,6800,6800,6800,1000,6800
134,08/06/2023,7000,7000,7000,7000,100,7000
135,09/06/2023,7600,7600,7600,7600,100,7600
136,12/06/2023,7600,7600,7600,7600,-,7600
137,13/06/2023,8700,8700,8700,8700,301,8700
138,14/06/2023,7400,7400,7400,7400,1000,7400
139,15/06/2023,8500,7400,8500,7400,2708,7400
140,16/06/2023,8000,8000,8000,8000,100,8000
141,19/06/2023,8200,8200,8200,8200,100,8200
142,20/06/2023,8200,8200,8200,8200,-,8200
143,21/06/2023,8500,8500,8500,8500,100,8500
144,22/06/2023,8800,8800,8800,8800,100,8800
145,23/06/2023,9000,9000,9000,9000,200,9000
146,26/06/2023,9000,7700,7700,8900,800,8900
147,27/06/2023,8400,7200,7200,8400,3100,8400
148,28/06/2023,8800,6900,8800,8800,300,8800
149,29/06/2023,8200,8200,8200,8200,-,8200
150,30/06/2023,9100,7100,7100,9100,500,9100
151,03/07/2023,8800,8800,8800,8800,100,8800
152,04/07/2023,8800,8800,8800,8800,-,8800
153,05/07/2023,8800,8800,8800,8800,-,8800
154,06/07/2023,8800,8800,8800,8800,-,8800
155,07/07/2023,8800,8800,8800,8800,-,8800
156,10/07/2023,8800,8800,8800,8800,-,8800
157,11/07/2023,8800,8800,8800,8800,200,8800
158,12/07/2023,8800,8800,8800,8800,-,8800
159,13/07/2023,9400,9400,9400,9400,100,9400
160,14/07/2023,9400,9400,9400,9400,-,9400
161,17/07/2023,9400,9400,9400,9400,-,9400
162,18/07/2023,9400,9400,9400,9400,-,9400
