,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18000,16000,16000,18000,46200,17000
1,22/11/2022,17700,17700,17700,17700,-,16700
2,23/11/2022,17200,16100,16200,17200,39200,16300
3,24/11/2022,17200,17200,17200,17200,1000,16300
4,25/11/2022,17200,17200,17200,17200,-,16300
5,28/11/2022,17000,16000,17000,17000,1100,16100
6,29/11/2022,17000,16200,17000,17000,600,16100
7,30/11/2022,17000,16800,16800,17000,600,16100
8,01/12/2022,16900,16900,16900,16900,1000,16000
9,02/12/2022,16900,16900,16900,16900,-,16000
10,05/12/2022,16900,16900,16900,16900,-,16000
11,06/12/2022,16900,16100,16900,16100,1300,15200
12,07/12/2022,17000,16900,16900,17000,60300,16100
13,08/12/2022,16900,16900,16900,16900,-,16000
14,09/12/2022,16900,16900,16900,16900,-,16000
15,12/12/2022,16900,16900,16900,16900,75506,16000
16,13/12/2022,16900,16900,16900,16900,20253,16000
17,14/12/2022,16900,16100,16100,16900,137066,16000
18,15/12/2022,16900,16900,16900,16900,150100,16000
19,16/12/2022,16900,16900,16900,16900,80100,16000
20,19/12/2022,16600,16600,16600,16600,33940,15700
21,20/12/2022,18900,14200,16500,14200,137935,13400
22,21/12/2022,16000,16000,16000,16000,4900,15100
23,22/12/2022,16100,16100,16100,16100,5100,15200
24,23/12/2022,16500,16100,16100,16500,1000,15600
25,26/12/2022,16400,16400,16400,16400,-,15500
26,27/12/2022,16400,16400,16400,16400,-,15500
27,28/12/2022,16700,16000,16700,16000,2429,15100
28,29/12/2022,16400,16400,16400,16400,2100,15500
29,30/12/2022,16000,16000,16000,16000,8900,15100
30,03/01/2023,16000,16000,16000,16000,11,15100
31,04/01/2023,16300,16300,16300,16300,144,15400
32,05/01/2023,16300,16300,16300,16300,-,15400
33,06/01/2023,16300,16300,16300,16300,-,15400
34,09/01/2023,16300,16300,16300,16300,-,15400
35,10/01/2023,16300,16300,16300,16300,-,15400
36,11/01/2023,16500,16300,16500,16300,200,15400
37,12/01/2023,16500,16000,16500,16100,500,15200
38,13/01/2023,16200,16200,16200,16200,-,15300
39,16/01/2023,16500,16500,16500,16500,100,15600
40,17/01/2023,17000,17000,17000,17000,200,16100
41,18/01/2023,17000,17000,17000,17000,-,16100
42,19/01/2023,17000,17000,17000,17000,-,16100
43,27/01/2023,17000,17000,17000,17000,-,16100
44,30/01/2023,17000,17000,17000,17000,-,16100
45,31/01/2023,17000,17000,17000,17000,-,16100
46,01/02/2023,17500,17500,17500,17500,100,16500
47,02/02/2023,17500,17500,17500,17500,-,16500
48,03/02/2023,17500,17500,17500,17500,500,16500
49,06/02/2023,17500,17500,17500,17500,100,16500
50,07/02/2023,17500,17500,17500,17500,-,16500
51,08/02/2023,18900,17200,18900,17200,3100,16300
52,09/02/2023,16900,16900,16900,16900,2001,16000
53,10/02/2023,16900,16900,16900,16900,-,16000
54,13/02/2023,17200,17200,17200,17200,2000,16300
55,14/02/2023,17200,17200,17200,17200,-,16300
56,15/02/2023,17200,17200,17200,17200,-,16300
57,16/02/2023,17200,17200,17200,17200,-,16300
58,17/02/2023,17200,17200,17200,17200,-,16300
59,20/02/2023,16000,16000,16000,16000,500,15100
60,21/02/2023,16000,16000,16000,16000,-,15100
61,22/02/2023,17000,17000,17000,17000,15000,16100
62,23/02/2023,17000,17000,17000,17000,-,16100
63,24/02/2023,17000,17000,17000,17000,-,16100
64,27/02/2023,17000,17000,17000,17000,-,16100
65,28/02/2023,17000,17000,17000,17000,100,16100
66,01/03/2023,17300,16700,16700,17300,1100,16400
67,02/03/2023,17400,17400,17400,17400,2100,16500
68,03/03/2023,17400,17200,17200,17200,51200,16300
69,06/03/2023,18000,18000,18000,18000,1000,17000
70,07/03/2023,18000,18000,18000,18000,-,17000
71,08/03/2023,18000,18000,18000,18000,-,17000
72,09/03/2023,18000,18000,18000,18000,24,17000
73,10/03/2023,18000,18000,18000,18000,-,17000
74,13/03/2023,19000,19000,19000,19000,102,18000
75,14/03/2023,19000,19000,19000,19000,-,18000
76,15/03/2023,19000,19000,19000,19000,-,18000
77,16/03/2023,19000,19000,19000,19000,-,18000
78,17/03/2023,19000,19000,19000,19000,1,18000
79,20/03/2023,19000,19000,19000,19000,-,18000
80,21/03/2023,19000,19000,19000,19000,2,18000
81,22/03/2023,19000,19000,19000,19000,2,18000
82,23/03/2023,19000,19000,19000,19000,-,18000
83,24/03/2023,19000,19000,19000,19000,-,18000
84,27/03/2023,19000,19000,19000,19000,3,18000
85,28/03/2023,19000,19000,19000,19000,-,18000
86,29/03/2023,19000,19000,19000,19000,-,18000
87,30/03/2023,19000,19000,19000,19000,-,18000
88,31/03/2023,17700,17700,17700,17700,1000,16700
89,03/04/2023,17700,17700,17700,17700,-,16700
90,04/04/2023,17700,17700,17700,17700,400,16700
91,05/04/2023,17600,17600,17600,17600,1000,16600
92,06/04/2023,17600,17600,17600,17600,-,16600
93,07/04/2023,17600,17600,17600,17600,1000,16600
94,10/04/2023,18800,17800,18800,17900,700,16900
95,11/04/2023,18000,18000,18000,18000,-,17000
96,12/04/2023,17900,16400,17900,17900,400,16900
97,13/04/2023,17500,17500,17500,17500,-,16500
98,14/04/2023,16100,16100,16100,16100,100,15200
99,17/04/2023,18500,17700,18200,17700,3500,16700
100,18/04/2023,18100,18100,18100,18100,-,17100
101,19/04/2023,18100,18100,18100,18100,-,17100
102,20/04/2023,18100,18100,18100,18100,-,17100
103,21/04/2023,18900,15400,15400,18900,200,17900
104,24/04/2023,17200,17200,17200,17200,300,16300
105,25/04/2023,17200,17200,17200,17200,-,16300
106,26/04/2023,17200,17200,17200,17200,-,16300
107,27/04/2023,17900,17900,17900,17900,1000,16900
108,28/04/2023,17900,17900,17900,17900,4,16900
109,04/05/2023,18000,17900,17900,18000,700,17000
110,05/05/2023,18000,17800,18000,17800,1100,16800
111,08/05/2023,17800,17800,17800,17800,2100,16800
112,09/05/2023,17800,17800,17800,17800,500,16800
113,10/05/2023,17800,17800,17800,17800,1,16800
114,11/05/2023,17900,17600,17600,17900,2000,16900
115,12/05/2023,17800,17800,17800,17800,-,16800
116,15/05/2023,18000,18000,18000,18000,100,17000
117,16/05/2023,19900,15500,19900,15500,200,14700
118,17/05/2023,20000,19900,19900,20000,200,18900
119,18/05/2023,20000,20000,20000,20000,-,18900
120,19/05/2023,17500,17000,17000,17500,300,16500
121,22/05/2023,17500,17500,17500,17500,10000,16500
122,23/05/2023,18200,18000,18000,18200,1600,17200
123,24/05/2023,18000,18000,18000,18000,1600,17000
124,25/05/2023,18000,18000,18000,18000,-,17000
125,26/05/2023,18000,18000,18000,18000,-,17000
126,29/05/2023,18000,18000,18000,18000,-,17000
127,30/05/2023,18800,18800,18800,18800,200,17800
128,31/05/2023,18800,18800,18800,18800,-,17800
129,01/06/2023,18800,18800,18800,18800,-,17800
130,02/06/2023,18800,18800,18800,18800,-,17800
131,05/06/2023,19200,19200,19200,19200,301,18200
132,06/06/2023,19200,18500,18500,19200,1100,18200
133,07/06/2023,19200,19000,19100,19000,10200,18000
134,08/06/2023,19200,18500,19200,18800,5500,17800
135,09/06/2023,18800,18800,18800,18800,1200,17800
136,12/06/2023,19900,18500,19900,18500,7601,17500
137,13/06/2023,18800,18800,18800,18800,100,17800
138,14/06/2023,18800,18800,18800,18800,-,17800
139,15/06/2023,18800,18600,18800,18700,2900,17700
140,16/06/2023,18700,18500,18700,18700,17100,17700
141,19/06/2023,18700,18700,18700,18700,9000,17700
142,20/06/2023,19000,19000,19000,19000,200,18000
143,21/06/2023,18800,18700,18700,18800,2800,17800
144,22/06/2023,18900,18700,18700,18700,28400,17700
145,23/06/2023,18700,18500,18700,18500,7100,17500
146,26/06/2023,18900,18900,18900,18900,500,17900
147,27/06/2023,18800,18800,18800,18800,2100,17800
148,28/06/2023,19800,19000,19000,19500,2600,18400
149,29/06/2023,19500,19000,19500,19500,10000,18400
150,30/06/2023,19700,19000,19500,19000,10700,18000
151,03/07/2023,18000,18000,18000,18000,-,18000
152,04/07/2023,20600,17700,20600,19400,800,19400
153,05/07/2023,18300,18300,18300,18300,100,18300
154,06/07/2023,20700,20700,20700,20700,100,20700
155,07/07/2023,20700,20700,20700,20700,-,20700
156,10/07/2023,18900,17600,17600,18700,4400,18700
157,11/07/2023,18700,18700,18700,18700,1200,18700
158,12/07/2023,18700,18700,18700,18700,-,18700
159,13/07/2023,18700,18700,18700,18700,-,18700
160,14/07/2023,18700,18700,18700,18700,-,18700
161,17/07/2023,18700,18700,18700,18700,-,18700
162,18/07/2023,18300,17900,17900,18300,200,18300
163,19/07/2023,18600,18600,18600,18600,100,18600
164,20/07/2023,18400,17500,17500,18400,300,18400
165,21/07/2023,18000,18000,18000,18000,600,18000
166,24/07/2023,18000,17800,17800,18000,9000,18000
167,25/07/2023,18000,17300,17300,17700,600,17700
168,26/07/2023,18200,18000,18000,18200,2206,18200
169,27/07/2023,18900,17100,17100,18800,5300,18800
