,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7900,7500,7800,7800,14200,5200
1,22/11/2022,7900,7000,7700,7900,44300,5300
2,23/11/2022,7900,7600,7900,7600,2400,5100
3,24/11/2022,7700,7400,7700,7500,22500,5000
4,25/11/2022,7900,7700,7900,7700,2900,5100
5,28/11/2022,8000,7800,7900,7900,27700,5300
6,29/11/2022,7900,7700,7900,7700,24000,5100
7,30/11/2022,7900,7700,7800,7700,15200,5100
8,01/12/2022,7900,7600,7700,7700,20000,5100
9,02/12/2022,7900,7600,7900,7700,8400,5100
10,05/12/2022,7900,7700,7900,7700,11400,5100
11,06/12/2022,8900,7700,7900,8000,23900,5300
12,07/12/2022,8700,7700,8700,7700,5000,5100
13,08/12/2022,8300,7900,8300,7900,3900,5300
14,09/12/2022,8000,8000,8000,8000,1000,5300
15,12/12/2022,8000,8000,8000,8000,2200,5300
16,13/12/2022,8200,7000,7000,7900,16800,5300
17,14/12/2022,8200,8100,8100,8200,3000,5500
18,15/12/2022,8300,8200,8200,8200,7000,5500
19,16/12/2022,8200,8000,8000,8200,2300,5500
20,19/12/2022,8300,7000,7100,8300,3500,5500
21,20/12/2022,8200,8100,8200,8100,3400,5400
22,21/12/2022,9400,8100,8100,8100,29100,5400
23,22/12/2022,8300,8100,8100,8300,16900,5500
24,23/12/2022,8300,8100,8200,8100,4000,5400
25,26/12/2022,8100,8100,8100,8100,1000,5400
26,27/12/2022,8100,8100,8100,8100,4000,5400
27,28/12/2022,8100,7100,8100,8100,7600,5400
28,29/12/2022,8100,8100,8100,8100,1000,5400
29,30/12/2022,8200,8100,8100,8100,2500,5400
30,03/01/2023,8100,8000,8000,8100,1200,5400
31,04/01/2023,8100,8000,8100,8000,2000,5300
32,05/01/2023,8100,8100,8100,8100,1000,5400
33,06/01/2023,8000,8000,8000,8000,1000,5300
34,09/01/2023,8000,8000,8000,8000,2300,5300
35,10/01/2023,8000,7300,8000,8000,2500,5300
36,11/01/2023,8000,7100,8000,7100,6100,4700
37,12/01/2023,8000,8000,8000,8000,100,5300
38,13/01/2023,8000,8000,8000,8000,-,5300
39,16/01/2023,7900,7000,7000,7900,5000,5300
40,17/01/2023,7900,7900,7900,7900,200,5300
41,18/01/2023,7900,7500,7900,7500,500,5000
42,19/01/2023,7600,7600,7600,7600,-,5100
43,27/01/2023,8100,8100,8100,8100,100,5400
44,30/01/2023,8000,8000,8000,8000,100,5300
45,31/01/2023,9200,7400,7900,9000,31100,6000
46,01/02/2023,9000,9000,9000,9000,200,6000
47,02/02/2023,9000,7800,9000,9000,9500,6000
48,03/02/2023,9500,9000,9000,9000,5900,6000
49,06/02/2023,9400,9400,9400,9400,1000,6300
50,07/02/2023,10700,8100,10700,8100,4200,5400
51,08/02/2023,10000,8500,10000,8500,1400,5700
52,09/02/2023,10700,8500,10700,9600,23800,6400
53,10/02/2023,9000,8900,9000,8900,1200,5900
54,13/02/2023,9000,9000,9000,9000,1000,6000
55,14/02/2023,8800,8800,8800,8800,500,5900
56,15/02/2023,8900,8800,8800,8900,500,5900
57,16/02/2023,9000,9000,9000,9000,1000,6000
58,17/02/2023,8800,8800,8800,8800,100,5900
59,20/02/2023,9500,8500,9500,8500,600,5700
60,21/02/2023,10100,8400,10100,8400,500,5600
61,22/02/2023,10100,8400,10100,8400,1400,5600
62,23/02/2023,10000,10000,10000,10000,300,6700
63,24/02/2023,11400,8500,11400,8500,2000,5700
64,27/02/2023,10500,8000,10500,8000,1600,5300
65,28/02/2023,10100,7700,10100,7700,1200,5100
66,01/03/2023,9900,9900,9900,9900,300,6600
67,02/03/2023,11200,8500,11200,8500,2500,5700
68,03/03/2023,8800,8800,8800,8800,-,5900
69,06/03/2023,8800,8800,8800,8800,-,5900
70,07/03/2023,8300,7500,7700,8300,1800,5500
71,08/03/2023,7700,7000,7700,7000,500,4700
72,09/03/2023,7700,7700,7700,7700,800,5100
73,10/03/2023,8500,7000,7000,8500,2800,5700
74,13/03/2023,8100,7000,7000,8100,3200,5400
75,14/03/2023,8100,8100,8100,8100,500,5400
76,15/03/2023,8200,7500,7500,8200,3400,5500
77,16/03/2023,8300,8100,8100,8200,1300,5500
78,17/03/2023,8100,8100,8100,8100,400,5400
79,20/03/2023,8100,8100,8100,8100,300,5400
80,21/03/2023,7100,7100,7100,7100,500,4700
81,22/03/2023,7900,7900,7900,7900,500,5300
82,23/03/2023,7900,7500,7900,7700,700,5100
83,24/03/2023,7700,7100,7700,7100,1100,4700
84,27/03/2023,7600,7600,7600,7600,-,5100
85,28/03/2023,8500,7500,7500,8500,4000,5700
86,29/03/2023,8100,8000,8000,8100,800,5400
87,30/03/2023,8000,7300,8000,7300,300,4900
88,31/03/2023,8000,7100,8000,7100,1800,4700
89,03/04/2023,8700,8700,8700,8700,4000,5800
90,04/04/2023,10000,8000,9000,8000,2100,5300
91,05/04/2023,10800,8000,10800,8100,13900,5400
92,06/04/2023,10900,8300,10900,8500,30200,5700
93,07/04/2023,12000,9000,11400,9000,20800,6000
94,10/04/2023,12000,9100,12000,9100,55700,6100
95,11/04/2023,10400,8600,8600,9100,42200,6100
96,12/04/2023,10900,8800,10400,9000,17100,6000
97,13/04/2023,9100,8500,9100,8500,6900,5700
98,14/04/2023,8800,8400,8400,8600,5300,5700
99,17/04/2023,8500,8400,8500,8500,24800,5700
100,18/04/2023,8600,8500,8500,8600,7600,5700
101,19/04/2023,8900,8700,8700,8800,2000,5900
102,20/04/2023,8900,8900,8900,8900,100,5900
103,21/04/2023,9000,8800,8800,8800,6000,5900
104,24/04/2023,8900,8900,8900,8900,-,5900
105,25/04/2023,9000,8800,8800,8800,8500,5900
106,26/04/2023,8900,8900,8900,8900,-,5900
107,27/04/2023,9300,9000,9000,9100,31500,6100
108,28/04/2023,9100,9100,9100,9100,5000,6100
109,04/05/2023,9500,9100,9100,9400,4000,6300
110,05/05/2023,9500,9300,9400,9400,17000,6300
111,08/05/2023,9600,9500,9600,9500,800,6300
112,09/05/2023,9600,9500,9600,9500,5500,6300
113,10/05/2023,9600,9500,9500,9600,2500,6400
114,11/05/2023,9600,9600,9600,9600,300,6400
115,12/05/2023,9600,9600,9600,9600,-,6400
116,15/05/2023,10200,9500,9900,10100,13602,6700
117,16/05/2023,10300,10300,10300,10300,100,6900
118,17/05/2023,10000,10000,10000,10000,200,6700
119,18/05/2023,10000,10000,10000,10000,-,6700
120,19/05/2023,10000,10000,10000,10000,100,6700
121,22/05/2023,10500,9900,10500,9900,6300,6600
122,23/05/2023,10000,10000,10000,10000,100,6700
123,24/05/2023,10000,9400,10000,9400,15300,6300
124,25/05/2023,9500,9500,9500,9500,-,6300
125,26/05/2023,9700,9500,9700,9500,3900,6300
126,29/05/2023,9900,9600,9900,9600,1300,6400
127,30/05/2023,9900,9700,9900,9700,700,6500
128,31/05/2023,9800,9700,9800,9700,2100,6500
129,01/06/2023,9800,9800,9800,9800,100,6500
130,02/06/2023,9800,9800,9800,9800,-,6500
131,05/06/2023,9800,9800,9800,9800,79600,6500
132,06/06/2023,10000,9700,10000,9700,48800,6500
133,07/06/2023,10000,9800,10000,9800,602,6500
134,08/06/2023,10000,9800,10000,9800,1100,6500
135,09/06/2023,9800,9500,9500,9500,12200,6300
136,12/06/2023,9800,9500,9800,9600,12400,6400
137,13/06/2023,9800,9600,9800,9700,19708,6500
138,14/06/2023,9700,9700,9700,9700,33630,6500
139,15/06/2023,9700,9600,9600,9700,4100,6500
140,16/06/2023,9600,9400,9600,9400,27510,6300
141,19/06/2023,9500,9500,9500,9500,200,6300
142,20/06/2023,9600,9500,9500,9500,14600,6300
143,21/06/2023,9700,9600,9700,9600,1300,6400
144,22/06/2023,9600,9600,9600,9600,3600,6400
145,23/06/2023,9600,9600,9600,9600,-,6400
146,26/06/2023,9600,9600,9600,9600,-,6400
147,27/06/2023,9700,9500,9700,9600,18400,6400
