,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8500,8500,8500,8500,-,8500
1,22/11/2022,8500,8500,8500,8500,-,8500
2,23/11/2022,8500,8500,8500,8500,-,8500
3,24/11/2022,8500,8500,8500,8500,-,8500
4,25/11/2022,8500,8500,8500,8500,-,8500
5,28/11/2022,8500,8500,8500,8500,-,8500
6,29/11/2022,8400,8400,8400,8400,300,8400
7,30/11/2022,8400,8400,8400,8400,-,8400
8,01/12/2022,8400,8400,8400,8400,-,8400
9,02/12/2022,8400,8400,8400,8400,-,8400
10,05/12/2022,8400,8400,8400,8400,-,8400
11,06/12/2022,8400,8400,8400,8400,-,8400
12,07/12/2022,8400,8400,8400,8400,-,8400
13,08/12/2022,8400,8400,8400,8400,-,8400
14,09/12/2022,8400,8400,8400,8400,-,8400
15,12/12/2022,8400,8400,8400,8400,200,8400
16,13/12/2022,8400,8400,8400,8400,-,8400
17,14/12/2022,8400,8400,8400,8400,-,8400
18,15/12/2022,8400,8400,8400,8400,-,8400
19,16/12/2022,8400,8400,8400,8400,-,8400
20,19/12/2022,8400,8400,8400,8400,-,8400
21,20/12/2022,8400,8400,8400,8400,-,8400
22,21/12/2022,8400,8400,8400,8400,-,8400
23,22/12/2022,8400,8400,8400,8400,-,8400
24,23/12/2022,8400,8400,8400,8400,1,8400
25,26/12/2022,8400,8400,8400,8400,-,8400
26,27/12/2022,8400,8400,8400,8400,-,8400
27,28/12/2022,8400,8400,8400,8400,-,8400
28,29/12/2022,8400,8400,8400,8400,14,8400
29,30/12/2022,8400,8400,8400,8400,-,8400
30,03/01/2023,8400,8400,8400,8400,-,8400
31,04/01/2023,8400,8400,8400,8400,-,8400
32,05/01/2023,8400,8400,8400,8400,-,8400
33,06/01/2023,8400,8400,8400,8400,-,8400
34,09/01/2023,8400,8400,8400,8400,-,8400
35,10/01/2023,8400,8400,8400,8400,-,8400
36,11/01/2023,8400,8400,8400,8400,-,8400
37,12/01/2023,8400,8400,8400,8400,-,8400
38,13/01/2023,8400,8400,8400,8400,-,8400
39,16/01/2023,8400,8400,8400,8400,-,8400
40,17/01/2023,8400,8400,8400,8400,-,8400
41,18/01/2023,8400,8400,8400,8400,-,8400
42,19/01/2023,8400,8400,8400,8400,-,8400
43,27/01/2023,8400,8400,8400,8400,-,8400
44,30/01/2023,8400,8400,8400,8400,-,8400
45,31/01/2023,8400,8400,8400,8400,-,8400
46,01/02/2023,8400,8400,8400,8400,-,8400
47,02/02/2023,8400,8400,8400,8400,-,8400
48,03/02/2023,8400,8400,8400,8400,-,8400
49,06/02/2023,8400,8400,8400,8400,-,8400
50,07/02/2023,8400,8400,8400,8400,-,8400
51,08/02/2023,8400,8400,8400,8400,-,8400
52,09/02/2023,8400,8400,8400,8400,-,8400
53,10/02/2023,8400,8400,8400,8400,-,8400
54,13/02/2023,8400,8400,8400,8400,-,8400
55,14/02/2023,5200,5200,5200,5200,1000,5200
56,15/02/2023,5200,5200,5200,5200,-,5200
57,16/02/2023,4500,4500,4500,4500,100,4500
58,17/02/2023,4500,4500,4500,4500,-,4500
59,20/02/2023,4500,4500,4500,4500,-,4500
60,21/02/2023,4500,4500,4500,4500,-,4500
61,22/02/2023,4500,4500,4500,4500,-,4500
62,23/02/2023,4500,4500,4500,4500,-,4500
63,24/02/2023,4500,4500,4500,4500,-,4500
64,27/02/2023,4500,4500,4500,4500,-,4500
65,28/02/2023,4500,4500,4500,4500,-,4500
66,01/03/2023,4500,4500,4500,4500,-,4500
67,02/03/2023,4500,4500,4500,4500,-,4500
68,03/03/2023,4500,4500,4500,4500,-,4500
69,06/03/2023,4500,4500,4500,4500,-,4500
70,07/03/2023,4500,4500,4500,4500,-,4500
71,08/03/2023,4500,4500,4500,4500,-,4500
72,09/03/2023,4500,4500,4500,4500,-,4500
73,10/03/2023,4500,4500,4500,4500,-,4500
74,13/03/2023,4500,4500,4500,4500,-,4500
75,14/03/2023,4500,4500,4500,4500,-,4500
76,15/03/2023,4500,4500,4500,4500,-,4500
77,16/03/2023,4500,4500,4500,4500,-,4500
78,17/03/2023,4500,4500,4500,4500,-,4500
79,20/03/2023,4500,4500,4500,4500,-,4500
80,21/03/2023,4500,4500,4500,4500,-,4500
81,22/03/2023,4500,4500,4500,4500,-,4500
82,23/03/2023,4500,4500,4500,4500,-,4500
83,24/03/2023,4500,4500,4500,4500,-,4500
84,27/03/2023,4500,4500,4500,4500,-,4500
85,28/03/2023,4500,4500,4500,4500,-,4500
86,29/03/2023,4500,4500,4500,4500,-,4500
87,30/03/2023,4500,4500,4500,4500,-,4500
88,31/03/2023,4500,4500,4500,4500,-,4500
89,03/04/2023,4500,4500,4500,4500,-,4500
90,04/04/2023,4500,4500,4500,4500,-,4500
