,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,31800,31800,31800,31800,-,30200
1,22/11/2022,31800,31800,31800,31800,-,30200
2,23/11/2022,31800,31800,31800,31800,-,30200
3,24/11/2022,31800,31800,31800,31800,-,30200
4,25/11/2022,31800,31800,31800,31800,-,30200
5,28/11/2022,31800,31800,31800,31800,-,30200
6,29/11/2022,31800,31800,31800,31800,-,30200
7,30/11/2022,31800,31800,31800,31800,-,30200
8,01/12/2022,31800,31800,31800,31800,-,30200
9,02/12/2022,35000,35000,35000,35000,100,33300
10,05/12/2022,35000,35000,35000,35000,-,33300
11,06/12/2022,35000,35000,35000,35000,-,33300
12,07/12/2022,35000,35000,35000,35000,-,33300
13,08/12/2022,35000,35000,35000,35000,-,33300
14,09/12/2022,35000,35000,35000,35000,-,33300
15,12/12/2022,35000,35000,35000,35000,-,33300
16,13/12/2022,35000,35000,35000,35000,-,33300
17,14/12/2022,35000,35000,35000,35000,-,33300
18,15/12/2022,35000,35000,35000,35000,2,33300
19,16/12/2022,35000,35000,35000,35000,-,33300
20,19/12/2022,35000,35000,35000,35000,-,33300
21,20/12/2022,35000,35000,35000,35000,-,33300
22,21/12/2022,35000,35000,35000,35000,-,33300
23,22/12/2022,35000,35000,35000,35000,-,33300
24,23/12/2022,35000,35000,35000,35000,-,33300
25,26/12/2022,35000,35000,35000,35000,-,33300
26,27/12/2022,35000,35000,35000,35000,-,33300
27,28/12/2022,35000,35000,35000,35000,-,33300
28,29/12/2022,35000,35000,35000,35000,-,33300
29,30/12/2022,35000,35000,35000,35000,-,33300
30,03/01/2023,35000,35000,35000,35000,-,33300
31,04/01/2023,35000,35000,35000,35000,-,33300
32,05/01/2023,35000,35000,35000,35000,-,33300
33,06/01/2023,35000,35000,35000,35000,-,33300
34,09/01/2023,35000,35000,35000,35000,-,33300
35,10/01/2023,35000,35000,35000,35000,-,33300
36,11/01/2023,35000,35000,35000,35000,-,33300
37,12/01/2023,35000,35000,35000,35000,-,33300
38,13/01/2023,35000,35000,35000,35000,-,33300
