,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16300,16300,16300,16300,-,16300
1,22/11/2022,16300,16300,16300,16300,-,16300
2,23/11/2022,16300,16300,16300,16300,-,16300
3,24/11/2022,16300,16300,16300,16300,-,16300
4,25/11/2022,16300,16300,16300,16300,-,16300
5,28/11/2022,16300,16300,16300,16300,-,16300
6,29/11/2022,16300,16300,16300,16300,-,16300
7,30/11/2022,16300,16300,16300,16300,-,16300
8,01/12/2022,16300,16300,16300,16300,-,16300
9,02/12/2022,16300,16300,16300,16300,-,16300
10,05/12/2022,16300,16300,16300,16300,-,16300
11,06/12/2022,16300,16300,16300,16300,-,16300
12,07/12/2022,16300,16300,16300,16300,-,16300
13,08/12/2022,16300,16300,16300,16300,-,16300
14,09/12/2022,16300,16300,16300,16300,-,16300
15,12/12/2022,16300,16300,16300,16300,-,16300
16,13/12/2022,16300,16300,16300,16300,-,16300
17,14/12/2022,16300,16300,16300,16300,-,16300
18,15/12/2022,16300,16300,16300,16300,-,16300
19,16/12/2022,16300,16300,16300,16300,-,16300
20,19/12/2022,16300,16300,16300,16300,-,16300
21,20/12/2022,16300,16300,16300,16300,-,16300
22,21/12/2022,16300,16300,16300,16300,-,16300
23,22/12/2022,16300,16300,16300,16300,-,16300
24,23/12/2022,16300,16300,16300,16300,-,16300
25,26/12/2022,16300,16300,16300,16300,-,16300
26,27/12/2022,16300,16300,16300,16300,-,16300
27,28/12/2022,16300,16300,16300,16300,-,16300
28,29/12/2022,16300,16300,16300,16300,-,16300
29,30/12/2022,16300,16300,16300,16300,-,16300
30,03/01/2023,16300,16300,16300,16300,-,16300
31,04/01/2023,16300,16300,16300,16300,-,16300
32,05/01/2023,16300,16300,16300,16300,-,16300
33,06/01/2023,16300,16300,16300,16300,-,16300
34,09/01/2023,16300,16300,16300,16300,-,16300
35,10/01/2023,16300,16300,16300,16300,-,16300
36,11/01/2023,16300,16300,16300,16300,-,16300
37,12/01/2023,16300,16300,16300,16300,-,16300
38,13/01/2023,16300,16300,16300,16300,-,16300
39,16/01/2023,16300,16300,16300,16300,-,16300
40,17/01/2023,16300,16300,16300,16300,-,16300
41,18/01/2023,16300,16300,16300,16300,-,16300
42,19/01/2023,16300,16300,16300,16300,-,16300
43,27/01/2023,16300,16300,16300,16300,-,16300
44,30/01/2023,16300,16300,16300,16300,-,16300
45,31/01/2023,16300,16300,16300,16300,-,16300
46,01/02/2023,16300,16300,16300,16300,-,16300
47,02/02/2023,16300,16300,16300,16300,-,16300
48,03/02/2023,16300,16300,16300,16300,-,16300
49,06/02/2023,16300,16300,16300,16300,-,16300
50,07/02/2023,16300,16300,16300,16300,-,16300
51,08/02/2023,16300,16300,16300,16300,-,16300
52,09/02/2023,16300,16300,16300,16300,-,16300
53,10/02/2023,16300,16300,16300,16300,-,16300
54,13/02/2023,16300,16300,16300,16300,-,16300
55,14/02/2023,16300,16300,16300,16300,-,16300
56,15/02/2023,16300,16300,16300,16300,-,16300
57,16/02/2023,16300,16300,16300,16300,-,16300
58,17/02/2023,16300,16300,16300,16300,-,16300
59,20/02/2023,16300,16300,16300,16300,-,16300
60,21/02/2023,16300,16300,16300,16300,-,16300
61,22/02/2023,16300,16300,16300,16300,-,16300
62,23/02/2023,16300,16300,16300,16300,-,16300
63,24/02/2023,16300,16300,16300,16300,-,16300
64,27/02/2023,22800,22800,22800,22800,200,22800
65,28/02/2023,22800,22800,22800,22800,-,22800
66,01/03/2023,22800,22800,22800,22800,-,22800
67,02/03/2023,22800,22800,22800,22800,-,22800
68,03/03/2023,22800,22800,22800,22800,-,22800
69,06/03/2023,22800,22800,22800,22800,-,22800
70,07/03/2023,22800,22800,22800,22800,-,22800
71,08/03/2023,22800,22800,22800,22800,-,22800
72,09/03/2023,22800,22800,22800,22800,-,22800
73,10/03/2023,22800,22800,22800,22800,-,22800
74,13/03/2023,22800,22800,22800,22800,-,22800
75,14/03/2023,22800,22800,22800,22800,-,22800
76,15/03/2023,22800,22800,22800,22800,-,22800
77,16/03/2023,22800,22800,22800,22800,-,22800
78,17/03/2023,22800,22800,22800,22800,-,22800
79,20/03/2023,22800,22800,22800,22800,-,22800
80,21/03/2023,22800,22800,22800,22800,-,22800
81,22/03/2023,22800,22800,22800,22800,-,22800
82,23/03/2023,22800,22800,22800,22800,-,22800
83,24/03/2023,22800,22800,22800,22800,-,22800
84,27/03/2023,22800,22800,22800,22800,-,22800
85,28/03/2023,22800,22800,22800,22800,-,22800
86,29/03/2023,22800,22800,22800,22800,-,22800
87,30/03/2023,22800,22800,22800,22800,-,22800
88,31/03/2023,22800,22800,22800,22800,-,22800
89,03/04/2023,22800,22800,22800,22800,-,22800
90,04/04/2023,22800,22800,22800,22800,-,22800
91,05/04/2023,22800,22800,22800,22800,-,22800
92,06/04/2023,22800,22800,22800,22800,-,22800
93,07/04/2023,31900,13700,31900,13700,200,13700
94,10/04/2023,22800,22800,22800,22800,-,22800
95,11/04/2023,22800,22800,22800,22800,-,22800
96,12/04/2023,22800,22800,22800,22800,-,22800
97,13/04/2023,22800,22800,22800,22800,-,22800
98,14/04/2023,22800,22800,22800,22800,-,22800
99,17/04/2023,22800,22800,22800,22800,-,22800
100,18/04/2023,22800,22800,22800,22800,-,22800
101,19/04/2023,22800,22800,22800,22800,-,22800
102,20/04/2023,22800,22800,22800,22800,-,22800
103,21/04/2023,22800,22800,22800,22800,-,22800
104,24/04/2023,22800,22800,22800,22800,-,22800
105,25/04/2023,22800,22800,22800,22800,-,22800
106,26/04/2023,22800,22800,22800,22800,-,22800
107,27/04/2023,22800,22800,22800,22800,-,22800
108,28/04/2023,22800,22800,22800,22800,-,22800
109,04/05/2023,22800,22800,22800,22800,-,22800
110,05/05/2023,22800,22800,22800,22800,-,22800
111,08/05/2023,22800,22800,22800,22800,-,22800
112,09/05/2023,22800,22800,22800,22800,-,22800
113,10/05/2023,22800,22800,22800,22800,-,22800
114,11/05/2023,22800,22800,22800,22800,-,22800
115,12/05/2023,22800,22800,22800,22800,-,22800
116,15/05/2023,22800,22800,22800,22800,-,22800
117,16/05/2023,22800,22800,22800,22800,-,22800
118,17/05/2023,22800,22800,22800,22800,-,22800
119,18/05/2023,22800,22800,22800,22800,-,22800
120,19/05/2023,22800,22800,22800,22800,-,22800
121,22/05/2023,22800,22800,22800,22800,-,22800
122,23/05/2023,22800,22800,22800,22800,-,22800
123,24/05/2023,22800,22800,22800,22800,-,22800
124,25/05/2023,22800,22800,22800,22800,-,22800
125,26/05/2023,22800,22800,22800,22800,-,22800
126,29/05/2023,22800,22800,22800,22800,-,22800
127,30/05/2023,22800,22800,22800,22800,-,22800
128,31/05/2023,22800,22800,22800,22800,800,22800
129,01/06/2023,22800,22800,22800,22800,-,22800
130,02/06/2023,22800,22800,22800,22800,-,22800
131,05/06/2023,22800,22800,22800,22800,-,22800
132,06/06/2023,22800,22800,22800,22800,-,22800
133,07/06/2023,22800,22800,22800,22800,-,22800
134,08/06/2023,22800,22800,22800,22800,-,22800
135,09/06/2023,22800,22800,22800,22800,-,22800
136,12/06/2023,22800,22800,22800,22800,-,22800
137,13/06/2023,22800,22800,22800,22800,-,22800
138,14/06/2023,22800,22800,22800,22800,-,22800
139,15/06/2023,22800,22800,22800,22800,-,22800
140,16/06/2023,22800,22800,22800,22800,-,22800
141,19/06/2023,22800,22800,22800,22800,-,22800
142,20/06/2023,22800,22800,22800,22800,-,22800
143,21/06/2023,22800,22800,22800,22800,-,22800
144,22/06/2023,22800,22800,22800,22800,-,22800
145,23/06/2023,22800,22800,22800,22800,-,22800
146,26/06/2023,22800,22800,22800,22800,-,22800
147,27/06/2023,22800,22800,22800,22800,-,22800
148,28/06/2023,22800,22800,22800,22800,-,22800
149,29/06/2023,22800,22800,22800,22800,-,22800
150,30/06/2023,22800,22800,22800,22800,-,22800
151,03/07/2023,22800,22800,22800,22800,-,22800
152,04/07/2023,22800,22800,22800,22800,-,22800
153,05/07/2023,22800,22800,22800,22800,-,22800
154,06/07/2023,22800,22800,22800,22800,-,22800
155,07/07/2023,22800,22800,22800,22800,-,22800
156,10/07/2023,22800,22800,22800,22800,-,22800
157,11/07/2023,22800,22800,22800,22800,-,22800
158,12/07/2023,22800,22800,22800,22800,-,22800
159,13/07/2023,22800,22800,22800,22800,-,22800
160,14/07/2023,22800,22800,22800,22800,-,22800
161,17/07/2023,22800,22800,22800,22800,-,22800
162,18/07/2023,22800,22800,22800,22800,-,22800
163,19/07/2023,22800,22800,22800,22800,-,22800
164,20/07/2023,22800,22800,22800,22800,-,22800
165,21/07/2023,22800,22800,22800,22800,-,22800
166,24/07/2023,22800,22800,22800,22800,-,22800
167,25/07/2023,22800,22800,22800,22800,-,22800
168,26/07/2023,22800,22800,22800,22800,-,22800
169,27/07/2023,22800,22800,22800,22800,-,22800
170,28/07/2023,22800,22800,22800,22800,100,22800
171,31/07/2023,22800,22800,22800,22800,-,22800
172,01/08/2023,22800,22800,22800,22800,-,22800
173,02/08/2023,22800,22800,22800,22800,-,22800
174,03/08/2023,22800,22800,22800,22800,-,22800
175,04/08/2023,22800,22800,22800,22800,-,22800
176,07/08/2023,19400,19400,19400,19400,100,19400
177,08/08/2023,19400,19400,19400,19400,-,19400
178,09/08/2023,19400,19400,19400,19400,-,19400
179,10/08/2023,19400,19400,19400,19400,-,19400
180,11/08/2023,19400,19400,19400,19400,-,19400
181,14/08/2023,19400,19400,19400,19400,-,19400
182,15/08/2023,19400,19400,19400,19400,-,19400
183,16/08/2023,19400,19400,19400,19400,-,19400
184,17/08/2023,16500,16500,16500,16500,200,16500
185,18/08/2023,16500,16500,16500,16500,-,16500
186,21/08/2023,16500,16500,16500,16500,-,16500
187,22/08/2023,16500,16500,16500,16500,-,16500
188,23/08/2023,16500,16500,16500,16500,-,16500
189,24/08/2023,16500,16500,16500,16500,-,16500
190,25/08/2023,16500,16500,16500,16500,-,16500
191,28/08/2023,16500,16500,16500,16500,-,16500
192,29/08/2023,16500,16500,16500,16500,-,16500
193,30/08/2023,16500,16500,16500,16500,-,16500
194,31/08/2023,16500,16500,16500,16500,-,16500
195,05/09/2023,16500,16500,16500,16500,-,16500
196,06/09/2023,16500,16500,16500,16500,-,16500
197,07/09/2023,16500,16500,16500,16500,-,16500
198,08/09/2023,16500,16500,16500,16500,-,16500
199,11/09/2023,16500,16500,16500,16500,-,16500
200,12/09/2023,16500,16500,16500,16500,-,16500
201,13/09/2023,16500,16500,16500,16500,-,16500
202,14/09/2023,16500,16500,16500,16500,-,16500
203,15/09/2023,16500,16500,16500,16500,-,16500
204,18/09/2023,16500,16500,16500,16500,-,16500
205,19/09/2023,16500,16500,16500,16500,-,16500
206,20/09/2023,16500,16500,16500,16500,-,16500
207,21/09/2023,16500,16500,16500,16500,-,16500
208,22/09/2023,16500,16500,16500,16500,-,16500
209,25/09/2023,16500,16500,16500,16500,-,16500
210,26/09/2023,16500,16500,16500,16500,-,16500
211,27/09/2023,16500,16500,16500,16500,-,16500
212,28/09/2023,16500,16500,16500,16500,-,16500
213,29/09/2023,16500,16500,16500,16500,-,16500
214,02/10/2023,16500,16500,16500,16500,-,16500
215,03/10/2023,16500,16500,16500,16500,-,16500
216,04/10/2023,16500,16500,16500,16500,-,16500
217,05/10/2023,16500,16500,16500,16500,-,16500
218,06/10/2023,16500,16500,16500,16500,-,16500
219,09/10/2023,16500,16500,16500,16500,-,16500
220,10/10/2023,16500,16500,16500,16500,-,16500
221,11/10/2023,16500,16500,16500,16500,-,16500
222,12/10/2023,16500,16500,16500,16500,-,16500
223,13/10/2023,16500,16500,16500,16500,-,16500
224,16/10/2023,16500,16500,16500,16500,-,16500
225,17/10/2023,16500,16500,16500,16500,-,16500
226,18/10/2023,16500,16500,16500,16500,-,16500
227,19/10/2023,16500,16500,16500,16500,-,16500
228,20/10/2023,16500,16500,16500,16500,-,16500
229,23/10/2023,16500,16500,16500,16500,-,16500
230,24/10/2023,16500,16500,16500,16500,-,16500
231,25/10/2023,16500,16500,16500,16500,-,16500
232,26/10/2023,16500,16500,16500,16500,-,16500
233,27/10/2023,16500,16500,16500,16500,-,16500
234,30/10/2023,16500,16500,16500,16500,-,16500
235,31/10/2023,16500,16500,16500,16500,-,16500
236,01/11/2023,16500,16500,16500,16500,-,16500
237,02/11/2023,16500,16500,16500,16500,-,16500
238,03/11/2023,16500,16500,16500,16500,-,16500
239,06/11/2023,16500,16500,16500,16500,-,16500
240,07/11/2023,16500,16500,16500,16500,-,16500
241,08/11/2023,16500,16500,16500,16500,-,16500
242,09/11/2023,16500,16500,16500,16500,-,16500
243,10/11/2023,16500,16500,16500,16500,-,16500
244,13/11/2023,16500,16500,16500,16500,-,16500
245,14/11/2023,16500,16500,16500,16500,-,16500
246,15/11/2023,16500,16500,16500,16500,-,16500
247,16/11/2023,16500,16500,16500,16500,-,16500
248,17/11/2023,16500,16500,16500,16500,-,16500
249,20/11/2023,16500,16500,16500,16500,-,16500
