,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10200,10200,10200,10200,-,10200
1,22/11/2022,10200,10200,10200,10200,-,10200
2,23/11/2022,10200,10200,10200,10200,-,10200
3,24/11/2022,10200,10200,10200,10200,-,10200
4,25/11/2022,10500,10400,10500,10400,400,10400
5,28/11/2022,10400,10400,10400,10400,-,10400
6,29/11/2022,10400,10400,10400,10400,-,10400
7,30/11/2022,10400,10400,10400,10400,-,10400
8,01/12/2022,10400,10400,10400,10400,-,10400
9,02/12/2022,10500,9300,10500,10300,23700,10300
10,05/12/2022,9600,9600,9600,9600,-,9600
11,06/12/2022,9600,9600,9600,9600,-,9600
12,07/12/2022,9600,9600,9600,9600,-,9600
13,08/12/2022,9600,9600,9600,9600,-,9600
14,09/12/2022,11000,11000,11000,11000,100,11000
15,12/12/2022,11000,11000,11000,11000,-,11000
16,13/12/2022,11000,11000,11000,11000,-,11000
17,14/12/2022,11000,11000,11000,11000,-,11000
18,15/12/2022,11000,11000,11000,11000,-,11000
19,16/12/2022,12600,9600,12600,10900,900,10900
20,19/12/2022,11100,11100,11100,11100,-,11100
21,20/12/2022,11100,11100,11100,11100,-,11100
22,21/12/2022,11100,11100,11100,11100,-,11100
23,22/12/2022,11100,11100,11100,11100,-,11100
24,23/12/2022,12700,10100,12700,10200,15000,10200
25,26/12/2022,10500,10500,10500,10500,-,10500
26,27/12/2022,10500,10500,10500,10500,-,10500
27,28/12/2022,10500,10500,10500,10500,-,10500
28,29/12/2022,10500,10500,10500,10500,-,10500
29,30/12/2022,12000,9800,12000,10000,2700,10000
30,03/01/2023,10400,10400,10400,10400,-,10400
31,04/01/2023,10400,10400,10400,10400,-,10400
32,05/01/2023,10400,10400,10400,10400,-,10400
33,06/01/2023,11600,11600,11600,11600,100,11600
34,09/01/2023,11600,11600,11600,11600,-,11600
35,10/01/2023,11600,11600,11600,11600,-,11600
36,11/01/2023,11600,11600,11600,11600,-,11600
37,12/01/2023,11600,11600,11600,11600,-,11600
38,13/01/2023,11000,11000,11000,11000,100,11000
39,16/01/2023,11000,11000,11000,11000,-,11000
40,17/01/2023,11000,11000,11000,11000,-,11000
41,18/01/2023,11000,11000,11000,11000,-,11000
42,19/01/2023,11000,11000,11000,11000,-,11000
43,27/01/2023,10400,9400,10000,9400,17303,9400
44,30/01/2023,9500,9500,9500,9500,-,9500
45,31/01/2023,9500,9500,9500,9500,-,9500
46,01/02/2023,9500,9500,9500,9500,-,9500
47,02/02/2023,9500,9500,9500,9500,-,9500
48,03/02/2023,9400,8900,9400,8900,28800,8900
49,06/02/2023,8900,8900,8900,8900,-,8900
50,07/02/2023,8900,8900,8900,8900,-,8900
51,08/02/2023,8900,8900,8900,8900,-,8900
52,09/02/2023,8900,8900,8900,8900,-,8900
53,10/02/2023,9300,8000,8300,9200,25000,9200
54,13/02/2023,8300,8300,8300,8300,-,8300
55,14/02/2023,8300,8300,8300,8300,-,8300
56,15/02/2023,8300,8300,8300,8300,-,8300
57,16/02/2023,8300,8300,8300,8300,-,8300
58,17/02/2023,9500,8900,8900,8900,2200,8900
59,20/02/2023,9100,9100,9100,9100,-,9100
60,21/02/2023,9100,9100,9100,9100,-,9100
61,22/02/2023,9100,9100,9100,9100,-,9100
62,23/02/2023,9100,9100,9100,9100,-,9100
63,24/02/2023,8800,8800,8800,8800,1100,8800
64,27/02/2023,8800,8800,8800,8800,-,8800
65,28/02/2023,8800,8800,8800,8800,-,8800
66,01/03/2023,8800,8800,8800,8800,-,8800
67,02/03/2023,8800,8800,8800,8800,-,8800
68,03/03/2023,10100,10100,10100,10100,1000,10100
69,06/03/2023,10100,10100,10100,10100,-,10100
70,07/03/2023,10100,10100,10100,10100,-,10100
71,08/03/2023,10100,10100,10100,10100,-,10100
72,09/03/2023,10100,10100,10100,10100,-,10100
73,10/03/2023,11400,8700,11400,8700,11700,8700
74,13/03/2023,8800,8800,8800,8800,-,8800
75,14/03/2023,8800,8800,8800,8800,-,8800
76,15/03/2023,8800,8800,8800,8800,-,8800
77,16/03/2023,8800,8800,8800,8800,-,8800
78,17/03/2023,10000,7700,10000,8000,29600,8000
79,20/03/2023,8100,8100,8100,8100,-,8100
80,21/03/2023,8100,8100,8100,8100,-,8100
81,22/03/2023,8100,8100,8100,8100,-,8100
82,23/03/2023,8100,8100,8100,8100,-,8100
83,24/03/2023,8900,6900,6900,8000,12100,8000
84,27/03/2023,7700,7700,7700,7700,-,7700
85,28/03/2023,7700,7700,7700,7700,-,7700
86,29/03/2023,7700,7700,7700,7700,-,7700
87,30/03/2023,7700,7700,7700,7700,-,7700
88,31/03/2023,8800,7800,8800,7900,7400,7900
89,03/04/2023,8000,8000,8000,8000,-,8000
90,04/04/2023,8000,8000,8000,8000,-,8000
91,05/04/2023,8000,8000,8000,8000,-,8000
92,06/04/2023,8000,8000,8000,8000,-,8000
93,07/04/2023,9200,6900,9200,7800,4500,7800
