,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,20500,20500,20500,20500,-,14800
1,22/11/2022,21200,20500,21200,21000,700,15200
2,23/11/2022,21000,21000,21000,21000,100,15200
3,24/11/2022,21000,21000,21000,21000,61,15200
4,25/11/2022,21000,21000,21000,21000,-,15200
5,28/11/2022,21000,21000,21000,21000,300,15200
6,29/11/2022,21000,21000,21000,21000,-,15200
7,30/11/2022,21000,21000,21000,21000,515,15200
8,01/12/2022,21000,21000,21000,21000,83,15200
9,02/12/2022,21000,21000,21000,21000,-,15200
10,05/12/2022,21000,21000,21000,21000,1000,15200
11,06/12/2022,21000,21000,21000,21000,1019,15200
12,07/12/2022,21000,21000,21000,21000,-,15200
13,08/12/2022,21000,21000,21000,21000,-,15200
14,09/12/2022,21000,21000,21000,21000,-,15200
15,12/12/2022,21000,21000,21000,21000,-,15200
16,13/12/2022,21000,21000,21000,21000,-,15200
17,14/12/2022,21000,21000,21000,21000,10000,15200
18,15/12/2022,21000,21000,21000,21000,-,15200
19,16/12/2022,21000,21000,21000,21000,-,15200
20,19/12/2022,21000,21000,21000,21000,-,15200
21,20/12/2022,21000,21000,21000,21000,-,15200
22,21/12/2022,21000,21000,21000,21000,-,15200
23,22/12/2022,21000,21000,21000,21000,-,15200
24,23/12/2022,21000,21000,21000,21000,-,15200
25,26/12/2022,21000,21000,21000,21000,-,15200
26,27/12/2022,21000,21000,21000,21000,-,15200
27,28/12/2022,21000,21000,21000,21000,-,15200
28,29/12/2022,21000,21000,21000,21000,-,15200
29,30/12/2022,21000,21000,21000,21000,-,15200
30,03/01/2023,21000,21000,21000,21000,-,15200
31,04/01/2023,21000,21000,21000,21000,-,15200
32,05/01/2023,21000,21000,21000,21000,-,15200
33,06/01/2023,21000,21000,21000,21000,-,15200
34,09/01/2023,21000,21000,21000,21000,800,15200
35,10/01/2023,21000,21000,21000,21000,-,15200
36,11/01/2023,21000,21000,21000,21000,-,15200
37,12/01/2023,21000,21000,21000,21000,-,15200
