,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,22900,22900,22900,22900,-,21100
1,22/11/2022,22900,22900,22900,22900,-,21100
2,23/11/2022,22900,22900,22900,22900,-,21100
3,24/11/2022,22900,22900,22900,22900,-,21100
4,25/11/2022,22900,22900,22900,22900,-,21100
5,28/11/2022,22900,22900,22900,22900,-,21100
6,29/11/2022,22900,22900,22900,22900,-,21100
7,30/11/2022,22900,22900,22900,22900,-,21100
8,01/12/2022,22900,22900,22900,22900,-,21100
9,02/12/2022,22900,22900,22900,22900,-,21100
10,05/12/2022,22900,22900,22900,22900,-,21100
11,06/12/2022,22900,22900,22900,22900,-,21100
12,07/12/2022,22900,22900,22900,22900,-,21100
13,08/12/2022,22900,22900,22900,22900,-,21100
14,09/12/2022,22900,22900,22900,22900,-,21100
15,12/12/2022,22900,22900,22900,22900,-,21100
16,13/12/2022,22900,22900,22900,22900,-,21100
17,14/12/2022,22900,22900,22900,22900,-,21100
18,15/12/2022,22900,22900,22900,22900,-,21100
19,16/12/2022,22100,22100,22100,22100,-,21100
20,19/12/2022,22100,22100,22100,22100,-,21100
21,20/12/2022,22100,22100,22100,22100,-,21100
22,21/12/2022,22100,22100,22100,22100,-,21100
23,22/12/2022,22100,22100,22100,22100,-,21100
24,23/12/2022,22100,22100,22100,22100,-,21100
25,26/12/2022,22100,22100,22100,22100,-,21100
26,27/12/2022,22100,22100,22100,22100,-,21100
27,28/12/2022,22100,22100,22100,22100,-,21100
28,29/12/2022,22100,22100,22100,22100,-,21100
29,30/12/2022,22100,22100,22100,22100,-,21100
30,03/01/2023,22100,22100,22100,22100,-,21100
31,04/01/2023,22100,22100,22100,22100,-,21100
32,05/01/2023,22100,22100,22100,22100,-,21100
33,06/01/2023,22100,22100,22100,22100,-,21100
34,09/01/2023,22100,22100,22100,22100,-,21100
35,10/01/2023,22100,22100,22100,22100,-,21100
36,11/01/2023,22100,22100,22100,22100,-,21100
37,12/01/2023,22100,22100,22100,22100,-,21100
38,13/01/2023,22100,22100,22100,22100,-,21100
39,16/01/2023,22100,22100,22100,22100,-,21100
40,17/01/2023,22100,22100,22100,22100,-,21100
41,18/01/2023,22100,22100,22100,22100,-,21100
42,19/01/2023,22100,22100,22100,22100,-,21100
43,27/01/2023,22100,22100,22100,22100,-,21100
44,30/01/2023,22100,22100,22100,22100,-,21100
45,31/01/2023,22100,22100,22100,22100,-,21100
46,01/02/2023,22100,22100,22100,22100,-,21100
47,02/02/2023,22100,22100,22100,22100,-,21100
48,03/02/2023,22100,22100,22100,22100,-,21100
49,06/02/2023,22100,22100,22100,22100,-,21100
50,07/02/2023,22100,22100,22100,22100,-,21100
51,08/02/2023,22100,22100,22100,22100,-,21100
52,09/02/2023,22100,22100,22100,22100,-,21100
53,10/02/2023,22100,22100,22100,22100,-,21100
54,13/02/2023,22100,22100,22100,22100,-,21100
55,14/02/2023,22100,22100,22100,22100,-,21100
56,15/02/2023,22100,22100,22100,22100,-,21100
57,16/02/2023,22100,22100,22100,22100,-,21100
58,17/02/2023,22100,22100,22100,22100,-,21100
59,20/02/2023,22100,22100,22100,22100,-,21100
60,21/02/2023,22100,22100,22100,22100,-,21100
61,22/02/2023,22100,22100,22100,22100,-,21100
62,23/02/2023,22100,22100,22100,22100,-,21100
63,24/02/2023,22100,22100,22100,22100,-,21100
64,27/02/2023,22100,22100,22100,22100,-,21100
65,28/02/2023,22100,22100,22100,22100,-,21100
66,01/03/2023,22100,22100,22100,22100,-,21100
67,02/03/2023,22100,22100,22100,22100,-,21100
68,03/03/2023,22100,22100,22100,22100,-,21100
69,06/03/2023,22100,22100,22100,22100,-,21100
70,07/03/2023,22100,22100,22100,22100,-,21100
71,08/03/2023,22100,22100,22100,22100,-,21100
72,09/03/2023,22100,22100,22100,22100,-,21100
73,10/03/2023,22100,22100,22100,22100,-,21100
74,13/03/2023,22100,22100,22100,22100,-,21100
75,14/03/2023,22100,22100,22100,22100,-,21100
76,15/03/2023,22100,22100,22100,22100,-,21100
77,16/03/2023,22100,22100,22100,22100,-,21100
78,17/03/2023,22100,22100,22100,22100,-,21100
79,20/03/2023,22100,22100,22100,22100,-,21100
80,21/03/2023,22100,22100,22100,22100,-,21100
81,22/03/2023,22100,22100,22100,22100,-,21100
82,23/03/2023,22100,22100,22100,22100,-,21100
83,24/03/2023,22100,22100,22100,22100,-,21100
84,27/03/2023,22100,22100,22100,22100,-,21100
85,28/03/2023,22100,22100,22100,22100,-,21100
86,29/03/2023,22100,22100,22100,22100,-,21100
87,30/03/2023,22100,22100,22100,22100,-,21100
88,31/03/2023,22100,22100,22100,22100,-,21100
89,03/04/2023,22100,22100,22100,22100,-,21100
90,04/04/2023,22100,22100,22100,22100,-,21100
91,05/04/2023,22100,22100,22100,22100,-,21100
92,06/04/2023,22100,22100,22100,22100,-,21100
93,07/04/2023,22100,22100,22100,22100,-,21100
94,10/04/2023,22100,22100,22100,22100,-,21100
95,11/04/2023,22100,22100,22100,22100,-,21100
96,12/04/2023,22100,22100,22100,22100,-,21100
97,13/04/2023,22100,22100,22100,22100,-,21100
98,14/04/2023,22100,22100,22100,22100,-,21100
99,17/04/2023,22100,22100,22100,22100,-,21100
100,18/04/2023,22100,22100,22100,22100,-,21100
