,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1100,1100,1100,1100,-,1100
1,22/11/2022,1100,1100,1100,1100,-,1100
2,23/11/2022,1100,1100,1100,1100,-,1100
3,24/11/2022,1100,1100,1100,1100,-,1100
4,25/11/2022,1100,1000,1100,1100,658550,1100
5,28/11/2022,1000,1000,1000,1000,-,1000
6,29/11/2022,1000,1000,1000,1000,-,1000
7,30/11/2022,1000,1000,1000,1000,-,1000
8,01/12/2022,1000,1000,1000,1000,-,1000
9,02/12/2022,1100,1000,1100,1100,286562,1100
10,05/12/2022,1100,1100,1100,1100,-,1100
11,06/12/2022,1100,1100,1100,1100,-,1100
12,07/12/2022,1100,1100,1100,1100,-,1100
13,08/12/2022,1100,1100,1100,1100,-,1100
14,09/12/2022,1200,1200,1200,1200,118438,1200
15,12/12/2022,1200,1200,1200,1200,-,1200
16,13/12/2022,1200,1200,1200,1200,-,1200
17,14/12/2022,1200,1200,1200,1200,-,1200
18,15/12/2022,1200,1200,1200,1200,-,1200
19,16/12/2022,1300,1300,1300,1300,162801,1300
20,19/12/2022,1300,1300,1300,1300,-,1300
21,20/12/2022,1300,1300,1300,1300,-,1300
22,21/12/2022,1300,1300,1300,1300,-,1300
23,22/12/2022,1300,1300,1300,1300,-,1300
24,23/12/2022,1400,1400,1400,1400,122891,1400
25,26/12/2022,1400,1400,1400,1400,-,1400
26,27/12/2022,1400,1400,1400,1400,-,1400
27,28/12/2022,1400,1400,1400,1400,-,1400
28,29/12/2022,1400,1400,1400,1400,-,1400
29,30/12/2022,1600,1600,1600,1600,252085,1600
30,03/01/2023,1600,1600,1600,1600,-,1600
31,04/01/2023,1600,1600,1600,1600,-,1600
32,05/01/2023,1600,1600,1600,1600,-,1600
33,06/01/2023,1800,1400,1800,1500,393466,1500
34,09/01/2023,1600,1600,1600,1600,-,1600
35,10/01/2023,1600,1600,1600,1600,-,1600
36,11/01/2023,1600,1600,1600,1600,-,1600
37,12/01/2023,1600,1600,1600,1600,-,1600
38,13/01/2023,1700,1500,1600,1600,431640,1600
39,16/01/2023,1600,1600,1600,1600,-,1600
40,17/01/2023,1600,1600,1600,1600,-,1600
41,18/01/2023,1600,1600,1600,1600,-,1600
42,19/01/2023,1600,1600,1600,1600,-,1600
43,27/01/2023,1800,1600,1700,1700,176777,1700
44,30/01/2023,1700,1700,1700,1700,-,1700
45,31/01/2023,1700,1700,1700,1700,-,1700
46,01/02/2023,1700,1700,1700,1700,-,1700
47,02/02/2023,1700,1700,1700,1700,-,1700
48,03/02/2023,1700,1600,1700,1600,239720,1600
49,06/02/2023,1700,1700,1700,1700,-,1700
50,07/02/2023,1700,1700,1700,1700,-,1700
51,08/02/2023,1700,1700,1700,1700,-,1700
52,09/02/2023,1700,1700,1700,1700,-,1700
53,10/02/2023,1700,1500,1700,1500,301125,1500
54,13/02/2023,1500,1500,1500,1500,-,1500
55,14/02/2023,1500,1500,1500,1500,-,1500
56,15/02/2023,1500,1500,1500,1500,-,1500
57,16/02/2023,1500,1500,1500,1500,-,1500
58,17/02/2023,1500,1300,1500,1400,360182,1400
59,20/02/2023,1400,1400,1400,1400,-,1400
60,21/02/2023,1400,1400,1400,1400,-,1400
61,22/02/2023,1400,1400,1400,1400,-,1400
62,23/02/2023,1400,1400,1400,1400,-,1400
63,24/02/2023,1400,1200,1400,1200,149404,1200
64,27/02/2023,1200,1200,1200,1200,-,1200
65,28/02/2023,1200,1200,1200,1200,-,1200
66,01/03/2023,1200,1200,1200,1200,-,1200
67,02/03/2023,1200,1200,1200,1200,-,1200
68,03/03/2023,1300,1100,1100,1200,246740,1200
69,06/03/2023,1200,1200,1200,1200,-,1200
70,07/03/2023,1200,1200,1200,1200,-,1200
71,08/03/2023,1200,1200,1200,1200,-,1200
72,09/03/2023,1200,1200,1200,1200,-,1200
73,10/03/2023,1300,1100,1100,1300,164024,1300
74,13/03/2023,1200,1200,1200,1200,-,1200
75,14/03/2023,1200,1200,1200,1200,-,1200
76,15/03/2023,1200,1200,1200,1200,-,1200
77,16/03/2023,1200,1200,1200,1200,-,1200
78,17/03/2023,1300,1200,1200,1200,242291,1200
79,20/03/2023,1200,1200,1200,1200,-,1200
80,21/03/2023,1200,1200,1200,1200,-,1200
81,22/03/2023,1200,1200,1200,1200,-,1200
82,23/03/2023,1200,1200,1200,1200,-,1200
83,24/03/2023,1300,1200,1300,1300,230469,1300
84,27/03/2023,1300,1300,1300,1300,-,1300
85,28/03/2023,1300,1300,1300,1300,-,1300
86,29/03/2023,1300,1300,1300,1300,-,1300
87,30/03/2023,1300,1300,1300,1300,-,1300
88,31/03/2023,1300,1200,1300,1200,277721,1200
89,03/04/2023,1200,1200,1200,1200,-,1200
90,04/04/2023,1200,1200,1200,1200,-,1200
91,05/04/2023,1200,1200,1200,1200,-,1200
92,06/04/2023,1200,1200,1200,1200,-,1200
93,07/04/2023,1300,1200,1200,1300,407601,1300
94,10/04/2023,1300,1300,1300,1300,-,1300
95,11/04/2023,1300,1300,1300,1300,-,1300
96,12/04/2023,1300,1300,1300,1300,-,1300
