,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,17000,15100,16000,15100,4100,13900
1,22/11/2022,14500,13400,14500,13400,500,12400
2,23/11/2022,15700,15700,15700,15700,1111915,14500
3,24/11/2022,17900,17900,17900,17900,100,16500
4,25/11/2022,20400,20400,20400,20400,100,18800
5,28/11/2022,23300,20400,23300,20400,1100,18800
6,29/11/2022,23400,19000,23400,19000,2100,17500
7,30/11/2022,22300,22300,22300,22300,100,20600
8,01/12/2022,20000,19000,20000,19000,1300,17500
9,02/12/2022,22000,22000,22000,22000,200,20300
10,05/12/2022,22000,22000,22000,22000,-,20300
11,06/12/2022,19000,19000,19000,19000,1002,17500
12,07/12/2022,19000,19000,19000,19000,-,17500
13,08/12/2022,19000,19000,19000,19000,-,17500
14,09/12/2022,20000,20000,20000,20000,100,18500
15,12/12/2022,20000,20000,20000,20000,-,18500
16,13/12/2022,20000,20000,20000,20000,-,18500
17,14/12/2022,20000,20000,20000,20000,-,18500
18,15/12/2022,20000,20000,20000,20000,-,18500
19,16/12/2022,20000,20000,20000,20000,-,18500
20,19/12/2022,20000,20000,20000,20000,500,18500
21,20/12/2022,20000,20000,20000,20000,-,18500
22,21/12/2022,20000,20000,20000,20000,-,18500
23,22/12/2022,20000,20000,20000,20000,-,18500
24,23/12/2022,17400,17400,17400,17400,100,16100
25,26/12/2022,17500,17400,17500,17400,200,16100
26,27/12/2022,19900,19900,19900,19900,100,18400
27,28/12/2022,19900,19900,19900,19900,-,18400
28,29/12/2022,19900,19900,19900,19900,-,18400
29,30/12/2022,19900,19900,19900,19900,-,18400
30,03/01/2023,19900,19900,19900,19900,-,18400
31,04/01/2023,19900,19900,19900,19900,-,18400
32,05/01/2023,19900,19900,19900,19900,-,18400
33,06/01/2023,19900,19900,19900,19900,-,18400
34,09/01/2023,19900,19900,19900,19900,-,18400
35,10/01/2023,19900,19900,19900,19900,10,18400
36,11/01/2023,19000,18500,19000,18500,400,17100
37,12/01/2023,16300,16300,16300,16300,100,15100
38,13/01/2023,16300,16300,16300,16300,-,15100
39,16/01/2023,14100,14100,14100,14100,100,13000
40,17/01/2023,12100,12100,12100,12100,100,11200
41,18/01/2023,12100,12100,12100,12100,-,11200
42,19/01/2023,12100,12100,12100,12100,-,11200
43,27/01/2023,13900,13900,13900,13900,100,12800
44,30/01/2023,13900,13900,13900,13900,-,12800
45,31/01/2023,13900,13900,13900,13900,-,12800
46,01/02/2023,13900,13900,13900,13900,-,12800
47,02/02/2023,13900,13900,13900,13900,-,12800
48,03/02/2023,13900,13900,13900,13900,-,12800
49,06/02/2023,13900,13900,13900,13900,-,12800
50,07/02/2023,15900,15900,15900,15900,100,14700
51,08/02/2023,18200,18200,18200,18200,100,16800
52,09/02/2023,19900,19900,19900,19900,100,18400
53,10/02/2023,22800,20000,20000,22800,19500,21100
54,13/02/2023,21500,18900,19000,21500,814,19900
55,14/02/2023,20500,20500,20500,20500,100,18900
56,15/02/2023,22000,18900,18900,22000,500,20300
57,16/02/2023,19500,19500,19500,19500,-,18000
58,17/02/2023,19500,19500,19500,19500,-,18000
59,20/02/2023,22000,22000,22000,22000,100,20300
60,21/02/2023,23000,23000,23000,23000,200,21200
61,22/02/2023,23000,23000,23000,23000,2,21200
62,23/02/2023,23000,23000,23000,23000,-,21200
63,24/02/2023,23000,23000,23000,23000,-,21200
