,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9000,9000,9000,9000,1800,8500
1,22/11/2022,9400,9400,9400,9400,100,8900
2,23/11/2022,9400,9400,9400,9400,1,8900
3,24/11/2022,9400,9400,9400,9400,-,8900
4,25/11/2022,9400,9400,9400,9400,2300,8900
5,28/11/2022,9400,9400,9400,9400,100,8900
6,29/11/2022,9400,9400,9400,9400,-,8900
7,30/11/2022,9400,9400,9400,9400,-,8900
8,01/12/2022,9400,9400,9400,9400,-,8900
9,02/12/2022,9400,9400,9400,9400,-,8900
10,05/12/2022,9100,8500,9100,8500,600,8000
11,06/12/2022,8600,8600,8600,8600,200,8100
12,07/12/2022,8600,8600,8600,8600,-,8100
13,08/12/2022,8800,8600,8800,8600,500,8100
14,09/12/2022,8600,8600,8600,8600,-,8100
15,12/12/2022,8600,8600,8600,8600,-,8100
16,13/12/2022,8600,8600,8600,8600,-,8100
17,14/12/2022,8800,8600,8800,8600,600,8100
18,15/12/2022,8800,8000,8800,8000,1400,7600
19,16/12/2022,8500,8500,8500,8500,-,8000
20,19/12/2022,8500,8500,8500,8500,-,8000
21,20/12/2022,8500,8500,8500,8500,-,8000
22,21/12/2022,8500,8500,8500,8500,-,8000
23,22/12/2022,8500,8500,8500,8500,-,8000
24,23/12/2022,8500,8500,8500,8500,-,8000
25,26/12/2022,8500,8500,8500,8500,-,8000
26,27/12/2022,9300,9200,9300,9200,600,8700
27,28/12/2022,9100,9100,9100,9100,100,8600
28,29/12/2022,9100,9100,9100,9100,-,8600
29,30/12/2022,8600,8600,8600,8600,100,8100
30,03/01/2023,8600,8600,8600,8600,-,8100
31,04/01/2023,8600,8600,8600,8600,-,8100
32,05/01/2023,8600,8600,8600,8600,-,8100
33,06/01/2023,8600,8600,8600,8600,-,8100
34,09/01/2023,9800,9300,9300,9800,1900,9300
35,10/01/2023,9500,8100,8800,9500,1900,9000
36,11/01/2023,9700,9700,9700,9700,100,9200
37,12/01/2023,10600,10600,10600,10600,100,10000
38,13/01/2023,10700,10700,10700,10700,100,10100
39,16/01/2023,9200,9100,9200,9100,900,8600
40,17/01/2023,9100,9100,9100,9100,-,8600
41,18/01/2023,9100,9100,9100,9100,-,8600
42,19/01/2023,9100,9100,9100,9100,-,8600
43,27/01/2023,9100,9100,9100,9100,-,8600
44,30/01/2023,9800,9800,9800,9800,200,9300
45,31/01/2023,9000,9000,9000,9000,200,8500
46,01/02/2023,9100,8800,9000,9100,1800,8600
47,02/02/2023,9000,9000,9000,9000,-,8500
48,03/02/2023,9000,9000,9000,9000,-,8500
49,06/02/2023,9300,9300,9300,9300,400,8800
50,07/02/2023,9300,9300,9300,9300,-,8800
51,08/02/2023,9300,9300,9300,9300,-,8800
52,09/02/2023,9300,9300,9300,9300,-,8800
53,10/02/2023,9300,9300,9300,9300,-,8800
