,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,26500,24300,24300,26400,15600,24800
1,22/11/2022,26300,23500,24100,26300,9940,24700
2,23/11/2022,26600,25400,25900,26200,18900,24600
3,24/11/2022,26500,26200,26500,26200,9000,24600
4,25/11/2022,26400,24600,24600,26400,14200,24800
5,28/11/2022,26900,26200,26200,26800,28800,25200
6,29/11/2022,26700,26300,26500,26600,8505,25000
7,30/11/2022,26600,26600,26600,26600,-,25000
8,01/12/2022,26500,22800,26000,26500,14600,24900
9,02/12/2022,26500,25600,25600,26500,4100,24900
10,05/12/2022,27800,26000,26600,26000,12316,24400
11,06/12/2022,27500,25500,27500,26600,13800,25000
12,07/12/2022,26900,26600,26800,26600,9700,25000
13,08/12/2022,26800,25000,26800,26700,1500,25100
14,09/12/2022,26600,26600,26600,26600,-,25000
15,12/12/2022,27500,26700,26700,26900,7613,25300
16,13/12/2022,27400,26800,27400,26800,1400,25200
17,14/12/2022,27300,26200,27300,26700,12900,25100
18,15/12/2022,27500,26600,27400,27000,10416,25400
19,16/12/2022,27500,27000,27400,27500,14300,25800
20,19/12/2022,27400,27400,27400,27500,2,25700
21,20/12/2022,27400,27400,27400,27400,100,25700
22,21/12/2022,27000,27000,27000,27000,300,25400
23,22/12/2022,27500,27000,27000,27500,3200,25800
24,23/12/2022,27500,27000,27200,27000,2100,25400
25,26/12/2022,27700,26000,26000,27700,1301,26000
26,27/12/2022,28000,27400,27500,27600,1013600,25900
27,28/12/2022,27800,27800,27800,27800,-,26100
28,29/12/2022,27000,27000,27000,27000,600,25400
29,30/12/2022,28500,28100,28100,28500,500,26800
30,03/01/2023,27600,27000,27000,27600,4200,25900
31,04/01/2023,27000,27000,27000,27000,-,25400
32,05/01/2023,27000,27000,27000,27000,-,25400
33,06/01/2023,27000,27000,27000,27000,2760,25400
34,09/01/2023,27000,27000,27000,27000,900,25400
35,10/01/2023,26600,26600,26600,26600,1000,25000
36,11/01/2023,28400,26500,26500,27200,1800,25500
37,12/01/2023,27200,27200,27200,27200,-,25500
38,13/01/2023,27200,27200,27200,27200,-,25500
39,16/01/2023,26700,26500,26500,26500,3000,24900
40,17/01/2023,26500,26500,26500,26500,100,24900
41,18/01/2023,26500,26500,26500,26500,100,24900
42,19/01/2023,26700,26700,26700,26700,400,25100
43,27/01/2023,26700,26700,26700,26700,-,25100
44,30/01/2023,27000,26600,27000,26600,1700,25000
45,31/01/2023,26900,26900,26900,26900,-,25300
46,01/02/2023,26900,26900,26900,26900,-,25300
47,02/02/2023,27000,27000,27000,27000,400,25400
48,03/02/2023,27000,27000,27000,27000,-,25400
49,06/02/2023,27000,27000,27000,27000,2500,25400
50,07/02/2023,27000,27000,27000,27000,200,25400
51,08/02/2023,27000,27000,27000,27000,-,25400
52,09/02/2023,27000,27000,27000,27000,420,25400
53,10/02/2023,27000,27000,27000,27000,-,25400
54,13/02/2023,26500,26500,26500,26500,500,24900
55,14/02/2023,26500,26300,26500,26300,2901,24700
56,15/02/2023,26300,26000,26300,26100,8820,24500
57,16/02/2023,26900,24100,24100,26900,200,25300
58,17/02/2023,26000,22700,25600,26000,8200,24400
59,20/02/2023,26300,24200,26200,26300,10920,24700
60,21/02/2023,27000,24900,25000,26700,5800,25100
61,22/02/2023,26400,25500,25500,26200,8200,24600
62,23/02/2023,26200,23200,26200,26200,9500,24600
63,24/02/2023,25800,25800,25800,25800,200,24200
64,27/02/2023,26700,24100,24100,25000,3410,23500
65,28/02/2023,25100,24100,24100,25000,3500,23500
66,01/03/2023,26500,26500,26500,26500,4400,24900
67,02/03/2023,26500,26400,26400,26400,3600,24800
68,03/03/2023,26400,25000,25000,26400,8100,24800
69,06/03/2023,29000,26400,26900,26400,9700,24800
70,07/03/2023,26900,26900,26900,26900,1500,25300
71,08/03/2023,27900,26500,27000,26500,19560,24900
72,09/03/2023,27900,27000,27800,27000,10223,25400
73,10/03/2023,28400,27300,28300,27300,11621,25600
74,13/03/2023,28100,27100,28100,27100,5100,25400
75,14/03/2023,27900,26600,27900,26600,8000,25000
76,15/03/2023,27900,27000,27900,27000,700,25400
77,16/03/2023,26900,26900,26900,26900,100,25300
78,17/03/2023,26900,26500,26500,26900,3300,25300
79,20/03/2023,26500,25000,26000,26500,9400,24900
80,21/03/2023,27000,27000,27000,27000,7500,25400
81,22/03/2023,27000,26900,26900,27000,4106,25400
82,23/03/2023,27000,26100,26100,27000,12100,25400
83,24/03/2023,26900,26900,26900,27000,7,25300
84,27/03/2023,27000,26900,26900,27000,4400,25400
85,28/03/2023,27100,26300,26300,27100,3723,25400
86,29/03/2023,27100,27000,27100,27000,7200,25400
87,30/03/2023,27000,27000,27000,27000,614,25400
88,31/03/2023,27000,27000,27000,27000,600,25400
89,03/04/2023,27000,27000,27000,27000,3001,25400
90,04/04/2023,27000,27000,27000,27000,1200,25400
91,05/04/2023,26500,26500,26500,26500,800,24900
92,06/04/2023,26600,26600,26600,26600,360120,25000
93,07/04/2023,26900,26900,26900,26900,6701,25300
94,10/04/2023,27000,26700,27000,27000,800,25400
95,11/04/2023,27000,27000,27000,27000,201,25400
96,12/04/2023,27000,27000,27000,27000,-,25400
97,13/04/2023,27000,26500,26500,26700,3015,25100
98,14/04/2023,26900,26900,26900,26900,200,25300
99,17/04/2023,26500,25200,26500,25400,5500,23900
100,18/04/2023,26500,26500,26500,26500,400,24900
101,19/04/2023,26900,25600,25600,26900,1108,25300
102,20/04/2023,27000,26900,26900,26900,6007,25300
103,21/04/2023,26500,26500,26500,26500,360300,24900
104,24/04/2023,26500,26500,26500,26500,-,24900
105,25/04/2023,26300,25400,26300,26100,3007,24500
106,26/04/2023,26500,25700,26500,25800,6708,24200
107,27/04/2023,25800,25800,25800,25800,4,24200
108,28/04/2023,25800,25800,25800,25800,7,24200
109,04/05/2023,26500,25100,25700,26400,6000,24800
110,05/05/2023,26900,25700,25700,26900,3001,25300
111,08/05/2023,28500,26000,26000,27000,12403,25400
112,09/05/2023,27900,27300,27500,27500,18401,25800
113,10/05/2023,27500,27400,27500,27400,1000,25700
114,11/05/2023,27100,27100,27100,27100,1000,25400
115,12/05/2023,27800,27100,27100,27600,5601,25900
116,15/05/2023,27700,27700,27700,27700,-,26000
117,16/05/2023,27000,27000,27000,27000,5600,25400
118,17/05/2023,27000,27000,27000,27000,400,25400
119,18/05/2023,27800,27000,27000,27400,2110,25700
120,19/05/2023,27400,27400,27400,27400,-,25700
121,22/05/2023,27400,27300,27400,27300,1707,25600
122,23/05/2023,27300,27300,27300,27300,3,25600
123,24/05/2023,27200,27200,27200,27200,600,25500
124,25/05/2023,27000,27000,27000,27000,5600,25400
125,26/05/2023,27000,27000,27000,27000,-,25400
126,29/05/2023,27800,27500,27800,27500,1300,25800
127,30/05/2023,27700,27700,27700,27700,-,26000
128,31/05/2023,27300,27000,27300,27100,2500,25400
129,01/06/2023,27100,27100,27100,27100,-,25400
130,02/06/2023,27900,27800,27900,27800,750,26100
131,05/06/2023,27800,27800,27800,27800,-,26100
132,06/06/2023,27000,27000,27000,27000,2700,25400
133,07/06/2023,27000,27000,27000,27000,-,25400
134,08/06/2023,27500,26500,27000,27400,18300,25700
135,09/06/2023,27000,26200,26500,27000,12127,25400
136,12/06/2023,27500,26600,27500,26600,600,25000
137,13/06/2023,27500,26500,26500,27500,32500,25800
138,14/06/2023,26600,26600,26600,26600,500,25000
139,15/06/2023,26700,26600,26700,26600,300,25000
140,16/06/2023,27000,26800,26800,27000,2810,25400
141,19/06/2023,27400,27400,27400,27400,300,25700
142,20/06/2023,26600,26100,26600,26100,2100,24500
143,21/06/2023,27000,26500,26500,26900,4020,25300
144,22/06/2023,29500,26800,26800,28200,35201,26500
145,23/06/2023,27200,27100,27200,27100,2200,25400
146,26/06/2023,27000,26800,27000,26800,2000,25200
147,27/06/2023,26900,26900,26900,26900,-,25300
148,28/06/2023,26900,26900,26900,26900,-,25300
149,29/06/2023,27600,27300,27400,27600,20600,25900
150,30/06/2023,27000,27000,27000,27000,2010,25400
151,03/07/2023,27000,27000,27000,27000,-,25400
152,04/07/2023,27600,27200,27200,27600,6202,25900
153,05/07/2023,27700,27500,27500,27700,7300,26000
154,06/07/2023,27700,27700,27700,27700,1,26000
155,07/07/2023,27600,27500,27500,27600,1509,25900
156,10/07/2023,27600,27000,27000,27600,6080,25900
157,11/07/2023,27700,27600,27700,27700,5420,26000
158,12/07/2023,27700,27500,27500,27700,5300,26000
159,13/07/2023,27300,27200,27200,27300,2600,25600
160,14/07/2023,27200,27200,27200,27200,-,25500
161,17/07/2023,27200,27200,27200,27200,-,25500
162,18/07/2023,27200,27200,27200,27200,-,25500
163,19/07/2023,27300,27300,27300,27300,4201,25600
164,20/07/2023,27300,27300,27300,27300,2,25600
165,21/07/2023,27300,27300,27300,27300,-,25600
166,24/07/2023,27600,27500,27600,27600,5900,25900
167,25/07/2023,27600,23600,27300,27600,16078,25900
168,26/07/2023,27800,25600,27800,27800,6200,26100
169,27/07/2023,27000,27000,27000,27000,3200,25400
170,28/07/2023,27000,27000,27000,27000,300,25400
171,31/07/2023,27300,27300,27300,27300,1000,25600
172,01/08/2023,27300,27300,27300,27300,-,25600
173,02/08/2023,27900,27600,27600,27800,3100,26100
174,03/08/2023,28900,27900,27900,28500,8000,26800
175,04/08/2023,29000,28500,28500,29000,2502,27200
176,07/08/2023,28700,28400,28700,28400,4700,26700
177,08/08/2023,28500,27500,27500,28400,2729,26700
178,09/08/2023,28400,28300,28300,28400,2201,26700
179,10/08/2023,28500,28300,28300,28300,2200,26600
180,11/08/2023,28400,27800,27800,28400,3100,26700
181,14/08/2023,28400,28000,28000,28300,19658,26600
182,15/08/2023,28600,28100,28200,28600,31905,26900
183,16/08/2023,28600,28300,28600,28400,4000,26700
184,17/08/2023,28800,28400,28400,28500,6403,26800
185,18/08/2023,28000,27000,28000,27000,3600,26600
186,21/08/2023,27400,27400,27400,27400,-,27000
187,22/08/2023,26800,25600,25600,26800,400,26400
188,23/08/2023,26800,26400,26400,26800,400,26400
189,24/08/2023,27500,26700,26700,27400,2400,27000
190,25/08/2023,26800,26800,26800,26800,501,26400
191,28/08/2023,27600,27000,27600,27000,8164,26600
192,29/08/2023,27400,27400,27400,27400,-,27000
193,30/08/2023,26900,26800,26800,26900,14000,26500
194,31/08/2023,27700,26900,26900,27000,4400,26600
195,05/09/2023,27500,27500,27500,27000,30,27100
196,06/09/2023,27500,27500,27500,27500,-,27100
197,07/09/2023,27500,27500,27500,27500,-,27100
198,08/09/2023,27500,27500,27500,27500,-,27100
199,11/09/2023,27000,27000,27000,27000,600,26600
200,12/09/2023,27000,27000,27000,27000,5,26600
201,13/09/2023,27000,27000,27000,27000,1028,26600
202,14/09/2023,27000,27000,27000,27000,-,26600
203,15/09/2023,27000,27000,27000,27000,-,26600
204,18/09/2023,27000,27000,27000,27000,1,26600
205,19/09/2023,27000,27000,27000,27000,-,26600
206,20/09/2023,27000,27000,27000,27000,8520,26600
207,21/09/2023,27000,27000,27000,27000,-,26600
