,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16000,16000,16000,16000,-,14500
1,22/11/2022,16000,16000,16000,16000,-,14500
2,23/11/2022,16000,16000,16000,16000,-,14500
3,24/11/2022,16000,16000,16000,16000,-,14500
4,25/11/2022,16000,16000,16000,16000,-,14500
5,28/11/2022,16000,16000,16000,16000,-,14500
6,29/11/2022,16000,16000,16000,16000,-,14500
7,30/11/2022,16000,16000,16000,16000,-,14500
8,01/12/2022,16000,16000,16000,16000,-,14500
9,02/12/2022,16000,16000,16000,16000,300,14500
10,05/12/2022,16000,16000,16000,16000,-,14500
11,06/12/2022,16000,16000,16000,16000,-,14500
12,07/12/2022,16000,16000,16000,16000,-,14500
13,08/12/2022,16000,16000,16000,16000,-,14500
14,09/12/2022,16000,16000,16000,16000,-,14500
15,12/12/2022,16000,16000,16000,16000,-,14500
16,13/12/2022,16000,16000,16000,16000,-,14500
17,14/12/2022,16000,16000,16000,16000,-,14500
18,15/12/2022,16000,16000,16000,16000,-,14500
19,16/12/2022,16000,16000,16000,16000,-,14500
20,19/12/2022,16000,16000,16000,16000,-,14500
21,20/12/2022,16000,16000,16000,16000,-,14500
22,21/12/2022,16000,16000,16000,16000,-,14500
23,22/12/2022,16000,16000,16000,16000,-,14500
24,23/12/2022,16000,16000,16000,16000,-,14500
25,26/12/2022,16000,16000,16000,16000,1,14500
26,27/12/2022,16000,16000,16000,16000,-,14500
27,28/12/2022,16000,16000,16000,16000,-,14500
28,29/12/2022,16000,16000,16000,16000,-,14500
29,30/12/2022,16000,16000,16000,16000,5,14500
30,03/01/2023,16000,16000,16000,16000,-,14500
31,04/01/2023,16000,16000,16000,16000,-,14500
32,05/01/2023,16000,16000,16000,16000,-,14500
33,06/01/2023,16000,16000,16000,16000,-,14500
34,09/01/2023,16000,16000,16000,16000,-,14500
35,10/01/2023,16000,16000,16000,16000,-,14500
36,11/01/2023,16000,16000,16000,16000,-,14500
37,12/01/2023,16000,16000,16000,16000,-,14500
38,13/01/2023,16000,16000,16000,16000,-,14500
39,16/01/2023,16000,16000,16000,16000,-,14500
40,17/01/2023,16000,16000,16000,16000,-,14500
41,18/01/2023,16000,16000,16000,16000,-,14500
42,19/01/2023,16000,16000,16000,16000,-,14500
43,27/01/2023,16000,16000,16000,16000,-,14500
44,30/01/2023,16000,16000,16000,16000,-,14500
45,31/01/2023,16000,16000,16000,16000,-,14500
46,01/02/2023,16000,16000,16000,16000,-,14500
47,02/02/2023,16000,16000,16000,16000,-,14500
48,03/02/2023,16000,16000,16000,16000,-,14500
49,06/02/2023,16000,16000,16000,16000,-,14500
50,07/02/2023,16000,16000,16000,16000,-,14500
51,08/02/2023,16000,16000,16000,16000,-,14500
52,09/02/2023,16000,16000,16000,16000,-,14500
53,10/02/2023,16000,16000,16000,16000,-,14500
54,13/02/2023,16000,16000,16000,16000,-,14500
55,14/02/2023,16000,16000,16000,16000,-,14500
56,15/02/2023,16000,16000,16000,16000,-,14500
57,16/02/2023,16000,16000,16000,16000,-,14500
58,17/02/2023,16000,16000,16000,16000,-,14500
59,20/02/2023,16000,16000,16000,16000,-,14500
60,21/02/2023,16000,16000,16000,16000,-,14500
61,22/02/2023,16000,16000,16000,16000,-,14500
62,23/02/2023,16000,16000,16000,16000,-,14500
63,24/02/2023,16000,16000,16000,16000,-,14500
64,27/02/2023,16000,16000,16000,16000,-,14500
65,28/02/2023,16000,16000,16000,16000,-,14500
66,01/03/2023,16000,16000,16000,16000,-,14500
67,02/03/2023,16000,16000,16000,16000,-,14500
68,03/03/2023,16000,16000,16000,16000,-,14500
69,06/03/2023,16000,16000,16000,16000,-,14500
