,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5400,5100,5100,5200,306011,5000
1,22/11/2022,5500,5200,5400,5300,181604,5100
2,23/11/2022,5400,5000,5400,5100,94300,4900
3,24/11/2022,5100,4900,5100,4900,99101,4700
4,25/11/2022,5500,5000,5000,5500,368100,5300
5,28/11/2022,6000,5700,5900,6000,409710,5800
6,29/11/2022,6300,5800,6000,6100,326609,5900
7,30/11/2022,6200,5700,5700,6100,313604,5900
8,01/12/2022,6600,6000,6100,6100,426560,5900
9,02/12/2022,6500,5900,6300,6400,551494,6200
10,05/12/2022,6700,6300,6400,6500,350909,6300
11,06/12/2022,6600,6200,6500,6300,413524,6100
12,07/12/2022,6400,6100,6300,6200,243011,6000
13,08/12/2022,6600,6000,6000,6400,373602,6200
14,09/12/2022,6600,6300,6400,6500,141020,6300
15,12/12/2022,7000,6400,6500,6800,505713,6600
16,13/12/2022,7000,6500,6800,6800,200300,6600
17,14/12/2022,7000,6600,6900,6800,271173,6600
18,15/12/2022,7200,6600,6700,7000,575100,6800
19,16/12/2022,7100,6800,6900,7000,186900,6800
20,19/12/2022,6900,6500,6800,6500,502013,6300
21,20/12/2022,6600,6100,6400,6300,411500,6100
22,21/12/2022,6500,5600,6500,6000,458614,5800
23,22/12/2022,6500,5900,6300,6100,283800,5900
24,23/12/2022,6100,5900,6000,6100,83900,5900
25,26/12/2022,6000,5700,6000,5700,110500,5500
26,27/12/2022,6000,5700,5800,6000,150700,5800
27,28/12/2022,6100,5800,6000,6100,185710,5900
28,29/12/2022,6100,5700,5700,6000,99500,5800
29,30/12/2022,6100,5900,6100,6000,69148,5800
30,03/01/2023,6300,5900,5900,6300,99050,6100
31,04/01/2023,6300,6100,6300,6100,142000,5900
32,05/01/2023,6300,6100,6200,6300,83900,6100
33,06/01/2023,6300,6100,6200,6100,105600,5900
34,09/01/2023,6400,6100,6200,6300,116506,6100
35,10/01/2023,6300,6100,6200,6300,144209,6100
36,11/01/2023,6600,6200,6200,6500,236100,6300
37,12/01/2023,6500,6400,6500,6500,88900,6300
38,13/01/2023,6600,6400,6600,6400,149900,6200
39,16/01/2023,6500,6300,6500,6500,58900,6300
40,17/01/2023,6700,6400,6500,6700,303962,6500
41,18/01/2023,7500,6600,6700,7500,1000412,7200
42,19/01/2023,7700,7400,7500,7700,366885,7400
43,27/01/2023,8000,7700,7700,7900,583027,7600
44,30/01/2023,7900,7700,7800,7700,615780,7400
45,31/01/2023,7700,7300,7600,7700,442112,7400
46,01/02/2023,7900,7400,7900,7500,507047,7200
47,02/02/2023,7600,7400,7500,7500,163603,7200
48,03/02/2023,7800,7400,7500,7500,214000,7200
49,06/02/2023,7600,7300,7600,7600,170361,7300
50,07/02/2023,7800,7400,7600,7500,305481,7200
51,08/02/2023,7600,7300,7500,7600,190520,7300
52,09/02/2023,8500,7600,7600,8300,1079973,8000
53,10/02/2023,8500,8000,8400,8100,273611,7800
54,13/02/2023,8100,7300,8100,7400,594900,7100
55,14/02/2023,7600,7400,7500,7500,404411,7200
56,15/02/2023,7700,7400,7500,7700,317317,7400
57,16/02/2023,7800,7600,7800,7800,272100,7500
58,17/02/2023,7900,7700,7800,7800,244981,7500
59,20/02/2023,8300,7700,7700,8200,441704,7900
60,21/02/2023,8200,8000,8200,8100,301258,7800
61,22/02/2023,8100,7600,7900,7800,552425,7500
62,23/02/2023,7900,7600,7600,7900,424500,7600
63,24/02/2023,7900,7700,7800,7700,114900,7400
64,27/02/2023,7800,7400,7800,7400,205800,7100
65,28/02/2023,7600,7400,7500,7500,125421,7200
66,01/03/2023,7700,7300,7400,7700,230000,7400
67,02/03/2023,7800,7500,7500,7700,124500,7400
68,03/03/2023,7800,7500,7700,7600,99430,7300
69,06/03/2023,7800,7500,7600,7700,85570,7400
70,07/03/2023,7700,7500,7700,7700,139877,7400
71,08/03/2023,7700,7500,7700,7700,84902,7400
72,09/03/2023,7700,7500,7600,7700,131500,7400
