,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,54000,45000,45000,54000,232142,37700
1,22/11/2022,56900,50000,52000,56900,190302,39700
2,23/11/2022,64900,48200,56100,48200,199876,33600
3,24/11/2022,48100,48000,48100,48000,175825,33500
4,25/11/2022,45000,40800,40800,40800,115300,28500
5,28/11/2022,41900,35700,36100,41500,256600,29000
6,29/11/2022,40500,34500,35500,38100,583800,26600
7,30/11/2022,35900,30500,34500,35900,594200,25100
8,01/12/2022,35600,34100,34100,35000,454000,24400
9,02/12/2022,36500,32200,34900,34400,291410,24000
10,05/12/2022,35000,33500,34500,34100,268401,23800
11,06/12/2022,34800,30000,34600,30500,518800,21300
12,07/12/2022,29500,27000,29000,27000,180300,18800
13,08/12/2022,29800,25000,26800,27000,318710,18800
14,09/12/2022,28000,24000,24100,26800,493700,18700
15,12/12/2022,27500,24000,26000,27300,381499,19100
16,13/12/2022,28700,24500,25000,28700,460000,20000
17,14/12/2022,29500,25300,28500,28900,632000,20200
18,15/12/2022,29500,26500,28400,28600,670500,20000
19,16/12/2022,28500,26500,27700,27000,1060600,18800
20,19/12/2022,28900,26500,26800,28300,614300,19800
21,20/12/2022,28400,25000,28200,25400,565400,17700
22,21/12/2022,26900,23500,26500,24000,256200,16800
23,22/12/2022,24600,21600,23500,22500,279375,15700
24,23/12/2022,22800,21000,22400,22800,211100,15900
25,26/12/2022,23700,22200,23000,22900,198900,16000
26,27/12/2022,24500,22000,22000,24300,205300,17000
27,28/12/2022,25400,22900,22900,25200,205125,17600
28,29/12/2022,25800,24600,24600,25700,216700,17900
29,30/12/2022,26300,24600,25300,25300,211000,17700
30,03/01/2023,26100,24300,25700,25700,301810,17900
31,04/01/2023,27900,25200,27900,25500,240200,17800
32,05/01/2023,26900,24500,26900,25200,246400,17600
33,06/01/2023,25600,23200,25300,23800,241700,16600
34,09/01/2023,24300,22500,24300,24100,1147700,16800
35,10/01/2023,24000,23200,24000,23900,38200,16700
36,11/01/2023,24000,23100,24000,23400,43100,16300
37,12/01/2023,23900,22200,23800,23000,63400,16100
38,13/01/2023,22800,22000,22000,22300,69700,15600
39,16/01/2023,23500,22100,22400,23400,109000,16300
40,17/01/2023,24400,23200,23500,24000,115800,16800
41,18/01/2023,24300,23800,23800,24300,90600,17000
42,19/01/2023,24400,23800,23900,24300,101900,17000
43,27/01/2023,24600,24100,24100,24500,115100,17100
44,30/01/2023,25000,24300,24400,25000,130900,17500
45,31/01/2023,25600,24500,24500,25600,153100,17900
46,01/02/2023,25800,24800,25000,25700,291000,17900
47,02/02/2023,25400,24100,25400,24300,185900,17000
48,03/02/2023,24300,23600,24300,24100,144000,16800
49,06/02/2023,24300,23600,23700,24000,97700,16800
50,07/02/2023,24300,23100,23900,23100,57600,16100
51,08/02/2023,23800,22400,23800,23000,83800,16100
52,09/02/2023,23600,23000,23000,23600,105000,16500
53,10/02/2023,23500,22800,23300,23300,43100,16300
54,13/02/2023,23500,22100,23100,22800,209900,15900
55,14/02/2023,23000,22400,22900,22800,109500,15900
56,15/02/2023,23400,22700,22700,23200,210500,16200
57,16/02/2023,23700,22900,23100,23300,212210,16300
58,17/02/2023,23300,22400,23100,22400,77700,15600
59,20/02/2023,23100,21900,23000,22100,406035,15400
60,21/02/2023,22500,21100,22100,21400,137200,14900
61,22/02/2023,21800,20300,21400,20300,91400,14200
62,23/02/2023,20200,18300,20100,18900,163700,13200
63,24/02/2023,19100,18500,18600,18900,98200,13200
64,27/02/2023,18900,17900,18900,18100,88600,12600
65,28/02/2023,19000,18100,18100,19000,84300,13300
66,01/03/2023,20500,18700,18900,19400,38300,13500
67,02/03/2023,19400,18800,19300,19000,31200,13300
68,03/03/2023,19000,18500,19000,18500,24000,12900
69,06/03/2023,19000,18000,18000,19000,135600,13300
70,07/03/2023,18700,18300,18700,18500,28200,12900
71,08/03/2023,19200,18400,18400,19100,36700,13300
72,09/03/2023,20000,19000,19400,19300,38400,13500
73,10/03/2023,20100,19300,19300,20000,42712,14000
74,13/03/2023,20800,19100,19800,20500,73200,14300
75,14/03/2023,20600,19800,20500,20600,54500,14400
76,15/03/2023,22400,20400,20400,22100,147300,15400
77,16/03/2023,21700,20500,21400,21700,69607,15100
78,17/03/2023,21800,21000,21200,21600,60700,15100
79,20/03/2023,21600,20800,21600,21400,13310,14900
80,21/03/2023,21200,20500,20600,21200,25800,14800
81,22/03/2023,21600,21000,21000,21300,55400,14900
82,23/03/2023,21300,20900,21000,21300,17400,14900
83,24/03/2023,22400,21000,21500,21200,38607,14800
84,27/03/2023,22100,21000,22100,21400,30400,14900
85,28/03/2023,21200,20800,21200,21000,29305,14700
86,29/03/2023,21100,20600,20700,20900,19405,14600
87,30/03/2023,21400,20300,20600,21300,179446,14900
88,31/03/2023,22300,21100,21100,22200,211505,15500
89,03/04/2023,23500,22000,22000,23400,241300,16300
90,04/04/2023,23300,22800,23200,23100,150634,16100
91,05/04/2023,23400,22500,22900,23300,145605,16300
92,06/04/2023,23900,23000,23000,23300,108208,16300
93,07/04/2023,23600,23200,23300,23600,100922,16500
94,10/04/2023,26000,23500,23600,25800,415634,18000
95,11/04/2023,26900,25500,25500,26900,216413,18800
96,12/04/2023,27000,26100,26900,26200,160002,18300
97,13/04/2023,26200,25300,26200,25500,105774,17800
98,14/04/2023,26500,25500,25500,26000,436108,18100
99,17/04/2023,26500,25400,26000,26000,71100,18100
100,18/04/2023,26300,25400,26000,26200,172000,18300
101,19/04/2023,26400,25600,26400,25900,78004,18100
102,20/04/2023,27500,25800,25800,27100,228476,18900
103,21/04/2023,28000,26800,27200,27000,284500,18800
104,24/04/2023,28000,25900,26600,26500,137306,18500
105,25/04/2023,26600,25500,25900,26000,82401,18100
106,26/04/2023,27000,25500,25500,26600,197005,18600
107,27/04/2023,27100,26500,26500,26500,74000,18500
108,28/04/2023,27100,26000,26600,26400,39500,18400
109,04/05/2023,26800,25700,26400,26200,38000,18300
