,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,26600,26600,26600,26600,-,26600
1,22/11/2022,26600,26600,26600,26600,-,26600
2,23/11/2022,30500,26600,26600,30500,600,30500
3,24/11/2022,28600,28600,28600,28600,-,28600
4,25/11/2022,28600,28600,28600,28600,-,28600
5,28/11/2022,28600,28600,28600,28600,-,28600
6,29/11/2022,28600,28600,28600,28600,-,28600
7,30/11/2022,28600,28600,28600,28600,-,28600
8,01/12/2022,28600,28600,28600,28600,-,28600
9,02/12/2022,28600,28600,28600,28600,-,28600
10,05/12/2022,28600,28600,28600,28600,-,28600
11,06/12/2022,28600,28600,28600,28600,-,28600
12,07/12/2022,28600,28600,28600,28600,-,28600
13,08/12/2022,28600,28600,28600,28600,-,28600
14,09/12/2022,28600,28600,28600,28600,-,28600
15,12/12/2022,28600,28600,28600,28600,-,28600
16,13/12/2022,28600,28600,28600,28600,-,28600
17,14/12/2022,28600,28600,28600,28600,-,28600
18,15/12/2022,28600,28600,28600,28600,-,28600
19,16/12/2022,28600,28600,28600,28600,-,28600
20,19/12/2022,28600,28600,28600,28600,-,28600
21,20/12/2022,28600,28600,28600,28600,-,28600
22,21/12/2022,28600,28600,28600,28600,-,28600
23,22/12/2022,28600,28600,28600,28600,-,28600
24,23/12/2022,28600,28600,28600,28600,-,28600
25,26/12/2022,28600,28600,28600,28600,-,28600
26,27/12/2022,28600,28600,28600,28600,-,28600
27,28/12/2022,28600,28600,28600,28600,-,28600
28,29/12/2022,28600,28600,28600,28600,-,28600
29,30/12/2022,28600,28600,28600,28600,-,28600
30,03/01/2023,28600,28600,28600,28600,-,28600
31,04/01/2023,28600,28600,28600,28600,-,28600
32,05/01/2023,17200,17200,17200,17200,800,17200
33,06/01/2023,17200,17200,17200,17200,-,17200
34,09/01/2023,14700,14700,14700,14700,100,14700
35,10/01/2023,16900,16900,16900,16900,1400,16900
36,11/01/2023,17000,17000,17000,17000,100,17000
37,12/01/2023,19500,19500,19500,19500,100,19500
38,13/01/2023,22400,22400,22400,22400,200,22400
39,16/01/2023,22400,22400,22400,22400,-,22400
40,17/01/2023,22400,22400,22400,22400,-,22400
41,18/01/2023,22400,22400,22400,22400,-,22400
42,19/01/2023,19100,19100,19100,19100,100,19100
43,27/01/2023,19100,19100,19100,19100,-,19100
44,30/01/2023,19100,19100,19100,19100,-,19100
45,31/01/2023,19100,19100,19100,19100,-,19100
46,01/02/2023,19100,19100,19100,19100,-,19100
47,02/02/2023,19100,19100,19100,19100,-,19100
48,03/02/2023,19100,19100,19100,19100,-,19100
49,06/02/2023,19100,19100,19100,19100,-,19100
50,07/02/2023,19100,19100,19100,19100,-,19100
51,08/02/2023,19100,19100,19100,19100,-,19100
52,09/02/2023,19100,19100,19100,19100,-,19100
53,10/02/2023,19100,19100,19100,19100,-,19100
54,13/02/2023,19100,19100,19100,19100,-,19100
55,14/02/2023,19100,19100,19100,19100,-,19100
56,15/02/2023,18000,18000,18000,18000,300,18000
57,16/02/2023,19000,19000,19000,19000,100,19000
58,17/02/2023,21800,19000,19000,21800,400,21800
59,20/02/2023,20400,20400,20400,20400,-,20400
60,21/02/2023,23400,23400,23400,23400,1300,23400
61,22/02/2023,26900,21000,26900,26900,600,26900
62,23/02/2023,29000,29000,29000,29000,100,29000
63,24/02/2023,29000,29000,29000,29000,-,29000
64,27/02/2023,29000,29000,29000,29000,-,29000
65,28/02/2023,29000,29000,29000,29000,-,29000
66,01/03/2023,29000,29000,29000,29000,-,29000
67,02/03/2023,29000,29000,29000,29000,-,29000
68,03/03/2023,29000,29000,29000,29000,-,29000
69,06/03/2023,29000,29000,29000,29000,-,29000
70,07/03/2023,29000,29000,29000,29000,-,29000
71,08/03/2023,29000,29000,29000,29000,-,29000
72,09/03/2023,29000,29000,29000,29000,-,29000
73,10/03/2023,29000,29000,29000,29000,-,29000
74,13/03/2023,29000,29000,29000,29000,-,29000
75,14/03/2023,29000,29000,29000,29000,-,29000
76,15/03/2023,29000,29000,29000,29000,-,29000
77,16/03/2023,29000,29000,29000,29000,-,29000
78,17/03/2023,29000,29000,29000,29000,-,29000
79,20/03/2023,29000,29000,29000,29000,-,29000
80,21/03/2023,29000,29000,29000,29000,-,29000
81,22/03/2023,29000,29000,29000,29000,-,29000
82,23/03/2023,24700,24700,24700,24700,101,24700
83,24/03/2023,24700,24700,24700,24700,1,24700
84,27/03/2023,24700,24700,24700,24700,-,24700
85,28/03/2023,24700,24700,24700,24700,1,24700
86,29/03/2023,24700,24700,24700,24700,-,24700
87,30/03/2023,24700,24700,24700,24700,-,24700
88,31/03/2023,24700,24700,24700,24700,-,24700
89,03/04/2023,24700,24700,24700,24700,-,24700
90,04/04/2023,24700,24700,24700,24700,100,24700
91,05/04/2023,24700,24700,24700,24700,-,24700
92,06/04/2023,24700,24700,24700,24700,-,24700
93,07/04/2023,24700,24700,24700,24700,-,24700
94,10/04/2023,24700,24700,24700,24700,-,24700
95,11/04/2023,24700,24700,24700,24700,-,24700
96,12/04/2023,24700,24700,24700,24700,-,24700
97,13/04/2023,24700,24700,24700,24700,100,24700
98,14/04/2023,24700,24700,24700,24700,-,24700
99,17/04/2023,24700,24700,24700,24700,-,24700
100,18/04/2023,24700,24700,24700,24700,-,24700
101,19/04/2023,24700,24700,24700,24700,-,24700
102,20/04/2023,24700,24700,24700,24700,-,24700
103,21/04/2023,21000,21000,21000,21000,500,21000
104,24/04/2023,21000,21000,21000,21000,-,21000
105,25/04/2023,17900,17900,17900,17900,100,17900
106,26/04/2023,15300,15300,15300,15300,902,15300
107,27/04/2023,17500,17500,17500,17500,200,17500
108,28/04/2023,20100,20100,20100,20100,100,20100
109,04/05/2023,23000,23000,23000,23000,197,23000
110,05/05/2023,24000,23000,23000,24000,300,24000
111,08/05/2023,23300,23300,23300,23300,-,23300
112,09/05/2023,26700,25000,26700,26600,900,26600
113,10/05/2023,26300,26300,26300,26300,296,26300
114,11/05/2023,26300,26300,26300,26300,-,26300
115,12/05/2023,26300,26300,26300,26300,-,26300
116,15/05/2023,26300,26300,26300,26300,-,26300
117,16/05/2023,26900,26900,26900,26900,100,26900
118,17/05/2023,26900,26900,26900,26900,-,26900
119,18/05/2023,26900,26900,26900,26900,-,26900
120,19/05/2023,26900,26900,26900,26900,-,26900
121,22/05/2023,26900,26900,26900,26900,-,26900
122,23/05/2023,26900,26900,26900,26900,-,26900
123,24/05/2023,26900,26900,26900,26900,-,26900
124,25/05/2023,26900,26900,26900,26900,-,26900
125,26/05/2023,26900,26900,26900,26900,-,26900
126,29/05/2023,26900,26900,26900,26900,-,26900
127,30/05/2023,26900,26900,26900,26900,-,26900
128,31/05/2023,26900,26900,26900,26900,-,26900
129,01/06/2023,26900,26900,26900,26900,-,26900
130,02/06/2023,26900,26900,26900,26900,-,26900
131,05/06/2023,26900,26900,26900,26900,-,26900
132,06/06/2023,26900,26900,26900,26900,-,26900
133,07/06/2023,26900,26900,26900,26900,-,26900
134,08/06/2023,26900,26900,26900,26900,-,26900
135,09/06/2023,26900,26900,26900,26900,-,26900
136,12/06/2023,26900,26900,26900,26900,-,26900
137,13/06/2023,26900,26900,26900,26900,-,26900
138,14/06/2023,22900,22900,22900,22900,300,22900
139,15/06/2023,22900,22900,22900,22900,-,22900
140,16/06/2023,22900,22900,22900,22900,-,22900
141,19/06/2023,22900,22900,22900,22900,-,22900
142,20/06/2023,22900,22900,22900,22900,-,22900
143,21/06/2023,22900,22900,22900,22900,-,22900
144,22/06/2023,22900,22900,22900,22900,-,22900
145,23/06/2023,22900,22900,22900,22900,-,22900
146,26/06/2023,22900,22900,22900,22900,-,22900
147,27/06/2023,22900,22900,22900,22900,-,22900
148,28/06/2023,22900,22900,22900,22900,-,22900
149,29/06/2023,22900,22900,22900,22900,-,22900
150,30/06/2023,22900,22900,22900,22900,-,22900
151,03/07/2023,22900,22900,22900,22900,-,22900
152,04/07/2023,22900,22900,22900,22900,-,22900
153,05/07/2023,22900,22900,22900,22900,-,22900
154,06/07/2023,22900,22900,22900,22900,-,22900
155,07/07/2023,22900,22900,22900,22900,-,22900
156,10/07/2023,22900,22900,22900,22900,-,22900
157,11/07/2023,22900,22900,22900,22900,-,22900
158,12/07/2023,22900,22900,22900,22900,-,22900
159,13/07/2023,22900,22900,22900,22900,-,22900
160,14/07/2023,22900,22900,22900,22900,-,22900
161,17/07/2023,25000,22000,22000,25000,300,25000
162,18/07/2023,24000,24000,24000,24000,-,24000
163,19/07/2023,24000,24000,24000,24000,-,24000
164,20/07/2023,24000,24000,24000,24000,-,24000
165,21/07/2023,24000,24000,24000,24000,-,24000
166,24/07/2023,24000,24000,24000,24000,-,24000
167,25/07/2023,24000,24000,24000,24000,-,24000
168,26/07/2023,24000,24000,24000,24000,-,24000
169,27/07/2023,24000,24000,24000,24000,-,24000
170,28/07/2023,24000,24000,24000,24000,-,24000
171,31/07/2023,24000,24000,24000,24000,-,24000
172,01/08/2023,24000,24000,24000,24000,-,24000
173,02/08/2023,24000,24000,24000,24000,-,24000
174,03/08/2023,24000,24000,24000,24000,-,24000
175,04/08/2023,24000,24000,24000,24000,-,24000
176,07/08/2023,24000,24000,24000,24000,-,24000
177,08/08/2023,24000,24000,24000,24000,-,24000
178,09/08/2023,24000,24000,24000,24000,-,24000
179,10/08/2023,24000,24000,24000,24000,-,24000
180,11/08/2023,24000,24000,24000,24000,-,24000
181,14/08/2023,24000,24000,24000,24000,-,24000
182,15/08/2023,24000,24000,24000,24000,-,24000
183,16/08/2023,24000,24000,24000,24000,-,24000
184,17/08/2023,24000,24000,24000,24000,-,24000
185,18/08/2023,24000,24000,24000,24000,-,24000
186,21/08/2023,24000,24000,24000,24000,-,24000
187,22/08/2023,20400,20400,20400,20400,200,20400
188,23/08/2023,17400,17400,17400,17400,100,17400
189,24/08/2023,17400,17400,17400,17400,-,17400
190,25/08/2023,17400,17400,17400,17400,-,17400
191,28/08/2023,17400,17400,17400,17400,-,17400
192,29/08/2023,17400,17400,17400,17400,-,17400
193,30/08/2023,17400,17400,17400,17400,-,17400
194,31/08/2023,17400,17400,17400,17400,-,17400
195,05/09/2023,17400,17400,17400,17400,-,17400
196,06/09/2023,17400,17400,17400,17400,-,17400
197,07/09/2023,17400,17400,17400,17400,-,17400
198,08/09/2023,17400,17400,17400,17400,-,17400
199,11/09/2023,17400,17400,17400,17400,-,17400
200,12/09/2023,17400,17400,17400,17400,-,17400
201,13/09/2023,17400,17400,17400,17400,-,17400
202,14/09/2023,17400,17400,17400,17400,-,17400
203,15/09/2023,17400,17400,17400,17400,-,17400
204,18/09/2023,17400,17400,17400,17400,-,17400
205,19/09/2023,17400,17400,17400,17400,-,17400
206,20/09/2023,17400,17400,17400,17400,-,17400
207,21/09/2023,17400,17400,17400,17400,-,17400
208,22/09/2023,17400,17400,17400,17400,-,17400
209,25/09/2023,17400,17400,17400,17400,-,17400
210,26/09/2023,17400,17400,17400,17400,-,17400
211,27/09/2023,17400,17400,17400,17400,-,17400
212,28/09/2023,17400,17400,17400,17400,-,17400
213,29/09/2023,17400,17400,17400,17400,-,17400
214,02/10/2023,17400,17400,17400,17400,-,17400
215,03/10/2023,17400,17400,17400,17400,-,17400
216,04/10/2023,17400,17400,17400,17400,-,17400
217,05/10/2023,17400,17400,17400,17400,-,17400
