,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5600,5600,5600,5600,-,5000
1,22/11/2022,5600,5600,5600,5600,-,5000
2,23/11/2022,5600,5600,5600,5600,-,5000
3,24/11/2022,5600,5600,5600,5600,-,5000
4,25/11/2022,5600,5600,5600,5600,-,5000
5,28/11/2022,5600,5600,5600,5600,-,5000
6,29/11/2022,5600,5600,5600,5600,-,5000
7,30/11/2022,5600,5600,5600,5600,-,5000
8,01/12/2022,5600,5600,5600,5600,-,5000
9,02/12/2022,5600,5600,5600,5600,-,5000
10,05/12/2022,5600,5600,5600,5600,-,5000
11,06/12/2022,5600,5600,5600,5600,-,5000
12,07/12/2022,5600,5600,5600,5600,-,5000
13,08/12/2022,5600,5600,5600,5600,-,5000
14,09/12/2022,4800,4800,4800,4800,2400,4300
15,12/12/2022,5400,5300,5300,5400,300,4800
16,13/12/2022,5300,5300,5300,5300,-,4700
17,14/12/2022,5300,5300,5300,5300,100,4700
18,15/12/2022,5900,5300,5300,5900,700,5300
19,16/12/2022,6200,6200,6200,6200,100,5500
20,19/12/2022,6800,6800,6800,6800,100,6100
21,20/12/2022,7700,7700,7700,7700,100,6900
22,21/12/2022,7700,7700,7700,7700,-,6900
23,22/12/2022,7700,7700,7700,7700,-,6900
24,23/12/2022,7700,7700,7700,7700,-,6900
25,26/12/2022,8500,8500,8500,8500,100,7600
26,27/12/2022,8500,8500,8500,8500,-,7600
27,28/12/2022,8500,8500,8500,8500,-,7600
28,29/12/2022,9700,9700,9700,9700,100,8700
29,30/12/2022,9700,9700,9700,9700,-,8700
30,03/01/2023,9700,9700,9700,9700,-,8700
31,04/01/2023,9700,9700,9700,9700,-,8700
32,05/01/2023,9700,9700,9700,9700,-,8700
33,06/01/2023,9700,9700,9700,9700,-,8700
34,09/01/2023,9700,9700,9700,9700,-,8700
35,10/01/2023,9700,9700,9700,9700,-,8700
36,11/01/2023,9700,9700,9700,9700,-,8700
37,12/01/2023,9700,9700,9700,9700,-,8700
38,13/01/2023,9700,9700,9700,9700,-,8700
39,16/01/2023,9700,9700,9700,9700,-,8700
40,17/01/2023,9700,9700,9700,9700,-,8700
41,18/01/2023,9700,9700,9700,9700,-,8700
42,19/01/2023,9700,9700,9700,9700,-,8700
43,27/01/2023,9700,9700,9700,9700,-,8700
44,30/01/2023,9700,9700,9700,9700,-,8700
45,31/01/2023,9700,9700,9700,9700,-,8700
46,01/02/2023,9700,9700,9700,9700,-,8700
47,02/02/2023,9700,9700,9700,9700,-,8700
48,03/02/2023,9700,9700,9700,9700,-,8700
49,06/02/2023,9700,9700,9700,9700,-,8700
50,07/02/2023,9700,9700,9700,9700,-,8700
51,08/02/2023,9700,9700,9700,9700,-,8700
52,09/02/2023,9700,9700,9700,9700,-,8700
53,10/02/2023,9700,9700,9700,9700,4,8700
54,13/02/2023,8300,8300,8300,8300,54600,7400
55,14/02/2023,8200,7300,8100,8200,18200,7300
56,15/02/2023,8100,8100,8100,8100,-,7200
57,16/02/2023,8000,7800,8000,7800,2600,7000
58,17/02/2023,9000,9000,9000,9000,1000,8000
59,20/02/2023,9000,9000,9000,9000,-,8000
60,21/02/2023,9000,9000,9000,9000,-,8000
61,22/02/2023,9000,9000,9000,9000,-,8000
62,23/02/2023,9300,9000,9300,9000,300,8000
63,24/02/2023,9100,9100,9100,9100,-,8100
64,27/02/2023,9900,8700,9100,9200,166546,8200
65,28/02/2023,10400,9500,10400,9500,101044,8500
66,01/03/2023,10100,9500,9900,10100,223000,9000
67,02/03/2023,10900,9900,10200,10900,239300,9700
68,03/03/2023,11400,10500,10500,11000,259500,9800
69,06/03/2023,12100,9100,10900,11900,382730,10600
70,07/03/2023,11900,10500,11900,11800,132200,10500
71,08/03/2023,11200,9600,11100,11100,314300,9900
72,09/03/2023,11000,8900,10800,9600,447773,8600
73,10/03/2023,11500,8600,8600,11100,638100,9900
74,13/03/2023,11800,9000,10500,10600,319000,9500
75,14/03/2023,10600,9300,10600,9700,96500,8700
76,15/03/2023,9900,8500,9800,9400,239700,8400
77,16/03/2023,10000,9200,9400,10000,174300,8900
78,17/03/2023,10300,9100,10300,9700,132110,8700
79,20/03/2023,9800,8700,9000,9500,163400,8500
80,21/03/2023,10000,8700,9000,9600,203806,8600
81,22/03/2023,9600,9000,9200,9500,43201,8500
82,23/03/2023,9500,9000,9500,9300,120657,8300
83,24/03/2023,9300,8900,9200,9300,113200,8300
84,27/03/2023,9400,8900,9000,9200,154000,8200
85,28/03/2023,10000,9000,9000,9700,185500,8700
86,29/03/2023,9900,9200,9600,9800,198418,8800
87,30/03/2023,10000,9300,9800,10000,47000,8900
88,31/03/2023,11100,9800,9900,11100,551000,9900
89,03/04/2023,12000,10500,10500,12000,301004,10700
90,04/04/2023,13000,11800,11900,12400,416500,11100
91,05/04/2023,12700,11800,12100,12400,33936,11100
92,06/04/2023,12700,10200,12100,11200,93000,10000
93,07/04/2023,12000,9300,11500,11800,233108,10500
94,10/04/2023,10400,8500,10400,9600,119000,8600
95,11/04/2023,10000,8900,9600,9700,49700,8700
96,12/04/2023,10000,8600,9800,9500,79300,8500
97,13/04/2023,9900,8500,9500,9300,123125,8300
98,14/04/2023,9800,8500,9800,9300,290600,8300
99,17/04/2023,9300,8500,9300,9100,40500,8100
100,18/04/2023,9100,8400,9100,8900,63200,8000
101,19/04/2023,9000,8300,9000,8600,44401,7700
102,20/04/2023,9000,7300,8300,8700,684600,7800
103,21/04/2023,9400,8600,8800,9100,170305,8100
104,24/04/2023,9600,8100,9000,8700,172200,7800
105,25/04/2023,8800,8100,8700,8700,129500,7800
106,26/04/2023,8700,8000,8700,8600,43704,7700
107,27/04/2023,9100,8000,8500,8600,396700,7700
108,28/04/2023,8700,7400,8600,8600,812701,7700
109,04/05/2023,8700,7500,8600,7800,21000,7000
110,05/05/2023,8300,7300,7700,7800,251201,7000
111,08/05/2023,8000,7700,7800,8000,51321,7100
112,09/05/2023,8100,7500,8100,7600,24002,6800
113,10/05/2023,7800,7000,7800,7100,88600,6300
114,11/05/2023,8200,6600,7100,8100,339400,7200
115,12/05/2023,8600,7600,8200,8100,486600,7200
116,15/05/2023,8400,7400,8100,7700,224300,6900
117,16/05/2023,8000,7200,7300,8000,372400,7100
118,17/05/2023,8000,7200,8000,8000,471600,7100
119,18/05/2023,8200,7500,8000,7900,365109,7100
120,19/05/2023,8000,7400,8000,7700,116413,6900
121,22/05/2023,7800,7200,7700,7500,296000,6700
122,23/05/2023,7700,6700,7700,7100,587200,6300
123,24/05/2023,7200,6900,7200,7200,54400,6400
124,25/05/2023,7500,6900,7200,7200,432900,6400
125,26/05/2023,7200,7000,7200,7200,123300,6400
126,29/05/2023,7200,6900,7200,7100,165400,6300
127,30/05/2023,7100,6700,7100,6900,128100,6200
128,31/05/2023,7000,6700,7000,6800,251700,6100
129,01/06/2023,7300,6800,7000,7300,606657,6500
130,02/06/2023,7600,7000,7300,7500,667200,6700
131,05/06/2023,7600,7100,7600,7300,271144,6500
132,06/06/2023,7400,6900,7400,7200,516500,6400
133,07/06/2023,7300,7000,7200,7100,212400,6300
134,08/06/2023,7200,6900,7200,7000,308700,6300
135,09/06/2023,7500,7000,7000,7400,725900,6600
136,12/06/2023,7900,7400,7500,7600,200500,6800
137,13/06/2023,7700,7200,7700,7400,515457,6600
138,14/06/2023,7700,7300,7400,7600,598900,6800
139,15/06/2023,7700,7300,7600,7400,275800,6600
140,16/06/2023,7500,7200,7400,7300,321400,6500
141,19/06/2023,7300,6900,7300,7000,543500,6300
142,20/06/2023,7200,6900,7200,7000,265700,6300
143,21/06/2023,7200,6900,7200,7100,188400,6300
144,22/06/2023,7200,7000,7100,7000,135800,6300
145,23/06/2023,7200,6900,7200,7100,269100,6300
146,26/06/2023,7000,6800,7000,6900,244205,6200
147,27/06/2023,6900,6700,6900,6700,123100,6000
148,28/06/2023,7000,6700,6700,6900,424735,6200
149,29/06/2023,6600,6100,6200,6300,79333,6300
150,30/06/2023,6300,6000,6300,6100,91900,6100
151,03/07/2023,6100,5800,6100,5900,84200,5900
152,04/07/2023,5900,5600,5800,5700,227303,5700
153,05/07/2023,5900,5700,5700,5800,81210,5800
154,06/07/2023,5900,5600,5800,5700,119101,5700
155,07/07/2023,5800,5500,5500,5700,365700,5700
156,10/07/2023,5700,5500,5700,5600,188468,5600
157,11/07/2023,5600,5300,5600,5400,181285,5400
158,12/07/2023,5500,5200,5400,5400,464701,5400
159,13/07/2023,5400,5000,5300,5200,373847,5200
160,14/07/2023,5200,4800,5200,5000,419196,5000
161,17/07/2023,5000,4800,5000,5000,132038,5000
162,18/07/2023,5000,4800,5000,4800,112200,4800
163,19/07/2023,5400,4800,4800,5100,246300,5100
164,20/07/2023,5100,4800,5100,5000,123000,5000
165,21/07/2023,5100,4900,5000,5000,65202,5000
166,24/07/2023,5100,4900,5100,5000,158225,5000
167,25/07/2023,5100,4900,5000,5000,117400,5000
168,26/07/2023,5100,5000,5000,5100,68470,5100
169,27/07/2023,5300,5000,5100,5300,254830,5300
170,28/07/2023,5500,5300,5400,5400,191400,5400
171,31/07/2023,5500,5200,5500,5200,192800,5200
172,01/08/2023,5400,5100,5400,5200,226129,5200
173,02/08/2023,5300,5100,5300,5200,121400,5200
174,03/08/2023,5200,5000,5200,5100,92072,5100
175,04/08/2023,5200,4800,5200,5100,139500,5100
176,07/08/2023,5200,5000,5100,5100,189801,5100
177,08/08/2023,5300,5100,5200,5200,161745,5200
178,09/08/2023,5400,5200,5200,5400,321320,5400
179,10/08/2023,5700,5400,5400,5500,386265,5500
180,11/08/2023,5500,5200,5500,5300,210690,5300
181,14/08/2023,5400,5100,5400,5300,254500,5300
182,15/08/2023,5300,5100,5300,5300,211510,5300
183,16/08/2023,5300,5100,5200,5100,183800,5100
184,17/08/2023,5200,5000,5100,5200,199100,5200
185,18/08/2023,5200,4600,5100,4800,393446,4800
186,21/08/2023,4800,4500,4700,4700,203000,4700
187,22/08/2023,4700,4100,4700,4500,197710,4500
188,23/08/2023,4600,4200,4400,4400,312858,4400
189,24/08/2023,4500,4300,4400,4400,282059,4400
190,25/08/2023,4700,4400,4400,4700,287139,4700
191,28/08/2023,5200,4600,4600,5100,339888,5100
192,29/08/2023,5200,4700,5100,4900,254111,4900
193,30/08/2023,4900,4600,4800,4800,202407,4800
194,31/08/2023,4800,4600,4700,4700,75430,4700
195,05/09/2023,4800,4600,4800,4700,213831,4700
196,06/09/2023,4700,4600,4700,4700,114368,4700
197,07/09/2023,4800,4600,4600,4700,142539,4700
198,08/09/2023,4800,4600,4800,4600,80499,4600
199,11/09/2023,4700,4500,4700,4600,124323,4600
200,12/09/2023,4700,4500,4600,4600,112528,4600
201,13/09/2023,4700,4600,4600,4700,112450,4700
202,14/09/2023,4700,4400,4600,4500,177354,4500
203,15/09/2023,4600,4400,4600,4500,85025,4500
204,18/09/2023,4600,4400,4400,4500,93820,4500
205,19/09/2023,4500,4200,4500,4300,111514,4300
206,20/09/2023,4500,4300,4300,4400,117380,4400
207,21/09/2023,4700,4400,4500,4600,242384,4600
208,22/09/2023,4700,4400,4600,4600,128032,4600
209,25/09/2023,4800,4400,4600,4400,136290,4400
210,26/09/2023,4600,4400,4500,4500,129363,4500
211,27/09/2023,4500,4300,4500,4500,37560,4500
212,28/09/2023,4500,4200,4500,4300,68001,4300
213,29/09/2023,4400,4000,4400,4300,68704,4300
214,02/10/2023,4500,4300,4400,4300,50460,4300
215,03/10/2023,4300,3800,4300,3800,108285,3800
216,04/10/2023,4000,3700,4000,3900,77278,3900
217,05/10/2023,4000,3800,3900,3800,46963,3800
218,06/10/2023,4000,3800,4000,3800,19071,3800
219,09/10/2023,4000,3800,3900,3900,62083,3900
220,10/10/2023,4300,3900,3900,4200,96117,4200
221,11/10/2023,4300,4000,4300,4200,19810,4200
222,12/10/2023,4300,4000,4200,4200,125660,4200
223,13/10/2023,4300,4000,4200,4200,126866,4200
224,16/10/2023,4300,4000,4300,4100,46695,4100
225,17/10/2023,4100,3800,4100,3800,106031,3800
226,18/10/2023,3900,3600,3800,3700,81697,3700
227,19/10/2023,3700,3400,3700,3500,79998,3500
228,20/10/2023,3500,3200,3400,3400,91321,3400
229,23/10/2023,3500,3300,3300,3500,16939,3500
230,24/10/2023,3500,3400,3400,3400,16600,3400
231,25/10/2023,3500,3400,3400,3400,43300,3400
232,26/10/2023,3400,3000,3400,3100,76620,3100
233,27/10/2023,3300,3000,3100,3300,73700,3300
234,30/10/2023,3200,3100,3200,3200,11004,3200
235,31/10/2023,3100,3000,3100,3000,13483,3000
236,01/11/2023,3100,2900,3000,3000,30500,3000
237,02/11/2023,3300,3100,3100,3300,49725,3300
238,03/11/2023,3300,3100,3300,3300,40000,3300
239,06/11/2023,3300,3200,3300,3300,95181,3300
240,07/11/2023,3300,3200,3300,3200,64917,3200
241,08/11/2023,3400,3200,3300,3300,115141,3300
242,09/11/2023,3400,3200,3300,3300,61953,3300
243,10/11/2023,3400,3200,3300,3200,88301,3200
244,13/11/2023,3300,3200,3200,3300,39405,3300
245,14/11/2023,3200,3100,3200,3200,135053,3200
246,15/11/2023,3300,3100,3200,3300,94304,3300
247,16/11/2023,3300,3200,3300,3300,25367,3300
248,17/11/2023,3400,3200,3300,3300,149315,3300
249,20/11/2023,3400,3200,3200,3400,148805,3400
