,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,58700,58700,58700,58700,100,58200
1,22/11/2022,67500,66500,67000,67500,3105,66900
2,23/11/2022,72000,71000,71000,72000,1300,71400
3,24/11/2022,72000,71500,71500,71500,4000,70900
4,25/11/2022,78000,78000,78000,78000,100,77300
5,28/11/2022,66600,66600,66600,66600,100,66000
6,29/11/2022,66600,66600,66600,66600,10,66000
7,30/11/2022,70000,70000,70000,70000,1621,69400
8,01/12/2022,70000,70000,70000,70000,-,69400
9,02/12/2022,70000,70000,70000,70000,-,69400
10,05/12/2022,72000,72000,72000,72000,1000,71400
11,06/12/2022,72000,63000,63000,72000,6000,71400
12,07/12/2022,72000,60000,60000,72000,3000,71400
13,08/12/2022,73100,63000,63000,73100,8104,72400
14,09/12/2022,71100,71100,71100,71100,-,70500
15,12/12/2022,72000,67100,67100,72000,1689,71400
16,13/12/2022,67400,67400,67400,67400,-,66800
17,14/12/2022,67400,67400,67400,72000,1,66800
18,15/12/2022,77000,67600,67600,77000,3900,76300
19,16/12/2022,80800,70300,70300,80800,26200,80100
20,19/12/2022,80000,80000,80000,80000,1812,79300
21,20/12/2022,80000,80000,80000,80000,2500,79300
22,21/12/2022,80000,80000,80000,80000,300,79300
23,22/12/2022,80000,80000,80000,80000,-,79300
24,23/12/2022,80500,80500,80500,80500,500,79800
25,26/12/2022,80500,80500,80500,80500,-,79800
26,27/12/2022,80200,80200,80200,80200,100,79500
27,28/12/2022,88600,88600,88600,88600,100,87800
28,29/12/2022,88600,88600,88600,88600,1,87800
29,30/12/2022,90000,88600,88600,90000,300,89200
30,03/01/2023,78000,78000,78000,78000,100,77300
31,04/01/2023,81000,81000,81000,81000,5400,80300
32,05/01/2023,81000,81000,81000,81000,-,80300
33,06/01/2023,82000,82000,82000,82000,800,81300
34,09/01/2023,88000,85000,88000,85000,819,84200
35,10/01/2023,86100,86100,86100,86100,-,85300
36,11/01/2023,86100,86100,86100,86100,-,85300
37,12/01/2023,80000,80000,80000,80000,100,79300
38,13/01/2023,80000,80000,80000,80000,-,79300
39,16/01/2023,80000,80000,80000,80000,-,79300
40,17/01/2023,80000,80000,80000,80000,-,79300
41,18/01/2023,80000,80000,80000,80000,-,79300
42,19/01/2023,92000,90000,90000,92000,3605,91200
43,27/01/2023,91600,91600,91600,91600,-,90800
44,30/01/2023,91600,91600,91600,91600,-,90800
45,31/01/2023,91600,91600,91600,91600,-,90800
46,01/02/2023,86500,86000,86000,86500,400,85700
47,02/02/2023,86300,86300,86300,86300,-,85500
48,03/02/2023,86300,86300,86300,86300,-,85500
49,06/02/2023,86300,86300,86300,86300,2401,85500
50,07/02/2023,86300,86300,86300,86300,200,85500
51,08/02/2023,86300,86300,86300,86300,-,85500
52,09/02/2023,86300,86300,86300,86300,-,85500
53,10/02/2023,87900,86300,86300,87000,1200,86200
54,13/02/2023,87000,87000,87000,87000,200,86200
55,14/02/2023,87000,87000,87000,87000,-,86200
56,15/02/2023,87000,87000,87000,87000,100,86200
57,16/02/2023,87000,86900,86900,87000,500,86200
58,17/02/2023,99900,99900,99900,99900,200,99000
59,20/02/2023,99900,99900,99900,99900,-,99000
60,21/02/2023,87000,87000,87000,87000,400,86200
61,22/02/2023,87000,87000,87000,87000,-,86200
62,23/02/2023,87000,87000,87000,87000,-,86200
63,24/02/2023,87000,87000,87000,87000,-,86200
64,27/02/2023,87000,87000,87000,87000,33,86200
65,28/02/2023,87000,85000,85000,87000,10900,86200
66,01/03/2023,85100,85100,85100,85100,-,84300
67,02/03/2023,85100,85100,85100,87000,44,84300
68,03/03/2023,86000,86000,86000,86000,222,85200
69,06/03/2023,86000,86000,86000,86000,100,85200
70,07/03/2023,86000,86000,86000,86000,-,85200
71,08/03/2023,86000,86000,86000,86000,-,85200
72,09/03/2023,86000,86000,86000,86000,-,85200
73,10/03/2023,86000,86000,86000,86000,-,85200
74,13/03/2023,86000,86000,86000,86000,-,85200
75,14/03/2023,86000,86000,86000,86000,-,85200
76,15/03/2023,86000,86000,86000,86000,-,85200
77,16/03/2023,86000,86000,86000,86000,-,85200
78,17/03/2023,86000,86000,86000,86000,-,85200
79,20/03/2023,86000,86000,86000,86000,1,85200
80,21/03/2023,86000,86000,86000,86000,-,85200
81,22/03/2023,86000,86000,86000,86000,-,85200
82,23/03/2023,86000,86000,86000,86000,-,85200
83,24/03/2023,86000,86000,86000,86000,-,85200
84,27/03/2023,86000,86000,86000,86000,-,85200
85,28/03/2023,86000,86000,86000,86000,-,85200
86,29/03/2023,77000,77000,77000,77000,100,76300
87,30/03/2023,77000,77000,77000,77000,-,76300
88,31/03/2023,72500,72500,72500,72500,7130,71800
89,03/04/2023,82900,71500,72000,81800,9800,81100
90,04/04/2023,82900,80000,80000,81800,4303,81100
91,05/04/2023,84900,81800,84900,81800,3701,81100
92,06/04/2023,82000,82000,82000,82000,-,81300
93,07/04/2023,82000,82000,82000,82000,-,81300
94,10/04/2023,85500,81800,85500,81800,15900,81100
95,11/04/2023,83900,83900,83900,83900,103,83100
96,12/04/2023,83900,83900,83900,83900,-,83100
97,13/04/2023,83900,83900,83900,83900,-,83100
98,14/04/2023,81000,81000,81000,81000,200,80300
99,17/04/2023,81000,81000,81000,81000,200,80300
100,18/04/2023,87900,85000,87900,85000,400,84200
101,19/04/2023,85700,85700,85700,85000,43,84900
102,20/04/2023,85700,85700,85700,85700,-,84900
103,21/04/2023,85700,85700,85700,85000,24,84900
104,24/04/2023,85700,85700,85700,85700,-,84900
105,25/04/2023,85700,85700,85700,85700,-,84900
106,26/04/2023,76000,76000,76000,76000,100,75300
107,27/04/2023,84400,75000,76000,84400,4000,83600
108,28/04/2023,87100,81800,87100,81800,1600,81100
109,04/05/2023,82500,82500,82500,82500,-,81800
110,05/05/2023,82800,82800,82800,82800,100,82100
111,08/05/2023,83900,80900,83900,81000,7300,80300
112,09/05/2023,81000,81000,81000,81000,1,80300
113,10/05/2023,81000,81000,81000,81000,-,80300
114,11/05/2023,82000,81900,81900,82000,1100,81300
115,12/05/2023,82000,82000,82000,82000,-,81300
116,15/05/2023,81500,78000,78000,81500,3366,80800
117,16/05/2023,78100,78100,78100,78100,300,77400
118,17/05/2023,78100,78100,78100,78100,-,77400
119,18/05/2023,82000,82000,82000,82000,1000,81300
120,19/05/2023,82000,82000,82000,82000,-,81300
121,22/05/2023,82000,81000,81000,82000,2200,81300
122,23/05/2023,81500,81500,81500,81500,-,80800
123,24/05/2023,81500,81500,81500,81500,-,80800
124,25/05/2023,81500,81500,81500,81500,-,80800
125,26/05/2023,81500,81500,81500,81500,-,80800
126,29/05/2023,79000,79000,79000,79000,600,78300
127,30/05/2023,82300,81500,81500,82300,1400,81600
128,31/05/2023,94400,82000,82000,82000,1400,81300
129,01/06/2023,83200,83200,83200,83200,-,82500
130,02/06/2023,83200,83200,83200,83200,-,82500
131,05/06/2023,83200,83200,83200,83200,-,82500
132,06/06/2023,83200,83200,83200,83200,-,82500
133,07/06/2023,83200,83200,83200,83200,-,82500
134,08/06/2023,83200,83200,83200,83200,-,82500
135,09/06/2023,82500,82500,82500,82500,524,82300
136,12/06/2023,82500,82500,82500,82500,-,82300
137,13/06/2023,82500,82500,82500,82500,-,82300
138,14/06/2023,82500,82500,82500,82500,-,82300
139,15/06/2023,82500,82500,82500,82500,-,82300
140,16/06/2023,82500,82500,82500,82500,-,82300
141,19/06/2023,82500,82500,82500,82500,-,82300
142,20/06/2023,82500,82500,82500,82500,500,82300
143,21/06/2023,82500,82500,82500,82500,-,82300
144,22/06/2023,82500,82500,82500,82500,-,82300
145,23/06/2023,86000,86000,86000,86000,100,85700
146,26/06/2023,86000,86000,86000,86000,-,85700
147,27/06/2023,86000,86000,86000,86000,1,85700
148,28/06/2023,85000,82000,82000,85000,1100,84700
149,29/06/2023,82000,82000,82000,82000,1007,81800
150,30/06/2023,82000,82000,82000,82000,-,81800
151,03/07/2023,82000,82000,82000,82000,1023,81800
152,04/07/2023,84900,80000,82000,84900,1600,84600
153,05/07/2023,82800,82800,82800,82800,-,82600
154,06/07/2023,82800,82800,82800,82800,-,82600
155,07/07/2023,82800,82800,82800,82800,-,82600
156,10/07/2023,82800,82800,82800,82800,-,82600
157,11/07/2023,85000,83000,83000,85000,600,84700
158,12/07/2023,84700,84700,84700,84700,-,84400
159,13/07/2023,84700,84700,84700,84700,5700,84400
160,14/07/2023,84700,84700,84700,84700,-,84400
161,17/07/2023,84700,84700,84700,84700,-,84400
162,18/07/2023,84700,84700,84700,84700,-,84400
163,19/07/2023,83000,82000,83000,82000,1300,81800
164,20/07/2023,82000,82000,82000,82000,500,81800
165,21/07/2023,94300,92000,92000,94300,7166,94000
166,24/07/2023,100000,94100,100000,94500,14400,94200
167,25/07/2023,94500,94000,94500,94500,1900,94200
168,26/07/2023,94500,94500,94500,94500,2800,94200
169,27/07/2023,100000,98000,100000,98000,1200,97700
170,28/07/2023,98900,98900,98900,98900,-,98600
171,31/07/2023,94500,94500,94500,94500,500,94200
172,01/08/2023,94900,90000,90000,94900,8500,94600
173,02/08/2023,94900,94900,94900,94900,500,94600
174,03/08/2023,90000,89000,90000,89000,200,88700
175,04/08/2023,89500,89500,89500,89500,-,89200
176,07/08/2023,90000,90000,90000,90000,400,89700
177,08/08/2023,90000,90000,90000,90000,-,89700
178,09/08/2023,99000,91500,93500,99000,26016,98700
