,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4800,4600,4600,4800,200,4800
1,22/11/2022,4600,4200,4200,4600,2000,4600
2,23/11/2022,4900,4700,4700,4900,8400,4900
3,24/11/2022,5600,5000,5600,5000,2800,5000
4,25/11/2022,5000,4500,5000,5000,2000,5000
5,28/11/2022,5100,4200,4900,5100,4200,5100
6,29/11/2022,5000,5000,5000,5000,100,5000
7,30/11/2022,5700,5000,5700,5000,1200,5000
8,01/12/2022,5500,4800,5500,5000,2626,5000
9,02/12/2022,5300,5000,5000,5000,2700,5000
10,05/12/2022,5400,5400,5400,5400,100,5400
11,06/12/2022,5700,4700,5700,4700,14800,4700
12,07/12/2022,4900,4200,4200,4900,200,4900
13,08/12/2022,5000,4200,4200,5000,900,5000
14,09/12/2022,5000,4900,4900,5000,200,5000
15,12/12/2022,5000,4600,4600,5000,200,5000
16,13/12/2022,5000,5000,5000,5000,100,5000
17,14/12/2022,5000,4300,4300,5000,200,5000
18,15/12/2022,5100,4200,4200,5100,800,5100
19,16/12/2022,5000,4900,4900,5000,300,5000
20,19/12/2022,5000,4400,4400,5000,300,5000
21,20/12/2022,5000,4300,4300,5000,300,5000
22,21/12/2022,5000,5000,5000,5000,100,5000
23,22/12/2022,4300,4300,4300,4300,100,4300
24,23/12/2022,4900,4500,4900,4900,500,4900
25,26/12/2022,5000,4200,5000,4200,200,4200
26,27/12/2022,4800,4000,4200,4800,1100,4800
27,28/12/2022,4600,4600,4600,4600,200,4600
28,29/12/2022,4600,4300,4300,4600,4100,4600
29,30/12/2022,5100,4700,4700,5100,21600,5100
30,03/01/2023,5100,5100,5100,5100,100,5100
31,04/01/2023,4500,4500,4500,4500,500,4500
32,05/01/2023,4600,4200,4300,4200,19600,4200
33,06/01/2023,4500,4200,4300,4500,2700,4500
34,09/01/2023,4800,4800,4800,4800,100,4800
35,10/01/2023,5500,4700,5500,4900,19500,4900
36,11/01/2023,4900,4300,4300,4900,600,4900
37,12/01/2023,4800,4400,4400,4800,1100,4800
38,13/01/2023,4500,4400,4400,4500,1100,4500
39,16/01/2023,4500,4500,4500,4500,-,4500
40,17/01/2023,4500,4500,4500,4500,-,4500
41,18/01/2023,4500,4500,4500,4500,-,4500
42,19/01/2023,4700,4300,4300,4600,1000,4600
43,27/01/2023,4500,4500,4500,4500,-,4500
44,30/01/2023,4600,4600,4600,4600,400,4600
45,31/01/2023,4800,4600,4600,4800,200,4800
46,01/02/2023,4900,4800,4800,4900,4300,4900
47,02/02/2023,4900,4900,4900,4900,100,4900
48,03/02/2023,4900,4800,4900,4800,1300,4800
49,06/02/2023,5000,4900,4900,5000,1900,5000
50,07/02/2023,5000,5000,5000,5000,-,5000
51,08/02/2023,5000,5000,5000,5000,-,5000
52,09/02/2023,5400,5000,5400,5000,200,5000
53,10/02/2023,5300,4500,5300,4900,1200,4900
54,13/02/2023,5100,4600,5100,4900,2200,4900
55,14/02/2023,5000,5000,5000,5000,300,5000
56,15/02/2023,4800,4800,4800,4800,300,4800
57,16/02/2023,4800,4800,4800,4800,-,4800
58,17/02/2023,5100,5100,5100,5100,201,5100
59,20/02/2023,5100,5100,5100,5100,-,5100
60,21/02/2023,4900,4800,4800,4900,500,4900
61,22/02/2023,4900,4900,4900,4900,200,4900
62,23/02/2023,5000,4900,5000,4900,600,4900
63,24/02/2023,5000,5000,5000,5000,-,5000
64,27/02/2023,5000,5000,5000,5000,-,5000
65,28/02/2023,5000,5000,5000,5000,-,5000
66,01/03/2023,4800,4300,4300,4700,1700,4700
67,02/03/2023,4500,4500,4500,4500,-,4500
68,03/03/2023,4800,4800,4800,4800,100,4800
69,06/03/2023,4800,4800,4800,4800,-,4800
70,07/03/2023,4800,4800,4800,4800,-,4800
71,08/03/2023,4800,4300,4800,4300,500,4300
72,09/03/2023,5000,4900,4900,5000,14025,5000
73,10/03/2023,5700,5500,5700,5700,12358,5700
74,13/03/2023,6500,6500,6500,6500,9400,6500
75,14/03/2023,7400,7300,7400,7300,11325,7300
76,15/03/2023,8500,7300,8500,7300,14950,7300
77,16/03/2023,7900,7300,7900,7300,600,7300
78,17/03/2023,6400,6400,6400,6400,4314,6400
79,20/03/2023,7000,5500,5500,7000,5600,7000
80,21/03/2023,6300,6300,6300,6300,2019,6300
81,22/03/2023,7200,7000,7200,7100,2914,7100
82,23/03/2023,7200,7100,7100,7100,3800,7100
83,24/03/2023,7400,6500,7300,6500,1200,6500
84,27/03/2023,6800,5900,5900,6800,1000,6800
85,28/03/2023,7200,6600,6600,6600,4200,6600
86,29/03/2023,8100,7500,7500,7900,800,7900
87,30/03/2023,6800,6800,6800,6800,2000,6800
88,31/03/2023,5900,5800,5800,5800,1400,5800
89,03/04/2023,6100,5800,6100,5800,2600,5800
90,04/04/2023,6000,5800,6000,5800,2400,5800
91,05/04/2023,5900,5700,5900,5800,2000,5800
92,06/04/2023,6000,5800,6000,5800,2200,5800
93,07/04/2023,6700,5100,6700,5200,6200,5200
94,10/04/2023,5300,5300,5300,5300,100,5300
95,11/04/2023,5300,5200,5300,5300,1000,5300
96,12/04/2023,5300,5300,5300,5300,-,5300
97,13/04/2023,6000,5900,5900,6000,3200,6000
98,14/04/2023,5900,5800,5900,5900,2100,5900
99,17/04/2023,5900,5100,5900,5300,1400,5300
100,18/04/2023,5200,5200,5200,5200,-,5200
101,19/04/2023,5300,5300,5300,5300,100,5300
102,20/04/2023,4700,4600,4700,4600,1000,4600
103,21/04/2023,5100,5000,5000,5100,1000,5100
104,24/04/2023,5700,5200,5700,5200,1000,5200
105,25/04/2023,5200,4900,5200,4900,4300,4900
106,26/04/2023,5100,5100,5100,5100,-,5100
107,27/04/2023,5100,5000,5100,5100,900,5100
108,28/04/2023,5100,5100,5100,5100,400,5100
109,04/05/2023,5800,5200,5200,5800,800,5800
110,05/05/2023,5300,5300,5300,5300,100,5300
111,08/05/2023,5000,5000,5000,5000,100,5000
112,09/05/2023,5000,5000,5000,5000,1000,5000
113,10/05/2023,5700,5100,5100,5700,2600,5700
114,11/05/2023,6100,5700,5700,6100,1101,6100
115,12/05/2023,6700,6500,6700,6500,3000,6500
116,15/05/2023,7000,6900,7000,6900,1200,6900
117,16/05/2023,7000,6000,7000,6100,3201,6100
118,17/05/2023,6200,6200,6200,6200,-,6200
119,18/05/2023,6200,6200,6200,6200,200,6200
120,19/05/2023,5600,5600,5600,5600,1200,5600
121,22/05/2023,5600,5600,5600,5600,-,5600
122,23/05/2023,6400,6400,6400,6400,1040,6400
123,24/05/2023,7300,7000,7300,7300,8800,7300
124,25/05/2023,8200,7700,7700,8200,3900,8200
125,26/05/2023,8300,7200,8300,7200,600,7200
126,29/05/2023,7500,6600,7500,6600,10901,6600
127,30/05/2023,6700,6500,6700,6500,400,6500
128,31/05/2023,6700,6300,6600,6600,14010,6600
129,01/06/2023,6400,6400,6400,6400,200,6400
130,02/06/2023,6200,6000,6200,6000,4300,6000
131,05/06/2023,6300,5900,6000,6300,3500,6300
132,06/06/2023,6700,6300,6700,6500,400,6500
133,07/06/2023,6300,6300,6300,6300,8400,6300
134,08/06/2023,6300,6300,6300,6300,-,6300
135,09/06/2023,6300,5700,6300,5700,200,5700
136,12/06/2023,5900,5400,5700,5900,400,5900
137,13/06/2023,6200,5000,5000,6200,1400,6200
138,14/06/2023,6400,6400,6400,6400,1550,6400
139,15/06/2023,7300,6400,7300,7300,12700,7300
140,16/06/2023,7000,7000,7000,7000,700,7000
141,19/06/2023,7900,6800,7900,6800,2102,6800
142,20/06/2023,6900,6900,6900,6900,4800,6900
143,21/06/2023,7700,7200,7700,7200,600,7200
144,22/06/2023,7200,7200,7200,7200,100,7200
145,23/06/2023,6900,6600,6900,6800,5150,6800
146,26/06/2023,7100,5800,5800,6500,905,6500
147,27/06/2023,6000,6000,6000,6000,200,6000
148,28/06/2023,6000,5200,5200,6000,220,6000
149,29/06/2023,6400,5000,5000,6400,300,6400
150,30/06/2023,6700,6700,6700,6700,7140,6700
151,03/07/2023,7700,5700,7500,6500,600,6500
152,04/07/2023,6600,6200,6200,6600,600,6600
153,05/07/2023,6600,6400,6400,6600,204,6600
154,06/07/2023,6500,5900,5900,6500,300,6500
155,07/07/2023,6100,5900,5900,6100,200,6100
156,10/07/2023,6900,5400,5400,6900,1600,6900
157,11/07/2023,7700,7700,7700,7700,11601,7700
158,12/07/2023,8800,7700,8800,8800,64600,8800
159,13/07/2023,9700,7500,9700,9700,4026,9700
160,14/07/2023,8900,7800,7800,8900,3900,8900
161,17/07/2023,7200,7100,7200,7100,300,7100
162,18/07/2023,7200,7200,7200,7200,926,7200
163,19/07/2023,6400,6200,6400,6200,9300,6200
164,20/07/2023,7100,5900,5900,7100,600,7100
165,21/07/2023,7100,7100,7100,7100,200,7100
166,24/07/2023,7000,7000,7000,7000,1003,7000
167,25/07/2023,7200,6100,6100,7200,400,7200
168,26/07/2023,6900,6900,6900,6900,1300,6900
169,27/07/2023,7800,7800,7800,7800,100,7800
170,28/07/2023,7800,7800,7800,7800,-,7800
171,31/07/2023,7800,7800,7800,7800,-,7800
172,01/08/2023,6700,6700,6700,6700,1000,6700
173,02/08/2023,7000,6900,6900,7000,500,7000
174,03/08/2023,7900,6100,7900,6100,200,6100
175,04/08/2023,6100,6000,6100,6000,3403,6000
176,07/08/2023,6700,6700,6700,6700,100,6700
177,08/08/2023,6700,6000,6000,6700,2300,6700
178,09/08/2023,6100,6000,6000,6100,500,6100
179,10/08/2023,6100,5300,6100,6000,5800,6000
180,11/08/2023,6300,5500,6300,5500,2100,5500
181,14/08/2023,5800,5800,5800,5800,200,5800
182,15/08/2023,5800,5800,5800,5800,200,5800
183,16/08/2023,5600,5500,5600,5600,2800,5600
184,17/08/2023,5800,5600,5800,5600,12503,5600
185,18/08/2023,5400,5400,5400,5400,2000,5400
186,21/08/2023,5400,5400,5400,5400,-,5400
187,22/08/2023,5400,5400,5400,5400,-,5400
188,23/08/2023,5600,4800,4800,5600,1500,5600
189,24/08/2023,5500,5500,5500,5500,100,5500
190,25/08/2023,5400,5000,5200,5400,5400,5400
191,28/08/2023,5600,5500,5600,5500,600,5500
192,29/08/2023,5100,5100,5100,5100,100,5100
193,30/08/2023,5000,5000,5000,5000,16200,5000
194,31/08/2023,5500,5500,5500,5500,200,5500
195,05/09/2023,5600,5500,5500,5500,2200,5500
196,06/09/2023,5600,5000,5100,5600,16300,5600
197,07/09/2023,5700,5700,5700,5700,100,5700
198,08/09/2023,5700,5700,5700,5700,100,5700
199,11/09/2023,5700,5700,5700,5700,-,5700
200,12/09/2023,5700,5700,5700,5700,-,5700
201,13/09/2023,5700,5700,5700,5700,-,5700
202,14/09/2023,5700,5700,5700,5700,-,5700
203,15/09/2023,5600,5600,5600,5600,203,5600
204,18/09/2023,5600,5600,5600,5600,100,5600
205,19/09/2023,5600,5600,5600,5600,-,5600
206,20/09/2023,5600,5600,5600,5600,40,5600
207,21/09/2023,5600,5600,5600,5600,-,5600
208,22/09/2023,5600,5600,5600,5600,18,5600
209,25/09/2023,5100,5000,5000,5000,4000,5000
210,26/09/2023,5000,5000,5000,5000,2900,5000
211,27/09/2023,5700,5200,5700,5200,800,5200
212,28/09/2023,5600,5600,5600,5600,100,5600
213,29/09/2023,5600,5600,5600,5600,-,5600
214,02/10/2023,5600,5600,5600,5600,-,5600
215,03/10/2023,5600,5600,5600,5600,-,5600
216,04/10/2023,5100,5100,5100,5100,100,5100
217,05/10/2023,5100,5100,5100,5100,-,5100
218,06/10/2023,5500,5500,5500,5500,100,5500
219,09/10/2023,5700,4700,4700,5700,200,5700
220,10/10/2023,5200,5200,5200,5200,-,5200
221,11/10/2023,5200,5200,5200,5200,-,5200
222,12/10/2023,5200,5200,5200,5200,-,5200
223,13/10/2023,5200,5200,5200,5200,-,5200
224,16/10/2023,5200,5200,5200,5200,-,5200
225,17/10/2023,5800,5800,5800,5800,500,5800
226,18/10/2023,5000,5000,5000,5000,500,5000
227,19/10/2023,4900,4900,4900,4900,3500,4900
228,20/10/2023,4900,4900,4900,4900,-,4900
