,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3300,3000,3000,3200,41722,3200
1,22/11/2022,3500,3200,3200,3300,19883,3300
2,23/11/2022,3500,3200,3200,3300,44153,3300
3,24/11/2022,3400,3100,3300,3100,44800,3100
4,25/11/2022,3300,3100,3300,3100,6500,3100
5,28/11/2022,3400,3200,3300,3300,19210,3300
6,29/11/2022,3400,3300,3300,3300,13104,3300
7,30/11/2022,3400,3200,3300,3300,17758,3300
8,01/12/2022,3700,3300,3300,3600,125003,3600
9,02/12/2022,4000,3400,3600,4000,28048,4000
10,05/12/2022,4300,3600,4000,3600,74721,3600
11,06/12/2022,3700,3400,3600,3400,136230,3400
12,07/12/2022,3400,3200,3400,3300,4900,3300
13,08/12/2022,3400,3300,3300,3300,22096,3300
14,09/12/2022,3300,3000,3300,3300,27260,3300
15,12/12/2022,3300,3100,3300,3200,23591,3200
16,13/12/2022,3200,3000,3100,3100,16600,3100
17,14/12/2022,3300,3100,3200,3200,9600,3200
18,15/12/2022,3300,3200,3200,3200,5600,3200
19,16/12/2022,3200,2900,3200,3000,72800,3000
20,19/12/2022,3000,2800,3000,2900,54700,2900
21,20/12/2022,2900,2800,2900,2900,1538801,2900
22,21/12/2022,2900,2800,2900,2900,16164,2900
23,22/12/2022,3000,2900,2900,3000,42300,3000
24,23/12/2022,3400,3000,3000,3300,22710,3300
25,26/12/2022,3300,2900,3300,3000,184000,3000
26,27/12/2022,3000,2900,3000,3000,17000,3000
27,28/12/2022,3000,2900,2900,2900,49900,2900
28,29/12/2022,3000,2800,2900,2900,39000,2900
29,30/12/2022,3200,2900,2900,3000,29000,3000
30,03/01/2023,3000,2900,3000,3000,19700,3000
31,04/01/2023,3100,2900,3000,3000,389900,3000
32,05/01/2023,3000,2900,3000,2900,8919,2900
33,06/01/2023,3000,2800,2900,2900,98800,2900
34,09/01/2023,2900,2800,2900,2900,111300,2900
35,10/01/2023,2900,2600,2900,2800,226404,2800
36,11/01/2023,2800,2600,2800,2700,55900,2700
37,12/01/2023,2700,2700,2700,2700,19000,2700
38,13/01/2023,2800,2700,2700,2700,36100,2700
39,16/01/2023,2800,2700,2800,2700,13100,2700
40,17/01/2023,2800,2700,2800,2800,23200,2800
41,18/01/2023,2800,2700,2800,2800,34700,2800
