,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5200,5200,5200,5200,-,5200
1,22/11/2022,5200,5200,5200,5200,-,5200
2,23/11/2022,5200,5200,5200,5200,-,5200
3,24/11/2022,5200,5200,5200,5200,-,5200
4,25/11/2022,5200,5200,5200,5200,-,5200
5,28/11/2022,5200,5200,5200,5200,-,5200
6,29/11/2022,5200,5200,5200,5200,-,5200
7,30/11/2022,5200,5200,5200,5200,-,5200
8,01/12/2022,5200,5200,5200,5200,-,5200
9,02/12/2022,5200,5200,5200,5200,-,5200
10,05/12/2022,5200,5200,5200,5200,-,5200
11,06/12/2022,5200,5200,5200,5200,-,5200
12,07/12/2022,5200,5200,5200,5200,-,5200
13,08/12/2022,5200,5200,5200,5200,-,5200
14,09/12/2022,5200,5200,5200,5200,-,5200
15,12/12/2022,5200,5200,5200,5200,-,5200
16,13/12/2022,5200,5200,5200,5200,-,5200
17,14/12/2022,5200,5200,5200,5200,-,5200
18,15/12/2022,5200,5200,5200,5200,-,5200
19,16/12/2022,5200,5200,5200,5200,-,5200
20,19/12/2022,5200,5200,5200,5200,-,5200
21,20/12/2022,5200,5200,5200,5200,-,5200
22,21/12/2022,5200,5200,5200,5200,-,5200
23,22/12/2022,5200,5200,5200,5200,-,5200
24,23/12/2022,5200,5200,5200,5200,-,5200
25,26/12/2022,5200,5200,5200,5200,-,5200
26,27/12/2022,5200,5200,5200,5200,-,5200
27,28/12/2022,5200,5200,5200,5200,-,5200
28,29/12/2022,5200,5200,5200,5200,-,5200
29,30/12/2022,5200,5200,5200,5200,-,5200
30,03/01/2023,5200,5200,5200,5200,-,5200
31,04/01/2023,5200,5200,5200,5200,-,5200
32,05/01/2023,5200,5200,5200,5200,-,5200
33,06/01/2023,5200,5200,5200,5200,-,5200
34,09/01/2023,5200,5200,5200,5200,-,5200
35,10/01/2023,5200,5200,5200,5200,-,5200
36,11/01/2023,5200,5200,5200,5200,-,5200
37,12/01/2023,5200,5200,5200,5200,-,5200
38,13/01/2023,5200,5200,5200,5200,-,5200
39,16/01/2023,5200,5200,5200,5200,-,5200
40,17/01/2023,5200,5200,5200,5200,-,5200
41,18/01/2023,5200,5200,5200,5200,-,5200
42,19/01/2023,5200,5200,5200,5200,-,5200
43,27/01/2023,5200,5200,5200,5200,-,5200
44,30/01/2023,5200,5200,5200,5200,-,5200
45,31/01/2023,5200,5200,5200,5200,-,5200
46,01/02/2023,5200,5200,5200,5200,-,5200
47,02/02/2023,5200,5200,5200,5200,-,5200
48,03/02/2023,5200,5200,5200,5200,-,5200
49,06/02/2023,5200,5200,5200,5200,-,5200
50,07/02/2023,5200,5200,5200,5200,-,5200
51,08/02/2023,5200,5200,5200,5200,-,5200
52,09/02/2023,5200,5200,5200,5200,-,5200
53,10/02/2023,5200,5200,5200,5200,-,5200
54,13/02/2023,5200,5200,5200,5200,-,5200
55,14/02/2023,5200,5200,5200,5200,-,5200
56,15/02/2023,5200,5200,5200,5200,-,5200
57,16/02/2023,5200,5200,5200,5200,-,5200
58,17/02/2023,5200,5200,5200,5200,-,5200
59,20/02/2023,5200,5200,5200,5200,-,5200
60,21/02/2023,5200,5200,5200,5200,-,5200
61,22/02/2023,5200,5200,5200,5200,-,5200
62,23/02/2023,5200,5200,5200,5200,-,5200
63,24/02/2023,5200,5200,5200,5200,-,5200
64,27/02/2023,5200,5200,5200,5200,-,5200
65,28/02/2023,5200,5200,5200,5200,-,5200
66,01/03/2023,5200,5200,5200,5200,-,5200
67,02/03/2023,5200,5200,5200,5200,-,5200
68,03/03/2023,5200,5200,5200,5200,-,5200
69,06/03/2023,5200,5200,5200,5200,-,5200
70,07/03/2023,5200,5200,5200,5200,-,5200
71,08/03/2023,5200,5200,5200,5200,-,5200
72,09/03/2023,5200,5200,5200,5200,-,5200
73,10/03/2023,5200,5200,5200,5200,-,5200
74,13/03/2023,5200,5200,5200,5200,-,5200
75,14/03/2023,5200,5200,5200,5200,-,5200
76,15/03/2023,5200,5200,5200,5200,-,5200
77,16/03/2023,5200,5200,5200,5200,-,5200
78,17/03/2023,5200,5200,5200,5200,-,5200
79,20/03/2023,5200,5200,5200,5200,-,5200
80,21/03/2023,5200,5200,5200,5200,-,5200
81,22/03/2023,5200,5200,5200,5200,-,5200
82,23/03/2023,5200,5200,5200,5200,-,5200
83,24/03/2023,5200,5200,5200,5200,-,5200
84,27/03/2023,5200,5200,5200,5200,-,5200
85,28/03/2023,5200,5200,5200,5200,-,5200
86,29/03/2023,5200,5200,5200,5200,-,5200
87,30/03/2023,5200,5200,5200,5200,-,5200
88,31/03/2023,5200,5200,5200,5200,-,5200
89,03/04/2023,5200,5200,5200,5200,-,5200
90,04/04/2023,5200,5200,5200,5200,-,5200
91,05/04/2023,5200,5200,5200,5200,-,5200
92,06/04/2023,5200,5200,5200,5200,-,5200
93,07/04/2023,5200,5200,5200,5200,-,5200
94,10/04/2023,5200,5200,5200,5200,-,5200
95,11/04/2023,5200,5200,5200,5200,-,5200
96,12/04/2023,5200,5200,5200,5200,-,5200
97,13/04/2023,5200,5200,5200,5200,-,5200
98,14/04/2023,5200,5200,5200,5200,-,5200
99,17/04/2023,5200,5200,5200,5200,-,5200
100,18/04/2023,5200,5200,5200,5200,-,5200
101,19/04/2023,5200,5200,5200,5200,-,5200
102,20/04/2023,5200,5200,5200,5200,-,5200
103,21/04/2023,5200,5200,5200,5200,-,5200
104,24/04/2023,5200,5200,5200,5200,-,5200
105,25/04/2023,5200,5200,5200,5200,-,5200
106,26/04/2023,5200,5200,5200,5200,-,5200
107,27/04/2023,5200,5200,5200,5200,-,5200
108,28/04/2023,5200,5200,5200,5200,-,5200
109,04/05/2023,5200,5200,5200,5200,-,5200
110,05/05/2023,5200,5200,5200,5200,-,5200
111,08/05/2023,5200,5200,5200,5200,-,5200
112,09/05/2023,5200,5200,5200,5200,-,5200
113,10/05/2023,5200,5200,5200,5200,-,5200
114,11/05/2023,5200,5200,5200,5200,-,5200
115,12/05/2023,5200,5200,5200,5200,-,5200
116,15/05/2023,5200,5200,5200,5200,-,5200
117,16/05/2023,5200,5200,5200,5200,-,5200
118,17/05/2023,5200,5200,5200,5200,-,5200
119,18/05/2023,5200,5200,5200,5200,-,5200
120,19/05/2023,5200,5200,5200,5200,-,5200
121,22/05/2023,5200,5200,5200,5200,-,5200
122,23/05/2023,5200,5200,5200,5200,-,5200
123,24/05/2023,5200,5200,5200,5200,-,5200
124,25/05/2023,5200,5200,5200,5200,-,5200
125,26/05/2023,5200,5200,5200,5200,-,5200
126,29/05/2023,5200,5200,5200,5200,-,5200
127,30/05/2023,5200,5200,5200,5200,-,5200
128,31/05/2023,5200,5200,5200,5200,-,5200
129,01/06/2023,5200,5200,5200,5200,-,5200
130,02/06/2023,5200,5200,5200,5200,-,5200
131,05/06/2023,5200,5200,5200,5200,-,5200
132,06/06/2023,5200,5200,5200,5200,-,5200
133,07/06/2023,5200,5200,5200,5200,-,5200
134,08/06/2023,5200,5200,5200,5200,-,5200
135,09/06/2023,5200,5200,5200,5200,-,5200
136,12/06/2023,5200,5200,5200,5200,-,5200
137,13/06/2023,5200,5200,5200,5200,-,5200
138,14/06/2023,5200,5200,5200,5200,-,5200
139,15/06/2023,5200,5200,5200,5200,-,5200
140,16/06/2023,5200,5200,5200,5200,-,5200
141,19/06/2023,5200,5200,5200,5200,-,5200
142,20/06/2023,5200,5200,5200,5200,-,5200
143,21/06/2023,5200,5200,5200,5200,-,5200
144,22/06/2023,5200,5200,5200,5200,-,5200
145,23/06/2023,5200,5200,5200,5200,-,5200
146,26/06/2023,5200,5200,5200,5200,-,5200
147,27/06/2023,5200,5200,5200,5200,-,5200
148,28/06/2023,7200,7200,7200,7200,100,7200
149,29/06/2023,8200,8200,8200,8200,300,8200
150,30/06/2023,9400,9400,9400,9400,1100,9400
151,03/07/2023,10800,10800,10800,10800,200,10800
152,04/07/2023,12000,10800,10800,12000,800,12000
153,05/07/2023,11800,11800,11800,11800,100,11800
154,06/07/2023,11800,11800,11800,11800,-,11800
155,07/07/2023,10100,10100,10100,10100,100,10100
156,10/07/2023,10100,10100,10100,10100,100,10100
157,11/07/2023,11000,11000,11000,11000,100,11000
158,12/07/2023,11000,11000,11000,11000,-,11000
159,13/07/2023,11000,11000,11000,11000,-,11000
160,14/07/2023,11000,11000,11000,11000,-,11000
161,17/07/2023,11000,11000,11000,11000,-,11000
162,18/07/2023,11000,11000,11000,11000,-,11000
163,19/07/2023,11000,11000,11000,11000,-,11000
