,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,19200,19200,19200,19200,-,18900
1,22/11/2022,19200,19200,19200,19200,-,18900
2,23/11/2022,19200,19200,19200,19200,-,18900
3,24/11/2022,19200,19200,19200,19200,-,18900
4,25/11/2022,19200,19200,19200,19200,-,18900
5,28/11/2022,19000,19000,19000,19000,500,18700
6,29/11/2022,19300,19200,19300,19200,23300,18900
7,30/11/2022,19200,19200,19200,19200,-,18900
8,01/12/2022,19500,19100,19100,19500,4500,19200
9,02/12/2022,19800,19200,19600,19800,21400,19500
10,05/12/2022,17900,17900,17900,17900,100,17600
11,06/12/2022,19900,19900,19900,19900,100,19600
12,07/12/2022,19900,19900,19900,19900,-,19600
13,08/12/2022,19900,19900,19900,19900,-,19600
14,09/12/2022,19900,19900,19900,19900,-,19600
15,12/12/2022,19900,19900,19900,19900,-,19600
16,13/12/2022,22800,17100,22800,17100,5100,16800
17,14/12/2022,24000,24000,24000,24000,5000,23600
18,15/12/2022,24400,24400,24400,24400,1000,24000
19,16/12/2022,24400,24400,24400,24400,-,24000
20,19/12/2022,24400,24400,24400,24400,-,24000
21,20/12/2022,24300,24300,24300,24300,4000,23900
22,21/12/2022,24300,24300,24300,24300,-,23900
23,22/12/2022,24300,24300,24300,24300,-,23900
24,23/12/2022,24300,24300,24300,24300,-,23900
25,26/12/2022,24300,24300,24300,24300,-,23900
26,27/12/2022,24300,24300,24300,24300,-,23900
27,28/12/2022,23900,20700,20700,23900,6000,23500
28,29/12/2022,23000,20800,22000,23000,21000,22600
29,30/12/2022,21500,21500,21500,21500,100,21200
30,03/01/2023,24400,24400,24400,24400,1000,24000
31,04/01/2023,24400,24400,24400,24400,-,24000
32,05/01/2023,24700,21000,24700,21000,2200,20700
33,06/01/2023,24300,24300,24300,24300,1000,23900
34,09/01/2023,24300,24300,24300,24300,-,23900
35,10/01/2023,24300,24300,24300,24300,-,23900
36,11/01/2023,23800,23800,23800,23800,10000,23400
37,12/01/2023,23800,23800,23800,23800,-,23400
38,13/01/2023,23300,23200,23200,23300,16000,22900
39,16/01/2023,23300,23300,23300,23300,-,22900
40,17/01/2023,23300,23300,23300,23300,-,22900
41,18/01/2023,23300,23300,23300,23300,-,22900
42,19/01/2023,23300,23300,23300,23300,-,22900
43,27/01/2023,23300,23300,23300,23300,-,22900
44,30/01/2023,23300,23300,23300,23300,1,22900
45,31/01/2023,20200,20200,20200,20200,100,19900
46,01/02/2023,21000,19000,21000,19000,12100,18700
47,02/02/2023,22500,22500,22500,22500,1200,22100
48,03/02/2023,22500,21000,22500,21000,58000,20700
49,06/02/2023,21000,20000,20000,21000,4500,20700
50,07/02/2023,22000,18200,18200,22000,1100,21700
51,08/02/2023,21200,17200,17200,21200,2900,20900
52,09/02/2023,21000,18100,18100,21000,1100,20700
53,10/02/2023,19000,18500,18500,19000,6000,18700
54,13/02/2023,21700,16300,16300,21700,2100,21400
55,14/02/2023,17000,15100,15100,17000,1100,16700
56,15/02/2023,17500,13300,13300,17500,2547,17200
57,16/02/2023,16100,16100,16100,16100,100,15800
58,17/02/2023,18500,17000,17000,18500,800,18200
59,20/02/2023,20600,20500,20600,20500,40000,20200
60,21/02/2023,22900,22900,22900,22900,4000,22500
61,22/02/2023,22900,22900,22900,22900,-,22500
62,23/02/2023,22900,22900,22900,22900,-,22500
63,24/02/2023,22900,22900,22900,22900,-,22500
64,27/02/2023,22900,22900,22900,22900,-,22500
65,28/02/2023,22900,22900,22900,22900,-,22500
66,01/03/2023,22900,22900,22900,22900,-,22500
67,02/03/2023,22900,22900,22900,22900,-,22500
68,03/03/2023,24700,24700,24700,24700,5000,24300
69,06/03/2023,24700,24700,24700,24700,-,24300
70,07/03/2023,24700,24700,24700,24700,-,24300
71,08/03/2023,24700,24700,24700,24700,-,24300
72,09/03/2023,24700,24700,24700,24700,-,24300
73,10/03/2023,24700,24700,24700,24700,-,24300
74,13/03/2023,24700,24700,24700,24700,-,24300
