,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,31300,31200,31200,31300,300,31300
1,22/11/2022,32900,32900,32900,32900,100,32900
2,23/11/2022,36800,32800,32800,36700,400,36700
3,24/11/2022,35300,35300,35300,35300,100,35300
4,25/11/2022,39900,30200,39900,36800,300,36800
5,28/11/2022,34900,30300,30300,34900,4900,34900
6,29/11/2022,37100,35000,35000,37100,200,37100
7,30/11/2022,30700,30700,30700,30700,306154,30700
8,01/12/2022,30700,30700,30700,30700,-,30700
9,02/12/2022,32800,32800,32800,32800,100,32800
10,05/12/2022,37400,37400,37400,37400,100,37400
11,06/12/2022,37400,37400,37400,37400,100,37400
12,07/12/2022,31800,31800,31800,31800,270761,31800
13,08/12/2022,34900,27200,34900,34600,3100,34600
14,09/12/2022,32200,32200,32200,32200,8420,32200
15,12/12/2022,27500,27500,27500,27500,200,27500
16,13/12/2022,31400,23500,23500,31400,1300,31400
17,14/12/2022,33900,26000,33900,26000,600,26000
18,15/12/2022,23400,23400,23400,23400,300,23400
19,16/12/2022,26900,23600,26900,23600,600,23600
20,19/12/2022,27800,27800,27800,27800,100,27800
21,20/12/2022,24000,24000,24000,24000,200,24000
22,21/12/2022,24000,24000,24000,24000,-,24000
23,22/12/2022,27600,20500,20500,21000,1400,21000
24,23/12/2022,25100,25100,25100,25100,300,25100
25,26/12/2022,28800,28800,28800,28800,100,28800
26,27/12/2022,31900,31900,31900,31900,100,31900
27,28/12/2022,36500,36500,36500,36500,100,36500
28,29/12/2022,41500,31100,41500,31100,700,31100
29,30/12/2022,34100,34100,34100,34100,-,34100
30,03/01/2023,32000,32000,32000,32000,100,32000
31,04/01/2023,32000,32000,32000,32000,-,32000
32,05/01/2023,34900,34900,34900,34900,100,34900
33,06/01/2023,34900,34900,34900,34900,-,34900
34,09/01/2023,34900,34900,34900,34900,-,34900
35,10/01/2023,29700,29700,29700,29700,800,29700
36,11/01/2023,29700,29700,29700,29700,-,29700
37,12/01/2023,29700,29700,29700,29700,-,29700
38,13/01/2023,26000,25300,26000,25300,20400,25300
39,16/01/2023,29200,23000,29200,23000,600,23000
40,17/01/2023,26000,25900,26000,25900,1400,25900
41,18/01/2023,25500,25500,25500,25500,17000,25500
42,19/01/2023,25500,25500,25500,25500,300,25500
43,27/01/2023,29300,25500,29300,26000,8100,26000
44,30/01/2023,28900,25100,28900,25100,1100,25100
45,31/01/2023,25400,24500,25300,25300,7200,25300
46,01/02/2023,25300,25300,25300,25300,-,25300
47,02/02/2023,25300,25300,25300,25300,-,25300
48,03/02/2023,25300,25300,25300,25300,-,25300
49,06/02/2023,25300,25000,25200,25100,5500,25100
50,07/02/2023,25300,25000,25300,25000,7100,25000
51,08/02/2023,25100,25000,25100,25000,14000,25000
52,09/02/2023,26400,26400,26400,26400,100,26400
53,10/02/2023,25300,25300,25300,25300,100,25300
54,13/02/2023,25300,25300,25300,25300,-,25300
55,14/02/2023,25000,25000,25000,25000,1500,25000
56,15/02/2023,26500,26500,26500,26500,100,26500
57,16/02/2023,25600,25400,25500,25600,2200,25600
58,17/02/2023,25500,25500,25500,25500,-,25500
59,20/02/2023,28400,28400,28400,28400,100,28400
60,21/02/2023,28400,28400,28400,28400,5000,28400
61,22/02/2023,28000,28000,28000,28000,100,28000
62,23/02/2023,26100,26000,26100,26000,3800,26000
63,24/02/2023,29900,29900,29900,29900,100,29900
64,27/02/2023,29900,29900,29900,29900,-,29900
65,28/02/2023,25800,25500,25800,25500,2200,25500
66,01/03/2023,28000,25500,28000,25500,4600,25500
67,02/03/2023,25500,25500,25500,25500,1500,25500
68,03/03/2023,25500,21800,21800,25500,1500,25500
69,06/03/2023,28000,28000,28000,28000,100,28000
70,07/03/2023,28000,28000,28000,28000,-,28000
71,08/03/2023,28000,28000,28000,28000,-,28000
72,09/03/2023,27900,27800,27800,27900,800,27900
73,10/03/2023,31300,31300,31300,31300,100,31300
74,13/03/2023,31300,31300,31300,31300,-,31300
75,14/03/2023,31300,31300,31300,31300,-,31300
76,15/03/2023,31300,31300,31300,31300,-,31300
77,16/03/2023,31300,31300,31300,31300,-,31300
78,17/03/2023,31300,31300,31300,31300,-,31300
79,20/03/2023,31300,31300,31300,31300,-,31300
80,21/03/2023,35000,35000,35000,35000,100,35000
81,22/03/2023,35000,35000,35000,35000,-,35000
82,23/03/2023,35000,35000,35000,35000,-,35000
83,24/03/2023,35000,35000,35000,35000,-,35000
84,27/03/2023,35000,35000,35000,35000,-,35000
85,28/03/2023,35000,35000,35000,35000,-,35000
86,29/03/2023,29800,29800,29800,29800,100,29800
87,30/03/2023,29800,29800,29800,29800,-,29800
88,31/03/2023,32000,32000,32000,32000,200,32000
89,03/04/2023,32000,32000,32000,32000,-,32000
90,04/04/2023,32000,32000,32000,32000,-,32000
91,05/04/2023,36000,36000,36000,36000,100,36000
92,06/04/2023,40000,30600,40000,30600,900,30600
93,07/04/2023,33500,33500,33500,33500,100,33500
94,10/04/2023,28500,28500,28500,28500,1800,28500
95,11/04/2023,28500,28500,28500,28500,-,28500
96,12/04/2023,28500,28500,28500,28500,-,28500
97,13/04/2023,28300,25200,25200,28200,600,28200
98,14/04/2023,26000,26000,26000,26000,100,26000
99,17/04/2023,25200,25100,25200,25100,400,25100
100,18/04/2023,28800,24000,28800,24000,7400,24000
101,19/04/2023,27700,27700,27700,27700,100,27700
102,20/04/2023,24400,24200,24400,24200,1500,24200
103,21/04/2023,27400,24300,24300,27400,10000,27400
104,24/04/2023,28500,28500,28500,28500,100,28500
105,25/04/2023,29900,29900,29900,29900,100,29900
106,26/04/2023,27300,25500,25500,27300,600,27300
107,27/04/2023,26700,26700,26700,26700,-,26700
108,28/04/2023,26700,26700,26700,26700,-,26700
109,04/05/2023,26500,26500,26500,26500,100,26500
110,05/05/2023,26500,26500,26500,26500,-,26500
111,08/05/2023,26500,26500,26500,26500,-,26500
112,09/05/2023,26200,26200,26200,26200,100,26200
113,10/05/2023,26200,26200,26200,26200,-,26200
114,11/05/2023,26000,26000,26000,26000,100,26000
115,12/05/2023,26800,23900,23900,26800,200,26800
116,15/05/2023,25500,25400,25500,25400,900,25400
117,16/05/2023,25400,25400,25400,25400,-,25400
118,17/05/2023,25400,25400,25400,25400,-,25400
119,18/05/2023,29100,29100,29100,29100,200,29100
120,19/05/2023,29100,29100,29100,29100,-,29100
121,22/05/2023,29100,29100,29100,29100,-,29100
122,23/05/2023,29100,29100,29100,29100,-,29100
123,24/05/2023,26300,24900,24900,26300,1900,26300
124,25/05/2023,27600,24000,24000,27600,300,27600
125,26/05/2023,26400,26400,26400,26400,-,26400
126,29/05/2023,26500,25100,25100,26500,500,26500
127,30/05/2023,25700,25700,25700,25700,-,25700
128,31/05/2023,25700,25700,25700,25700,-,25700
129,01/06/2023,25700,25700,25700,25700,-,25700
130,02/06/2023,27300,25000,25000,27300,2000,27300
131,05/06/2023,26200,26200,26200,26200,-,26200
132,06/06/2023,27900,27900,27900,27900,100,27900
133,07/06/2023,27900,27900,27900,27900,-,27900
134,08/06/2023,26200,26100,26100,26100,300,26100
135,09/06/2023,26100,26100,26100,26100,-,26100
136,12/06/2023,24200,23800,24100,23800,5100,23800
137,13/06/2023,24300,24300,24300,24300,1100,24300
138,14/06/2023,26000,24100,24100,25000,1700,25000
139,15/06/2023,24100,23800,24000,23800,1600,23800
140,16/06/2023,24300,23700,23700,24300,300,24300
141,19/06/2023,23600,23600,23600,23600,101,23600
142,20/06/2023,24700,24000,24400,24700,1300,24700
143,21/06/2023,25000,24100,24100,25000,600,25000
144,22/06/2023,24800,24600,24600,24800,200,24800
145,23/06/2023,24700,23900,24700,24600,1800,24600
146,26/06/2023,24200,24200,24200,24200,-,24200
147,27/06/2023,25700,25700,25700,25700,100,25700
148,28/06/2023,24700,23900,23900,24700,500,24700
149,29/06/2023,26000,25800,25800,25800,1100,25800
150,30/06/2023,25600,24000,25600,24000,16100,24000
151,03/07/2023,24300,24000,24000,24300,5900,24300
152,04/07/2023,26600,24000,26600,24000,500,24000
153,05/07/2023,24100,23800,24100,23800,3100,23800
154,06/07/2023,25200,24900,24900,25200,2600,25200
155,07/07/2023,24000,23900,24000,23900,2000,23900
156,10/07/2023,23600,23500,23600,23500,2100,23500
