,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12000,12000,12000,12000,-,12000
1,22/11/2022,12000,12000,12000,12000,-,12000
2,23/11/2022,12000,12000,12000,12000,-,12000
3,24/11/2022,12000,12000,12000,12000,-,12000
4,25/11/2022,12000,12000,12000,12000,-,12000
5,28/11/2022,12000,12000,12000,12000,-,12000
6,29/11/2022,12000,12000,12000,12000,-,12000
7,30/11/2022,12500,12500,12500,12500,500,12500
8,01/12/2022,12500,12500,12500,12500,-,12500
9,02/12/2022,12500,12500,12500,12500,-,12500
10,05/12/2022,12500,12500,12500,12500,-,12500
11,06/12/2022,12500,12500,12500,12500,-,12500
12,07/12/2022,12500,12500,12500,12500,-,12500
13,08/12/2022,12500,12500,12500,12500,-,12500
14,09/12/2022,12500,12500,12500,12500,-,12500
15,12/12/2022,12500,12500,12500,12500,-,12500
16,13/12/2022,12500,12500,12500,12500,-,12500
17,14/12/2022,12500,12500,12500,12500,-,12500
18,15/12/2022,12500,12500,12500,12500,-,12500
19,16/12/2022,12500,12500,12500,12500,-,12500
20,19/12/2022,12500,12500,12500,12500,-,12500
21,20/12/2022,12500,12500,12500,12500,-,12500
22,21/12/2022,12500,12500,12500,12500,-,12500
23,22/12/2022,12500,12500,12500,12500,-,12500
24,23/12/2022,12500,12500,12500,12500,-,12500
25,26/12/2022,12500,12500,12500,12500,-,12500
26,27/12/2022,12500,12500,12500,12500,-,12500
27,28/12/2022,12500,12500,12500,12500,-,12500
28,29/12/2022,12500,12500,12500,12500,-,12500
29,30/12/2022,12500,12500,12500,12500,-,12500
30,03/01/2023,12500,12500,12500,12500,-,12500
31,04/01/2023,12500,12500,12500,12500,-,12500
32,05/01/2023,12500,12500,12500,12500,-,12500
33,06/01/2023,12500,12500,12500,12500,-,12500
34,09/01/2023,12500,12500,12500,12500,-,12500
35,10/01/2023,12500,12500,12500,12500,-,12500
36,11/01/2023,12500,12500,12500,12500,-,12500
37,12/01/2023,12500,12500,12500,12500,-,12500
38,13/01/2023,12500,12500,12500,12500,-,12500
39,16/01/2023,14000,14000,14000,14000,14400,14000
40,17/01/2023,14000,14000,14000,14000,-,14000
41,18/01/2023,14000,14000,14000,14000,-,14000
42,19/01/2023,14000,14000,14000,14000,-,14000
