,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,17500,17500,17500,17500,-,17500
1,22/11/2022,17500,17500,17500,17500,-,17500
2,23/11/2022,17500,17500,17500,17500,-,17500
3,24/11/2022,17500,17500,17500,17500,-,17500
4,25/11/2022,17500,17500,17500,17500,-,17500
5,28/11/2022,17500,17500,17500,17500,-,17500
6,29/11/2022,17500,17500,17500,17500,-,17500
7,30/11/2022,17500,17500,17500,17500,-,17500
8,01/12/2022,17500,17500,17500,17500,-,17500
9,02/12/2022,17500,17500,17500,17500,-,17500
10,05/12/2022,17500,17500,17500,17500,-,17500
11,06/12/2022,17500,17500,17500,17500,-,17500
12,07/12/2022,17500,17500,17500,17500,-,17500
13,08/12/2022,17500,17500,17500,17500,-,17500
14,09/12/2022,24200,24200,24200,24200,100,24200
15,12/12/2022,24200,24200,24200,24200,-,24200
16,13/12/2022,24200,24200,24200,24200,-,24200
17,14/12/2022,24200,24200,24200,24200,-,24200
18,15/12/2022,24200,24200,24200,24200,-,24200
19,16/12/2022,24200,24200,24200,24200,-,24200
20,19/12/2022,24200,24200,24200,24200,-,24200
21,20/12/2022,24200,24200,24200,24200,-,24200
22,21/12/2022,24200,24200,24200,24200,-,24200
23,22/12/2022,24200,24200,24200,24200,-,24200
24,23/12/2022,24200,24200,24200,24200,-,24200
25,26/12/2022,24200,24200,24200,24200,-,24200
26,27/12/2022,24200,24200,24200,24200,-,24200
27,28/12/2022,24200,24200,24200,24200,-,24200
28,29/12/2022,24200,24200,24200,24200,-,24200
29,30/12/2022,24200,24200,24200,24200,-,24200
30,03/01/2023,24200,24200,24200,24200,-,24200
31,04/01/2023,24200,24200,24200,24200,-,24200
32,05/01/2023,24200,24200,24200,24200,-,24200
33,06/01/2023,20600,20600,20600,20600,100,20600
34,09/01/2023,20600,20600,20600,20600,-,20600
35,10/01/2023,17600,17600,17600,17600,100,17600
36,11/01/2023,16000,16000,16000,16000,49200,16000
37,12/01/2023,13600,13600,13600,13600,112100,13600
38,13/01/2023,15500,13000,13000,15500,261900,15500
39,16/01/2023,15100,15100,15100,15100,-,15100
40,17/01/2023,15100,15100,15100,15100,-,15100
41,18/01/2023,15100,15100,15100,15100,-,15100
42,19/01/2023,15100,15100,15100,15100,-,15100
43,27/01/2023,15100,15100,15100,15100,-,15100
44,30/01/2023,15100,15100,15100,15100,-,15100
45,31/01/2023,15100,15100,15100,15100,-,15100
46,01/02/2023,15100,15100,15100,15100,-,15100
47,02/02/2023,15100,15100,15100,15100,-,15100
48,03/02/2023,17100,17100,17100,17100,21000,17100
49,06/02/2023,17100,17100,17100,17100,-,17100
50,07/02/2023,17100,17100,17100,17100,-,17100
51,08/02/2023,16100,15900,16000,16100,21000,16100
52,09/02/2023,16000,16000,16000,16000,-,16000
53,10/02/2023,16000,16000,16000,16000,-,16000
54,13/02/2023,16000,16000,16000,16000,200,16000
55,14/02/2023,16000,16000,16000,16000,-,16000
56,15/02/2023,16000,16000,16000,16000,-,16000
57,16/02/2023,16000,16000,16000,16000,-,16000
58,17/02/2023,16000,16000,16000,16000,-,16000
59,20/02/2023,16000,16000,16000,16000,-,16000
60,21/02/2023,16000,16000,16000,16000,200,16000
61,22/02/2023,16000,16000,16000,16000,-,16000
62,23/02/2023,16000,16000,16000,16000,-,16000
63,24/02/2023,16000,16000,16000,16000,-,16000
64,27/02/2023,16000,16000,16000,16000,-,16000
65,28/02/2023,15800,15800,15800,15800,200,15800
66,01/03/2023,15800,15800,15800,15800,-,15800
67,02/03/2023,17100,17100,17100,17100,100,17100
68,03/03/2023,17100,17100,17100,17100,-,17100
69,06/03/2023,17100,17100,17100,17100,-,17100
70,07/03/2023,17100,17100,17100,17100,-,17100
71,08/03/2023,17100,17100,17100,17100,180000,17100
72,09/03/2023,19600,19600,19600,19600,200,19600
73,10/03/2023,19600,19600,19600,19600,-,19600
74,13/03/2023,19600,19600,19600,19600,-,19600
75,14/03/2023,19600,19600,19600,19600,-,19600
76,15/03/2023,19600,19600,19600,19600,-,19600
77,16/03/2023,19600,19600,19600,19600,-,19600
78,17/03/2023,18900,18900,18900,18900,180000,18900
79,20/03/2023,18900,18900,18900,18900,-,18900
80,21/03/2023,18900,18900,18900,18900,-,18900
81,22/03/2023,18800,16100,16100,18800,70100,18800
82,23/03/2023,16100,16100,16100,16100,-,16100
83,24/03/2023,16100,16100,16100,16100,-,16100
84,27/03/2023,16100,16100,16100,16100,-,16100
85,28/03/2023,16100,16100,16100,16100,-,16100
86,29/03/2023,16100,16100,16100,16100,70000,16100
87,30/03/2023,16100,16100,16100,16100,-,16100
88,31/03/2023,16100,16100,16100,16100,-,16100
89,03/04/2023,16100,16100,16100,16100,-,16100
90,04/04/2023,16100,16100,16100,16100,-,16100
91,05/04/2023,16100,16100,16100,16100,-,16100
92,06/04/2023,16100,16100,16100,16100,-,16100
93,07/04/2023,16100,16100,16100,16100,-,16100
94,10/04/2023,16100,16100,16100,16100,-,16100
95,11/04/2023,16100,16100,16100,16100,-,16100
96,12/04/2023,16100,16100,16100,16100,-,16100
97,13/04/2023,16100,16100,16100,16100,-,16100
98,14/04/2023,16000,16000,16000,16000,100,16000
99,17/04/2023,16000,16000,16000,16000,-,16000
100,18/04/2023,16000,16000,16000,16000,-,16000
101,19/04/2023,16000,16000,16000,16000,-,16000
102,20/04/2023,16000,16000,16000,16000,-,16000
103,21/04/2023,16000,16000,16000,16000,-,16000
104,24/04/2023,16000,16000,16000,16000,-,16000
105,25/04/2023,16000,16000,16000,16000,-,16000
106,26/04/2023,18400,18400,18400,18400,100,18400
107,27/04/2023,18400,18400,18400,18400,-,18400
108,28/04/2023,18400,18400,18400,18400,-,18400
109,04/05/2023,18400,18400,18400,18400,-,18400
110,05/05/2023,18400,18400,18400,18400,-,18400
111,08/05/2023,18400,18400,18400,18400,-,18400
112,09/05/2023,18400,18400,18400,18400,-,18400
113,10/05/2023,15700,15700,15700,15700,500,15700
114,11/05/2023,15700,15700,15700,15700,-,15700
115,12/05/2023,15700,15700,15700,15700,-,15700
116,15/05/2023,15700,15700,15700,15700,-,15700
117,16/05/2023,15700,15700,15700,15700,-,15700
118,17/05/2023,15700,15700,15700,15700,-,15700
119,18/05/2023,15700,15700,15700,15700,-,15700
120,19/05/2023,15700,15700,15700,15700,-,15700
121,22/05/2023,15700,15700,15700,15700,-,15700
122,23/05/2023,15700,15700,15700,15700,-,15700
123,24/05/2023,15700,15700,15700,15700,-,15700
124,25/05/2023,15700,15700,15700,15700,-,15700
125,26/05/2023,15700,15700,15700,15700,-,15700
126,29/05/2023,15700,15700,15700,15700,-,15700
127,30/05/2023,15700,15700,15700,15700,-,15700
128,31/05/2023,15700,15700,15700,15700,-,15700
129,01/06/2023,15700,15700,15700,15700,-,15700
130,02/06/2023,15700,15700,15700,15700,-,15700
131,05/06/2023,15700,15700,15700,15700,-,15700
132,06/06/2023,15700,15700,15700,15700,-,15700
133,07/06/2023,15700,15700,15700,15700,-,15700
134,08/06/2023,15700,15700,15700,15700,-,15700
135,09/06/2023,15700,15700,15700,15700,-,15700
136,12/06/2023,15700,15700,15700,15700,-,15700
137,13/06/2023,15700,15700,15700,15700,-,15700
138,14/06/2023,15700,15700,15700,15700,-,15700
139,15/06/2023,15700,15700,15700,15700,-,15700
140,16/06/2023,15700,15700,15700,15700,-,15700
141,19/06/2023,15700,15700,15700,15700,-,15700
142,20/06/2023,15700,15700,15700,15700,-,15700
143,21/06/2023,15700,15700,15700,15700,-,15700
144,22/06/2023,15700,15700,15700,15700,-,15700
145,23/06/2023,15700,15700,15700,15700,-,15700
146,26/06/2023,15700,15700,15700,15700,-,15700
147,27/06/2023,15700,15700,15700,15700,-,15700
148,28/06/2023,15700,15700,15700,15700,-,15700
149,29/06/2023,16000,10000,10000,16000,700,16000
150,30/06/2023,10900,10900,10900,10900,-,10900
151,03/07/2023,12500,10000,10000,12400,400,12400
152,04/07/2023,12000,12000,12000,12000,200,12000
153,05/07/2023,13800,13800,13800,13800,100,13800
154,06/07/2023,13800,13800,13800,13800,-,13800
155,07/07/2023,13800,13800,13800,13800,-,13800
156,10/07/2023,13800,13800,13800,13800,4,13800
157,11/07/2023,15800,11800,11800,15800,200,15800
158,12/07/2023,13800,13800,13800,13800,100,13800
159,13/07/2023,13800,13800,13800,13800,-,13800
160,14/07/2023,13800,13800,13800,13800,-,13800
161,17/07/2023,13800,13800,13800,13800,-,13800
162,18/07/2023,13800,13800,13800,13800,-,13800
163,19/07/2023,13800,13800,13800,13800,-,13800
164,20/07/2023,13800,13800,13800,13800,-,13800
165,21/07/2023,13800,13800,13800,13800,-,13800
166,24/07/2023,13800,13800,13800,13800,-,13800
167,25/07/2023,13800,13800,13800,13800,-,13800
168,26/07/2023,13800,13800,13800,13800,900,13800
169,27/07/2023,13800,13800,13800,13800,-,13800
170,28/07/2023,13800,13800,13800,13800,4,13800
171,31/07/2023,13800,13800,13800,13800,1,13800
172,01/08/2023,13800,13800,13800,13800,-,13800
173,02/08/2023,13800,13800,13800,13800,193000,13800
174,03/08/2023,13800,13800,13800,13800,-,13800
175,04/08/2023,13800,13800,13800,13800,-,13800
176,07/08/2023,13800,13800,13800,13800,-,13800
177,08/08/2023,13800,13800,13800,13800,200,13800
178,09/08/2023,13800,13800,13800,13800,-,13800
179,10/08/2023,13800,13800,13800,13800,-,13800
180,11/08/2023,13800,13800,13800,13800,-,13800
181,14/08/2023,13800,13800,13800,13800,-,13800
182,15/08/2023,13800,13800,13800,13800,-,13800
183,16/08/2023,13800,13800,13800,13800,-,13800
184,17/08/2023,14500,14000,14000,14500,1000,14500
185,18/08/2023,14300,14300,14300,14300,-,14300
186,21/08/2023,14300,14300,14300,14300,-,14300
187,22/08/2023,14300,14300,14300,14300,-,14300
188,23/08/2023,14300,14300,14300,14300,-,14300
189,24/08/2023,14300,14300,14300,14500,2,14300
190,25/08/2023,14300,14300,14300,14300,-,14300
191,28/08/2023,14300,14300,14300,14300,-,14300
192,29/08/2023,14300,14300,14300,14300,-,14300
193,30/08/2023,14300,14300,14300,14300,-,14300
194,31/08/2023,14300,14300,14300,14300,-,14300
195,05/09/2023,16300,15000,15000,16300,2300,16300
196,06/09/2023,15700,15500,15500,15700,3400,15700
197,07/09/2023,15600,15600,15600,15600,1600,15600
198,08/09/2023,16000,15600,15600,16000,1700,16000
199,11/09/2023,15900,15900,15900,15900,182448,15900
200,12/09/2023,15500,15500,15500,15500,1500,15500
201,13/09/2023,15500,15500,15500,15500,119820,15500
202,14/09/2023,15500,15400,15500,15400,2300,15400
203,15/09/2023,15200,15000,15000,15100,5200,15100
204,18/09/2023,15800,15800,15800,15800,1500,15800
205,19/09/2023,16300,16000,16000,16300,5100,16300
206,20/09/2023,16200,16200,16200,16200,-,16200
207,21/09/2023,16000,16000,16000,16000,2100,16000
208,22/09/2023,16000,16000,16000,16000,-,16000
209,25/09/2023,16000,16000,16000,16000,-,16000
210,26/09/2023,16000,16000,16000,16000,-,16000
211,27/09/2023,16000,16000,16000,16000,-,16000
212,28/09/2023,16000,16000,16000,16000,-,16000
213,29/09/2023,16000,16000,16000,16000,-,16000
214,02/10/2023,16000,16000,16000,16000,-,16000
215,03/10/2023,16000,16000,16000,16000,-,16000
216,04/10/2023,16000,16000,16000,16000,-,16000
217,05/10/2023,16000,16000,16000,16000,-,16000
218,06/10/2023,16000,16000,16000,16000,-,16000
219,09/10/2023,17500,17500,17500,17500,300,17500
220,10/10/2023,17500,17500,17500,17500,-,17500
221,11/10/2023,17500,17500,17500,17500,-,17500
222,12/10/2023,17500,17500,17500,17500,-,17500
223,13/10/2023,17500,17500,17500,17500,-,17500
224,16/10/2023,17500,17500,17500,17500,-,17500
225,17/10/2023,17500,17500,17500,17500,-,17500
226,18/10/2023,17500,17500,17500,17500,-,17500
227,19/10/2023,17500,17500,17500,17500,-,17500
228,20/10/2023,17500,17500,17500,17500,-,17500
229,23/10/2023,17500,17500,17500,17500,-,17500
230,24/10/2023,17500,17500,17500,17500,-,17500
231,25/10/2023,17500,17500,17500,17500,-,17500
232,26/10/2023,17500,17500,17500,17500,-,17500
233,27/10/2023,17500,17500,17500,17500,-,17500
234,30/10/2023,17500,17500,17500,17500,-,17500
235,31/10/2023,17500,17500,17500,17500,-,17500
236,01/11/2023,17500,17500,17500,17500,-,17500
237,02/11/2023,17500,17500,17500,17500,-,17500
238,03/11/2023,17500,17500,17500,17500,-,17500
239,06/11/2023,17500,17500,17500,17500,-,17500
240,07/11/2023,17500,17500,17500,17500,-,17500
241,08/11/2023,18000,18000,18000,18000,100,18000
242,09/11/2023,18000,18000,18000,18000,-,18000
