,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,26000,21300,24000,24000,127400,21300
1,22/11/2022,24000,22000,22100,24000,15600,21300
2,23/11/2022,24000,23000,24000,24000,24300,21300
3,24/11/2022,23400,22100,23400,23400,7000,20800
4,25/11/2022,23500,22300,23400,23300,56800,20700
5,28/11/2022,24000,23100,23500,24000,12200,21300
6,29/11/2022,24500,23300,23700,23800,11500,21100
7,30/11/2022,24500,23500,23500,24000,4800,21300
8,01/12/2022,24800,23600,24800,23700,1715300,21000
9,02/12/2022,24200,23600,24200,24200,8300,21500
10,05/12/2022,24200,23800,24200,23800,15700,21100
11,06/12/2022,24200,23600,24200,23700,22300,21000
12,07/12/2022,26300,23000,25500,23100,88700,21400
13,08/12/2022,25500,23200,23200,25500,89600,23600
14,09/12/2022,26300,25000,25000,26000,5602000,24100
15,12/12/2022,26300,23500,25800,25900,2271800,24000
16,13/12/2022,26100,23700,23800,26100,5320600,24100
17,14/12/2022,26400,24100,24500,26000,83200,24100
18,15/12/2022,26100,24700,26000,25000,1232700,23100
19,16/12/2022,27500,25200,26000,25600,71600,23700
20,19/12/2022,26900,25500,26000,25500,76600,23600
21,20/12/2022,28000,26800,27900,26800,1101900,24800
22,21/12/2022,27800,25000,25800,25000,2138000,23100
23,22/12/2022,27600,25000,26300,25000,76500,23100
24,23/12/2022,27000,26200,26200,27000,71500,25000
25,26/12/2022,27800,25000,27000,25000,3069200,23100
26,27/12/2022,27100,26300,26300,27100,123100,25100
27,28/12/2022,28500,25000,27700,26000,8422800,24100
28,29/12/2022,30800,26600,27900,26600,89500,24600
29,30/12/2022,31000,26300,26300,31000,115400,28700
30,03/01/2023,29500,26700,26700,27000,8900,25000
31,04/01/2023,27000,26200,26800,26200,332100,24200
32,05/01/2023,27900,25300,26000,27000,7500,25000
33,06/01/2023,26200,25900,25900,26000,8064100,24100
34,09/01/2023,27000,25300,25500,27000,19800,25000
35,10/01/2023,30100,26300,30100,26300,2476300,24300
36,11/01/2023,26600,25600,25600,26000,3523000,24100
37,12/01/2023,26800,26800,26800,26800,500100,24800
38,13/01/2023,26800,26700,26700,26800,7400,24800
39,16/01/2023,26800,26800,26800,26800,-,24800
40,17/01/2023,26800,25500,26000,26800,18600,24800
41,18/01/2023,26500,25800,26000,26400,20100,24400
42,19/01/2023,26500,25500,26500,26000,18000,24100
43,27/01/2023,26800,26000,26000,26800,17200,24800
44,30/01/2023,26800,22700,22700,26600,17100,24600
45,31/01/2023,26800,26600,26600,26700,28200,24700
46,01/02/2023,26800,26600,26700,26800,20700,24800
47,02/02/2023,26800,26600,26700,26800,13900,24800
48,03/02/2023,26800,25700,26800,26800,18600,24800
49,06/02/2023,26300,26300,26300,26300,1400,24300
50,07/02/2023,26500,25600,26500,26500,1400,24500
51,08/02/2023,25800,25800,25800,25800,4200,23900
52,09/02/2023,26300,25800,25800,26300,1600,24300
53,10/02/2023,26100,26100,26100,26100,300,24100
54,13/02/2023,26100,26100,26100,26100,-,24100
55,14/02/2023,26100,26100,26100,26100,-,24100
56,15/02/2023,26100,26100,26100,26100,-,24100
57,16/02/2023,26000,25200,26000,25200,600,23300
58,17/02/2023,25400,25200,25300,25400,3300,23500
59,20/02/2023,26000,24600,24600,25700,3600,23800
60,21/02/2023,25300,24800,25000,24800,800,22900
61,22/02/2023,25800,23800,23800,25800,2000,23900
62,23/02/2023,24700,24500,24700,24500,600,22700
63,24/02/2023,26000,26000,26000,26000,100,24100
64,27/02/2023,25700,24000,25400,25700,6600,23800
65,28/02/2023,25600,25000,25600,25000,8700,23100
66,01/03/2023,25600,22200,22200,25500,12600,23600
67,02/03/2023,25400,25000,25000,25000,1300,23100
68,03/03/2023,25000,25000,25000,25000,-,23100
69,06/03/2023,25000,23700,23700,25000,3400,23100
70,07/03/2023,26000,25000,25900,25000,12600,23100
71,08/03/2023,25700,25300,25700,25300,300,23400
72,09/03/2023,26000,26000,26000,26000,100,24100
73,10/03/2023,25100,24700,25100,24700,9200,22800
