,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,25800,25800,25800,25800,-,24900
1,22/11/2022,25000,24400,25000,24400,1100,23500
2,23/11/2022,24600,24600,24600,24600,-,23700
3,24/11/2022,21500,21300,21500,21300,1600,20500
4,25/11/2022,24400,22000,24400,24000,1500,23100
5,28/11/2022,24000,23800,24000,23800,400,22900
6,29/11/2022,23500,23000,23000,23100,900,22300
7,30/11/2022,23100,23000,23000,23100,2100,22300
8,01/12/2022,24000,22100,23100,24000,5100,23100
9,02/12/2022,23300,22500,23300,23000,6900,22200
10,05/12/2022,24000,22700,24000,23100,5000,22300
11,06/12/2022,24000,24000,24000,24000,100,23100
12,07/12/2022,23000,22600,23000,22800,1300,22000
13,08/12/2022,23800,23500,23800,23500,700,22600
14,09/12/2022,23600,23600,23600,23600,-,22700
15,12/12/2022,23600,23600,23600,23600,-,22700
16,13/12/2022,23600,23600,23600,23600,-,22700
17,14/12/2022,23600,23600,23600,23600,-,22700
18,15/12/2022,23600,23600,23600,23600,-,22700
19,16/12/2022,23900,23900,23900,23900,200,23000
20,19/12/2022,23900,23900,23900,23900,-,23000
21,20/12/2022,23000,23000,23000,23000,700,22200
22,21/12/2022,26400,23000,23000,26000,2200,25100
23,22/12/2022,27000,25700,26800,27000,800,26000
24,23/12/2022,24500,24500,24500,24500,900,23600
25,26/12/2022,26800,23000,26800,23000,1201,22200
26,27/12/2022,25800,25800,25800,25800,200,24900
27,28/12/2022,25800,25800,25800,25800,-,24900
28,29/12/2022,25900,22100,22600,25900,1200,25000
29,30/12/2022,25600,25600,25600,25600,200,24700
30,03/01/2023,25000,24900,24900,25000,2800,24100
31,04/01/2023,26800,26800,26800,26800,200,25800
32,05/01/2023,26800,26800,26800,26800,-,25800
33,06/01/2023,26800,26800,26800,26800,1000,25800
34,09/01/2023,27800,27800,27800,27800,200,26800
35,10/01/2023,27800,27800,27800,27800,300,26800
36,11/01/2023,27800,27800,27800,27800,200,26800
37,12/01/2023,27800,27800,27800,27800,300,26800
38,13/01/2023,27800,27800,27800,27800,-,26800
39,16/01/2023,25900,25000,25100,25900,2100,25000
40,17/01/2023,27800,27800,27800,27800,200,26800
41,18/01/2023,27800,27800,27800,27800,-,26800
42,19/01/2023,27800,27800,27800,27800,-,26800
43,27/01/2023,26500,25000,25200,25400,1400,24500
44,30/01/2023,27800,27800,27800,27800,200,26800
45,31/01/2023,28000,25100,28000,27500,5003,26500
46,01/02/2023,27900,27000,27900,27000,309,26000
47,02/02/2023,29500,29500,29500,29500,200,28400
48,03/02/2023,30500,25500,30500,29300,1800,28200
49,06/02/2023,29800,26000,29800,26000,1900,25100
50,07/02/2023,30300,26000,30300,26300,1500,25300
51,08/02/2023,28000,26000,28000,26000,200,25100
52,09/02/2023,29900,29900,29900,29900,100,28800
53,10/02/2023,25500,25500,25500,25500,2600,24600
54,13/02/2023,28500,28500,28500,28500,200,27500
55,14/02/2023,28500,28500,28500,28500,-,27500
56,15/02/2023,28500,28500,28500,28500,-,27500
57,16/02/2023,28500,28500,28500,28500,-,27500
