,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15700,15700,15700,15700,-,14700
1,22/11/2022,15700,15700,15700,15700,-,14700
2,23/11/2022,15700,15700,15700,15700,-,14700
3,24/11/2022,15700,15700,15700,15700,-,14700
4,25/11/2022,15700,15700,15700,15700,-,14700
5,28/11/2022,14500,14000,14400,14000,1300,13200
6,29/11/2022,14500,14000,14000,14500,200,13600
7,30/11/2022,15800,15800,15800,15800,100,14800
8,01/12/2022,15800,15800,15800,15800,-,14800
9,02/12/2022,15800,15800,15800,15800,-,14800
10,05/12/2022,15800,15800,15800,15800,-,14800
11,06/12/2022,15800,15800,15800,15800,-,14800
12,07/12/2022,15800,15800,15800,15800,-,14800
13,08/12/2022,14500,14500,14500,14500,5200,13600
14,09/12/2022,14500,14500,14500,14500,-,13600
15,12/12/2022,14400,13300,13500,13300,8300,12500
16,13/12/2022,14400,13500,14400,13500,200,12700
17,14/12/2022,14900,14900,14900,14900,500,14000
18,15/12/2022,14900,14900,14900,14900,-,14000
19,16/12/2022,14900,14900,14900,14900,-,14000
20,19/12/2022,15800,15800,15800,15800,100,14800
21,20/12/2022,15800,15800,15800,15800,-,14800
22,21/12/2022,15800,15800,15800,15800,-,14800
23,22/12/2022,15800,15800,15800,15800,-,14800
24,23/12/2022,14800,14000,14000,14800,4200,13900
25,26/12/2022,15800,14800,15800,14800,11200,13900
26,27/12/2022,14900,14900,14900,14900,3500,14000
27,28/12/2022,15000,15000,15000,15000,5000,14100
28,29/12/2022,15000,14500,15000,14500,5500,13600
29,30/12/2022,14500,14500,14500,14500,-,13600
30,03/01/2023,14500,14500,14500,14500,-,13600
31,04/01/2023,14800,14400,14400,14800,5200,13900
32,05/01/2023,15000,15000,15000,15000,3000,14100
33,06/01/2023,15000,15000,15000,15000,-,14100
34,09/01/2023,15000,15000,15000,15000,-,14100
35,10/01/2023,15000,15000,15000,15000,4100,14100
36,11/01/2023,15000,15000,15000,15000,101,14100
37,12/01/2023,15000,15000,15000,15000,500,14100
38,13/01/2023,15500,15000,15000,15500,12000,14600
39,16/01/2023,15500,15400,15400,15500,10000,14600
40,17/01/2023,15500,15500,15500,15500,10000,14600
41,18/01/2023,15500,15500,15500,15500,-,14600
42,19/01/2023,15500,15500,15500,15500,3000,14600
43,27/01/2023,15500,15500,15500,15500,-,14600
44,30/01/2023,15500,15500,15500,15500,5000,14600
45,31/01/2023,15500,13200,15500,13200,948,12400
46,01/02/2023,15200,15200,15200,15200,4700,14300
47,02/02/2023,15200,15200,15200,15200,-,14300
48,03/02/2023,15200,15200,15200,15200,-,14300
49,06/02/2023,15200,15200,15200,15200,-,14300
50,07/02/2023,15200,15200,15200,15200,-,14300
51,08/02/2023,15200,15200,15200,15200,-,14300
52,09/02/2023,15200,15200,15200,15200,-,14300
53,10/02/2023,15200,15200,15200,15200,-,14300
54,13/02/2023,15200,15200,15200,15200,-,14300
55,14/02/2023,15200,15200,15200,15200,11,14300
56,15/02/2023,15200,15200,15200,15200,-,14300
57,16/02/2023,15200,15200,15200,15200,-,14300
58,17/02/2023,15200,15200,15200,15200,-,14300
59,20/02/2023,15100,15100,15100,15100,1200,14200
60,21/02/2023,15100,15100,15100,15100,-,14200
61,22/02/2023,13900,13900,13900,13900,1000,13100
62,23/02/2023,13900,13900,13900,13900,-,13100
63,24/02/2023,13900,13900,13900,13900,-,13100
64,27/02/2023,13900,13900,13900,13900,-,13100
65,28/02/2023,13900,13900,13900,13900,-,13100
66,01/03/2023,13900,13900,13900,13900,-,13100
67,02/03/2023,13900,13900,13900,13900,-,13100
68,03/03/2023,13900,13900,13900,13900,-,13100
69,06/03/2023,13900,13900,13900,13900,-,13100
70,07/03/2023,13900,13900,13900,13900,-,13100
71,08/03/2023,13900,13900,13900,13900,-,13100
72,09/03/2023,13900,13900,13900,13900,-,13100
73,10/03/2023,13900,13900,13900,13900,-,13100
74,13/03/2023,13900,13900,13900,13900,-,13100
75,14/03/2023,13900,13900,13900,13900,-,13100
76,15/03/2023,13900,13900,13900,13900,-,13100
77,16/03/2023,13900,13900,13900,13900,-,13100
78,17/03/2023,13900,13900,13900,13900,-,13100
79,20/03/2023,13900,13900,13900,13900,-,13100
80,21/03/2023,13900,13900,13900,13900,-,13100
81,22/03/2023,15100,15100,15100,15100,4000,14200
