,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10600,10600,10600,10600,-,9800
1,22/11/2022,10600,10600,10600,10600,-,9800
2,23/11/2022,10600,10600,10600,10600,-,9800
3,24/11/2022,10600,10600,10600,10600,-,9800
4,25/11/2022,10600,10600,10600,10600,-,9800
5,28/11/2022,10600,10600,10600,10600,-,9800
6,29/11/2022,10600,10600,10600,10600,-,9800
7,30/11/2022,10600,10600,10600,10600,-,9800
8,01/12/2022,10400,10400,10400,10400,200,9600
9,02/12/2022,10300,10000,10000,10000,600,9200
10,05/12/2022,10100,10100,10100,10100,-,9300
11,06/12/2022,10100,10100,10100,10100,-,9300
12,07/12/2022,10100,10100,10100,10100,-,9300
13,08/12/2022,8900,8900,8900,8900,400,8200
14,09/12/2022,10100,8900,9100,10100,1100,9300
15,12/12/2022,9700,9700,9700,9700,100,8900
16,13/12/2022,9700,9700,9700,9700,100,8900
17,14/12/2022,9700,9700,9700,9700,100,8900
18,15/12/2022,9800,9800,9800,9800,100,9000
19,16/12/2022,9000,9000,9000,9000,300,8700
20,19/12/2022,9000,9000,9000,9000,-,8700
21,20/12/2022,9800,9800,9800,9800,100,9400
22,21/12/2022,10000,10000,10000,10000,100,9600
23,22/12/2022,10000,10000,10000,10000,-,9600
24,23/12/2022,10000,10000,10000,10000,-,9600
25,26/12/2022,10000,10000,10000,10000,-,9600
26,27/12/2022,10000,10000,10000,10000,-,9600
27,28/12/2022,9900,9900,9900,9900,500,9500
28,29/12/2022,9900,9900,9900,9900,-,9500
29,30/12/2022,9900,9900,9900,9900,-,9500
30,03/01/2023,9900,9900,9900,9900,-,9500
31,04/01/2023,9900,9900,9900,9900,-,9500
32,05/01/2023,8500,8500,8500,8500,300,8200
33,06/01/2023,9700,9700,9700,9700,100,9300
34,09/01/2023,9700,9700,9700,9700,-,9300
35,10/01/2023,9700,9700,9700,9700,-,9300
36,11/01/2023,10200,10200,10200,10200,200,9800
37,12/01/2023,10200,10200,10200,10200,100,9800
38,13/01/2023,8800,8700,8800,8700,900,8400
39,16/01/2023,9800,9800,9800,9800,100,9400
40,17/01/2023,9800,9800,9800,9800,-,9400
41,18/01/2023,9800,9500,9800,9500,500,9100
42,19/01/2023,9500,9500,9500,9500,400,9100
43,27/01/2023,9500,9500,9500,9500,-,9100
44,30/01/2023,9500,9500,9500,9500,300,9100
45,31/01/2023,9200,9200,9200,9200,100,8800
46,01/02/2023,9100,9100,9100,9100,100,8700
47,02/02/2023,10000,9000,9000,10000,300,9600
48,03/02/2023,9500,9500,9500,9500,-,9100
49,06/02/2023,9500,9500,9500,9500,-,9100
50,07/02/2023,9700,9700,9700,9700,1000,9300
51,08/02/2023,9700,9700,9700,9700,-,9300
52,09/02/2023,9700,9700,9700,9700,-,9300
53,10/02/2023,10000,10000,10000,10000,500,9600
54,13/02/2023,9300,9000,9300,9000,1800,8700
55,14/02/2023,8900,8900,8900,8900,700,8600
56,15/02/2023,9000,9000,9000,9000,100,8700
57,16/02/2023,9000,9000,9000,9000,-,8700
58,17/02/2023,9000,9000,9000,9000,-,8700
59,20/02/2023,9500,8600,8600,9500,1200,9100
60,21/02/2023,9500,9500,9500,9500,100,9100
61,22/02/2023,9500,9400,9400,9500,1200,9100
62,23/02/2023,9500,9500,9500,9500,-,9100
63,24/02/2023,9500,9500,9500,9500,-,9100
64,27/02/2023,9500,9500,9500,9500,-,9100
65,28/02/2023,9500,9500,9500,9500,-,9100
66,01/03/2023,9500,9500,9500,9500,-,9100
67,02/03/2023,9500,9500,9500,9500,-,9100
68,03/03/2023,9500,9500,9500,9500,-,9100
69,06/03/2023,9500,9500,9500,9500,-,9100
70,07/03/2023,9400,9000,9200,9400,400,9000
71,08/03/2023,9400,9400,9400,9400,834033,9000
72,09/03/2023,9400,9400,9400,9400,-,9000
73,10/03/2023,9400,9400,9400,9400,-,9000
74,13/03/2023,9400,9400,9400,9400,1,9000
75,14/03/2023,9400,9400,9400,9400,-,9000
76,15/03/2023,9400,9400,9400,9400,-,9000
77,16/03/2023,9900,9900,9900,9900,100,9500
78,17/03/2023,9900,9900,9900,9900,-,9500
79,20/03/2023,9900,9900,9900,9900,-,9500
80,21/03/2023,9900,9900,9900,9900,1,9500
81,22/03/2023,9900,9900,9900,9900,-,9500
82,23/03/2023,9900,9900,9900,9900,-,9500
83,24/03/2023,9900,9900,9900,9900,-,9500
84,27/03/2023,9900,9900,9900,9900,-,9500
85,28/03/2023,9900,9900,9900,9900,-,9500
86,29/03/2023,9900,9900,9900,9900,1,9500
87,30/03/2023,9900,9900,9900,9900,-,9500
88,31/03/2023,9900,9900,9900,9900,-,9500
89,03/04/2023,9900,9900,9900,9900,-,9500
90,04/04/2023,9900,9900,9900,9900,1,9500
91,05/04/2023,9800,8500,8500,9800,2100,9400
92,06/04/2023,8100,8100,8100,8100,100,7800
93,07/04/2023,9300,9300,9300,9300,300,8900
94,10/04/2023,9300,9300,9300,9300,1,8900
95,11/04/2023,10500,9800,9800,10500,600,10100
96,12/04/2023,10600,10500,10500,10600,500,10200
97,13/04/2023,9500,9100,9500,9300,2800,8900
98,14/04/2023,10200,10200,10200,10200,100,9800
99,17/04/2023,9000,8900,9000,8900,3100,8600
100,18/04/2023,10200,8900,10200,8900,1410,8600
101,19/04/2023,10200,9000,10200,9000,1600,8700
102,20/04/2023,10100,9000,10000,9000,1000,8700
103,21/04/2023,10000,8800,10000,8800,10230,8500
104,24/04/2023,9600,9400,9400,9600,310,9200
105,25/04/2023,9400,8800,9400,9300,1900,8900
106,26/04/2023,9200,9100,9100,9200,200,8800
107,27/04/2023,9400,8800,9400,9300,700,8900
108,28/04/2023,9300,9100,9200,9300,500,8900
109,04/05/2023,9600,8800,9000,9600,1601,9200
110,05/05/2023,9900,9800,9800,9900,200,9500
111,08/05/2023,9800,9800,9800,9800,110,9400
112,09/05/2023,10100,10000,10000,10100,202,9700
113,10/05/2023,8900,8900,8900,8900,104,8600
114,11/05/2023,10200,10100,10100,10200,400,9800
115,12/05/2023,10100,10000,10000,10100,200,9700
116,15/05/2023,10200,10200,10200,10200,203,9800
117,16/05/2023,10400,10400,10400,10400,100,10000
118,17/05/2023,10200,10200,10200,10200,200,9800
119,18/05/2023,10300,8700,10200,10300,1400,9900
120,19/05/2023,10500,10000,10300,10400,2100,10000
