,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7900,7900,7900,7900,-,7700
1,22/11/2022,7900,7900,7900,7900,1000,7700
2,23/11/2022,7900,7900,7900,7900,-,7700
3,24/11/2022,7900,7900,7900,7900,-,7700
4,25/11/2022,7900,7900,7900,7900,4700,7700
5,28/11/2022,7900,7800,7800,7800,14600,7600
6,29/11/2022,7800,7800,7800,7800,-,7600
7,30/11/2022,8000,7800,8000,7800,2100,7600
8,01/12/2022,7900,7800,7800,7800,11400,7600
9,02/12/2022,7800,7800,7800,7800,-,7600
10,05/12/2022,7800,7800,7800,7800,-,7600
11,06/12/2022,7600,7600,7600,7600,5000,7400
12,07/12/2022,7500,7500,7500,7500,600,7300
13,08/12/2022,7500,7500,7500,7500,4000,7300
14,09/12/2022,7400,7400,7400,7400,1000,7200
15,12/12/2022,8100,7000,7400,8100,5100,7800
16,13/12/2022,8000,8000,8000,8000,100,7700
17,14/12/2022,8000,8000,8000,8000,-,7700
18,15/12/2022,7800,7700,7700,7800,400,7600
19,16/12/2022,7800,7000,7000,7800,900,7600
20,19/12/2022,7400,7400,7400,7400,-,7200
21,20/12/2022,7400,7400,7400,7400,3100,7200
22,21/12/2022,7900,6500,7000,7500,900,7300
23,22/12/2022,7200,7200,7200,7200,-,7000
24,23/12/2022,7200,7200,7200,7200,100,7000
25,26/12/2022,7200,7200,7200,7200,-,7000
26,27/12/2022,8000,8000,8000,8000,100,7700
27,28/12/2022,8000,8000,8000,8000,-,7700
28,29/12/2022,8000,8000,8000,8000,-,7700
29,30/12/2022,8000,8000,8000,8000,-,7700
30,03/01/2023,7900,7100,7900,7100,900,6900
31,04/01/2023,7500,7500,7500,7500,-,7300
32,05/01/2023,8000,8000,8000,8000,100,7700
33,06/01/2023,7900,7900,7900,7900,100,7700
34,09/01/2023,7000,7000,7000,7000,1200,6800
35,10/01/2023,7100,7000,7100,7100,2200,6900
36,11/01/2023,7900,7900,7900,7900,100,7700
37,12/01/2023,7900,7900,7900,7900,-,7700
38,13/01/2023,7800,7300,7300,7800,5100,7600
39,16/01/2023,7700,7700,7700,7700,-,7500
40,17/01/2023,8000,8000,8000,8000,100,7700
41,18/01/2023,8000,8000,8000,8000,200,7700
42,19/01/2023,7800,7800,7800,7800,5800,7600
43,27/01/2023,8800,8800,8800,8800,100,8500
44,30/01/2023,8000,8000,8000,8000,900,7700
45,31/01/2023,9000,9000,9000,9000,130,8700
46,01/02/2023,8000,8000,8000,8000,800,7700
47,02/02/2023,8000,8000,8000,8000,1000,7700
48,03/02/2023,7800,7800,7800,7800,100,7600
49,06/02/2023,8900,8500,8500,8900,300,8600
50,07/02/2023,7800,7600,7600,7700,2400,7500
