,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,21000,19400,19400,21000,8700,14200
1,22/11/2022,20500,20500,20500,20500,1200,13900
2,23/11/2022,20500,20500,20500,20500,14,13900
3,24/11/2022,20200,20200,20200,20200,100,13700
4,25/11/2022,20900,20900,20900,20900,300,14200
5,28/11/2022,20900,19900,19900,20900,1200,14200
6,29/11/2022,20800,20800,20800,20800,-,14100
7,30/11/2022,20800,20800,20800,20800,-,14100
8,01/12/2022,18600,18600,18600,18600,100,12600
9,02/12/2022,19000,18500,19000,18500,1800,12500
10,05/12/2022,21000,18700,18700,21000,1100,14200
11,06/12/2022,18900,18900,18900,18900,-,12800
12,07/12/2022,18900,18900,18900,18900,-,12800
13,08/12/2022,18900,18900,18900,21000,5,12800
14,09/12/2022,20000,19200,20000,19200,2000,13000
15,12/12/2022,20000,19500,19500,20000,3000,13500
16,13/12/2022,18700,18700,18700,18700,100,12700
17,14/12/2022,20500,18700,18700,20000,9300,13500
18,15/12/2022,20000,19000,20000,19500,2950,13200
19,16/12/2022,19000,19000,19000,19000,100,12900
20,19/12/2022,19000,19000,19000,19000,-,12900
21,20/12/2022,20000,19000,19000,20000,14200,13500
22,21/12/2022,20000,18700,20000,20000,7668,13500
23,22/12/2022,19200,19200,19200,19200,-,13000
24,23/12/2022,20000,19700,20000,19700,3400,13300
25,26/12/2022,19600,19400,19600,19600,3900,13300
26,27/12/2022,20000,16800,20000,19800,22800,13400
27,28/12/2022,20000,19800,20000,20000,14700,13500
28,29/12/2022,20500,20000,20000,20500,10200,13900
29,30/12/2022,20000,20000,20000,20000,19000,13500
30,03/01/2023,20000,20000,20000,20000,-,13500
31,04/01/2023,20000,20000,20000,20000,300,13500
32,05/01/2023,20000,20000,20000,20000,-,13500
33,06/01/2023,20000,20000,20000,20000,31000,13500
34,09/01/2023,20000,20000,20000,20000,6000,13500
35,10/01/2023,20000,19800,20000,19900,9344,13500
36,11/01/2023,20000,20000,20000,20000,500,13500
37,12/01/2023,20100,20000,20000,20000,25500,13500
38,13/01/2023,20000,19800,20000,20000,47400,13500
39,16/01/2023,21700,20000,20000,21700,13547,14700
40,17/01/2023,23200,22200,22200,23200,27933,15700
41,18/01/2023,25000,23100,23200,24500,14200,16600
42,19/01/2023,25500,24000,24000,25500,39650,17300
43,27/01/2023,27500,25500,25500,26900,31144,18200
44,30/01/2023,30900,27000,27000,30400,46100,20600
45,31/01/2023,32000,30000,30000,31000,30000,21000
46,01/02/2023,31200,30000,30900,31000,35800,21000
47,02/02/2023,30800,29400,30800,29400,8900,19900
48,03/02/2023,30000,29500,30000,29700,5600,20100
49,06/02/2023,29700,29700,29700,29700,11010,20100
50,07/02/2023,29700,29700,29700,29700,12500,20100
51,08/02/2023,29700,29700,29700,29700,4107,20100
52,09/02/2023,30200,30200,30200,30200,6000,20400
53,10/02/2023,30500,26700,26700,29500,1710,20000
54,13/02/2023,28600,28000,28600,28000,3325,19000
55,14/02/2023,29800,26600,29000,28600,1050,19400
56,15/02/2023,28500,28000,28000,28500,1800,19300
57,16/02/2023,29400,28200,28600,29400,720,19900
58,17/02/2023,28700,27600,28700,28700,7015,19400
59,20/02/2023,30000,29000,29100,30000,8000,20300
60,21/02/2023,33900,31000,31000,31900,28400,21600
61,22/02/2023,31800,30600,30700,30800,18900,20900
62,23/02/2023,31000,30900,30900,30900,1900,20900
63,24/02/2023,31200,30000,30500,31200,9600,21100
64,27/02/2023,30100,29800,30100,29800,1200,20200
65,28/02/2023,30100,29900,29900,30100,10510,20400
66,01/03/2023,30000,30000,30000,30000,4200,20300
67,02/03/2023,30500,29500,30500,29500,5000,20000
68,03/03/2023,30000,29500,30000,29500,2700,20000
69,06/03/2023,29600,29600,29600,29600,1900,20000
70,07/03/2023,29600,29500,29600,29500,200,20000
71,08/03/2023,30200,29600,29600,30200,6105,20400
72,09/03/2023,30500,30100,30500,30100,7000,20400
73,10/03/2023,30500,30200,30500,30200,17710,20400
74,13/03/2023,30900,30500,30500,30900,7103,20900
75,14/03/2023,30800,30500,30500,30600,5700,20700
76,15/03/2023,31500,30100,31000,31000,49880,21000
77,16/03/2023,31000,31000,31000,31000,-,21000
78,17/03/2023,31500,30100,30100,30800,8920,20900
79,20/03/2023,30600,30100,30500,30500,10400,20700
80,21/03/2023,30600,30000,30300,30400,10606,20600
81,22/03/2023,31000,30600,30600,30700,7303,20800
82,23/03/2023,31000,30400,31000,30800,7600,20900
83,24/03/2023,30800,30600,30700,30800,7600,20900
84,27/03/2023,33500,30800,30800,33500,15200,22700
85,28/03/2023,34000,32800,34000,32800,4317,22200
86,29/03/2023,32500,32500,32500,32500,1400,22000
87,30/03/2023,32500,32400,32500,32500,14700,22000
88,31/03/2023,32500,32000,32500,32000,6833,21700
89,03/04/2023,32500,31600,32500,32000,4806,21700
90,04/04/2023,33900,32500,32500,33000,17105,22300
91,05/04/2023,33000,32800,32800,32900,11937,22300
92,06/04/2023,32900,32700,32900,32800,7503,22200
93,07/04/2023,32800,32100,32600,32700,4389,22100
94,10/04/2023,33500,32800,33500,32900,10767,22300
95,11/04/2023,33800,32900,33800,32900,952,22300
96,12/04/2023,32600,32500,32600,32600,3400,22100
97,13/04/2023,32800,32600,32800,32600,300,22100
98,14/04/2023,32900,31000,32900,31000,18700,21000
99,17/04/2023,31900,30600,31900,31000,17700,21000
100,18/04/2023,31300,31100,31300,31100,1810,21100
101,19/04/2023,31400,30900,31400,31000,6002,21000
102,20/04/2023,31100,30800,31000,30800,17600,20900
103,21/04/2023,31300,30800,30900,31000,7803,21000
104,24/04/2023,32700,31000,31300,31100,35813,21100
105,25/04/2023,32800,31100,32800,31900,5200,21600
106,26/04/2023,31900,31100,31900,31400,2430,21300
107,27/04/2023,31500,31100,31200,31300,9200,21200
108,28/04/2023,31600,31200,31600,31300,9212,21200
109,04/05/2023,33400,31000,33400,31000,46374,21000
110,05/05/2023,31900,30800,31900,31000,25901,21000
111,08/05/2023,33300,30500,33300,30700,21605,20800
112,09/05/2023,31200,30700,31200,31000,23802,21000
113,10/05/2023,31500,30700,30900,31500,20612,21300
114,11/05/2023,31500,31100,31100,31500,1000,21300
115,12/05/2023,31500,31300,31400,31300,3500,21200
116,15/05/2023,31400,31000,31400,31300,21713,21200
117,16/05/2023,33200,31200,33200,31500,59393,21300
118,17/05/2023,31600,31100,31600,31400,14660,21300
119,18/05/2023,31700,31200,31700,31400,2605,21300
120,19/05/2023,31500,31000,31500,31400,28818,21300
121,22/05/2023,32600,31400,31400,32500,50754,22000
122,23/05/2023,34000,32500,32900,32800,39100,22200
123,24/05/2023,33600,32900,33600,33000,24010,22300
124,25/05/2023,33300,33000,33100,33000,23710,22300
125,26/05/2023,33700,33100,33100,33500,35277,22700
126,29/05/2023,35800,33800,33800,35800,75230,24200
127,30/05/2023,36700,35500,35900,36700,154291,24800
128,31/05/2023,36800,35800,36300,36300,31844,24600
129,01/06/2023,36400,35500,36000,36300,79310,24600
130,02/06/2023,39000,36700,36700,38000,158512,25700
131,05/06/2023,40000,38500,40000,38500,206440,26100
132,06/06/2023,39000,37500,39000,37900,185560,25700
133,07/06/2023,38500,37200,38100,37900,143935,25700
134,08/06/2023,25900,24800,25500,25000,76438,25000
135,09/06/2023,25400,23600,25000,25100,81874,25100
136,12/06/2023,25200,24000,25100,24200,36202,24200
137,13/06/2023,24300,23900,24300,24300,46231,24300
138,14/06/2023,24300,23900,24300,23900,39545,23900
139,15/06/2023,24900,24000,24300,24600,27024,24600
140,16/06/2023,24800,24000,24700,24500,18979,24500
141,19/06/2023,24500,24100,24100,24400,4934,24400
142,20/06/2023,24400,24000,24400,24100,17978,24100
143,21/06/2023,24500,24100,24100,24400,29433,24400
144,22/06/2023,24500,24100,24400,24400,29100,24400
145,23/06/2023,24500,24300,24400,24300,47184,24300
146,26/06/2023,24200,23800,24200,24100,29810,24100
147,27/06/2023,24000,23500,24000,23800,21841,23800
148,28/06/2023,25000,23600,23700,24500,34000,24500
149,29/06/2023,24400,23800,24100,23800,6669,23800
150,30/06/2023,24000,23700,24000,23800,17359,23800
151,03/07/2023,23800,23500,23600,23800,13851,23800
152,04/07/2023,24100,23800,24100,24000,4891,24000
153,05/07/2023,24000,23800,23900,23900,9122,23900
154,06/07/2023,23900,23700,23900,23800,4126,23800
155,07/07/2023,23900,23600,23800,23900,17250,23900
156,10/07/2023,23600,23300,23600,23600,42805,23600
157,11/07/2023,25000,23500,23600,23800,146381,23800
158,12/07/2023,24100,23800,24100,24000,20560,24000
159,13/07/2023,24200,24000,24100,24000,25442,24000
160,14/07/2023,25100,24000,24000,24500,38154,24500
161,17/07/2023,25500,24000,24700,24000,49920,24000
162,18/07/2023,26400,25500,26000,26300,207388,26300
163,19/07/2023,27000,25600,27000,26200,23344,26200
164,20/07/2023,26000,25000,26000,25100,35731,25100
165,21/07/2023,25300,24200,25300,24700,24168,24700
166,24/07/2023,25000,24500,24500,24800,23423,24800
167,25/07/2023,25000,24800,24900,24900,51238,24900
168,26/07/2023,25100,25000,25000,25000,35631,25000
169,27/07/2023,25200,25000,25100,25000,60100,25000
170,28/07/2023,25200,25000,25000,25100,5960,25100
