,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10000,10000,10000,10000,-,9500
1,22/11/2022,10000,10000,10000,10000,-,9500
2,23/11/2022,10900,8500,10900,8500,900,8000
3,24/11/2022,8900,8900,8900,8900,-,8400
4,25/11/2022,8800,8800,8800,8800,500,8300
5,28/11/2022,8000,7500,8000,7500,900,7100
6,29/11/2022,7800,7800,7800,7800,-,7400
7,30/11/2022,7800,7800,7800,7800,-,7400
8,01/12/2022,7800,7800,7800,7800,-,7400
9,02/12/2022,7800,7800,7800,7800,-,7400
10,05/12/2022,7800,7800,7800,7800,-,7400
11,06/12/2022,7800,7800,7800,7800,-,7400
12,07/12/2022,7800,7800,7800,7500,20,7400
13,08/12/2022,7800,7800,7800,7800,900,7400
14,09/12/2022,7800,7800,7800,7800,2,7400
15,12/12/2022,7800,7800,7800,7800,-,7400
16,13/12/2022,7800,7800,7800,7800,-,7400
17,14/12/2022,7800,7800,7800,7800,10,7400
18,15/12/2022,7800,7800,7800,7800,2,7400
19,16/12/2022,7800,7800,7800,7800,-,7400
20,19/12/2022,8900,8900,8900,8900,500,8400
21,20/12/2022,10200,10200,10200,10200,2200,9600
22,21/12/2022,11700,11700,11700,11700,2900,11100
23,22/12/2022,13400,13000,13400,13400,9410,12700
24,23/12/2022,13400,13400,13400,13400,-,12700
25,26/12/2022,13400,13400,13400,13400,-,12700
26,27/12/2022,15000,13000,13400,13000,2200,12300
27,28/12/2022,17000,16000,16000,17000,1300,16100
28,29/12/2022,18500,16100,16100,18500,1201,17900
29,30/12/2022,21000,21000,21000,21000,600,20300
30,03/01/2023,23700,17900,17900,23700,1700,23000
31,04/01/2023,26700,26500,26500,26700,300,25900
32,05/01/2023,26600,26600,26600,26600,-,25800
33,06/01/2023,26600,26600,26600,26600,-,25800
34,09/01/2023,26600,26600,26600,26600,-,25800
35,10/01/2023,26600,26600,26600,26600,-,25800
36,11/01/2023,26600,26600,26600,26600,-,25800
37,12/01/2023,26600,26600,26600,26600,-,25800
38,13/01/2023,26600,26600,26600,26600,-,25800
39,16/01/2023,26600,26600,26600,26600,-,25800
40,17/01/2023,26600,26600,26600,26600,-,25800
41,18/01/2023,26600,26600,26600,26600,-,25800
42,19/01/2023,26600,26600,26600,26600,-,25800
43,27/01/2023,26600,26600,26600,26600,-,25800
44,30/01/2023,26600,26600,26600,26600,-,25800
45,31/01/2023,26600,26600,26600,26600,-,25800
46,01/02/2023,26600,26600,26600,26600,-,25800
47,02/02/2023,26600,26600,26600,26600,-,25800
48,03/02/2023,26600,26600,26600,26600,-,25800
49,06/02/2023,26600,26600,26600,26600,-,25800
50,07/02/2023,26600,26600,26600,26600,-,25800
51,08/02/2023,26600,26600,26600,26600,-,25800
52,09/02/2023,26600,26600,26600,26600,-,25800
53,10/02/2023,26600,26600,26600,26600,-,25800
54,13/02/2023,26600,26600,26600,26600,-,25800
55,14/02/2023,26600,26600,26600,26600,-,25800
56,15/02/2023,26600,26600,26600,26600,-,25800
57,16/02/2023,26600,26600,26600,26600,-,25800
58,17/02/2023,26600,26600,26600,26600,-,25800
59,20/02/2023,26600,26600,26600,26600,-,25800
60,21/02/2023,37200,16000,37200,16000,400,15500
61,22/02/2023,25800,25800,25800,25800,-,25000
62,23/02/2023,25800,25800,25800,25800,-,25000
63,24/02/2023,25800,25800,25800,25800,-,25000
64,27/02/2023,25800,25800,25800,25800,-,25000
65,28/02/2023,25800,25800,25800,25800,-,25000
66,01/03/2023,25800,25800,25800,25800,-,25000
67,02/03/2023,25000,24500,25000,24500,200,23700
68,03/03/2023,24800,24800,24800,24500,1,24000
69,06/03/2023,24800,24800,24800,24800,-,24000
70,07/03/2023,24800,24800,24800,24800,-,24000
71,08/03/2023,24800,24800,24800,24800,-,24000
72,09/03/2023,24800,24800,24800,24800,-,24000
73,10/03/2023,24800,24800,24800,24800,-,24000
74,13/03/2023,24800,24800,24800,24800,-,24000
75,14/03/2023,24800,24800,24800,24500,1,24000
76,15/03/2023,24800,24800,24800,24800,-,24000
77,16/03/2023,24800,24800,24800,24800,-,24000
78,17/03/2023,24800,24800,24800,24800,-,24000
79,20/03/2023,24800,24800,24800,24800,-,24000
80,21/03/2023,24800,24800,24800,24800,-,24000
81,22/03/2023,24800,24800,24800,24800,-,24000
82,23/03/2023,24800,24800,24800,24800,-,24000
83,24/03/2023,24800,24800,24800,24800,-,24000
84,27/03/2023,24800,24800,24800,24800,-,24000
85,28/03/2023,24800,24800,24800,24800,-,24000
86,29/03/2023,24800,24800,24800,24800,-,24000
87,30/03/2023,24800,24800,24800,24800,-,24000
88,31/03/2023,24800,24800,24800,24800,-,24000
89,03/04/2023,24800,24800,24800,24800,-,24000
90,04/04/2023,24800,24800,24800,24800,-,24000
91,05/04/2023,24800,24800,24800,24800,-,24000
92,06/04/2023,24800,24800,24800,24800,-,24000
93,07/04/2023,24800,24800,24800,24800,-,24000
94,10/04/2023,24800,24800,24800,24800,-,24000
95,11/04/2023,24800,24800,24800,24800,-,24000
96,12/04/2023,24800,24800,24800,24800,-,24000
97,13/04/2023,24800,24800,24800,24800,-,24000
98,14/04/2023,24800,24800,24800,24800,-,24000
99,17/04/2023,24800,24800,24800,24800,-,24000
100,18/04/2023,24800,24800,24800,24800,-,24000
101,19/04/2023,24800,24800,24800,24800,-,24000
102,20/04/2023,24800,24800,24800,24800,-,24000
103,21/04/2023,24800,24800,24800,24800,-,24000
104,24/04/2023,24800,24800,24800,24800,-,24000
105,25/04/2023,24800,24800,24800,24800,-,24000
106,26/04/2023,24800,24800,24800,24800,-,24000
107,27/04/2023,24800,24800,24800,24800,-,24000
108,28/04/2023,24800,24800,24800,24800,-,24000
109,04/05/2023,24800,24800,24800,24800,-,24000
110,05/05/2023,24800,24800,24800,24800,-,24000
111,08/05/2023,24800,24800,24800,24800,-,24000
112,09/05/2023,24800,24800,24800,24800,-,24000
113,10/05/2023,24800,24800,24800,24800,-,24000
114,11/05/2023,24800,24800,24800,24800,-,24000
115,12/05/2023,24800,24800,24800,24800,-,24000
116,15/05/2023,24800,24800,24800,24800,-,24000
117,16/05/2023,24800,24800,24800,24800,-,24000
118,17/05/2023,24800,24800,24800,24800,-,24000
119,18/05/2023,24800,24800,24800,24800,-,24000
120,19/05/2023,24800,24800,24800,24800,-,24000
121,22/05/2023,24800,24800,24800,24800,-,24000
122,23/05/2023,24800,24800,24800,24800,-,24000
123,24/05/2023,24800,24800,24800,24800,-,24000
124,25/05/2023,24800,24800,24800,24800,-,24000
125,26/05/2023,24800,24800,24800,24800,-,24000
126,29/05/2023,24800,24800,24800,24800,-,24000
127,30/05/2023,24800,24800,24800,24800,-,24000
128,31/05/2023,14900,14900,14900,14900,37500,14400
129,01/06/2023,12800,12800,12800,12800,110,12400
130,02/06/2023,12100,12000,12100,12000,700,12000
131,05/06/2023,12000,12000,12000,12000,10,12000
132,06/06/2023,12000,12000,12000,12000,-,12000
133,07/06/2023,12000,12000,12000,12000,10,12000
134,08/06/2023,12000,12000,12000,12000,-,12000
135,09/06/2023,12000,12000,12000,12000,1,12000
136,12/06/2023,10500,10500,10500,10500,600,10500
137,13/06/2023,10500,10500,10500,10500,20,10500
138,14/06/2023,10500,10500,10500,10500,20,10500
139,15/06/2023,12000,12000,12000,12000,505,12000
140,16/06/2023,12000,12000,12000,12000,-,12000
141,19/06/2023,12000,12000,12000,12000,-,12000
142,20/06/2023,12000,12000,12000,12000,1,12000
143,21/06/2023,12000,12000,12000,12000,-,12000
144,22/06/2023,12000,12000,12000,12000,-,12000
145,23/06/2023,12000,12000,12000,12000,-,12000
146,26/06/2023,12000,12000,12000,12000,-,12000
147,27/06/2023,11000,11000,11000,11000,655,11000
148,28/06/2023,11000,11000,11000,11000,-,11000
149,29/06/2023,11000,11000,11000,11000,-,11000
150,30/06/2023,11000,11000,11000,11000,-,11000
151,03/07/2023,11000,11000,11000,11000,-,11000
152,04/07/2023,11900,11000,11000,11900,700,11900
153,05/07/2023,12700,12700,12700,12700,600,12700
154,06/07/2023,14000,12500,12500,14000,300,14000
155,07/07/2023,14900,14900,14900,14900,400,14900
156,10/07/2023,17100,14900,17100,14900,807,14900
157,11/07/2023,15200,15200,15200,15200,-,15200
158,12/07/2023,17400,13500,17400,15200,300,15200
159,13/07/2023,13200,13100,13200,13100,500,13100
160,14/07/2023,11300,11300,11300,11300,400,11300
161,17/07/2023,11300,11300,11300,11300,-,11300
162,18/07/2023,11300,11300,11300,11300,-,11300
163,19/07/2023,11300,11300,11300,11300,-,11300
164,20/07/2023,11000,11000,11000,11000,300,11000
165,21/07/2023,11000,11000,11000,11000,-,11000
166,24/07/2023,11000,11000,11000,11000,-,11000
167,25/07/2023,11000,11000,11000,11000,-,11000
168,26/07/2023,11000,11000,11000,11000,-,11000
169,27/07/2023,11000,11000,11000,11000,7,11000
170,28/07/2023,11000,11000,11000,11000,-,11000
171,31/07/2023,11000,11000,11000,11000,-,11000
172,01/08/2023,10000,10000,10000,10000,115600,10000
173,02/08/2023,10000,10000,10000,10000,1,10000
174,03/08/2023,10000,10000,10000,10000,-,10000
175,04/08/2023,10000,10000,10000,10000,-,10000
176,07/08/2023,11400,11400,11400,11400,101,11400
177,08/08/2023,11400,11400,11400,11400,-,11400
178,09/08/2023,11400,11000,11000,11400,200,11400
179,10/08/2023,11200,11200,11200,11200,-,11200
180,11/08/2023,11200,11200,11200,11200,-,11200
181,14/08/2023,11200,11200,11200,11200,-,11200
182,15/08/2023,10200,10200,10200,10200,800,10200
183,16/08/2023,10200,10200,10200,10200,100,10200
184,17/08/2023,10300,10300,10300,10300,100,10300
185,18/08/2023,10300,10300,10300,10300,-,10300
186,21/08/2023,10300,10300,10300,10300,100,10300
187,22/08/2023,10300,10300,10300,10300,-,10300
188,23/08/2023,10300,10300,10300,10300,10,10300
189,24/08/2023,10300,10300,10300,10300,400,10300
190,25/08/2023,11800,9900,11800,9900,300,9900
191,28/08/2023,10700,10700,10700,10700,-,10700
192,29/08/2023,9800,9600,9600,9800,3000,9800
193,30/08/2023,9700,9700,9700,9700,1100,9700
194,31/08/2023,9700,9700,9700,9700,103,9700
195,05/09/2023,9600,9600,9600,9600,101,9600
196,06/09/2023,9600,9600,9600,9600,100,9600
197,07/09/2023,9400,9000,9000,9400,1800,9400
198,08/09/2023,9200,9200,9200,9200,1000,9200
199,11/09/2023,9200,9100,9200,9100,3000,9100
200,12/09/2023,9100,9100,9100,9100,100,9100
201,13/09/2023,9100,9100,9100,9100,100,9100
202,14/09/2023,9200,9000,9100,9000,1700,9000
203,15/09/2023,9200,8000,8000,9000,2200,9000
204,18/09/2023,9000,8800,8800,9000,2900,9000
205,19/09/2023,9500,9000,9500,9200,1600,9200
206,20/09/2023,9000,9000,9000,9000,1000,9000
207,21/09/2023,8900,8900,8900,8900,800,8900
208,22/09/2023,8800,8800,8800,8800,200,8800
209,25/09/2023,8300,8100,8300,8100,600,8100
210,26/09/2023,8200,8100,8200,8100,4400,8100
211,27/09/2023,8100,8100,8100,8100,-,8100
212,28/09/2023,8100,8100,8100,8100,-,8100
