,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10000,10000,10000,10000,-,9900
1,22/11/2022,10000,10000,10000,10000,-,9900
2,23/11/2022,10000,10000,10000,10000,600,9900
3,24/11/2022,10000,10000,10000,10000,-,9900
4,25/11/2022,10000,10000,10000,10000,-,9900
5,28/11/2022,10000,10000,10000,10000,-,9900
6,29/11/2022,10000,10000,10000,10000,2400,9900
7,30/11/2022,8500,8500,8500,8500,400,8400
8,01/12/2022,8500,8500,8500,8500,-,8400
9,02/12/2022,8500,8500,8500,8500,-,8400
10,05/12/2022,9700,9700,9700,9700,100,9600
11,06/12/2022,9700,9700,9700,9700,-,9600
12,07/12/2022,9700,9700,9700,9700,-,9600
13,08/12/2022,9700,9700,9700,9700,-,9600
14,09/12/2022,9700,9700,9700,9700,-,9600
15,12/12/2022,9700,9700,9700,9700,-,9600
16,13/12/2022,9700,9700,9700,9700,-,9600
17,14/12/2022,9700,9700,9700,9700,-,9600
18,15/12/2022,9700,9700,9700,9700,900,9600
19,16/12/2022,9700,9700,9700,9700,-,9600
20,19/12/2022,9700,9700,9700,9700,-,9600
21,20/12/2022,9700,9700,9700,9700,-,9600
22,21/12/2022,9700,9700,9700,9700,-,9600
23,22/12/2022,9700,9700,9700,9700,-,9600
24,23/12/2022,9700,9700,9700,9700,-,9600
25,26/12/2022,9700,9700,9700,9700,-,9600
26,27/12/2022,9700,9700,9700,9700,-,9600
27,28/12/2022,9700,9700,9700,9700,-,9600
28,29/12/2022,9700,9700,9700,9700,-,9600
29,30/12/2022,9700,9700,9700,9700,-,9600
30,03/01/2023,9700,9700,9700,9700,-,9600
31,04/01/2023,9700,9700,9700,9700,-,9600
32,05/01/2023,9700,9700,9700,9700,-,9600
33,06/01/2023,9700,9700,9700,9700,-,9600
34,09/01/2023,9700,9700,9700,9700,-,9600
35,10/01/2023,9700,9700,9700,9700,-,9600
36,11/01/2023,9700,9700,9700,9700,-,9600
37,12/01/2023,9700,9700,9700,9700,-,9600
38,13/01/2023,9700,9700,9700,9700,-,9600
39,16/01/2023,9700,9700,9700,9700,-,9600
40,17/01/2023,9700,9700,9700,9700,-,9600
41,18/01/2023,9700,9700,9700,9700,-,9600
42,19/01/2023,9700,9700,9700,9700,-,9600
43,27/01/2023,9700,9700,9700,9700,-,9600
44,30/01/2023,9700,9700,9700,9700,-,9600
45,31/01/2023,10000,8000,10000,8000,1900,7900
46,01/02/2023,9000,9000,9000,9000,300,8900
47,02/02/2023,9000,9000,9000,9000,-,8900
48,03/02/2023,9000,9000,9000,9000,-,8900
49,06/02/2023,9000,9000,9000,9000,-,8900
50,07/02/2023,9000,9000,9000,9000,-,8900
51,08/02/2023,9000,9000,9000,9000,-,8900
52,09/02/2023,9000,9000,9000,9000,-,8900
53,10/02/2023,9000,9000,9000,9000,-,8900
54,13/02/2023,9000,9000,9000,9000,-,8900
55,14/02/2023,9000,9000,9000,9000,-,8900
56,15/02/2023,9000,9000,9000,9000,700,8900
57,16/02/2023,9000,9000,9000,9000,-,8900
58,17/02/2023,9000,9000,9000,9000,-,8900
59,20/02/2023,9000,9000,9000,9000,-,8900
60,21/02/2023,9000,9000,9000,9000,-,8900
61,22/02/2023,9000,9000,9000,9000,-,8900
62,23/02/2023,9000,9000,9000,9000,-,8900
63,24/02/2023,9000,9000,9000,9000,-,8900
64,27/02/2023,9000,9000,9000,9000,-,8900
65,28/02/2023,9000,9000,9000,9000,-,8900
66,01/03/2023,9000,9000,9000,9000,-,8900
67,02/03/2023,9000,9000,9000,9000,-,8900
68,03/03/2023,9000,9000,9000,9000,-,8900
69,06/03/2023,9000,9000,9000,9000,-,8900
70,07/03/2023,9000,9000,9000,9000,-,8900
71,08/03/2023,9000,9000,9000,9000,-,8900
72,09/03/2023,9000,9000,9000,9000,-,8900
