,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6000,5600,6000,5600,4500,5600
1,22/11/2022,5800,5800,5800,5800,200,5800
2,23/11/2022,5800,5800,5800,5800,-,5800
3,24/11/2022,5800,5800,5800,5800,-,5800
4,25/11/2022,5800,5800,5800,5800,400,5800
5,28/11/2022,5800,5800,5800,5800,-,5800
6,29/11/2022,5800,5800,5800,5800,-,5800
7,30/11/2022,5800,5800,5800,5800,-,5800
8,01/12/2022,5800,5800,5800,5800,-,5800
9,02/12/2022,5800,5800,5800,5800,-,5800
10,05/12/2022,5800,5800,5800,5800,-,5800
11,06/12/2022,5800,5800,5800,5800,-,5800
12,07/12/2022,5800,5800,5800,5800,-,5800
13,08/12/2022,5800,5800,5800,5800,-,5800
14,09/12/2022,6600,6600,6600,6600,100,6600
15,12/12/2022,7500,7500,7500,7500,1200,7500
16,13/12/2022,8500,8500,8500,8500,100,8500
17,14/12/2022,8500,8500,8500,8500,700,8500
18,15/12/2022,8500,8500,8500,8500,-,8500
19,16/12/2022,9600,9600,9600,9600,100,9600
20,19/12/2022,9600,9600,9600,9600,-,9600
21,20/12/2022,9600,9600,9600,9600,-,9600
22,21/12/2022,9600,9600,9600,9600,-,9600
23,22/12/2022,9600,9600,9600,9600,-,9600
24,23/12/2022,9600,9600,9600,9600,-,9600
25,26/12/2022,9600,9600,9600,9600,-,9600
26,27/12/2022,9600,9600,9600,9600,-,9600
27,28/12/2022,9600,9600,9600,9600,-,9600
28,29/12/2022,9600,9600,9600,9600,-,9600
29,30/12/2022,9600,9600,9600,9600,-,9600
30,03/01/2023,9600,9600,9600,9600,-,9600
31,04/01/2023,9600,9600,9600,9600,-,9600
32,05/01/2023,9600,9600,9600,9600,-,9600
33,06/01/2023,9600,9600,9600,9600,-,9600
34,09/01/2023,9600,9600,9600,9600,-,9600
35,10/01/2023,9600,9600,9600,9600,-,9600
36,11/01/2023,9600,9600,9600,9600,-,9600
37,12/01/2023,9600,9600,9600,9600,-,9600
38,13/01/2023,9600,9600,9600,9600,-,9600
39,16/01/2023,9600,9600,9600,9600,-,9600
40,17/01/2023,9600,9600,9600,9600,-,9600
41,18/01/2023,9600,9600,9600,9600,-,9600
42,19/01/2023,9600,9600,9600,9600,-,9600
43,27/01/2023,8200,8200,8200,8200,100,8200
44,30/01/2023,8200,7000,8200,7000,1000,7000
45,31/01/2023,7100,7100,7100,7100,-,7100
46,01/02/2023,6300,6300,6300,6300,700,6300
47,02/02/2023,6300,6300,6300,6300,200,6300
48,03/02/2023,6300,6300,6300,6300,-,6300
49,06/02/2023,7200,7200,7200,7200,100,7200
50,07/02/2023,8100,8100,8100,8100,100,8100
51,08/02/2023,8100,8100,8100,8100,-,8100
52,09/02/2023,8100,8100,8100,8100,-,8100
53,10/02/2023,8100,8100,8100,8100,-,8100
54,13/02/2023,8100,8100,8100,8100,-,8100
55,14/02/2023,8100,8100,8100,8100,-,8100
56,15/02/2023,8100,8100,8100,8100,-,8100
57,16/02/2023,8100,8100,8100,8100,-,8100
58,17/02/2023,8100,8100,8100,8100,-,8100
59,20/02/2023,8100,8100,8100,8100,-,8100
60,21/02/2023,8100,8100,8100,8100,-,8100
61,22/02/2023,8100,8100,8100,8100,-,8100
62,23/02/2023,8100,8100,8100,8100,-,8100
