,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,600,600,600,600,-,600
1,22/11/2022,600,600,600,600,-,600
2,23/11/2022,600,600,600,600,-,600
3,24/11/2022,600,600,600,600,-,600
4,25/11/2022,700,500,600,700,346656,700
5,28/11/2022,600,600,600,600,-,600
6,29/11/2022,600,600,600,600,-,600
7,30/11/2022,600,600,600,600,-,600
8,01/12/2022,600,600,600,600,-,600
9,02/12/2022,700,600,600,700,580321,700
10,05/12/2022,700,700,700,700,-,700
11,06/12/2022,700,700,700,700,-,700
12,07/12/2022,700,700,700,700,-,700
13,08/12/2022,700,700,700,700,-,700
14,09/12/2022,800,600,700,800,392737,800
15,12/12/2022,700,700,700,700,-,700
16,13/12/2022,700,700,700,700,-,700
17,14/12/2022,700,700,700,700,-,700
18,15/12/2022,700,700,700,700,-,700
19,16/12/2022,700,600,700,700,129626,700
20,19/12/2022,700,700,700,700,-,700
21,20/12/2022,700,700,700,700,-,700
22,21/12/2022,700,700,700,700,-,700
23,22/12/2022,700,700,700,700,-,700
24,23/12/2022,700,600,600,700,364003,700
25,26/12/2022,600,600,600,600,-,600
26,27/12/2022,600,600,600,600,-,600
27,28/12/2022,600,600,600,600,-,600
28,29/12/2022,600,600,600,600,-,600
29,30/12/2022,700,500,600,600,128357,600
30,03/01/2023,600,600,600,600,-,600
31,04/01/2023,600,600,600,600,-,600
32,05/01/2023,600,600,600,600,-,600
33,06/01/2023,700,600,600,700,192803,700
34,09/01/2023,600,600,600,600,-,600
35,10/01/2023,600,600,600,600,-,600
36,11/01/2023,600,600,600,600,-,600
37,12/01/2023,600,600,600,600,-,600
38,13/01/2023,700,600,700,700,88210,700
39,16/01/2023,600,600,600,600,-,600
40,17/01/2023,600,600,600,600,-,600
41,18/01/2023,600,600,600,600,-,600
42,19/01/2023,600,600,600,600,-,600
43,27/01/2023,700,600,600,700,63100,700
44,30/01/2023,600,600,600,600,-,600
45,31/01/2023,600,600,600,600,-,600
46,01/02/2023,600,600,600,600,-,600
47,02/02/2023,600,600,600,600,-,600
48,03/02/2023,700,500,700,700,159009,700
49,06/02/2023,600,600,600,600,-,600
50,07/02/2023,600,600,600,600,-,600
51,08/02/2023,600,600,600,600,-,600
52,09/02/2023,600,600,600,600,-,600
53,10/02/2023,600,500,600,600,50104,600
54,13/02/2023,600,600,600,600,-,600
55,14/02/2023,600,600,600,600,-,600
56,15/02/2023,600,600,600,600,-,600
57,16/02/2023,600,600,600,600,-,600
58,17/02/2023,600,500,600,600,86501,600
59,20/02/2023,500,500,500,500,-,500
60,21/02/2023,500,500,500,500,-,500
61,22/02/2023,500,500,500,500,-,500
62,23/02/2023,500,500,500,500,-,500
63,24/02/2023,600,500,500,600,188300,600
64,27/02/2023,600,600,600,600,-,600
65,28/02/2023,600,600,600,600,-,600
66,01/03/2023,600,600,600,600,-,600
67,02/03/2023,600,600,600,600,-,600
68,03/03/2023,600,500,500,600,142400,600
69,06/03/2023,500,500,500,500,-,500
70,07/03/2023,500,500,500,500,-,500
71,08/03/2023,500,500,500,500,-,500
72,09/03/2023,500,500,500,500,-,500
73,10/03/2023,600,400,500,500,194812,500
74,13/03/2023,500,500,500,500,-,500
75,14/03/2023,500,500,500,500,-,500
76,15/03/2023,500,500,500,500,-,500
77,16/03/2023,500,500,500,500,-,500
78,17/03/2023,600,400,600,500,71479,500
79,20/03/2023,500,500,500,500,-,500
80,21/03/2023,500,500,500,500,-,500
81,22/03/2023,500,500,500,500,-,500
82,23/03/2023,500,500,500,500,-,500
83,24/03/2023,600,400,500,500,204000,500
84,27/03/2023,400,400,400,400,-,400
85,28/03/2023,400,400,400,400,-,400
86,29/03/2023,400,400,400,400,-,400
87,30/03/2023,400,400,400,400,-,400
88,31/03/2023,500,400,400,500,34500,500
89,03/04/2023,500,500,500,500,-,500
90,04/04/2023,500,500,500,500,-,500
91,05/04/2023,500,500,500,500,-,500
92,06/04/2023,500,500,500,500,-,500
93,07/04/2023,600,500,500,600,181400,600
94,10/04/2023,500,500,500,500,-,500
95,11/04/2023,500,500,500,500,-,500
96,12/04/2023,500,500,500,500,-,500
97,13/04/2023,500,500,500,500,-,500
98,14/04/2023,600,400,400,500,106500,500
99,17/04/2023,400,400,400,400,-,400
100,18/04/2023,400,400,400,400,-,400
101,19/04/2023,400,400,400,400,-,400
102,20/04/2023,400,400,400,400,-,400
103,21/04/2023,500,400,500,500,281671,500
104,24/04/2023,500,500,500,500,-,500
105,25/04/2023,500,500,500,500,-,500
106,26/04/2023,500,500,500,500,-,500
107,27/04/2023,500,500,500,500,-,500
108,28/04/2023,600,500,500,600,140300,600
109,04/05/2023,500,500,500,500,-,500
110,05/05/2023,500,500,500,500,52600,500
111,08/05/2023,500,500,500,500,-,500
112,09/05/2023,500,500,500,500,-,500
113,10/05/2023,500,500,500,500,-,500
114,11/05/2023,500,500,500,500,-,500
115,12/05/2023,600,500,600,600,386810,600
116,15/05/2023,500,500,500,500,-,500
117,16/05/2023,500,500,500,500,-,500
118,17/05/2023,500,500,500,500,-,500
119,18/05/2023,500,500,500,500,-,500
120,19/05/2023,600,500,600,600,356920,600
121,22/05/2023,500,500,500,500,-,500
122,23/05/2023,500,500,500,500,-,500
123,24/05/2023,500,500,500,500,-,500
124,25/05/2023,500,500,500,500,-,500
125,26/05/2023,600,500,600,600,260734,600
126,29/05/2023,500,500,500,500,-,500
127,30/05/2023,500,500,500,500,-,500
128,31/05/2023,500,500,500,500,-,500
129,01/06/2023,500,500,500,500,-,500
130,02/06/2023,600,500,500,600,893206,600
131,05/06/2023,600,600,600,600,-,600
132,06/06/2023,600,600,600,600,-,600
133,07/06/2023,600,600,600,600,-,600
134,08/06/2023,600,600,600,600,-,600
135,09/06/2023,700,600,700,700,709880,700
136,12/06/2023,700,700,700,700,-,700
137,13/06/2023,700,700,700,700,-,700
138,14/06/2023,700,700,700,700,-,700
139,15/06/2023,700,700,700,700,-,700
140,16/06/2023,800,600,800,700,1200902,700
141,19/06/2023,700,700,700,700,-,700
142,20/06/2023,700,700,700,700,-,700
143,21/06/2023,700,700,700,700,-,700
144,22/06/2023,700,700,700,700,-,700
145,23/06/2023,800,600,700,700,479179,700
146,26/06/2023,700,700,700,700,-,700
147,27/06/2023,700,700,700,700,-,700
148,28/06/2023,700,700,700,700,-,700
149,29/06/2023,700,700,700,700,-,700
150,30/06/2023,700,600,700,600,575922,600
151,03/07/2023,600,600,600,600,-,600
152,04/07/2023,600,600,600,600,-,600
153,05/07/2023,600,600,600,600,-,600
154,06/07/2023,600,600,600,600,-,600
155,07/07/2023,700,500,600,700,319577,700
156,10/07/2023,600,600,600,600,-,600
157,11/07/2023,600,600,600,600,-,600
158,12/07/2023,600,600,600,600,-,600
159,13/07/2023,600,600,600,600,-,600
160,14/07/2023,700,600,600,700,173012,700
161,17/07/2023,700,700,700,700,-,700
162,18/07/2023,700,700,700,700,-,700
163,19/07/2023,700,700,700,700,-,700
164,20/07/2023,700,700,700,700,-,700
165,21/07/2023,700,600,700,700,276208,700
166,24/07/2023,700,700,700,700,-,700
167,25/07/2023,700,700,700,700,-,700
168,26/07/2023,700,700,700,700,-,700
169,27/07/2023,700,700,700,700,-,700
170,28/07/2023,700,600,700,700,593264,700
171,31/07/2023,600,600,600,600,-,600
172,01/08/2023,600,600,600,600,-,600
173,02/08/2023,600,600,600,600,-,600
174,03/08/2023,600,600,600,600,-,600
175,04/08/2023,700,500,600,600,103007,600
176,07/08/2023,600,600,600,600,-,600
177,08/08/2023,600,600,600,600,-,600
178,09/08/2023,600,600,600,600,-,600
179,10/08/2023,600,600,600,600,-,600
180,11/08/2023,700,500,600,700,217942,700
181,14/08/2023,600,600,600,600,-,600
182,15/08/2023,600,600,600,600,-,600
183,16/08/2023,600,600,600,600,-,600
184,17/08/2023,600,600,600,600,-,600
185,18/08/2023,600,500,600,500,229890,500
186,21/08/2023,500,500,500,500,-,500
187,22/08/2023,500,500,500,500,-,500
188,23/08/2023,500,500,500,500,-,500
189,24/08/2023,500,500,500,500,-,500
190,25/08/2023,600,500,600,600,44402,600
191,28/08/2023,600,600,600,600,-,600
192,29/08/2023,600,600,600,600,-,600
193,30/08/2023,600,600,600,600,-,600
194,31/08/2023,600,600,600,600,-,600
195,05/09/2023,600,600,600,600,-,600
196,06/09/2023,600,600,600,600,-,600
197,07/09/2023,600,600,600,600,-,600
198,08/09/2023,700,500,500,600,253269,600
199,11/09/2023,600,600,600,600,-,600
200,12/09/2023,600,600,600,600,-,600
201,13/09/2023,600,600,600,600,-,600
202,14/09/2023,600,600,600,600,-,600
203,15/09/2023,700,500,600,600,69093,600
204,18/09/2023,600,600,600,600,-,600
205,19/09/2023,600,600,600,600,-,600
206,20/09/2023,600,600,600,600,-,600
207,21/09/2023,600,600,600,600,-,600
208,22/09/2023,600,500,600,500,119647,500
209,25/09/2023,500,500,500,500,-,500
210,26/09/2023,500,500,500,500,-,500
211,27/09/2023,500,500,500,500,-,500
212,28/09/2023,500,500,500,500,-,500
213,29/09/2023,600,500,500,600,62533,600
214,02/10/2023,500,500,500,500,-,500
215,03/10/2023,500,500,500,500,-,500
216,04/10/2023,500,500,500,500,-,500
217,05/10/2023,500,500,500,500,-,500
218,06/10/2023,600,500,600,500,31900,500
219,09/10/2023,500,500,500,500,-,500
220,10/10/2023,500,500,500,500,-,500
221,11/10/2023,500,500,500,500,-,500
222,12/10/2023,500,500,500,500,-,500
223,13/10/2023,600,400,600,500,89506,500
224,16/10/2023,500,500,500,500,-,500
225,17/10/2023,500,500,500,500,-,500
226,18/10/2023,500,500,500,500,-,500
227,19/10/2023,500,500,500,500,-,500
228,20/10/2023,500,400,500,500,61070,500
229,23/10/2023,400,400,400,400,-,400
230,24/10/2023,400,400,400,400,-,400
231,25/10/2023,400,400,400,400,-,400
232,26/10/2023,400,400,400,400,-,400
233,27/10/2023,500,400,400,500,33600,500
234,30/10/2023,500,500,500,500,-,500
235,31/10/2023,500,500,500,500,-,500
236,01/11/2023,500,500,500,500,-,500
237,02/11/2023,500,500,500,500,-,500
238,03/11/2023,500,400,500,400,132530,400
239,06/11/2023,500,500,500,500,-,500
240,07/11/2023,500,500,500,500,-,500
241,08/11/2023,500,500,500,500,-,500
242,09/11/2023,500,500,500,500,-,500
243,10/11/2023,500,400,500,500,86475,500
244,13/11/2023,500,500,500,500,-,500
245,14/11/2023,500,500,500,500,-,500
246,15/11/2023,500,500,500,500,-,500
247,16/11/2023,500,500,500,500,-,500
248,17/11/2023,500,400,500,500,16200,500
249,20/11/2023,500,500,500,500,-,500
