,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18500,18500,18500,18500,-,18500
1,22/11/2022,18500,18500,18500,18500,-,18500
2,23/11/2022,18500,18500,18500,18500,-,18500
3,24/11/2022,18500,18500,18500,18500,-,18500
4,25/11/2022,18500,18500,18500,18500,-,18500
5,28/11/2022,18500,18500,18500,18500,-,18500
6,29/11/2022,18500,18500,18500,18500,-,18500
7,30/11/2022,18500,18500,18500,18500,-,18500
8,01/12/2022,18500,18500,18500,18500,-,18500
9,02/12/2022,18500,18500,18500,18500,-,18500
10,05/12/2022,18500,18500,18500,18500,-,18500
11,06/12/2022,18500,18500,18500,18500,-,18500
12,07/12/2022,18500,18500,18500,18500,-,18500
13,08/12/2022,18500,18500,18500,18500,-,18500
14,09/12/2022,18500,18500,18500,18500,-,18500
15,12/12/2022,18500,18500,18500,18500,-,18500
16,13/12/2022,18500,18500,18500,18500,-,18500
17,14/12/2022,18500,18500,18500,18500,-,18500
18,15/12/2022,18500,18500,18500,18500,-,18500
19,16/12/2022,18500,18500,18500,18500,-,18500
20,19/12/2022,18500,18500,18500,18500,-,18500
21,20/12/2022,18500,18500,18500,18500,-,18500
22,21/12/2022,18500,18500,18500,18500,-,18500
23,22/12/2022,18500,18500,18500,18500,-,18500
24,23/12/2022,18500,18500,18500,18500,-,18500
25,26/12/2022,18500,18500,18500,18500,-,18500
26,27/12/2022,18500,18500,18500,18500,-,18500
27,28/12/2022,18500,18500,18500,18500,-,18500
28,29/12/2022,18500,18500,18500,18500,-,18500
29,30/12/2022,18500,18500,18500,18500,-,18500
30,03/01/2023,18500,18500,18500,18500,-,18500
31,04/01/2023,18500,18500,18500,18500,-,18500
32,05/01/2023,18500,18500,18500,18500,-,18500
33,06/01/2023,18500,18500,18500,18500,-,18500
34,09/01/2023,18500,18500,18500,18500,-,18500
35,10/01/2023,18500,18500,18500,18500,-,18500
36,11/01/2023,18500,18500,18500,18500,-,18500
37,12/01/2023,18500,18500,18500,18500,-,18500
38,13/01/2023,18500,18500,18500,18500,-,18500
39,16/01/2023,18500,18500,18500,18500,-,18500
40,17/01/2023,18500,18500,18500,18500,-,18500
41,18/01/2023,18500,18500,18500,18500,-,18500
42,19/01/2023,18500,18500,18500,18500,-,18500
43,27/01/2023,18500,18500,18500,18500,-,18500
44,30/01/2023,18500,18500,18500,18500,-,18500
45,31/01/2023,18500,18500,18500,18500,-,18500
46,01/02/2023,18500,18500,18500,18500,-,18500
47,02/02/2023,18500,18500,18500,18500,-,18500
48,03/02/2023,18500,18500,18500,18500,-,18500
