,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,13100,13100,13100,13100,-,12200
1,22/11/2022,13100,13100,13100,13100,-,12200
2,23/11/2022,13100,13100,13100,13100,-,12200
3,24/11/2022,13100,13100,13100,13100,-,12200
4,25/11/2022,13100,13100,13100,13100,-,12200
5,28/11/2022,13100,13100,13100,13100,-,12200
6,29/11/2022,13100,13100,13100,13100,-,12200
7,30/11/2022,13100,13100,13100,13100,-,12200
8,01/12/2022,13100,13100,13100,13100,-,12200
9,02/12/2022,13100,13100,13100,13100,-,12200
10,05/12/2022,13100,13100,13100,13100,-,12200
11,06/12/2022,13100,13100,13100,13100,-,12200
12,07/12/2022,13100,13100,13100,13100,-,12200
13,08/12/2022,13100,13100,13100,13100,-,12200
14,09/12/2022,13100,13100,13100,13100,-,12200
15,12/12/2022,13100,13100,13100,13100,-,12200
16,13/12/2022,13100,13100,13100,13100,-,12200
17,14/12/2022,13100,13100,13100,13100,-,12200
18,15/12/2022,13100,13100,13100,13100,-,12200
19,16/12/2022,13100,13100,13100,13100,-,12200
20,19/12/2022,13100,13100,13100,13100,-,12200
21,20/12/2022,13100,13100,13100,13100,-,12200
22,21/12/2022,13100,13100,13100,13100,-,12200
23,22/12/2022,13100,13100,13100,13100,-,12200
24,23/12/2022,13100,13100,13100,13100,-,12200
25,26/12/2022,13100,13100,13100,13100,-,12200
26,27/12/2022,13100,13100,13100,13100,-,12200
27,28/12/2022,13100,13100,13100,13100,-,12200
28,29/12/2022,13100,13100,13100,13100,-,12200
29,30/12/2022,13100,13100,13100,13100,-,12200
30,03/01/2023,13100,13100,13100,13100,-,12200
31,04/01/2023,13100,13100,13100,13100,-,12200
32,05/01/2023,13100,13100,13100,13100,-,12200
33,06/01/2023,13100,13100,13100,13100,-,12200
34,09/01/2023,13100,13100,13100,13100,-,12200
35,10/01/2023,13100,13100,13100,13100,-,12200
36,11/01/2023,7900,7900,7900,7900,100,7400
37,12/01/2023,6800,6800,6800,6800,100,6300
38,13/01/2023,6800,6800,6800,6800,-,6300
39,16/01/2023,7800,7800,7800,7800,100,7300
40,17/01/2023,8900,8900,8900,8900,100,8300
41,18/01/2023,8900,8900,8900,8900,-,8300
42,19/01/2023,10200,10100,10100,10200,300,9500
43,27/01/2023,10200,10200,10200,10200,100,9500
44,30/01/2023,10200,10200,10200,10200,-,9500
45,31/01/2023,10200,10200,10200,10200,-,9500
46,01/02/2023,10200,10200,10200,10200,-,9500
