,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,23000,21100,21100,23000,500,20900
1,22/11/2022,25000,19100,19100,25000,400,22700
2,23/11/2022,24700,24700,24700,24700,200,22500
3,24/11/2022,24700,24700,24700,24700,-,22500
4,25/11/2022,24700,24700,24700,24700,-,22500
5,28/11/2022,22800,21000,21000,22800,9300,20700
6,29/11/2022,22900,21000,21000,22900,1300,20800
7,30/11/2022,24900,24900,24900,24900,100,22700
8,01/12/2022,23000,21500,22000,23000,15100,20900
9,02/12/2022,23000,22000,23000,22000,3500,20000
10,05/12/2022,26300,20400,22900,25000,15070,22700
11,06/12/2022,24000,22000,24000,24000,3900,21800
12,07/12/2022,26000,26000,26000,26000,1020,23700
13,08/12/2022,26000,26000,26000,26000,-,23700
14,09/12/2022,22300,22300,22300,22300,100,20300
15,12/12/2022,23800,23800,23800,23800,100,21700
16,13/12/2022,21200,21200,21200,21200,100,19300
17,14/12/2022,23100,22000,22000,22000,2400,20000
18,15/12/2022,22500,22500,22500,22500,400,20500
19,16/12/2022,24400,24400,24400,24400,111,22200
20,19/12/2022,27900,27900,27900,27900,100,25400
21,20/12/2022,27900,27900,27900,27900,-,25400
22,21/12/2022,23800,23800,23800,23800,1901,21700
23,22/12/2022,27100,27100,27100,27100,100,24700
24,23/12/2022,28300,28300,28300,28300,100,25700
25,26/12/2022,24100,24100,24100,24100,2500,21900
26,27/12/2022,27700,21000,27700,22000,4200,20000
27,28/12/2022,25400,22000,22000,25400,2000,23100
28,29/12/2022,23000,23000,23000,23000,300,20900
29,30/12/2022,25000,25000,25000,25000,100,22700
30,03/01/2023,24800,24800,24800,24800,100,22600
31,04/01/2023,28500,25500,28500,25500,200,23200
32,05/01/2023,27000,27000,27000,27000,-,24600
33,06/01/2023,25000,23000,23100,23200,10400,21100
34,09/01/2023,27000,23000,27000,23000,10980,20900
35,10/01/2023,23500,23000,23000,23500,1300,21400
36,11/01/2023,26400,22500,26400,23000,4120,20900
37,12/01/2023,24900,24900,24900,24900,100,22700
38,13/01/2023,24600,22000,22000,22100,400,20100
39,16/01/2023,22700,22700,22700,22700,-,20700
40,17/01/2023,22700,22700,22700,22700,-,20700
41,18/01/2023,26100,26100,26100,26100,100,23700
42,19/01/2023,25800,22400,22400,25800,500,23500
43,27/01/2023,27000,22200,22200,27000,400,24600
44,30/01/2023,25000,25000,25000,25000,-,22700
45,31/01/2023,25000,25000,25000,25000,-,22700
46,01/02/2023,25000,25000,25000,25000,-,22700
47,02/02/2023,28700,28700,28700,28700,100,26100
48,03/02/2023,28700,28700,28700,28700,-,26100
49,06/02/2023,28000,27000,28000,27000,3500,24600
50,07/02/2023,25000,25000,25000,25000,1000,22700
51,08/02/2023,25000,25000,25000,25000,-,22700
52,09/02/2023,28100,21300,28100,27300,2530,24800
53,10/02/2023,24700,24700,24700,24700,100,22500
54,13/02/2023,27800,27800,27800,27800,100,25300
55,14/02/2023,23700,23700,23700,23700,4400,21600
56,15/02/2023,27200,27200,27200,27200,100,24700
57,16/02/2023,27200,27200,27200,27200,-,24700
58,17/02/2023,27200,27200,27200,27200,-,24700
59,20/02/2023,28300,25000,28300,25000,300,22700
60,21/02/2023,28300,22500,28300,22500,200,20500
61,22/02/2023,25400,25400,25400,25400,-,23100
62,23/02/2023,29200,29200,29200,29200,200,26600
63,24/02/2023,24900,24900,24900,24900,230,22700
64,27/02/2023,22500,22500,22500,22500,260,20500
65,28/02/2023,24400,24400,24400,24400,100,22200
66,01/03/2023,24400,24400,24400,24400,-,22200
67,02/03/2023,24400,24400,24400,24400,-,22200
68,03/03/2023,24000,23000,23000,24000,1340,21800
69,06/03/2023,23600,20600,23000,23000,1900,20900
70,07/03/2023,23900,23900,23900,23900,110,21700
71,08/03/2023,21200,21200,21200,21200,200,19300
72,09/03/2023,23500,23500,23500,23500,100,21400
73,10/03/2023,23400,23400,23400,23400,400,21300
74,13/03/2023,23400,23400,23400,23400,-,21300
75,14/03/2023,23400,23400,23400,23400,100,21300
76,15/03/2023,23400,23400,23400,23400,500,21300
77,16/03/2023,23400,23400,23400,23400,-,21300
78,17/03/2023,23400,23400,23400,23400,-,21300
79,20/03/2023,23400,23400,23400,23400,-,21300
80,21/03/2023,23400,23400,23400,23400,-,21300
81,22/03/2023,23400,23400,23400,23400,500,21300
82,23/03/2023,23400,23400,23400,23400,1200,21300
83,24/03/2023,23400,23400,23400,23400,-,21300
84,27/03/2023,26900,26900,26900,26900,100,24500
85,28/03/2023,26900,26900,26900,26900,7,24500
86,29/03/2023,26900,26900,26900,26900,-,24500
87,30/03/2023,27900,22900,22900,27900,2500,25400
88,31/03/2023,25400,24500,25400,25000,1700,22700
89,03/04/2023,26000,24000,25000,24500,21510,22300
90,04/04/2023,26900,24700,26900,26400,3300,24000
91,05/04/2023,25900,25100,25200,25100,12404,22800
92,06/04/2023,25600,24600,25000,25600,603,23300
93,07/04/2023,25500,24000,24500,25500,4149,23200
94,10/04/2023,23000,23000,23000,23000,1000,20900
95,11/04/2023,23000,23000,23000,23000,2100,20900
