,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18100,18100,18100,18100,-,17500
1,22/11/2022,18100,18100,18100,18100,-,17500
2,23/11/2022,18100,18100,18100,18100,-,17500
3,24/11/2022,18100,18100,18100,18100,-,17500
4,25/11/2022,18100,18100,18100,18100,-,17500
5,28/11/2022,18100,18100,18100,18100,-,17500
6,29/11/2022,18100,18100,18100,18100,-,17500
7,30/11/2022,18100,18100,18100,18100,-,17500
8,01/12/2022,18100,18100,18100,18100,-,17500
9,02/12/2022,18100,18100,18100,18100,-,17500
10,05/12/2022,18100,18100,18100,18100,-,17500
11,06/12/2022,18100,18100,18100,18100,-,17500
12,07/12/2022,18100,18100,18100,18100,-,17500
13,08/12/2022,18100,18100,18100,18100,-,17500
14,09/12/2022,18100,18100,18100,18100,-,17500
15,12/12/2022,14900,10900,10900,14900,1100,14400
16,13/12/2022,14900,14000,14000,14900,700,14400
17,14/12/2022,14600,14600,14600,14900,1,14100
18,15/12/2022,16600,13000,13000,16600,600,16100
19,16/12/2022,16000,16000,16000,16000,-,15500
20,19/12/2022,16000,16000,16000,16000,-,15500
21,20/12/2022,16000,16000,16000,16000,-,15500
22,21/12/2022,13600,13600,13600,13600,1200,13200
23,22/12/2022,13600,13600,13600,13600,-,13200
24,23/12/2022,13600,13600,13600,13600,-,13200
25,26/12/2022,13600,13600,13600,13600,-,13200
26,27/12/2022,13600,13600,13600,13600,-,13200
27,28/12/2022,13600,13600,13600,13600,-,13200
28,29/12/2022,13600,13600,13600,13600,-,13200
29,30/12/2022,15500,13400,13400,15500,1500,15000
30,03/01/2023,15700,15700,15700,15700,100,15200
31,04/01/2023,15700,15700,15700,15700,-,15200
32,05/01/2023,15700,15700,15700,15700,-,15200
33,06/01/2023,15700,15700,15700,15700,-,15200
34,09/01/2023,17900,17900,17900,17900,100,17300
35,10/01/2023,17900,17900,17900,17900,-,17300
36,11/01/2023,17900,17900,17900,17900,-,17300
37,12/01/2023,17900,17900,17900,17900,-,17300
38,13/01/2023,17900,17900,17900,17900,-,17300
39,16/01/2023,17900,17900,17900,17900,-,17300
40,17/01/2023,17900,17900,17900,17900,-,17300
41,18/01/2023,17900,17900,17900,17900,-,17300
42,19/01/2023,17900,17900,17900,17900,-,17300
43,27/01/2023,17900,17900,17900,17900,-,17300
44,30/01/2023,17900,17900,17900,17900,-,17300
45,31/01/2023,17900,17900,17900,17900,-,17300
46,01/02/2023,17900,17900,17900,17900,-,17300
47,02/02/2023,17900,17900,17900,17900,-,17300
48,03/02/2023,17900,17900,17900,17900,-,17300
49,06/02/2023,17900,17900,17900,17900,-,17300
50,07/02/2023,17900,17900,17900,17900,-,17300
51,08/02/2023,17900,17900,17900,17900,-,17300
52,09/02/2023,17900,17900,17900,17900,-,17300
53,10/02/2023,17900,17900,17900,17900,-,17300
54,13/02/2023,17900,17900,17900,17900,-,17300
55,14/02/2023,15300,15300,15300,15300,201,14800
56,15/02/2023,17400,17400,17400,17400,100,16800
57,16/02/2023,17400,17400,17400,17400,-,16800
58,17/02/2023,17400,17400,17400,17400,-,16800
59,20/02/2023,17400,17400,17400,17400,-,16800
60,21/02/2023,14800,14800,14800,14800,1200,14300
61,22/02/2023,14800,14800,14800,14800,-,14300
62,23/02/2023,14800,14800,14800,14800,-,14300
63,24/02/2023,14800,14800,14800,14800,-,14300
64,27/02/2023,14800,14800,14800,14800,-,14300
65,28/02/2023,14800,14800,14800,14800,-,14300
66,01/03/2023,14800,14800,14800,14800,-,14300
67,02/03/2023,14800,14800,14800,14800,-,14300
68,03/03/2023,14800,14800,14800,14800,1,14300
69,06/03/2023,14800,14800,14800,14800,-,14300
70,07/03/2023,14800,14800,14800,14800,-,14300
71,08/03/2023,12600,12600,12600,12600,5100,12200
72,09/03/2023,12600,12600,12600,12600,-,12200
73,10/03/2023,12600,12600,12600,12600,-,12200
74,13/03/2023,12600,12600,12600,12600,-,12200
75,14/03/2023,12600,12600,12600,12600,-,12200
76,15/03/2023,13000,13000,13000,13000,400,12600
77,16/03/2023,13000,13000,13000,13000,-,12600
78,17/03/2023,13000,13000,13000,13000,-,12600
79,20/03/2023,14800,14800,14800,14800,100,14300
80,21/03/2023,16900,16900,16900,16900,100,16400
81,22/03/2023,17800,14400,14400,17800,500,17200
82,23/03/2023,17100,13500,17100,17000,400,16500
83,24/03/2023,16700,13800,16700,16500,500,16000
84,27/03/2023,16600,16600,16600,16600,100,16100
85,28/03/2023,17900,14200,14200,17900,300,17300
86,29/03/2023,16900,16900,16900,16900,100,16400
87,30/03/2023,16900,16900,16900,16900,-,16400
88,31/03/2023,16900,16900,16900,16900,-,16400
89,03/04/2023,16900,16900,16900,16900,-,16400
90,04/04/2023,16900,16900,16900,16900,-,16400
91,05/04/2023,16900,16900,16900,16900,-,16400
92,06/04/2023,16900,16900,16900,16900,-,16400
93,07/04/2023,16900,16900,16900,16900,-,16400
94,10/04/2023,16900,16900,16900,16900,-,16400
95,11/04/2023,14400,14400,14400,14400,300,13900
96,12/04/2023,15100,15100,15100,15100,100,14600
97,13/04/2023,15100,15100,15100,15100,-,14600
