,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,19000,19000,19000,19000,-,19000
1,22/11/2022,16400,16200,16300,16200,7800,16200
2,23/11/2022,16300,16300,16300,16200,1,16300
3,24/11/2022,16300,16300,16300,16300,-,16300
4,25/11/2022,16000,16000,16000,16000,800,16000
5,28/11/2022,16500,16500,16500,16500,3001,16500
6,29/11/2022,16800,14300,14300,16500,1292,16500
7,30/11/2022,16800,16500,16500,16800,1901,16800
8,01/12/2022,16200,16000,16000,16100,1100,16100
9,02/12/2022,18000,18000,18000,18000,100,18000
10,05/12/2022,20400,20400,20400,20400,100,20400
11,06/12/2022,18000,17400,17500,17400,4300,17400
12,07/12/2022,20100,16000,20100,16500,3100,16500
13,08/12/2022,16300,16300,16300,16300,-,16300
14,09/12/2022,16500,16500,16500,16500,500,16500
15,12/12/2022,17800,16500,16500,17800,1521,17800
16,13/12/2022,17700,17700,17700,17700,-,17700
17,14/12/2022,20000,20000,20000,20000,100,20000
18,15/12/2022,18500,17100,17700,17300,3111,17300
19,16/12/2022,15300,15300,15300,15300,100,15300
20,19/12/2022,17100,16000,17000,16000,1454900,16000
21,20/12/2022,17800,15000,15000,17400,3602,17400
22,21/12/2022,17700,16400,16400,17700,1640509,17700
23,22/12/2022,19800,17400,17500,19800,1600,19800
24,23/12/2022,19000,18300,18500,19000,6100,19000
25,26/12/2022,18600,18600,18600,18600,200,18600
26,27/12/2022,19800,19800,19800,19800,100,19800
27,28/12/2022,18000,17000,18000,17000,800,17000
28,29/12/2022,17300,17300,17300,17300,-,17300
29,30/12/2022,19700,19700,19700,19700,108,19700
30,03/01/2023,19700,19700,19700,19700,1,19700
31,04/01/2023,19700,19700,19700,19700,-,19700
32,05/01/2023,19700,19700,19700,19700,-,19700
33,06/01/2023,19000,17200,19000,17200,600,17200
34,09/01/2023,19600,19600,19600,19600,100,19600
35,10/01/2023,19600,19600,19600,19600,-,19600
36,11/01/2023,19600,19600,19600,19600,-,19600
37,12/01/2023,19600,19600,19600,19600,8,19600
38,13/01/2023,19600,19600,19600,19600,-,19600
39,16/01/2023,19600,19600,19600,19600,-,19600
40,17/01/2023,19600,19600,19600,19600,-,19600
41,18/01/2023,19600,19600,19600,19600,-,19600
42,19/01/2023,20100,20100,20100,20100,100,20100
43,27/01/2023,21000,20000,20400,21000,5200,21000
44,30/01/2023,20100,19500,20100,20100,14100,20100
45,31/01/2023,19700,19000,19500,19700,6700,19700
46,01/02/2023,19700,19600,19700,19600,3400,19600
47,02/02/2023,19700,19700,19700,19700,4100,19700
48,03/02/2023,19700,19700,19700,19700,-,19700
49,06/02/2023,19700,19600,19700,19600,4000,19600
50,07/02/2023,19700,19700,19700,19700,400,19700
51,08/02/2023,19700,19700,19700,19700,-,19700
52,09/02/2023,19600,19600,19600,19600,1400,19600
53,10/02/2023,19600,19600,19600,19600,-,19600
54,13/02/2023,17600,17600,17600,17600,1350100,17600
55,14/02/2023,17600,17600,17600,17600,75,17600
56,15/02/2023,17600,17600,17600,17600,1277399,17600
57,16/02/2023,17600,17600,17600,17600,-,17600
58,17/02/2023,17600,17600,17600,17600,-,17600
59,20/02/2023,17600,17600,17600,17600,-,17600
60,21/02/2023,19100,19000,19000,19000,4700,19000
61,22/02/2023,19000,19000,19000,19000,1900,19000
62,23/02/2023,19000,19000,19000,19000,-,19000
63,24/02/2023,18500,18500,18500,18500,100,18500
64,27/02/2023,18500,18500,18500,18500,-,18500
65,28/02/2023,18500,18500,18500,18500,-,18500
66,01/03/2023,18500,18500,18500,18500,-,18500
67,02/03/2023,18500,18500,18500,18500,400,18500
68,03/03/2023,18500,18500,18500,18500,800,18500
69,06/03/2023,18500,18500,18500,18500,-,18500
70,07/03/2023,18500,18500,18500,18500,-,18500
71,08/03/2023,18500,18500,18500,18500,-,18500
72,09/03/2023,18500,18500,18500,18500,-,18500
73,10/03/2023,18500,18500,18500,18500,400,18500
74,13/03/2023,18500,18500,18500,18500,1900,18500
75,14/03/2023,18400,18400,18400,18400,1000,18400
76,15/03/2023,18400,18400,18400,18400,-,18400
77,16/03/2023,17000,17000,17000,17000,100,17000
78,17/03/2023,17000,17000,17000,17000,-,17000
79,20/03/2023,17000,17000,17000,17000,6,17000
80,21/03/2023,17000,17000,17000,17000,-,17000
81,22/03/2023,17000,17000,17000,17000,-,17000
82,23/03/2023,17000,17000,17000,17000,-,17000
83,24/03/2023,17500,17500,17500,17500,500,17500
84,27/03/2023,17500,17500,17500,17500,-,17500
85,28/03/2023,17500,17500,17500,17500,-,17500
86,29/03/2023,15900,15900,15900,15900,100,15900
87,30/03/2023,15900,15900,15900,15900,-,15900
88,31/03/2023,15900,15900,15900,15900,-,15900
89,03/04/2023,18200,18200,18200,18200,4000,18200
90,04/04/2023,20900,19000,20900,19000,11300,19000
91,05/04/2023,19200,19200,19200,19000,26,19200
92,06/04/2023,19000,18200,19000,18200,1700,18200
93,07/04/2023,18500,18500,18500,18500,1000,18500
94,10/04/2023,18500,18500,18500,18500,10026,18500
95,11/04/2023,18500,18500,18500,18500,307,18500
96,12/04/2023,19000,19000,19000,19000,6002,19000
97,13/04/2023,19000,19000,19000,19000,-,19000
98,14/04/2023,19000,19000,19000,19000,900,19000
99,17/04/2023,19000,19000,19000,19000,-,19000
100,18/04/2023,19000,19000,19000,19000,-,19000
101,19/04/2023,19000,17000,17000,19000,707,19000
102,20/04/2023,18000,17100,17100,17300,2500,17300
103,21/04/2023,17400,17400,17400,17400,-,17400
104,24/04/2023,19800,19800,19800,19800,1088,19800
105,25/04/2023,19800,19800,19800,19800,-,19800
106,26/04/2023,19800,19800,19800,19800,-,19800
107,27/04/2023,19800,19800,19800,19800,-,19800
108,28/04/2023,19800,19800,19800,19800,-,19800
109,04/05/2023,19800,19800,19800,19800,1,19800
110,05/05/2023,17400,17400,17400,17400,100,17400
111,08/05/2023,17400,17400,17400,17400,-,17400
112,09/05/2023,17400,17400,17400,17400,-,17400
113,10/05/2023,16400,16400,16400,16400,100,16400
114,11/05/2023,18000,16500,16500,17100,1600,17100
115,12/05/2023,17200,17200,17200,17200,-,17200
116,15/05/2023,18800,18800,18800,18800,100,18800
117,16/05/2023,18800,18800,18800,18800,-,18800
118,17/05/2023,19000,18800,18800,19000,20200,19000
119,18/05/2023,19000,19000,19000,19000,-,19000
120,19/05/2023,18900,18200,18200,18900,400,18900
121,22/05/2023,18900,18700,18900,18700,300,18700
122,23/05/2023,19900,18300,18300,19900,5100,19900
123,24/05/2023,19900,18400,19900,19600,8200,19600
124,25/05/2023,22700,20000,22700,22300,1200,22300
125,26/05/2023,22600,20100,22600,21900,2100,21900
126,29/05/2023,22600,21200,22600,22400,3900,22400
127,30/05/2023,23600,19800,23600,23600,600,23600
128,31/05/2023,22900,18500,18500,22000,6300,22000
129,01/06/2023,22000,21600,21600,22000,3800,22000
130,02/06/2023,22000,21900,21900,22000,3800,22000
131,05/06/2023,24800,20100,24800,22600,1000,22600
132,06/06/2023,22900,22900,22900,22900,100,22900
133,07/06/2023,21900,21000,21000,21900,900,21900
134,08/06/2023,21900,21100,21900,21200,2500,21200
135,09/06/2023,21900,21900,21900,21900,100,21900
136,12/06/2023,21900,21900,21900,21900,-,21900
137,13/06/2023,25000,25000,25000,25000,100,25000
138,14/06/2023,25000,25000,25000,25000,-,25000
139,15/06/2023,25000,25000,25000,25000,-,25000
