,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,52600,46100,46100,52300,2400,49500
1,22/11/2022,55500,52300,52400,55000,4400,52000
2,23/11/2022,52000,52000,52000,52000,120,49200
3,24/11/2022,51900,47200,47200,51900,310,49100
4,25/11/2022,52200,48000,48000,48100,2200,45500
5,28/11/2022,51000,51000,51000,51000,100,48300
6,29/11/2022,51900,51600,51700,51900,2500,49100
7,30/11/2022,51900,51500,51600,51900,11100,49100
8,01/12/2022,52700,50000,52700,51900,2750,49100
9,02/12/2022,51900,51900,51900,51900,500,49100
10,05/12/2022,51900,46700,51900,50800,3800,49000
11,06/12/2022,51400,49500,51400,49500,800,47800
12,07/12/2022,51100,48500,51100,49800,500,48000
13,08/12/2022,49400,48000,49400,48000,3480,46300
14,09/12/2022,49100,49100,49100,49100,2000,47400
15,12/12/2022,49100,49100,49100,49100,-,47400
16,13/12/2022,54000,49000,49000,50300,4600,48500
17,14/12/2022,52000,49300,52000,50000,13900,48200
18,15/12/2022,50800,49600,49600,50000,4400,48200
19,16/12/2022,52000,50000,50000,50000,3100,48200
20,19/12/2022,51800,51700,51700,51800,500,50000
21,20/12/2022,52500,50200,51700,52300,3400,50500
22,21/12/2022,55000,52000,52000,55000,13000,53100
23,22/12/2022,54500,52700,53900,52700,3220,50800
24,23/12/2022,54600,52000,52000,54400,1200,52500
25,26/12/2022,54500,52200,54400,54000,5200,52100
26,27/12/2022,54700,54000,54000,54700,2401,52800
27,28/12/2022,55900,54700,54900,55900,1413,53900
28,29/12/2022,59000,54200,56000,58000,12300,56000
29,30/12/2022,58600,57900,57900,58600,2501,56500
30,03/01/2023,60000,52300,59500,59200,3000,57100
31,04/01/2023,59500,59100,59500,59300,1800,57200
32,05/01/2023,59800,53300,59200,59100,14800,57000
33,06/01/2023,59400,53600,53900,58900,3500,56800
34,09/01/2023,58800,53400,58800,58500,7909,56400
35,10/01/2023,57800,52700,57800,57100,1704,55100
36,11/01/2023,57300,57300,57300,57300,100,55300
37,12/01/2023,57300,57300,57300,57300,-,55300
38,13/01/2023,57300,57300,57300,57300,-,55300
39,16/01/2023,57300,57300,57300,57300,-,55300
40,17/01/2023,57300,57300,57300,57300,-,55300
41,18/01/2023,55700,54000,54000,55700,500,53700
42,19/01/2023,59000,50600,55900,54800,7200,52900
43,27/01/2023,58900,54600,54600,58900,3200,56800
44,30/01/2023,59000,59000,59000,59000,200,56900
45,31/01/2023,58500,53000,53000,58500,2700,56400
46,01/02/2023,57500,56200,57500,56200,600,54200
47,02/02/2023,56500,52000,55000,56400,1400,54400
48,03/02/2023,56400,53000,56400,55000,9500,53100
49,06/02/2023,55100,54000,55100,54800,500,52900
50,07/02/2023,54700,54700,54700,54700,200,52800
51,08/02/2023,54200,51000,52100,54200,1700,52300
52,09/02/2023,55400,54700,54700,55400,504,53500
53,10/02/2023,55400,54900,55400,55000,1100,53100
54,13/02/2023,54900,53000,53000,54300,500,52400
55,14/02/2023,53800,53800,53800,53800,100,51900
56,15/02/2023,54400,53900,54400,54000,700,52100
57,16/02/2023,54000,49700,52800,53700,2100,51800
58,17/02/2023,53600,51000,53600,51000,700,49200
59,20/02/2023,53500,53400,53500,53400,500,51500
60,21/02/2023,53400,53400,53400,53400,500,51500
61,22/02/2023,54700,53300,53300,54700,1000,52800
62,23/02/2023,53500,53500,53500,53500,400,51600
63,24/02/2023,53500,53500,53500,53500,-,51600
64,27/02/2023,53500,53500,53500,53500,-,51600
65,28/02/2023,53500,53500,53500,53500,-,51600
66,01/03/2023,53300,51700,51700,53300,200,51400
67,02/03/2023,53400,53400,53400,53400,100,51500
68,03/03/2023,53400,53400,53400,53400,-,51500
69,06/03/2023,53300,52000,53300,52000,3300,50200
70,07/03/2023,51800,51000,51800,51100,4100,49300
71,08/03/2023,52600,51100,52600,51100,500,49300
72,09/03/2023,52000,52000,52000,52000,200,50200
73,10/03/2023,52400,51400,52400,52200,1700,50400
74,13/03/2023,52000,52000,52000,52000,-,50200
75,14/03/2023,52000,52000,52000,52000,500,50200
76,15/03/2023,52000,52000,52000,52000,2700,50200
77,16/03/2023,52200,51200,52200,52000,1700,50200
78,17/03/2023,52200,52200,52200,52200,600,50400
79,20/03/2023,52100,51000,51000,52100,200,50300
80,21/03/2023,52000,52000,52000,52000,700,50200
81,22/03/2023,52000,52000,52000,52000,100,50200
82,23/03/2023,52200,51900,51900,52200,4900,50400
83,24/03/2023,53900,52000,52000,52000,5503,50200
84,27/03/2023,53900,51100,51300,53900,1800,52000
85,28/03/2023,53900,52700,53600,53900,3100,52000
86,29/03/2023,53800,51500,53000,53800,2800,51900
87,30/03/2023,59000,52900,53800,56800,3502,54800
88,31/03/2023,56900,55000,55800,56900,7900,54900
89,03/04/2023,56800,54500,56800,54500,201,52600
90,04/04/2023,56500,54400,56500,56400,1500,54400
91,05/04/2023,54900,51900,53500,54900,5100,53000
92,06/04/2023,55500,50100,52600,55500,8523,53500
93,07/04/2023,55700,55600,55600,55600,2002,53600
94,10/04/2023,57400,53800,53800,55600,7100,53600
95,11/04/2023,57000,55000,56000,56900,3100,54900
96,12/04/2023,56900,56700,56900,56700,1200,54700
97,13/04/2023,56900,56900,56900,56900,-,54900
98,14/04/2023,56900,56900,56900,56900,1004,54900
99,17/04/2023,56900,56600,56600,56900,6500,54900
100,18/04/2023,56800,56800,56800,56800,-,54800
101,19/04/2023,56700,54700,54700,56700,14200,54700
102,20/04/2023,56700,54700,54700,56600,1000,54600
103,21/04/2023,56900,56600,56600,56900,502,54900
104,24/04/2023,56800,54600,54600,56700,18500,54700
105,25/04/2023,56000,54300,54300,56000,200,54000
106,26/04/2023,56800,53300,55100,56600,601,54600
107,27/04/2023,56600,54000,56600,55900,1800,53900
108,28/04/2023,58000,54000,55900,58000,11386,56000
109,04/05/2023,57800,54900,57800,54900,604,53000
110,05/05/2023,55900,54100,55900,55700,1785,53700
111,08/05/2023,55700,55700,55700,55700,140,53700
112,09/05/2023,55000,54900,55000,54900,600,53000
113,10/05/2023,55000,53900,53900,54500,5957,52600
114,11/05/2023,55500,54000,54000,54200,2901,52300
115,12/05/2023,56900,54000,54000,56900,4700,54900
116,15/05/2023,56000,56000,56000,56000,100,54000
117,16/05/2023,58900,56500,56500,57000,600,55000
118,17/05/2023,58100,58100,58100,58100,-,56100
119,18/05/2023,58000,55200,55300,58000,3201,56000
120,19/05/2023,57700,57200,57700,57200,2200,55200
121,22/05/2023,57400,57400,57400,57400,-,55400
122,23/05/2023,55500,55200,55200,55500,800,53500
123,24/05/2023,58000,55000,55000,58000,1432,56000
124,25/05/2023,55600,55600,55600,55600,100,53600
125,26/05/2023,57000,55500,55500,57000,2300,55000
