,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,14400,14400,14400,14400,-,11500
1,22/11/2022,14400,14400,14400,14400,-,11500
2,23/11/2022,14400,14400,14400,15900,2,11500
3,24/11/2022,13100,13100,13100,13100,-,11500
4,25/11/2022,13100,13100,13100,13100,-,11500
5,28/11/2022,13100,13100,13100,13100,-,11500
6,29/11/2022,13100,13100,13100,13100,-,11500
7,30/11/2022,13100,13100,13100,13100,-,11500
8,01/12/2022,15000,15000,15000,15000,100,13200
9,02/12/2022,15900,15900,15900,15900,100,14000
10,05/12/2022,17000,17000,17000,17000,100,14900
11,06/12/2022,17000,17000,17000,17000,-,14900
12,07/12/2022,17000,17000,17000,17000,-,14900
13,08/12/2022,17000,17000,17000,17000,-,14900
14,09/12/2022,17000,17000,17000,17000,-,14900
15,12/12/2022,14500,14500,14500,14500,1000,12700
16,13/12/2022,16000,16000,16000,16000,500,14100
17,14/12/2022,16000,16000,16000,16000,-,14100
18,15/12/2022,14000,14000,14000,14000,1000,12300
19,16/12/2022,14000,14000,14000,14000,-,12300
20,19/12/2022,14000,11900,14000,11900,2500,10500
21,20/12/2022,12100,12100,12100,11900,2,10600
22,21/12/2022,13000,13000,13000,13000,1000,11400
23,22/12/2022,13000,13000,13000,13000,-,11400
24,23/12/2022,11100,11100,11100,11100,400,9700
25,26/12/2022,12000,12000,12000,12000,200,10500
26,27/12/2022,12000,12000,12000,12000,400,10500
27,28/12/2022,12800,12200,12200,12800,500,11200
28,29/12/2022,14000,13900,13900,13900,1501,12200
29,30/12/2022,15900,13900,13900,15900,200,14000
30,03/01/2023,16800,14800,14900,16800,6300,14800
31,04/01/2023,15700,15700,15700,15700,-,13800
32,05/01/2023,15700,15700,15700,15700,-,13800
33,06/01/2023,13800,13400,13800,13400,4900,11800
34,09/01/2023,13500,13500,13500,13500,-,11900
35,10/01/2023,13500,13500,13500,13500,-,11900
36,11/01/2023,13500,13500,13500,13500,-,11900
37,12/01/2023,13500,13500,13500,13500,400,11900
38,13/01/2023,13500,13500,13500,13500,-,11900
39,16/01/2023,13500,13500,13500,13500,-,11900
40,17/01/2023,13500,13500,13500,13500,-,11900
41,18/01/2023,13500,13500,13500,13500,-,11900
42,19/01/2023,13500,13500,13500,13500,-,11900
43,27/01/2023,15500,15500,15500,15500,100,13600
44,30/01/2023,15500,15500,15500,15500,-,13600
45,31/01/2023,15500,15500,15500,15500,10,13600
46,01/02/2023,15500,15500,15500,15500,-,13600
47,02/02/2023,15500,15500,15500,15500,-,13600
48,03/02/2023,15500,15500,15500,15500,5,13600
49,06/02/2023,15500,15500,15500,15500,-,13600
50,07/02/2023,15500,15500,15500,15500,-,13600
51,08/02/2023,15500,15500,15500,15500,-,13600
52,09/02/2023,15500,15500,15500,15500,-,13600
53,10/02/2023,15500,15500,15500,15500,-,13600
54,13/02/2023,15500,15500,15500,15500,-,13600
55,14/02/2023,15500,15500,15500,15500,-,13600
56,15/02/2023,15500,15500,15500,15500,-,13600
57,16/02/2023,13200,13200,13200,13200,100,11600
58,17/02/2023,13200,13200,13200,13200,-,11600
59,20/02/2023,13200,13200,13200,13200,100,11600
60,21/02/2023,13200,13200,13200,13200,-,11600
61,22/02/2023,12100,12100,12100,12100,300,10600
62,23/02/2023,12100,12100,12100,12100,-,10600
63,24/02/2023,12100,12100,12100,12100,-,10600
64,27/02/2023,12100,12100,12100,12100,-,10600
65,28/02/2023,12100,12100,12100,12100,-,10600
66,01/03/2023,13900,12000,13900,13900,3700,12200
67,02/03/2023,14000,11300,11300,14000,400,12300
68,03/03/2023,14500,11400,11400,14500,3300,12700
69,06/03/2023,13500,13500,13500,13500,100,11900
70,07/03/2023,13500,13500,13500,13500,-,11900
71,08/03/2023,13500,13500,13500,13500,-,11900
72,09/03/2023,13500,13500,13500,13500,-,11900
73,10/03/2023,13500,13500,13500,13500,-,11900
74,13/03/2023,11500,11500,11500,11500,500,10100
75,14/03/2023,11000,11000,11000,11000,500,9700
76,15/03/2023,11000,11000,11000,11000,-,9700
77,16/03/2023,12600,12000,12600,12600,1201,11100
78,17/03/2023,12500,12500,12500,12500,-,11000
79,20/03/2023,13000,10700,10700,13000,400,11400
80,21/03/2023,14000,14000,14000,14000,100,12300
81,22/03/2023,13700,13700,13700,13700,100,12000
82,23/03/2023,14000,11700,11700,14000,600,12300
83,24/03/2023,13800,13800,13800,13800,120,12100
84,27/03/2023,13800,12000,12000,13800,200,12100
85,28/03/2023,12900,12900,12900,12900,-,11300
86,29/03/2023,12900,12900,12900,12900,-,11300
87,30/03/2023,13400,11300,13400,13400,700,11800
88,31/03/2023,11400,11000,11000,11400,1700,10000
89,03/04/2023,12900,11000,11300,11000,3600,9700
90,04/04/2023,12800,12000,12000,12800,3222,11200
91,05/04/2023,13900,13900,13900,13900,100,12200
92,06/04/2023,13700,13700,13700,13700,530,12000
93,07/04/2023,13700,13700,13700,13700,100,12000
94,10/04/2023,13700,13700,13700,13700,700,12000
95,11/04/2023,13700,11800,13700,11800,200,10400
96,12/04/2023,13500,13500,13500,13500,100,11900
97,13/04/2023,13500,13500,13500,13500,520,11900
98,14/04/2023,14000,13500,13500,14000,600,12300
99,17/04/2023,13600,13600,13600,13600,-,11900
100,18/04/2023,11800,11800,11800,11800,300,10400
101,19/04/2023,13500,13500,13500,13500,100,11900
102,20/04/2023,13700,13700,13700,13700,100,12000
103,21/04/2023,14000,13700,13700,14000,200,12300
104,24/04/2023,13900,13900,13900,13900,-,12200
105,25/04/2023,13900,13900,13900,13900,-,12200
106,26/04/2023,13900,13900,13900,13900,-,12200
107,27/04/2023,13900,13900,13900,13900,-,12200
108,28/04/2023,13900,13900,13900,13900,-,12200
109,04/05/2023,13900,13900,13900,14000,88,12200
110,05/05/2023,13900,13900,13900,13900,-,12200
111,08/05/2023,13900,13800,13800,13900,404,12200
112,09/05/2023,14000,14000,14000,14000,103,12300
113,10/05/2023,14500,14500,14500,14500,100,12700
114,11/05/2023,14500,14500,14500,14500,-,12700
115,12/05/2023,14500,14500,14500,14500,-,12700
116,15/05/2023,14500,14500,14500,14500,-,12700
117,16/05/2023,14500,14500,14500,14500,200,12700
118,17/05/2023,15000,15000,15000,15000,100,13200
119,18/05/2023,13000,13000,13000,13000,2519,11400
120,19/05/2023,13000,13000,13000,13000,1000,11400
121,22/05/2023,13000,13000,13000,13000,-,11400
122,23/05/2023,13800,13800,13800,13800,100,12100
123,24/05/2023,13000,13000,13000,13000,100,11400
124,25/05/2023,13000,13000,13000,13000,100,11400
125,26/05/2023,13000,13000,13000,13000,-,11400
126,29/05/2023,13900,13800,13800,13900,600,12200
127,30/05/2023,13800,13800,13800,13800,100,12100
128,31/05/2023,13200,11800,11800,13200,7400,11600
129,01/06/2023,13200,13100,13100,13200,3948,11600
130,02/06/2023,13200,13200,13200,13200,-,11600
131,05/06/2023,13800,13600,13800,13700,1300,12000
132,06/06/2023,13900,13900,13900,13900,100,12200
133,07/06/2023,13800,13800,13800,13800,110,12100
134,08/06/2023,14200,13800,13800,14200,6000,12500
135,09/06/2023,14000,14000,14000,14000,5500,12300
136,12/06/2023,14200,14100,14200,14100,500,12400
137,13/06/2023,14200,14200,14200,14200,-,12500
138,14/06/2023,13800,13700,13800,13700,500,12400
139,15/06/2023,14200,13900,14200,14100,3200,12700
140,16/06/2023,14300,14300,14300,14300,186,12900
141,19/06/2023,14300,14300,14300,14300,-,12900
142,20/06/2023,14300,14300,14300,14300,-,12900
143,21/06/2023,13300,12300,12300,13300,200,12000
144,22/06/2023,14200,14000,14000,14200,1500,12800
145,23/06/2023,13800,13800,13800,13800,100,12500
146,26/06/2023,13800,13800,13800,13800,-,12500
147,27/06/2023,14000,13600,13600,14000,1700,12700
148,28/06/2023,13900,13200,13200,13900,1200,12600
149,29/06/2023,13500,13500,13500,13900,38,12200
150,30/06/2023,14000,13500,13500,14000,1200,12700
151,03/07/2023,14100,14100,14100,14100,100,12700
152,04/07/2023,14100,14100,14100,14100,200,12700
153,05/07/2023,14100,14100,14100,14100,100,12700
154,06/07/2023,14000,13900,14000,14000,1100,12700
155,07/07/2023,14000,14000,14000,14000,1300,12700
156,10/07/2023,14100,13900,14100,13900,1600,12600
157,11/07/2023,14100,13800,13800,14100,2700,12700
158,12/07/2023,14100,14100,14100,14100,-,12700
159,13/07/2023,14100,14100,14100,14100,200,12700
160,14/07/2023,14100,14100,14100,14100,100,12700
161,17/07/2023,15000,14100,14100,14200,11700,12800
162,18/07/2023,14500,14500,14500,14500,1000,13100
163,19/07/2023,14500,14500,14500,14500,-,13100
164,20/07/2023,14500,14500,14500,14500,-,13100
165,21/07/2023,15200,15200,15200,15200,100,13700
166,24/07/2023,15000,15000,15000,15000,100,13600
167,25/07/2023,15400,15400,15400,15400,100,13900
168,26/07/2023,16400,16400,16400,16400,101,14800
169,27/07/2023,16000,16000,16000,16000,500,14500
170,28/07/2023,16000,16000,16000,16000,-,14500
171,31/07/2023,15200,15200,15200,15200,400,13700
172,01/08/2023,15300,15300,15300,15300,104,13800
173,02/08/2023,15300,15300,15300,15300,-,13800
174,03/08/2023,15500,15400,15400,15500,3800,14000
175,04/08/2023,17800,17800,17800,17800,110,16100
176,07/08/2023,20300,19900,20300,19900,200,18000
177,08/08/2023,19700,17100,19700,17100,1844,15500
178,09/08/2023,15400,15200,15400,15200,6700,13700
179,10/08/2023,15200,15000,15200,15200,2700,13700
180,11/08/2023,15000,14800,15000,14800,700,13400
181,14/08/2023,15900,14900,14900,15900,4700,14400
182,15/08/2023,15800,15500,15500,15800,2132,14300
183,16/08/2023,15700,15700,15700,15700,-,14200
184,17/08/2023,15700,15700,15700,15700,4300,14200
185,18/08/2023,15700,15700,15700,15700,7,14200
186,21/08/2023,13800,13400,13400,13800,200,12500
187,22/08/2023,15500,15500,15500,15500,1300,14000
188,23/08/2023,15500,15500,15500,15500,-,14000
