,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5000,4800,4900,4800,400,4800
1,22/11/2022,5000,4900,4900,4900,700,4900
2,23/11/2022,4900,4900,4900,4900,-,4900
3,24/11/2022,4900,4200,4200,4800,3200,4800
4,25/11/2022,4900,4500,4900,4500,1600,4500
5,28/11/2022,4900,4400,4800,4400,8400,4400
6,29/11/2022,4900,4100,4100,4500,6968,4500
7,30/11/2022,4900,4300,4300,4900,6400,4900
8,01/12/2022,4800,4800,4800,4800,8542,4800
9,02/12/2022,4900,4500,4900,4900,5210,4900
10,05/12/2022,4900,4900,4900,4900,3200,4900
11,06/12/2022,5000,4400,5000,4600,6200,4600
12,07/12/2022,4900,4800,4900,4800,906,4800
13,08/12/2022,4900,4900,4900,4900,1500,4900
14,09/12/2022,4900,4800,4900,4900,1262,4900
15,12/12/2022,4800,4800,4800,4800,1000,4800
16,13/12/2022,4800,4500,4500,4800,2400,4800
17,14/12/2022,4600,4600,4600,4600,3400,4600
18,15/12/2022,4800,4600,4600,4800,9000,4800
19,16/12/2022,4800,4700,4700,4800,3700,4800
20,19/12/2022,4800,4800,4800,4800,6501,4800
21,20/12/2022,4800,4700,4800,4800,5100,4800
22,21/12/2022,4800,4600,4800,4600,700,4600
23,22/12/2022,4700,4700,4700,4700,100,4700
24,23/12/2022,4800,4700,4700,4700,9500,4700
25,26/12/2022,5300,4600,4700,4600,2300,4600
26,27/12/2022,4700,4400,4700,4400,2300,4400
27,28/12/2022,4900,4900,4900,4900,1000,4900
28,29/12/2022,4800,4800,4800,4800,5500,4800
29,30/12/2022,4800,4500,4800,4500,6049,4500
30,03/01/2023,5000,5000,5000,5000,177,5000
31,04/01/2023,4900,4800,4900,4800,300,4800
32,05/01/2023,4800,4800,4800,4800,-,4800
33,06/01/2023,4700,4700,4700,4700,1000,4700
34,09/01/2023,4800,4500,4700,4700,13300,4700
35,10/01/2023,4700,4400,4400,4700,1900,4700
36,11/01/2023,4700,4500,4500,4600,3200,4600
37,12/01/2023,4700,4600,4600,4700,1100,4700
38,13/01/2023,4700,4500,4500,4600,600,4600
39,16/01/2023,4600,4600,4600,4600,100,4600
40,17/01/2023,4900,4400,4400,4600,6200,4600
41,18/01/2023,4900,4500,4500,4800,2200,4800
42,19/01/2023,4900,4600,4600,4900,1900,4900
43,27/01/2023,5100,4900,4900,5000,1300,5000
44,30/01/2023,5000,5000,5000,5000,1211,5000
45,31/01/2023,5000,4300,5000,4800,8100,4800
46,01/02/2023,5100,5000,5000,5100,1300,5100
47,02/02/2023,5000,5000,5000,5000,3000,5000
48,03/02/2023,4800,4600,4600,4700,10000,4700
49,06/02/2023,4900,4500,4600,4900,1300,4900
50,07/02/2023,4800,4500,4700,4700,5400,4700
51,08/02/2023,4800,4600,4600,4700,1350,4700
52,09/02/2023,4700,4600,4700,4700,3900,4700
53,10/02/2023,4600,4600,4600,4600,700,4600
54,13/02/2023,4700,4400,4700,4600,4800,4600
55,14/02/2023,4500,4500,4500,4500,500,4500
56,15/02/2023,4600,4500,4600,4500,3900,4500
57,16/02/2023,4600,4600,4600,4600,3139,4600
58,17/02/2023,4600,4600,4600,4600,2000,4600
59,20/02/2023,4600,4600,4600,4600,300,4600
60,21/02/2023,4700,4700,4700,4700,600,4700
61,22/02/2023,4800,4700,4800,4700,2900,4700
62,23/02/2023,4700,4500,4700,4500,1200,4500
63,24/02/2023,4500,4500,4500,4500,701,4500
64,27/02/2023,4500,4500,4500,4500,200,4500
65,28/02/2023,4500,4500,4500,4500,-,4500
66,01/03/2023,4600,4600,4600,4600,2500,4600
67,02/03/2023,4600,4500,4500,4600,500,4600
68,03/03/2023,4600,4600,4600,4600,620,4600
69,06/03/2023,4600,4600,4600,4600,600,4600
70,07/03/2023,4500,4500,4500,4500,2000,4500
71,08/03/2023,4400,4400,4400,4400,5710,4400
72,09/03/2023,4500,4500,4500,4500,3000,4500
73,10/03/2023,4500,4500,4500,4500,500,4500
74,13/03/2023,4500,4400,4500,4500,2500,4500
75,14/03/2023,5100,4600,4600,5000,19808,5000
76,15/03/2023,4900,4500,4900,4500,600,4500
77,16/03/2023,4800,4600,4600,4800,49300,4800
78,17/03/2023,5100,4600,5100,4800,300,4800
79,20/03/2023,4700,4600,4700,4600,1100,4600
80,21/03/2023,4700,4700,4700,4700,1200,4700
81,22/03/2023,4600,4600,4600,4600,1000,4600
82,23/03/2023,5000,4500,5000,4500,4100,4500
83,24/03/2023,5000,4400,5000,4400,200,4400
84,27/03/2023,5300,4500,5300,4600,2800,4600
85,28/03/2023,4600,4600,4600,4600,-,4600
86,29/03/2023,4600,4600,4600,4600,-,4600
87,30/03/2023,4800,4400,4600,4400,500,4400
88,31/03/2023,5000,4400,5000,4500,6100,4500
89,03/04/2023,5000,4600,5000,4600,500,4600
90,04/04/2023,4700,4700,4700,4700,200,4700
91,05/04/2023,4700,4600,4700,4700,830,4700
92,06/04/2023,4700,4600,4700,4600,600,4600
93,07/04/2023,4600,4500,4600,4500,4900,4500
94,10/04/2023,4600,4600,4600,4600,3600,4600
95,11/04/2023,4600,4500,4600,4500,2700,4500
96,12/04/2023,4500,4500,4500,4500,11800,4500
97,13/04/2023,4500,4400,4400,4500,3300,4500
98,14/04/2023,4500,4400,4400,4500,9600,4500
99,17/04/2023,4600,4600,4600,4600,300,4600
100,18/04/2023,4600,4500,4600,4500,1103,4500
101,19/04/2023,4500,4400,4500,4500,3400,4500
102,20/04/2023,4500,4500,4500,4500,400,4500
103,21/04/2023,4500,4300,4500,4300,400,4300
104,24/04/2023,4500,4500,4500,4500,1900,4500
105,25/04/2023,4500,4400,4500,4400,1100,4400
106,26/04/2023,5100,4500,4500,4800,33821,4800
107,27/04/2023,5100,4900,5000,4900,11000,4900
108,28/04/2023,5200,4700,5200,5000,18150,5000
109,04/05/2023,5000,4600,5000,4600,15503,4600
110,05/05/2023,4700,4600,4700,4600,4000,4600
111,08/05/2023,4600,4500,4500,4500,2424,4500
112,09/05/2023,4700,4500,4600,4600,4721,4600
113,10/05/2023,4600,4500,4500,4600,3100,4600
114,11/05/2023,4700,4500,4600,4700,6800,4700
115,12/05/2023,4600,4600,4600,4600,1900,4600
116,15/05/2023,4800,4600,4600,4700,1400,4700
117,16/05/2023,4700,4700,4700,4700,1200,4700
118,17/05/2023,4700,4600,4700,4600,1335,4600
119,18/05/2023,4600,4600,4600,4600,210,4600
120,19/05/2023,4500,4500,4500,4500,800,4500
121,22/05/2023,4700,4700,4700,4700,600,4700
122,23/05/2023,4700,4700,4700,4700,406,4700
123,24/05/2023,4700,4700,4700,4700,300,4700
124,25/05/2023,4700,4600,4600,4700,400,4700
125,26/05/2023,4700,4700,4700,4700,1000,4700
126,29/05/2023,4800,4700,4700,4800,3800,4800
127,30/05/2023,4900,4800,4900,4800,506,4800
128,31/05/2023,4800,4800,4800,4800,2800,4800
129,01/06/2023,4900,4800,4800,4800,4200,4800
130,02/06/2023,4900,4800,4800,4900,1500,4900
131,05/06/2023,4900,4800,4900,4800,4200,4800
132,06/06/2023,5000,4700,5000,4700,1700,4700
133,07/06/2023,4800,4600,4700,4800,15500,4800
134,08/06/2023,4900,4700,4800,4900,13300,4900
135,09/06/2023,4900,4800,4900,4800,8000,4800
136,12/06/2023,4900,4900,4900,4900,18625,4900
137,13/06/2023,5000,4900,4900,4900,19300,4900
138,14/06/2023,4900,4800,4900,4800,11900,4800
139,15/06/2023,4900,4800,4800,4800,13411,4800
140,16/06/2023,4900,4600,4700,4900,8100,4900
141,19/06/2023,4900,4900,4900,4900,600,4900
142,20/06/2023,4700,4700,4700,4700,1600,4700
143,21/06/2023,4800,4700,4700,4800,5500,4800
144,22/06/2023,4800,4700,4700,4700,2513,4700
145,23/06/2023,4800,4800,4800,4800,1100,4800
146,26/06/2023,4800,4700,4700,4800,7200,4800
147,27/06/2023,4800,4700,4800,4800,3700,4800
148,28/06/2023,4800,4700,4700,4700,8000,4700
149,29/06/2023,4800,4700,4800,4700,400,4700
150,30/06/2023,4800,4800,4800,4800,-,4800
151,03/07/2023,4800,4600,4600,4800,19312,4800
152,04/07/2023,4800,4800,4800,4800,500,4800
153,05/07/2023,4700,4600,4700,4700,1700,4700
154,06/07/2023,4700,4700,4700,4700,300,4700
155,07/07/2023,4800,4600,4600,4800,2500,4800
156,10/07/2023,4800,4500,4500,4800,17302,4800
157,11/07/2023,4700,4600,4600,4700,1100,4700
158,12/07/2023,4800,4700,4700,4700,3500,4700
159,13/07/2023,5400,4600,4600,4900,17100,4900
160,14/07/2023,4800,4800,4800,4800,4000,4800
161,17/07/2023,4800,4700,4700,4700,18200,4700
162,18/07/2023,4700,4700,4700,4700,7700,4700
163,19/07/2023,4800,4700,4800,4800,2500,4800
164,20/07/2023,4800,4700,4800,4800,6200,4800
165,21/07/2023,4800,4700,4800,4700,1600,4700
166,24/07/2023,4800,4600,4700,4800,17800,4800
167,25/07/2023,4900,4600,4600,4700,5200,4700
168,26/07/2023,5400,4700,4700,5200,123100,5200
169,27/07/2023,5800,5600,5600,5700,67150,5700
170,28/07/2023,6400,5500,6000,5600,103600,5600
171,31/07/2023,6200,5600,5900,5700,41800,5700
172,01/08/2023,5900,5400,5900,5700,5900,5700
173,02/08/2023,5800,5300,5600,5400,4803,5400
174,03/08/2023,5500,5200,5300,5500,38700,5500
175,04/08/2023,5500,5100,5500,5400,34000,5400
176,07/08/2023,5400,5400,5400,5400,5402,5400
177,08/08/2023,5400,5200,5400,5400,14602,5400
178,09/08/2023,5400,5300,5400,5400,25600,5400
179,10/08/2023,5700,5400,5400,5700,6100,5700
180,11/08/2023,5600,5400,5600,5400,15040,5400
181,14/08/2023,5600,5400,5600,5400,16100,5400
182,15/08/2023,5400,5400,5400,5400,4301,5400
183,16/08/2023,5800,5400,5400,5400,1945,5400
184,17/08/2023,5600,5500,5500,5600,3000,5600
185,18/08/2023,5700,5500,5600,5500,24800,5500
186,21/08/2023,6300,5400,5500,6300,39200,6300
187,22/08/2023,6100,5700,6000,6100,9807,6100
188,23/08/2023,6100,5900,6100,5900,15808,5900
189,24/08/2023,6000,5500,6000,6000,17706,6000
190,25/08/2023,6100,6000,6100,6100,1810,6100
191,28/08/2023,6000,5600,5700,5900,34001,5900
192,29/08/2023,5900,5500,5800,5900,20701,5900
193,30/08/2023,5900,5800,5900,5800,200,5800
194,31/08/2023,5800,5800,5800,5800,2000,5800
195,05/09/2023,5800,5700,5700,5700,6700,5700
196,06/09/2023,6000,5700,6000,5700,7500,5700
197,07/09/2023,5700,5500,5500,5700,7300,5700
198,08/09/2023,5600,5600,5600,5600,8000,5600
199,11/09/2023,5800,5600,5800,5600,14700,5600
200,12/09/2023,5900,5700,5700,5900,20000,5900
201,13/09/2023,5800,5700,5700,5700,17700,5700
202,14/09/2023,6100,5200,5300,5800,6100,5800
203,15/09/2023,6000,5400,5700,6000,11500,6000
204,18/09/2023,6000,5600,6000,6000,900,6000
205,19/09/2023,6000,5700,5700,6000,3800,6000
206,20/09/2023,6000,6000,6000,6000,114,6000
207,21/09/2023,6900,5600,5600,6900,20200,6900
208,22/09/2023,6100,5500,5500,6100,4000,6100
209,25/09/2023,6200,5700,5900,5700,3100,5700
210,26/09/2023,5900,5400,5500,5700,13400,5700
211,27/09/2023,5700,5600,5600,5700,14800,5700
212,28/09/2023,6100,5700,6100,6000,7400,6000
213,29/09/2023,6300,5700,6200,6000,3200,6000
214,02/10/2023,6100,5800,6000,6000,4700,6000
215,03/10/2023,6100,5700,5800,6100,2400,6100
216,04/10/2023,6000,5900,5900,6000,600,6000
217,05/10/2023,6000,6000,6000,6000,200,6000
218,06/10/2023,6000,5600,5600,6000,7600,6000
219,09/10/2023,5800,5600,5800,5600,13200,5600
220,10/10/2023,6100,5500,5600,6000,9800,6000
221,11/10/2023,6200,6200,6200,6200,100,6200
222,12/10/2023,6000,5700,6000,5700,4300,5700
223,13/10/2023,6000,6000,6000,6000,-,6000
224,16/10/2023,6000,5900,5900,5900,65000,5900
225,17/10/2023,6000,5700,5700,6000,3600,6000
226,18/10/2023,5900,5700,5700,5900,5500,5900
227,19/10/2023,5900,5600,5700,5600,11600,5600
228,20/10/2023,6400,5700,6400,5700,200,5700
229,23/10/2023,6900,6200,6200,6500,120900,6500
230,24/10/2023,7700,6600,7700,7100,85200,7100
231,25/10/2023,7900,7000,7200,7100,121800,7100
232,26/10/2023,7400,6600,7400,6700,98700,6700
233,27/10/2023,7000,6300,6600,6800,54800,6800
234,30/10/2023,7100,6400,7000,6700,36917,6700
235,31/10/2023,6600,6100,6400,6400,23906,6400
236,01/11/2023,6500,6200,6500,6300,21051,6300
237,02/11/2023,6700,6300,6400,6700,15500,6700
238,03/11/2023,6500,6400,6400,6400,14000,6400
239,06/11/2023,6700,6500,6500,6700,14000,6700
240,07/11/2023,6900,6700,6700,6900,22400,6900
241,08/11/2023,7700,6700,6700,7700,174517,7700
242,09/11/2023,8000,7400,7500,7600,32551,7600
243,10/11/2023,7800,7200,7800,7200,85417,7200
244,13/11/2023,7400,7000,7200,7100,20700,7100
245,14/11/2023,7100,6800,7000,7000,15152,7000
246,15/11/2023,7200,7000,7000,7100,23403,7100
247,16/11/2023,7100,6900,6900,7100,4200,7100
248,17/11/2023,7200,7000,7200,7200,30000,7200
249,20/11/2023,7200,7000,7100,7100,6501,7100
