,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1300,1300,1300,1300,-,1300
1,22/11/2022,1300,1300,1300,1300,-,1300
2,23/11/2022,1300,1300,1300,1300,-,1300
3,24/11/2022,1300,1300,1300,1300,-,1300
4,25/11/2022,1200,1200,1200,1200,13602,1200
5,28/11/2022,1200,1200,1200,1200,-,1200
6,29/11/2022,1200,1200,1200,1200,-,1200
7,30/11/2022,1200,1200,1200,1200,-,1200
8,01/12/2022,1200,1200,1200,1200,-,1200
9,02/12/2022,1300,1200,1300,1200,28000,1200
10,05/12/2022,1300,1300,1300,1300,-,1300
11,06/12/2022,1300,1300,1300,1300,-,1300
12,07/12/2022,1300,1300,1300,1300,-,1300
13,08/12/2022,1300,1300,1300,1300,-,1300
14,09/12/2022,1200,1200,1200,1200,7400,1200
15,12/12/2022,1200,1200,1200,1200,-,1200
16,13/12/2022,1200,1200,1200,1200,-,1200
17,14/12/2022,1200,1200,1200,1200,-,1200
18,15/12/2022,1200,1200,1200,1200,-,1200
19,16/12/2022,1300,1200,1200,1200,2800,1200
20,19/12/2022,1300,1300,1300,1300,-,1300
21,20/12/2022,1300,1300,1300,1300,-,1300
22,21/12/2022,1300,1300,1300,1300,-,1300
23,22/12/2022,1300,1300,1300,1300,-,1300
24,23/12/2022,1300,1200,1200,1200,12550,1200
25,26/12/2022,1200,1200,1200,1200,-,1200
26,27/12/2022,1200,1200,1200,1200,-,1200
27,28/12/2022,1200,1200,1200,1200,-,1200
28,29/12/2022,1200,1200,1200,1200,-,1200
29,30/12/2022,1200,1100,1200,1100,22500,1100
30,03/01/2023,1100,1100,1100,1100,-,1100
31,04/01/2023,1100,1100,1100,1100,-,1100
32,05/01/2023,1100,1100,1100,1100,-,1100
33,06/01/2023,1100,1000,1000,1100,8300,1100
34,09/01/2023,1100,1100,1100,1100,-,1100
35,10/01/2023,1100,1100,1100,1100,-,1100
36,11/01/2023,1100,1100,1100,1100,-,1100
37,12/01/2023,1100,1100,1100,1100,-,1100
38,13/01/2023,1100,1100,1100,1100,-,1100
39,16/01/2023,1100,1100,1100,1100,-,1100
40,17/01/2023,1100,1100,1100,1100,-,1100
41,18/01/2023,1100,1100,1100,1100,-,1100
42,19/01/2023,1100,1100,1100,1100,-,1100
43,27/01/2023,1100,1000,1100,1000,6100,1000
44,30/01/2023,1000,1000,1000,1000,-,1000
45,31/01/2023,1000,1000,1000,1000,-,1000
46,01/02/2023,1000,1000,1000,1000,-,1000
47,02/02/2023,1000,1000,1000,1000,-,1000
48,03/02/2023,1100,1000,1000,1100,64167,1100
49,06/02/2023,1100,1100,1100,1100,-,1100
50,07/02/2023,1100,1100,1100,1100,-,1100
51,08/02/2023,1100,1100,1100,1100,-,1100
52,09/02/2023,1100,1100,1100,1100,-,1100
53,10/02/2023,1200,1000,1200,1000,122190,1000
54,13/02/2023,1200,1200,1200,1200,-,1200
55,14/02/2023,1200,1200,1200,1200,-,1200
56,15/02/2023,1200,1200,1200,1200,-,1200
57,16/02/2023,1200,1200,1200,1200,-,1200
58,17/02/2023,1200,1100,1100,1200,2000,1200
59,20/02/2023,1100,1100,1100,1100,-,1100
60,21/02/2023,1100,1100,1100,1100,-,1100
61,22/02/2023,1100,1100,1100,1100,-,1100
62,23/02/2023,1100,1100,1100,1100,-,1100
63,24/02/2023,1200,1100,1100,1200,52100,1200
64,27/02/2023,1200,1200,1200,1200,-,1200
65,28/02/2023,1200,1200,1200,1200,-,1200
66,01/03/2023,1200,1200,1200,1200,-,1200
67,02/03/2023,1200,1200,1200,1200,-,1200
68,03/03/2023,1300,1100,1200,1300,1350,1300
69,06/03/2023,1100,1100,1100,1100,-,1100
70,07/03/2023,1100,1100,1100,1100,-,1100
71,08/03/2023,1100,1100,1100,1100,-,1100
72,09/03/2023,1100,1100,1100,1100,-,1100
73,10/03/2023,1100,1000,1100,1000,10000,1000
74,13/03/2023,1000,1000,1000,1000,-,1000
75,14/03/2023,1000,1000,1000,1000,-,1000
76,15/03/2023,1000,1000,1000,1000,-,1000
77,16/03/2023,1000,1000,1000,1000,-,1000
78,17/03/2023,1100,900,900,1100,10900,1100
79,20/03/2023,1000,1000,1000,1000,-,1000
80,21/03/2023,1000,1000,1000,1000,-,1000
81,22/03/2023,1000,1000,1000,1000,-,1000
82,23/03/2023,1000,1000,1000,1000,-,1000
83,24/03/2023,1100,900,900,1100,11500,1100
84,27/03/2023,900,900,900,900,-,900
85,28/03/2023,900,900,900,900,-,900
86,29/03/2023,900,900,900,900,-,900
87,30/03/2023,900,900,900,900,-,900
88,31/03/2023,900,800,800,900,200,900
89,03/04/2023,900,900,900,900,-,900
90,04/04/2023,900,900,900,900,-,900
91,05/04/2023,900,900,900,900,-,900
92,06/04/2023,900,900,900,900,-,900
93,07/04/2023,1000,1000,1000,1000,50004,1000
94,10/04/2023,1000,1000,1000,1000,-,1000
95,11/04/2023,1000,1000,1000,1000,-,1000
96,12/04/2023,1000,1000,1000,1000,-,1000
97,13/04/2023,1000,1000,1000,1000,-,1000
98,14/04/2023,1100,900,900,1100,1700,1100
99,17/04/2023,1100,1100,1100,1100,-,1100
