,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7500,7500,7500,7500,100,7500
1,22/11/2022,7500,7500,7500,7500,3500,7500
2,23/11/2022,7000,6900,6900,6900,2000,6900
3,24/11/2022,7500,7000,7500,7000,1000,7000
4,25/11/2022,8000,7100,8000,7200,1400,7200
5,28/11/2022,7900,7000,7900,7200,13300,7200
6,29/11/2022,7200,7000,7200,7000,8000,7000
7,30/11/2022,7900,6600,7900,7800,2300,7800
8,01/12/2022,8500,8200,8200,8500,3200,8500
9,02/12/2022,9300,7400,8900,8900,3800,8900
10,05/12/2022,9300,7200,9000,8200,8300,8200
11,06/12/2022,8200,8000,8200,8000,1500,8000
12,07/12/2022,7900,7000,7500,7000,14300,7000
13,08/12/2022,7400,7200,7300,7300,31600,7300
14,09/12/2022,7800,7800,7800,7800,300,7800
15,12/12/2022,8500,6800,6800,8400,400,8400
16,13/12/2022,8300,7600,7800,7600,2500,7600
17,14/12/2022,8200,7600,7800,7700,4600,7700
18,15/12/2022,7700,7700,7700,7700,1100,7700
19,16/12/2022,7500,7000,7500,7500,1200,7500
20,19/12/2022,7400,7400,7400,7400,3000,7400
21,20/12/2022,7400,7300,7400,7300,900,7300
22,21/12/2022,7300,6800,7300,6800,18200,6800
23,22/12/2022,7800,7800,7800,7800,100,7800
24,23/12/2022,7300,7200,7300,7200,800,7200
25,26/12/2022,7200,7200,7200,7200,2300,7200
26,27/12/2022,7000,7000,7000,7000,1200,7000
27,28/12/2022,7000,7000,7000,7000,2300,7000
28,29/12/2022,7000,7000,7000,7000,900,7000
29,30/12/2022,7000,7000,7000,7000,1100,7000
30,03/01/2023,7000,7000,7000,7000,3100,7000
31,04/01/2023,7800,7800,7800,7800,100,7800
32,05/01/2023,7200,7000,7100,7100,3900,7100
33,06/01/2023,7100,7000,7100,7000,3200,7000
34,09/01/2023,7000,7000,7000,7000,2500,7000
35,10/01/2023,7000,7000,7000,7000,900,7000
36,11/01/2023,7000,7000,7000,7000,-,7000
37,12/01/2023,7000,7000,7000,7000,5000,7000
38,13/01/2023,7000,7000,7000,7000,-,7000
39,16/01/2023,7000,7000,7000,7000,4500,7000
40,17/01/2023,7500,7500,7500,7500,100,7500
41,18/01/2023,7000,6800,7000,6800,23000,6800
42,19/01/2023,7700,7000,7700,7500,6100,7500
43,27/01/2023,7500,6800,7500,7000,7500,7000
44,30/01/2023,7400,7400,7400,7400,100,7400
45,31/01/2023,7100,6800,7000,7100,9400,7100
46,01/02/2023,7100,7100,7100,7100,4000,7100
47,02/02/2023,7000,7000,7000,7000,2300,7000
48,03/02/2023,7000,7000,7000,7000,4600,7000
49,06/02/2023,8000,8000,8000,8000,100,8000
50,07/02/2023,7000,7000,7000,7000,1600,7000
51,08/02/2023,7000,7000,7000,7000,4600,7000
52,09/02/2023,7000,7000,7000,7000,8300,7000
53,10/02/2023,7000,7000,7000,7000,3100,7000
54,13/02/2023,7000,7000,7000,7000,1000,7000
55,14/02/2023,7000,6900,7000,6900,2300,6900
56,15/02/2023,7100,6900,7000,6900,14400,6900
57,16/02/2023,7000,7000,7000,7000,-,7000
58,17/02/2023,7000,7000,7000,7000,2200,7000
59,20/02/2023,7600,7600,7600,7600,100,7600
60,21/02/2023,8500,8500,8500,8500,100,8500
61,22/02/2023,7300,7300,7300,7300,6200,7300
62,23/02/2023,7100,7000,7100,7000,4001,7000
63,24/02/2023,7500,6600,7000,7500,1200,7500
64,27/02/2023,6900,6900,6900,6900,-,6900
65,28/02/2023,6900,6900,6900,6900,-,6900
66,01/03/2023,6900,6900,6900,6900,1100,6900
67,02/03/2023,6900,6900,6900,6900,-,6900
68,03/03/2023,6900,6900,6900,6900,900,6900
69,06/03/2023,7300,7300,7300,7300,100,7300
70,07/03/2023,7300,7300,7300,7300,-,7300
71,08/03/2023,7000,7000,7000,7000,500,7000
72,09/03/2023,7000,7000,7000,7000,7200,7000
73,10/03/2023,8000,7000,7000,8000,5000,8000
74,13/03/2023,7100,7100,7100,7100,2900,7100
75,14/03/2023,7100,7100,7100,7100,-,7100
76,15/03/2023,7400,7100,7400,7100,4200,7100
77,16/03/2023,7400,7400,7400,7400,-,7400
78,17/03/2023,7400,7400,7400,7400,-,7400
79,20/03/2023,7400,7400,7400,7400,-,7400
80,21/03/2023,7400,7400,7400,7400,-,7400
81,22/03/2023,7400,7400,7400,7400,-,7400
82,23/03/2023,7400,7400,7400,7400,-,7400
83,24/03/2023,7200,7100,7200,7100,800,7100
84,27/03/2023,7200,7200,7200,7200,5200,7200
85,28/03/2023,7200,7000,7200,7000,4700,7000
86,29/03/2023,7100,7100,7100,7100,-,7100
87,30/03/2023,7200,7100,7200,7100,1000,7100
88,31/03/2023,7200,7200,7200,7200,-,7200
89,03/04/2023,7200,7200,7200,7200,300,7200
90,04/04/2023,7200,7200,7200,7200,-,7200
91,05/04/2023,7300,7000,7300,7100,13800,7100
92,06/04/2023,7200,7200,7200,7200,300,7200
93,07/04/2023,7800,7200,7800,7200,300,7200
94,10/04/2023,7200,7000,7200,7000,8000,7000
95,11/04/2023,7000,7000,7000,7000,-,7000
96,12/04/2023,7200,6900,7200,6900,4000,6900
97,13/04/2023,7100,7100,7100,7100,600,7100
98,14/04/2023,7000,7000,7000,7000,1000,7000
99,17/04/2023,7000,7000,7000,7000,-,7000
100,18/04/2023,7100,7000,7000,7100,3600,7100
101,19/04/2023,7000,7000,7000,7000,-,7000
102,20/04/2023,7800,7200,7800,7200,300,7200
103,21/04/2023,7800,6700,7800,6900,3100,6900
104,24/04/2023,7000,7000,7000,7000,-,7000
105,25/04/2023,7000,7000,7000,7000,-,7000
106,26/04/2023,7300,6700,7300,7100,3500,7100
107,27/04/2023,6900,6900,6900,6900,-,6900
108,28/04/2023,7000,6800,7000,6800,3100,6800
109,04/05/2023,6800,6800,6800,6800,500,6800
110,05/05/2023,7200,6400,7100,6600,9400,6600
111,08/05/2023,6500,6500,6500,6500,5500,6500
112,09/05/2023,6400,6000,6100,6400,3100,6400
113,10/05/2023,6400,6100,6400,6400,2100,6400
114,11/05/2023,6400,6400,6400,6400,200,6400
115,12/05/2023,6600,6300,6600,6500,15800,6500
116,15/05/2023,6700,6500,6500,6700,1800,6700
117,16/05/2023,6900,6900,6900,6900,100,6900
118,17/05/2023,6900,6900,6900,6900,-,6900
119,18/05/2023,6800,6700,6800,6700,5300,6700
120,19/05/2023,6700,6700,6700,6700,100,6700
121,22/05/2023,6500,6300,6300,6500,3600,6500
122,23/05/2023,6700,6500,6700,6500,900,6500
