,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3800,3700,3700,3700,5505,3700
1,22/11/2022,3900,3800,3800,3800,8702,3800
2,23/11/2022,3800,3600,3800,3600,2100,3600
3,24/11/2022,3800,3800,3800,3800,1004,3800
4,25/11/2022,3800,3600,3800,3800,2500,3800
5,28/11/2022,3800,3600,3700,3700,42265,3700
6,29/11/2022,3800,3600,3700,3800,8300,3800
7,30/11/2022,4200,3600,3800,4200,748300,4200
8,01/12/2022,4600,4000,4300,4200,97160,4200
9,02/12/2022,4500,3900,4400,4400,190900,4400
10,05/12/2022,4600,4300,4400,4400,248373,4400
11,06/12/2022,4400,4000,4300,4100,196285,4100
12,07/12/2022,4300,3900,4300,3900,255000,3900
13,08/12/2022,4200,3800,4200,3900,59030,3900
14,09/12/2022,4000,3800,4000,3900,13305,3900
15,12/12/2022,3900,3700,3800,3800,7901,3800
16,13/12/2022,3800,3500,3800,3800,9800,3800
17,14/12/2022,3800,3700,3800,3800,3530,3800
18,15/12/2022,3900,3700,3800,3900,3104,3900
19,16/12/2022,3900,3700,3800,3800,21210,3800
20,19/12/2022,3900,3800,3900,3800,7330,3800
21,20/12/2022,3800,3400,3800,3500,19465,3500
22,21/12/2022,3700,3200,3200,3500,18200,3500
23,22/12/2022,3600,3400,3500,3400,10820,3400
24,23/12/2022,3600,3500,3500,3500,1075,3500
25,26/12/2022,3500,3400,3400,3400,8809,3400
26,27/12/2022,3500,3400,3400,3500,13110,3500
27,28/12/2022,3500,3500,3500,3500,700,3500
28,29/12/2022,3600,3500,3600,3500,1000,3500
29,30/12/2022,3700,3200,3600,3700,9210,3700
30,03/01/2023,3700,3600,3600,3700,1900,3700
31,04/01/2023,3700,3600,3600,3600,8373,3600
32,05/01/2023,3700,3500,3600,3600,4950,3600
33,06/01/2023,3600,3600,3600,3600,1900,3600
34,09/01/2023,3700,3500,3700,3700,7467,3700
35,10/01/2023,3700,3600,3700,3600,1063,3600
36,11/01/2023,3700,3600,3700,3700,3000,3700
37,12/01/2023,3800,3600,3700,3700,2100,3700
38,13/01/2023,3800,3600,3700,3800,10300,3800
39,16/01/2023,3800,3700,3700,3800,3600,3800
40,17/01/2023,3800,3700,3800,3800,16570,3800
41,18/01/2023,3900,3800,3800,3900,4000,3900
42,19/01/2023,3900,3800,3800,3800,4600,3800
43,27/01/2023,4100,3800,3800,4100,10027,4100
44,30/01/2023,4000,3900,4000,4000,4400,4000
45,31/01/2023,4100,3900,4000,4000,8800,4000
46,01/02/2023,4100,4000,4100,4000,7351,4000
47,02/02/2023,4000,3800,4000,3900,3300,3900
48,03/02/2023,4000,3800,3900,4000,6200,4000
49,06/02/2023,4000,3800,3900,3900,11600,3900
50,07/02/2023,3900,3800,3900,3900,4301,3900
51,08/02/2023,3900,3900,3900,3900,13700,3900
52,09/02/2023,3900,3900,3900,3900,4500,3900
53,10/02/2023,4000,3900,3900,4000,3700,4000
54,13/02/2023,4100,4000,4000,4000,6302,4000
55,14/02/2023,4000,3900,4000,4000,1700,4000
56,15/02/2023,4000,3700,3900,4000,5800,4000
57,16/02/2023,4000,3900,3900,4000,21300,4000
58,17/02/2023,4500,4000,4000,4300,2980,4300
59,20/02/2023,4300,3800,4300,4200,245861,4200
60,21/02/2023,4100,3900,4000,4100,1310,4100
61,22/02/2023,4100,4000,4100,4000,7890,4000
62,23/02/2023,4100,3900,4000,4100,2585,4100
63,24/02/2023,4100,3900,4100,4100,5833,4100
64,27/02/2023,4100,4000,4100,4000,2100,4000
65,28/02/2023,4000,3700,4000,4000,4250,4000
66,01/03/2023,4000,4000,4000,4000,400,4000
67,02/03/2023,4000,3800,4000,3800,2700,3800
68,03/03/2023,4000,3900,4000,3900,200,3900
