,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3600,3500,3600,3600,5855,3600
1,22/11/2022,4100,4000,4000,4100,18537,4100
2,23/11/2022,4500,4100,4400,4500,7755,4500
3,24/11/2022,4600,3900,4600,3900,500,3900
4,25/11/2022,4400,3800,4300,3900,5809,3900
5,28/11/2022,4300,3900,4300,4100,4618,4100
6,29/11/2022,4500,3600,3600,4000,6651,4000
7,30/11/2022,4100,4000,4100,4000,953,4000
8,01/12/2022,4200,3400,4200,4100,13001,4100
9,02/12/2022,4100,3400,4100,4000,1680,4000
10,05/12/2022,3800,3700,3800,3700,2134,3700
11,06/12/2022,4000,3700,3800,3700,2800,3700
12,07/12/2022,3800,3800,3800,3800,4110,3800
13,08/12/2022,3900,3800,3800,3900,1500,3900
14,09/12/2022,3800,3600,3600,3800,1800,3800
15,12/12/2022,4100,3400,3500,4000,6175,4000
16,13/12/2022,4200,4100,4100,4200,2317,4200
17,14/12/2022,4000,3800,3800,4000,4103,4000
18,15/12/2022,3900,3900,3900,3900,601,3900
19,16/12/2022,3900,3400,3500,3800,3500,3800
20,19/12/2022,4000,3600,3600,4000,1190,4000
21,20/12/2022,3600,3600,3600,3600,850,3600
22,21/12/2022,3900,3600,3900,3600,1700,3600
23,22/12/2022,3700,3200,3700,3200,3800,3200
24,23/12/2022,3700,3700,3700,3700,8800,3700
25,26/12/2022,3900,3800,3900,3800,4200,3800
26,27/12/2022,3700,3400,3700,3500,1200,3500
27,28/12/2022,3800,3800,3800,3800,800,3800
28,29/12/2022,3400,3400,3400,3400,800,3400
29,30/12/2022,3400,3400,3400,3400,-,3400
30,03/01/2023,3700,3400,3700,3400,4700,3400
31,04/01/2023,3800,3800,3800,3800,500,3800
32,05/01/2023,3800,3800,3800,3800,-,3800
33,06/01/2023,3800,3600,3800,3600,5600,3600
34,09/01/2023,3700,3400,3700,3600,7943,3600
35,10/01/2023,3500,3500,3500,3500,-,3500
36,11/01/2023,3700,3600,3700,3600,718,3600
37,12/01/2023,3700,3600,3700,3700,5800,3700
38,13/01/2023,3700,3700,3700,3700,300,3700
39,16/01/2023,3700,3700,3700,3700,700,3700
40,17/01/2023,3900,3800,3800,3900,1400,3900
41,18/01/2023,3900,3600,3900,3600,4932,3600
42,19/01/2023,3700,3400,3400,3700,2348,3700
43,27/01/2023,3700,3400,3700,3400,5300,3400
44,30/01/2023,3800,3700,3700,3700,3200,3700
45,31/01/2023,4200,3700,3700,3800,16748,3800
46,01/02/2023,4500,4000,4300,4000,2500,4000
47,02/02/2023,4600,4200,4300,4600,2500,4600
48,03/02/2023,4400,3800,4400,4000,2000,4000
49,06/02/2023,3700,3600,3600,3700,600,3700
50,07/02/2023,4200,3700,3800,4200,7900,4200
51,08/02/2023,3900,3900,3900,3900,100,3900
52,09/02/2023,3800,3800,3800,3800,700,3800
53,10/02/2023,3800,3800,3800,3800,6202,3800
54,13/02/2023,3700,3700,3700,3700,2400,3700
55,14/02/2023,3800,3600,3800,3600,5900,3600
56,15/02/2023,3600,3600,3600,3600,-,3600
57,16/02/2023,3800,3700,3700,3700,5300,3700
58,17/02/2023,4000,3700,3800,3900,14700,3900
59,20/02/2023,4000,3900,3900,4000,5000,4000
60,21/02/2023,4000,3900,4000,3900,3600,3900
61,22/02/2023,3900,3800,3800,3800,1000,3800
62,23/02/2023,4000,3800,3900,3800,4400,3800
63,24/02/2023,3900,3900,3900,3900,100,3900
64,27/02/2023,3800,3800,3800,3800,600,3800
65,28/02/2023,4100,3800,4000,3800,6800,3800
66,01/03/2023,4000,3900,4000,3900,1505,3900
67,02/03/2023,3900,3900,3900,3900,2100,3900
68,03/03/2023,3900,3900,3900,3900,500,3900
69,06/03/2023,3900,3900,3900,3900,5100,3900
70,07/03/2023,3900,3800,3900,3800,305,3800
71,08/03/2023,3800,3800,3800,3800,-,3800
72,09/03/2023,3800,3800,3800,3800,-,3800
73,10/03/2023,3800,3800,3800,3800,1200,3800
74,13/03/2023,3900,3800,3800,3900,1700,3900
75,14/03/2023,3800,3700,3700,3700,2790,3700
76,15/03/2023,3800,3700,3700,3800,8320,3800
77,16/03/2023,3700,3700,3700,3700,990,3700
78,17/03/2023,3800,3700,3800,3800,1400,3800
79,20/03/2023,3800,3700,3800,3700,6300,3700
80,21/03/2023,3800,3700,3700,3700,16250,3700
81,22/03/2023,3900,3700,3800,3900,2300,3900
82,23/03/2023,3900,3800,3800,3800,7180,3800
83,24/03/2023,3900,3800,3800,3900,3900,3900
84,27/03/2023,3800,3800,3800,3800,1003,3800
85,28/03/2023,4000,3900,3900,4000,3200,4000
86,29/03/2023,3900,3900,3900,4000,51,3900
87,30/03/2023,4000,3900,3900,4000,7000,4000
88,31/03/2023,3900,3800,3900,3900,2100,3900
89,03/04/2023,3900,3900,3900,3900,10,3900
90,04/04/2023,4000,3800,3900,3900,5380,3900
91,05/04/2023,3900,3800,3900,3800,4200,3800
92,06/04/2023,4000,4000,4000,4000,6080,4000
93,07/04/2023,4600,3900,4600,3900,3320,3900
94,10/04/2023,4000,3900,4000,3900,3300,3900
95,11/04/2023,3900,3800,3900,3900,1500,3900
96,12/04/2023,4000,3900,3900,3900,27500,3900
97,13/04/2023,4000,3900,4000,3900,3000,3900
98,14/04/2023,4000,3900,3900,4000,2900,4000
99,17/04/2023,4500,4000,4100,4000,25600,4000
100,18/04/2023,4600,4000,4300,4000,33908,4000
101,19/04/2023,4500,3900,4000,4500,7180,4500
102,20/04/2023,4300,3900,4300,3900,9900,3900
103,21/04/2023,4200,4000,4200,4000,600,4000
104,24/04/2023,4000,4000,4000,4000,200,4000
105,25/04/2023,4100,3800,4100,3900,1110,3900
106,26/04/2023,3800,3700,3800,3700,200,3700
107,27/04/2023,3800,3700,3800,3700,3700,3700
108,28/04/2023,4000,3800,4000,3900,1110,3900
109,04/05/2023,3800,3700,3800,3700,3900,3700
110,05/05/2023,3900,3800,3800,3800,3600,3800
111,08/05/2023,3800,3700,3800,3800,6011,3800
112,09/05/2023,3800,3800,3800,3800,1959,3800
113,10/05/2023,3800,3800,3800,3800,4800,3800
114,11/05/2023,4000,3800,3900,3900,4700,3900
115,12/05/2023,3900,3800,3900,3800,3360,3800
116,15/05/2023,4000,3800,3900,4000,15201,4000
117,16/05/2023,4100,4000,4000,4000,2923,4000
118,17/05/2023,4000,3800,4000,3900,11744,3900
119,18/05/2023,4000,3800,4000,4000,7912,4000
120,19/05/2023,4000,3900,3900,3900,5120,3900
121,22/05/2023,4000,3900,3900,3900,5800,3900
122,23/05/2023,4000,3900,4000,3900,1390,3900
123,24/05/2023,3900,3800,3900,3900,4400,3900
124,25/05/2023,4000,3900,3900,4000,1000,4000
125,26/05/2023,3900,3900,3900,3900,500,3900
126,29/05/2023,4000,3900,4000,4000,22961,4000
127,30/05/2023,4400,4000,4100,4200,31629,4200
128,31/05/2023,4700,4000,4000,4700,88960,4700
129,01/06/2023,4700,4500,4700,4600,2100,4600
130,02/06/2023,4700,4100,4600,4400,30172,4400
131,05/06/2023,4600,4200,4600,4300,9389,4300
132,06/06/2023,4600,4300,4600,4400,4200,4400
133,07/06/2023,4600,4400,4400,4600,23100,4600
134,08/06/2023,4800,4400,4600,4500,8403,4500
135,09/06/2023,4700,4300,4700,4300,2937,4300
136,12/06/2023,4600,4300,4300,4600,14455,4600
137,13/06/2023,4800,4400,4800,4600,10100,4600
138,14/06/2023,4800,4500,4800,4500,25900,4500
139,15/06/2023,4800,4500,4700,4500,8550,4500
140,16/06/2023,4700,4500,4600,4600,5500,4600
141,19/06/2023,4600,4100,4500,4500,5805,4500
142,20/06/2023,4500,4200,4200,4400,952,4400
143,21/06/2023,4600,4400,4500,4400,1358,4400
144,22/06/2023,4500,4400,4400,4500,2710,4500
145,23/06/2023,4500,4400,4500,4400,8546,4400
146,26/06/2023,4500,4100,4500,4100,17732,4100
147,27/06/2023,4500,4100,4200,4100,5086,4100
148,28/06/2023,4400,4100,4400,4200,7222,4200
149,29/06/2023,4400,4200,4400,4200,3400,4200
150,30/06/2023,4400,4200,4400,4200,3401,4200
151,03/07/2023,4300,4200,4300,4300,3384,4300
152,04/07/2023,4400,4100,4400,4200,11300,4200
153,05/07/2023,4300,4200,4200,4200,5501,4200
154,06/07/2023,4300,4200,4300,4200,2000,4200
155,07/07/2023,4300,4200,4200,4200,4501,4200
156,10/07/2023,4600,4300,4300,4500,2400,4500
157,11/07/2023,4400,4200,4300,4300,10170,4300
158,12/07/2023,4500,4200,4300,4400,19100,4400
159,13/07/2023,4900,4500,4600,4900,53530,4900
160,14/07/2023,5400,4500,5400,4500,9752,4500
161,17/07/2023,5300,4500,4500,5100,39658,5100
162,18/07/2023,5200,4800,4800,5000,11919,5000
163,19/07/2023,5100,4800,5000,5000,12852,5000
164,20/07/2023,5000,4600,5000,4800,4489,4800
165,21/07/2023,4800,4500,4700,4800,14678,4800
166,24/07/2023,5000,4300,4600,4900,5110,4900
167,25/07/2023,4900,4400,4900,4500,18155,4500
168,26/07/2023,4900,4600,4600,4800,24503,4800
169,27/07/2023,5000,4700,4800,4800,9050,4800
170,28/07/2023,4700,4600,4700,4700,10735,4700
171,31/07/2023,4800,4600,4700,4700,18786,4700
172,01/08/2023,4800,4600,4800,4700,6310,4700
173,02/08/2023,4700,4700,4700,4700,24006,4700
174,03/08/2023,4900,4500,4900,4700,6954,4700
175,04/08/2023,4800,4700,4700,4700,16730,4700
176,07/08/2023,5400,4600,4600,4900,34702,4900
177,08/08/2023,5000,4700,4700,4800,21711,4800
178,09/08/2023,5000,4800,5000,4800,74703,4800
179,10/08/2023,4900,4800,4800,4800,32508,4800
180,11/08/2023,4800,4600,4800,4700,16700,4700
181,14/08/2023,4700,4700,4700,4700,24240,4700
182,15/08/2023,4800,4700,4700,4800,41080,4800
183,16/08/2023,4700,4700,4700,4700,14430,4700
184,17/08/2023,4800,4700,4800,4700,7235,4700
185,18/08/2023,4700,4400,4700,4500,13400,4500
186,21/08/2023,4500,4300,4500,4300,5350,4300
187,22/08/2023,4400,4200,4300,4300,14889,4300
188,23/08/2023,4500,4300,4500,4300,5706,4300
189,24/08/2023,4500,4200,4300,4400,7271,4400
190,25/08/2023,4500,4400,4400,4400,800,4400
191,28/08/2023,4500,4300,4400,4400,5201,4400
192,29/08/2023,4400,4300,4300,4400,6494,4400
193,30/08/2023,4400,4300,4300,4400,6910,4400
194,31/08/2023,4500,4300,4400,4400,4804,4400
195,05/09/2023,4500,4400,4500,4400,1503,4400
196,06/09/2023,4500,4400,4500,4500,3570,4500
197,07/09/2023,4500,4400,4500,4500,8600,4500
198,08/09/2023,4600,4500,4500,4600,13261,4600
199,11/09/2023,4600,4400,4600,4500,8000,4500
200,12/09/2023,4500,4300,4400,4500,5204,4500
201,13/09/2023,4500,4400,4400,4400,6480,4400
202,14/09/2023,4500,4300,4300,4500,5746,4500
203,15/09/2023,4300,4200,4300,4300,6500,4300
204,18/09/2023,4200,4000,4200,4200,13865,4200
205,19/09/2023,4200,4100,4100,4200,1836,4200
206,20/09/2023,4300,4200,4300,4300,8275,4300
207,21/09/2023,4300,4200,4200,4200,9028,4200
208,22/09/2023,4200,4100,4200,4100,7282,4100
209,25/09/2023,4200,4000,4100,4000,8635,4000
210,26/09/2023,4100,3900,4000,4000,20290,4000
211,27/09/2023,4300,3700,4300,3900,12294,3900
212,28/09/2023,4000,3900,4000,4000,1178,4000
213,29/09/2023,4000,3800,3800,4000,4100,4000
214,02/10/2023,4000,4000,4000,4000,3974,4000
215,03/10/2023,4100,3900,3900,3900,10601,3900
216,04/10/2023,4000,3800,3800,4000,4002,4000
217,05/10/2023,4000,3900,3900,3900,1735,3900
218,06/10/2023,4100,3800,4000,4000,12083,4000
219,09/10/2023,4000,3900,4000,3900,1009,3900
220,10/10/2023,4100,3900,4000,3900,2500,3900
221,11/10/2023,4000,3900,3900,4000,2723,4000
222,12/10/2023,4100,4100,4100,4100,330,4100
223,13/10/2023,4000,3900,4000,4000,2580,4000
224,16/10/2023,4000,3800,3900,3800,5629,3800
225,17/10/2023,4000,4000,4000,4000,3019,4000
226,18/10/2023,4000,3900,4000,3900,1600,3900
227,19/10/2023,3900,3700,3700,3700,7699,3700
228,20/10/2023,4000,3700,3800,3900,6953,3900
229,23/10/2023,3900,3700,3700,3900,2280,3900
230,24/10/2023,3900,3700,3800,3900,3560,3900
