,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8500,8000,8400,8300,14921,8300
1,22/11/2022,8600,7200,7200,8400,4100,8400
2,23/11/2022,8500,8000,8500,8000,9900,8000
3,24/11/2022,9500,7500,7500,8500,800,8500
4,25/11/2022,8500,8200,8200,8500,12200,8500
5,28/11/2022,8900,8500,8500,8700,7800,8700
6,29/11/2022,9400,8200,8200,8900,48200,8900
7,30/11/2022,9200,8700,9000,9100,54200,9100
8,01/12/2022,9500,9000,9400,9200,21500,9200
9,02/12/2022,9000,8200,8900,8900,24700,8900
10,05/12/2022,9200,8700,9200,9100,36600,9100
11,06/12/2022,9100,8600,9000,8600,36700,8600
12,07/12/2022,8900,8300,8600,8300,20300,8300
13,08/12/2022,9000,8600,9000,8900,3800,8900
14,09/12/2022,8800,8400,8400,8700,26400,8700
15,12/12/2022,8800,8600,8800,8600,2500,8600
16,13/12/2022,9000,8400,9000,8900,3300,8900
17,14/12/2022,9000,8600,9000,8800,6600,8800
18,15/12/2022,8900,8200,8900,8600,3200,8600
19,16/12/2022,8900,8300,8800,8900,24600,8900
20,19/12/2022,8800,8700,8800,8700,5100,8700
21,20/12/2022,8500,8200,8400,8500,3400,8500
22,21/12/2022,8500,8000,8400,8000,31000,8000
23,22/12/2022,8600,8100,8200,8200,22700,8200
24,23/12/2022,8300,8200,8200,8300,700,8300
25,26/12/2022,8200,7900,8200,7900,3300,7900
26,27/12/2022,8800,7900,8000,8000,13300,8000
27,28/12/2022,9200,8200,9200,8200,10600,8200
28,29/12/2022,8500,8300,8300,8500,400,8500
29,30/12/2022,8500,8400,8500,8400,2100,8400
30,03/01/2023,8500,8000,8100,8500,12600,8500
31,04/01/2023,8600,8500,8500,8500,1412,8500
32,05/01/2023,8500,8500,8500,8500,500,8500
33,06/01/2023,8500,7900,8500,8000,7700,8000
34,09/01/2023,8400,8400,8400,8400,1502,8400
35,10/01/2023,8000,8000,8000,8000,400,8000
36,11/01/2023,8000,7900,8000,8000,8300,8000
37,12/01/2023,8800,7900,8800,7900,200,7900
38,13/01/2023,8800,8000,8800,8100,8200,8100
39,16/01/2023,8300,8000,8100,8100,10901,8100
40,17/01/2023,8000,7500,7700,7800,74300,7800
41,18/01/2023,8400,7700,7700,8400,34600,8400
42,19/01/2023,8200,7900,8000,8000,4000,8000
43,27/01/2023,9200,8000,9200,8000,11200,8000
44,30/01/2023,8200,7900,8200,8100,28300,8100
45,31/01/2023,8200,8000,8000,8200,24612,8200
46,01/02/2023,8400,8000,8400,8100,53410,8100
47,02/02/2023,8300,8000,8300,8100,30500,8100
48,03/02/2023,8000,7800,7900,8000,10700,8000
49,06/02/2023,8100,7700,7900,7700,18000,7700
50,07/02/2023,7900,7700,7800,7700,7100,7700
51,08/02/2023,7800,7700,7800,7800,24100,7800
52,09/02/2023,8000,7800,8000,7800,3600,7800
53,10/02/2023,7800,7600,7700,7800,2000,7800
54,13/02/2023,7600,7500,7600,7500,3900,7500
55,14/02/2023,7900,7800,7800,7900,1300,7900
56,15/02/2023,7900,7700,7900,7900,2400,7900
57,16/02/2023,7700,7600,7600,7700,2400,7700
58,17/02/2023,8100,7700,7800,7900,24109,7900
59,20/02/2023,8100,7800,8100,8000,8600,8000
60,21/02/2023,8100,7800,8000,8000,22100,8000
61,22/02/2023,8000,7900,8000,8000,15300,8000
62,23/02/2023,8000,7900,7900,8000,13800,8000
63,24/02/2023,8100,7900,8000,7900,8600,7900
64,27/02/2023,8100,7900,8000,8100,6100,8100
65,28/02/2023,8000,8000,8000,8000,13400,8000
66,01/03/2023,8000,8000,8000,8000,10100,8000
67,02/03/2023,8000,7900,8000,7900,7700,7900
68,03/03/2023,8000,8000,8000,8000,-,8000
69,06/03/2023,8000,7900,8000,8000,14500,8000
70,07/03/2023,8100,8000,8100,8000,7300,8000
71,08/03/2023,8000,8000,8000,8000,400,8000
72,09/03/2023,8200,7800,8000,8200,23700,8200
73,10/03/2023,8200,7900,7900,8100,13000,8100
74,13/03/2023,8100,8000,8100,8000,17100,8000
75,14/03/2023,8100,8000,8100,8100,5200,8100
76,15/03/2023,8300,8000,8300,8000,600,8000
77,16/03/2023,8300,8000,8200,8000,3100,8000
78,17/03/2023,8100,8000,8100,8000,1000,8000
79,20/03/2023,8000,7800,8000,7900,3800,7900
80,21/03/2023,7900,7900,7900,7900,2200,7900
81,22/03/2023,8000,8000,8000,8000,101,8000
82,23/03/2023,8000,8000,8000,8000,2700,8000
83,24/03/2023,8200,8000,8000,8200,18200,8200
84,27/03/2023,8000,7900,8000,8000,9500,8000
85,28/03/2023,8000,7600,7900,7600,11700,7600
86,29/03/2023,7800,7800,7800,7800,409,7800
87,30/03/2023,8000,7600,7800,8000,35800,8000
88,31/03/2023,7800,7600,7700,7800,7300,7800
89,03/04/2023,8100,7900,7900,8000,41400,8000
90,04/04/2023,8000,8000,8000,8000,22929,8000
91,05/04/2023,8000,8000,8000,8000,10012,8000
92,06/04/2023,8700,8000,8700,8100,12000,8100
93,07/04/2023,8100,7900,8100,7900,10512,7900
94,10/04/2023,8200,8000,8100,8000,17751,8000
95,11/04/2023,8100,8000,8100,8000,4800,8000
96,12/04/2023,8000,7900,8000,8000,9600,8000
97,13/04/2023,8000,7900,8000,7900,32600,7900
98,14/04/2023,7900,7900,7900,7900,3200,7900
99,17/04/2023,8000,7900,7900,7900,3900,7900
100,18/04/2023,8100,8000,8000,8100,12400,8100
101,19/04/2023,8200,7900,7900,8100,8810,8100
102,20/04/2023,8100,8000,8100,8100,11100,8100
103,21/04/2023,8100,8000,8100,8000,4200,8000
104,24/04/2023,7900,6900,6900,7800,26600,7800
105,25/04/2023,7900,7800,7900,7800,6100,7800
106,26/04/2023,7800,7600,7800,7600,25000,7600
107,27/04/2023,7800,7600,7700,7600,22300,7600
108,28/04/2023,7900,7600,7700,7700,34000,7700
109,04/05/2023,7900,7700,7700,7700,21913,7700
