,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,40000,40000,40000,40000,-,30700
1,22/11/2022,40000,40000,40000,40000,-,30700
2,23/11/2022,40000,40000,40000,40000,-,30700
3,24/11/2022,40000,40000,40000,40000,-,30700
4,25/11/2022,40000,40000,40000,40000,-,30700
5,28/11/2022,40000,40000,40000,40000,-,30700
6,29/11/2022,40000,40000,40000,40000,100,30700
7,30/11/2022,40000,40000,40000,40000,-,30700
8,01/12/2022,37000,37000,37000,37000,100,28400
9,02/12/2022,37000,37000,37000,37000,-,28400
10,05/12/2022,41500,41500,41500,41500,100,31900
11,06/12/2022,41500,41500,41500,41500,-,31900
12,07/12/2022,40000,40000,40000,40000,500,30700
13,08/12/2022,40000,40000,40000,40000,-,30700
14,09/12/2022,40000,40000,40000,40000,37,30700
15,12/12/2022,41500,40500,41500,40500,801,31100
16,13/12/2022,37000,37000,37000,37000,300,28400
17,14/12/2022,35400,35400,35400,35400,500,32600
18,15/12/2022,35400,35400,35400,35400,-,32600
19,16/12/2022,35400,35400,35400,35400,-,32600
20,19/12/2022,35400,35400,35400,35400,-,32600
21,20/12/2022,35400,35400,35400,35400,-,32600
22,21/12/2022,35400,35400,35400,35400,-,32600
23,22/12/2022,35400,35400,35400,35400,-,32600
24,23/12/2022,34000,34000,34000,34000,100,31400
25,26/12/2022,34000,34000,34000,34000,-,31400
26,27/12/2022,34000,34000,34000,34000,-,31400
27,28/12/2022,34000,34000,34000,34000,-,31400
28,29/12/2022,37500,37500,37500,37500,100,34600
29,30/12/2022,37500,37500,37500,37500,100,34600
30,03/01/2023,39900,39900,39900,39900,200,36800
31,04/01/2023,39900,39900,39900,39900,-,36800
32,05/01/2023,39900,39900,39900,39900,-,36800
33,06/01/2023,39900,39900,39900,39900,-,36800
34,09/01/2023,39900,39900,39900,39900,-,36800
35,10/01/2023,39900,39900,39900,39900,-,36800
36,11/01/2023,39900,39900,39900,39900,-,36800
37,12/01/2023,39900,39900,39900,39900,100,36800
38,13/01/2023,39900,39900,39900,39900,-,36800
39,16/01/2023,39900,39900,39900,39900,-,36800
40,17/01/2023,39900,39900,39900,39900,-,36800
41,18/01/2023,39900,39900,39900,39900,-,36800
42,19/01/2023,39900,39900,39900,39900,-,36800
43,27/01/2023,39900,39900,39900,39900,-,36800
44,30/01/2023,39900,39900,39900,39900,-,36800
45,31/01/2023,39900,39900,39900,39900,100,36800
46,01/02/2023,39900,39900,39900,39900,-,36800
47,02/02/2023,39900,39900,39900,39900,-,36800
48,03/02/2023,39900,39900,39900,39900,-,36800
49,06/02/2023,39900,39900,39900,39900,-,36800
50,07/02/2023,34000,34000,34000,34000,200,31400
51,08/02/2023,34000,34000,34000,34000,501,31400
52,09/02/2023,35000,35000,35000,35000,200,32300
53,10/02/2023,35000,35000,35000,35000,-,32300
54,13/02/2023,35000,35000,35000,35000,-,32300
55,14/02/2023,35000,35000,35000,35000,-,32300
56,15/02/2023,34100,34100,34100,34100,100,31400
57,16/02/2023,34000,34000,34000,34000,100,31400
58,17/02/2023,34000,34000,34000,34000,-,31400
59,20/02/2023,34000,34000,34000,34000,-,31400
60,21/02/2023,39000,39000,39000,39000,100,36000
61,22/02/2023,39900,39000,39900,39000,200,36000
62,23/02/2023,39500,39500,39500,39500,-,36400
63,24/02/2023,39500,39500,39500,39500,-,36400
64,27/02/2023,39500,39500,39500,39500,-,36400
65,28/02/2023,34000,34000,34000,34000,111,31400
66,01/03/2023,34100,34000,34100,34000,1000,31400
67,02/03/2023,34100,34100,34100,34000,20,31400
68,03/03/2023,37600,37000,37600,37000,260,34100
69,06/03/2023,37000,37000,37000,37000,100,34100
70,07/03/2023,37000,37000,37000,37000,101,34100
71,08/03/2023,42500,42500,42500,42500,400,39200
72,09/03/2023,42500,42500,42500,42500,-,39200
73,10/03/2023,42500,42500,42500,42500,30,39200
74,13/03/2023,36200,36200,36200,36200,100,33400
75,14/03/2023,37500,37400,37400,37500,200,34600
76,15/03/2023,37500,37500,37500,37500,-,34600
77,16/03/2023,37500,37400,37400,37500,200,34600
78,17/03/2023,37500,37500,37500,37500,100,34600
79,20/03/2023,37500,37500,37500,37500,-,34600
80,21/03/2023,37500,37500,37500,37500,-,34600
81,22/03/2023,40000,40000,40000,40000,100,36900
82,23/03/2023,40000,40000,40000,40000,-,36900
83,24/03/2023,40000,40000,40000,40000,-,36900
84,27/03/2023,39900,39900,39900,39900,100,36800
85,28/03/2023,39900,39900,39900,39900,-,36800
86,29/03/2023,39900,39900,39900,39900,-,36800
87,30/03/2023,39900,39900,39900,39900,-,36800
88,31/03/2023,39900,39900,39900,39900,1,36800
89,03/04/2023,39900,39900,39900,39900,-,36800
90,04/04/2023,39900,39900,39900,39900,-,36800
91,05/04/2023,35100,35100,35100,35100,100,32400
92,06/04/2023,40300,40300,40300,40300,100,37200
93,07/04/2023,40300,40300,40300,40300,-,37200
94,10/04/2023,40300,40300,40300,40300,-,37200
95,11/04/2023,42900,42900,42900,42900,130,39600
96,12/04/2023,42900,42900,42900,42900,-,39600
97,13/04/2023,42900,42900,42900,42900,10,39600
98,14/04/2023,42900,42900,42900,42900,-,39600
99,17/04/2023,42900,42900,42900,42900,-,39600
100,18/04/2023,38000,36800,38000,36800,300,33900
101,19/04/2023,36300,36100,36100,36200,500,33400
102,20/04/2023,36200,36200,36200,36200,-,33400
103,21/04/2023,41500,41500,41500,41500,100,38300
104,24/04/2023,41500,41500,41500,41500,-,38300
105,25/04/2023,43000,43000,43000,43000,106,39600
106,26/04/2023,42900,42900,42900,42900,300,39600
107,27/04/2023,42900,42900,42900,42900,-,39600
108,28/04/2023,36600,36600,36600,36600,100,33700
109,04/05/2023,36600,36600,36600,36600,-,33700
110,05/05/2023,36600,36600,36600,36600,19,33700
111,08/05/2023,39400,39400,39400,39400,100,36300
112,09/05/2023,39400,39400,39400,39400,-,36300
113,10/05/2023,43000,37500,43000,37500,306,34600
114,11/05/2023,34500,34500,34500,34500,100,31800
115,12/05/2023,34500,34500,34500,34500,47,31800
116,15/05/2023,34500,34500,34500,34500,7,31800
117,16/05/2023,39600,38000,39600,38500,803,35500
118,17/05/2023,38500,38500,38500,38500,-,35500
119,18/05/2023,36000,36000,36000,36000,100,36000
120,19/05/2023,36500,36500,36500,36500,100,36500
