,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,34500,34500,34500,34500,-,31900
1,22/11/2022,31000,29500,30300,31000,1900,28700
2,23/11/2022,34500,34500,34500,34500,100,31900
3,24/11/2022,34500,34500,34500,34500,1,31900
4,25/11/2022,34500,34500,34500,34500,-,31900
5,28/11/2022,29600,29600,29600,29600,200,27400
6,29/11/2022,34000,34000,34000,34000,100,31500
7,30/11/2022,34000,34000,34000,34000,-,31500
8,01/12/2022,31900,30100,30100,31900,600,29500
9,02/12/2022,34000,34000,34000,34000,100,31500
10,05/12/2022,30100,30000,30100,30000,200,27800
11,06/12/2022,30100,30100,30100,30100,-,27900
12,07/12/2022,30100,29600,29600,29600,300,27400
13,08/12/2022,31000,31000,31000,31000,100,28700
14,09/12/2022,31000,31000,31000,31000,300,28700
15,12/12/2022,31000,29400,31000,29400,200,27200
16,13/12/2022,29400,29300,29400,29300,700,27100
17,14/12/2022,28600,28500,28500,28600,1700,26500
18,15/12/2022,27500,26500,27300,26500,800,24500
19,16/12/2022,25500,24700,25500,25300,1200,23400
20,19/12/2022,23700,23500,23700,23500,1100,21800
21,20/12/2022,27100,23400,27100,23500,1400,21800
22,21/12/2022,23600,23600,23600,23600,100,21900
23,22/12/2022,26800,26700,26800,26700,200,24700
24,23/12/2022,26800,26800,26800,26800,-,24800
25,26/12/2022,26800,26800,26800,26800,-,24800
26,27/12/2022,26800,26800,26800,26800,-,24800
27,28/12/2022,24000,24000,24000,24000,100,22200
28,29/12/2022,27600,22700,27600,22700,200,21000
29,30/12/2022,23500,23200,23500,23200,200,21500
30,03/01/2023,26600,26600,26600,26600,100,24600
31,04/01/2023,26600,26600,26600,26600,-,24600
32,05/01/2023,26600,26600,26600,26600,-,24600
33,06/01/2023,26600,26600,26600,26600,-,24600
34,09/01/2023,26600,26600,26600,26600,-,24600
35,10/01/2023,26600,26600,26600,26600,-,24600
36,11/01/2023,26600,26600,26600,26600,-,24600
37,12/01/2023,29900,26600,29900,26600,200,24600
38,13/01/2023,28300,28300,28300,28300,-,26200
39,16/01/2023,28300,28300,28300,28300,-,26200
40,17/01/2023,28300,28300,28300,28300,-,26200
41,18/01/2023,32500,32500,32500,32500,100,30100
42,19/01/2023,32500,32500,32500,32500,-,30100
43,27/01/2023,32500,32500,32500,32500,-,30100
