,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,21700,21700,21700,21700,100,20200
1,22/11/2022,21700,21700,21700,21700,-,20200
2,23/11/2022,21700,21700,21700,21700,-,20200
3,24/11/2022,21700,21700,21700,21700,-,20200
4,25/11/2022,21700,21700,21700,21700,-,20200
5,28/11/2022,21700,21700,21700,21700,-,20200
6,29/11/2022,18500,18500,18500,18500,1200,17200
7,30/11/2022,18500,18500,18500,18500,-,17200
8,01/12/2022,18500,18500,18500,18500,-,17200
9,02/12/2022,18000,18000,18000,18000,1200,16800
10,05/12/2022,18100,18100,18100,18100,700,16900
11,06/12/2022,18100,18100,18100,18100,-,16900
12,07/12/2022,16200,15500,16200,15600,3000,14500
13,08/12/2022,18000,15800,18000,16000,5800,14900
14,09/12/2022,18000,16800,16800,18000,30500,16800
15,12/12/2022,18000,18000,18000,18000,-,16800
16,13/12/2022,18000,18000,18000,18000,-,16800
17,14/12/2022,18000,18000,18000,18000,-,16800
18,15/12/2022,18000,18000,18000,18000,-,16800
19,16/12/2022,18000,18000,18000,18000,-,16800
20,19/12/2022,20200,20200,20200,20200,100,18800
21,20/12/2022,20200,20200,20200,20200,-,18800
22,21/12/2022,20200,20200,20200,20200,-,18800
23,22/12/2022,20200,20200,20200,20200,43,18800
24,23/12/2022,20200,20200,20200,20200,-,18800
25,26/12/2022,20200,20200,20200,20200,-,18800
26,27/12/2022,18500,17200,18500,17200,900,16000
27,28/12/2022,17300,17300,17300,17300,100,16100
28,29/12/2022,17000,17000,17000,17000,2000,15800
29,30/12/2022,17000,17000,17000,17000,100,15800
30,03/01/2023,17000,17000,17000,17000,-,15800
31,04/01/2023,16800,15000,15000,16800,2700,15600
32,05/01/2023,16500,16500,16500,16500,-,15400
33,06/01/2023,16500,16500,16500,16500,-,15400
34,09/01/2023,17000,17000,17000,17000,100,15800
35,10/01/2023,17000,17000,17000,17000,4720,15800
36,11/01/2023,17100,17100,17100,17100,100,15900
37,12/01/2023,17100,17100,17100,17100,-,15900
38,13/01/2023,17100,17100,17100,17100,-,15900
39,16/01/2023,17100,17100,17100,17100,-,15900
40,17/01/2023,17100,17100,17100,17100,-,15900
41,18/01/2023,19600,19600,19600,19600,1238,18200
42,19/01/2023,21500,21500,21500,21500,100,20000
43,27/01/2023,21500,21500,21500,21500,-,20000
44,30/01/2023,19000,19000,19000,19000,100,17700
45,31/01/2023,20400,19500,20300,19500,500,18200
46,01/02/2023,20000,20000,20000,20000,200,18600
47,02/02/2023,20000,20000,20000,20000,-,18600
48,03/02/2023,20000,20000,20000,20000,-,18600
49,06/02/2023,20000,20000,20000,20000,100,18600
50,07/02/2023,19000,18500,18500,19000,300,17700
51,08/02/2023,20000,18500,18500,20000,200,18600
52,09/02/2023,19300,19300,19300,19300,-,18000
53,10/02/2023,19300,19300,19300,19300,-,18000
54,13/02/2023,19300,19300,19300,19300,-,18000
55,14/02/2023,19300,19300,19300,19300,-,18000
56,15/02/2023,20400,20400,20400,20400,100,19000
57,16/02/2023,20400,20400,20400,20400,-,19000
58,17/02/2023,20400,20400,20400,20400,-,19000
59,20/02/2023,20400,20400,20400,20400,-,19000
60,21/02/2023,20400,20400,20400,20400,-,19000
61,22/02/2023,20000,20000,20000,20000,200,18600
62,23/02/2023,19000,19000,19000,19000,400,17700
63,24/02/2023,19000,19000,19000,19000,-,17700
64,27/02/2023,19000,19000,19000,19000,200,17700
65,28/02/2023,19000,19000,19000,19000,300,17700
66,01/03/2023,19000,19000,19000,19000,-,17700
67,02/03/2023,19100,19100,19100,19100,1900,17800
68,03/03/2023,19100,19100,19100,19100,-,17800
69,06/03/2023,20400,20400,20400,20400,500,19000
70,07/03/2023,20400,20400,20400,20400,200,19000
71,08/03/2023,20400,20400,20400,20400,-,19000
72,09/03/2023,20400,20400,20400,20400,-,19000
73,10/03/2023,20400,20400,20400,20400,-,19000
74,13/03/2023,20400,20400,20400,20400,-,19000
75,14/03/2023,20400,20400,20400,20400,-,19000
76,15/03/2023,20400,20400,20400,20400,-,19000
77,16/03/2023,20400,20400,20400,20400,-,19000
78,17/03/2023,20400,20400,20400,20400,-,19000
79,20/03/2023,20400,20400,20400,20400,1,19000
80,21/03/2023,20400,20400,20400,20400,-,19000
81,22/03/2023,20400,20400,20400,20400,-,19000
82,23/03/2023,21400,21400,21400,21400,16500,19900
83,24/03/2023,22600,22600,22600,22600,800,21000
84,27/03/2023,20000,20000,20000,20000,205,18600
85,28/03/2023,22900,22700,22900,22700,6700,21100
86,29/03/2023,22800,22800,22800,22800,-,21200
87,30/03/2023,22800,22800,22800,22800,-,21200
88,31/03/2023,22800,22800,22800,22800,-,21200
89,03/04/2023,22800,22800,22800,22800,-,21200
90,04/04/2023,22700,22700,22700,22700,100,21100
91,05/04/2023,22700,22700,22700,22700,100,21100
92,06/04/2023,22100,22000,22000,22000,40500,20500
93,07/04/2023,22000,22000,22000,22000,-,20500
94,10/04/2023,22100,22000,22000,22000,2000,20500
95,11/04/2023,25300,23600,23600,25300,600,23600
96,12/04/2023,27800,26000,26000,27700,800,25800
97,13/04/2023,29900,29500,29900,29500,200,27500
98,14/04/2023,29700,29700,29700,29700,-,27700
99,17/04/2023,25300,25300,25300,25300,500,23600
100,18/04/2023,25400,21600,25400,21600,1600,20100
101,19/04/2023,23000,22000,23000,22000,2700,20500
102,20/04/2023,22300,22300,22300,22300,-,20800
103,21/04/2023,22300,22300,22300,22300,-,20800
104,24/04/2023,22300,22300,22300,22300,-,20800
105,25/04/2023,22300,22200,22200,22300,1200,20800
106,26/04/2023,25400,25400,25400,25400,100,23600
107,27/04/2023,25400,25400,25400,25400,-,23600
108,28/04/2023,27400,27400,27400,27400,100,25500
109,04/05/2023,27400,27400,27400,27400,6,25500
110,05/05/2023,27400,27400,27400,27400,-,25500
111,08/05/2023,27400,27400,27400,27400,-,25500
112,09/05/2023,27400,27400,27400,27400,-,25500
113,10/05/2023,27400,27400,27400,27400,-,25500
114,11/05/2023,27400,27400,27400,27400,-,25500
115,12/05/2023,27400,27400,27400,27400,-,25500
116,15/05/2023,27400,27400,27400,27400,-,25500
117,16/05/2023,27400,27400,27400,27400,-,25500
118,17/05/2023,27400,27400,27400,27400,-,25500
119,18/05/2023,27400,26000,27400,26000,2100,24200
120,19/05/2023,26500,26500,26500,26500,200,24700
121,22/05/2023,26500,26500,26500,26500,-,24700
122,23/05/2023,26500,26500,26500,26500,-,24700
123,24/05/2023,27000,27000,27000,27000,200,25100
124,25/05/2023,28500,28500,28500,28500,100,26500
125,26/05/2023,28500,28500,28500,28500,-,26500
126,29/05/2023,28500,28500,28500,28500,-,26500
127,30/05/2023,28500,28500,28500,28500,-,26500
128,31/05/2023,28500,28500,28500,28500,-,26500
129,01/06/2023,28500,28500,28500,28500,-,26500
130,02/06/2023,28500,28500,28500,28500,-,26500
131,05/06/2023,28500,28500,28500,28500,-,26500
132,06/06/2023,28500,28500,28500,28500,-,26500
133,07/06/2023,28500,28500,28500,28500,-,26500
134,08/06/2023,28500,28500,28500,28500,-,26500
135,09/06/2023,28500,28500,28500,28500,-,26500
136,12/06/2023,28500,28500,28500,28500,-,26500
137,13/06/2023,28500,28500,28500,28500,-,26500
138,14/06/2023,28500,28500,28500,28500,-,26500
139,15/06/2023,28500,28500,28500,28500,-,26500
140,16/06/2023,32700,32700,32700,32700,100,30400
141,19/06/2023,32700,32700,32700,32700,-,30400
142,20/06/2023,32700,32700,32700,32700,-,30400
143,21/06/2023,31100,27800,31000,27800,4100,25900
144,22/06/2023,25400,25400,25400,25400,1000,23600
145,23/06/2023,29000,29000,29000,29000,108,27000
146,26/06/2023,28800,24700,28800,24700,2004,23000
147,27/06/2023,25100,25100,25100,25100,-,23400
148,28/06/2023,23000,21400,21400,23000,10010,21400
149,29/06/2023,21700,21700,21700,21700,200,20200
150,30/06/2023,24400,24400,24400,24400,900,22700
151,03/07/2023,24400,24400,24400,24400,100,22700
152,04/07/2023,24400,24400,24400,24400,1,22700
153,05/07/2023,24400,24400,24400,24400,-,22700
154,06/07/2023,24400,24400,24400,24400,-,22700
155,07/07/2023,26600,26600,26600,26600,100,24800
156,10/07/2023,26600,26600,26600,26600,-,24800
157,11/07/2023,26600,26600,26600,26600,-,24800
158,12/07/2023,26600,26600,26600,26600,-,24800
159,13/07/2023,26600,26600,26600,26600,-,24800
160,14/07/2023,26600,26600,26600,26600,-,24800
161,17/07/2023,26600,26600,26600,26600,-,24800
162,18/07/2023,25900,22900,22900,24200,14310,22500
163,19/07/2023,26000,25600,26000,25600,402,23800
164,20/07/2023,26600,25500,26500,26000,6000,24200
165,21/07/2023,26500,25900,26500,25900,1710,24100
166,24/07/2023,26100,26000,26100,26000,1300,24200
167,25/07/2023,26100,26100,26100,26100,500,24300
168,26/07/2023,26100,26100,26100,26100,-,24300
169,27/07/2023,25600,25500,25600,25500,2200,23700
170,28/07/2023,26100,26100,26100,26100,1916,24300
171,31/07/2023,26100,26100,26100,26100,-,24300
172,01/08/2023,25500,25500,25500,25500,2001,25500
173,02/08/2023,25500,25400,25400,25500,1000,25500
174,03/08/2023,26000,26000,26000,26000,300,26000
175,04/08/2023,26400,26000,26000,26000,1800,26000
176,07/08/2023,26000,26000,26000,26000,200,26000
177,08/08/2023,26000,26000,26000,26000,3,26000
178,09/08/2023,26000,26000,26000,26000,418,26000
179,10/08/2023,27500,26000,26000,26000,41200,26000
180,11/08/2023,26000,26000,26000,26000,1900,26000
181,14/08/2023,27900,24000,27900,24000,11200,24000
182,15/08/2023,24100,24100,24100,24100,100,24100
183,16/08/2023,24500,24100,24500,24500,2000,24500
184,17/08/2023,25000,24500,24500,24700,1418,24700
185,18/08/2023,24700,23500,24700,23600,18000,23600
186,21/08/2023,25000,23500,23700,25000,4260,25000
187,22/08/2023,25000,24500,25000,25000,2410,25000
188,23/08/2023,24900,24900,24900,24900,-,24900
189,24/08/2023,24900,24900,24900,25000,12,24900
190,25/08/2023,24900,24900,24900,24900,-,24900
191,28/08/2023,24900,24900,24900,25000,12,24900
192,29/08/2023,25000,24200,24400,25000,7260,25000
193,30/08/2023,25900,25900,25900,25900,100,25900
194,31/08/2023,26000,25900,26000,26000,2600,26000
195,05/09/2023,25500,24500,24500,25500,600,25500
196,06/09/2023,25400,24500,25400,25300,52394,25300
197,07/09/2023,24200,24200,24200,24200,100,24200
198,08/09/2023,26000,24500,24500,25200,3200,25200
199,11/09/2023,25100,24300,25000,25100,9957,25100
200,12/09/2023,25200,25200,25200,25200,4700,25200
201,13/09/2023,25300,25000,25200,25300,3900,25300
202,14/09/2023,25400,25300,25300,25400,4800,25400
203,15/09/2023,25400,25000,25000,25000,3000,25000
204,18/09/2023,25200,25200,25200,25200,-,25200
205,19/09/2023,25200,25200,25200,25200,-,25200
206,20/09/2023,24500,24500,24500,24500,120,24500
207,21/09/2023,25500,25500,25500,25500,100,25500
208,22/09/2023,25300,25100,25300,25200,1900,25200
209,25/09/2023,25200,24800,25200,24800,400,24800
210,26/09/2023,25400,24000,25400,24000,1000,24000
211,27/09/2023,24500,24500,24500,24500,-,24500
212,28/09/2023,24500,24500,24500,24000,13,24500
213,29/09/2023,24500,24500,24500,24500,-,24500
214,02/10/2023,27000,25000,25000,27000,7340,27000
215,03/10/2023,25500,25500,25500,25500,-,25500
