,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8500,8500,8500,8500,-,8500
1,22/11/2022,7500,7500,7500,7500,180,7500
2,23/11/2022,7700,7600,7700,7600,400,7600
3,24/11/2022,7700,7500,7700,7500,700,7500
4,25/11/2022,7500,7500,7500,7500,600,7500
5,28/11/2022,8600,8600,8600,8600,8245,8600
6,29/11/2022,9800,8600,9600,8600,4900,8600
7,30/11/2022,9700,9700,9700,8600,100,9700
8,01/12/2022,9700,8500,9700,8500,430,8500
9,02/12/2022,9400,8300,9400,8300,200,8300
10,05/12/2022,7700,7700,7700,7700,100,7700
11,06/12/2022,8800,7700,7700,8000,1600,8000
12,07/12/2022,7800,7800,7800,7800,100,7800
13,08/12/2022,7800,7800,7800,7800,1000,7800
14,09/12/2022,8400,7800,7800,8400,1150,8400
15,12/12/2022,8100,8100,8100,8100,-,8100
16,13/12/2022,7800,7800,7800,7800,200,7800
17,14/12/2022,8900,8900,8900,8900,200,8900
18,15/12/2022,10200,9900,9900,10200,1400,10200
19,16/12/2022,10000,10000,10000,10000,-,10000
20,19/12/2022,9100,8900,9100,8900,500,8900
21,20/12/2022,8400,8400,8400,8400,100,8400
22,21/12/2022,7300,7300,7300,7300,200,7300
23,22/12/2022,8300,8300,8300,8300,3800,8300
24,23/12/2022,9500,9500,9500,9500,10200,9500
25,26/12/2022,9500,8900,9400,8900,700,8900
26,27/12/2022,8800,8800,8800,8800,100,8800
27,28/12/2022,9600,9600,9600,9600,1100,9600
28,29/12/2022,8500,8500,8500,8500,200,8500
29,30/12/2022,9700,8700,9700,8700,3200,8700
30,03/01/2023,8600,8600,8600,8600,200,8600
31,04/01/2023,9800,8500,9800,9800,2600,9800
32,05/01/2023,10000,9300,10000,9300,1600,9300
33,06/01/2023,10300,8600,8600,8700,2100,8700
34,09/01/2023,10200,8700,8700,10200,800,10200
35,10/01/2023,8900,8900,8900,8900,100,8900
36,11/01/2023,8600,8600,8600,8600,100,8600
37,12/01/2023,8600,8600,8600,8600,-,8600
38,13/01/2023,8100,7600,7600,8100,4700,8100
39,16/01/2023,7800,7800,7800,7800,19200,7800
40,17/01/2023,6800,6800,6800,6800,200,6800
41,18/01/2023,6800,6800,6800,6800,-,6800
42,19/01/2023,6800,6800,6800,6800,-,6800
43,27/01/2023,6800,6800,6800,6800,-,6800
44,30/01/2023,6800,6800,6800,6800,-,6800
45,31/01/2023,6800,6800,6800,6800,-,6800
46,01/02/2023,6800,6800,6800,6800,-,6800
47,02/02/2023,6800,6800,6800,6800,60,6800
48,03/02/2023,6800,6800,6800,6800,12,6800
49,06/02/2023,6800,6800,6800,6800,20,6800
50,07/02/2023,6800,6800,6800,6800,-,6800
51,08/02/2023,6800,6800,6800,6800,-,6800
52,09/02/2023,6800,6800,6800,6800,50,6800
53,10/02/2023,7800,7800,7800,7800,100,7800
54,13/02/2023,7800,7800,7800,7800,-,7800
55,14/02/2023,7800,7800,7800,7800,-,7800
56,15/02/2023,8900,8900,8900,8900,1400,8900
57,16/02/2023,10200,8300,10000,8500,1700,8500
58,17/02/2023,9500,9500,9500,9500,-,9500
59,20/02/2023,10900,8800,8800,10500,5700,10500
60,21/02/2023,10600,10600,10600,10600,-,10600
61,22/02/2023,10700,9200,9200,9300,8500,9300
62,23/02/2023,10800,8300,8300,10800,14500,10800
63,24/02/2023,10500,10500,10500,10500,1000,10500
64,27/02/2023,10100,10100,10100,10100,100,10100
65,28/02/2023,10100,10100,10100,10100,1700,10100
66,01/03/2023,11000,9100,11000,10300,17400,10300
67,02/03/2023,10300,10200,10300,10200,5200,10200
68,03/03/2023,10300,10300,10300,10300,3000,10300
69,06/03/2023,8900,8900,8900,8900,100,8900
70,07/03/2023,10200,8200,10200,8200,3300,8200
71,08/03/2023,8600,8600,8600,8600,100,8600
72,09/03/2023,9800,9000,9800,9000,1200,9000
73,10/03/2023,10400,8600,10400,8700,6500,8700
74,13/03/2023,10500,8500,8500,9000,3500,9000
75,14/03/2023,9300,9300,9300,9300,-,9300
76,15/03/2023,10600,8600,8600,9000,9100,9000
77,16/03/2023,10500,10400,10500,10400,3700,10400
78,17/03/2023,10500,10500,10500,10500,1200,10500
79,20/03/2023,9100,9100,9100,9100,200,9100
80,21/03/2023,8800,8800,8800,8800,100,8800
81,22/03/2023,10100,10100,10100,10100,2002,10100
82,23/03/2023,9000,9000,9000,9000,100,9000
83,24/03/2023,10300,9300,10300,9300,3106,9300
84,27/03/2023,9300,9300,9300,9300,100,9300
85,28/03/2023,9300,9300,9300,9300,-,9300
86,29/03/2023,9300,9300,9300,9300,-,9300
87,30/03/2023,9300,9300,9300,9300,-,9300
88,31/03/2023,8900,8900,8900,8900,2000,8900
89,03/04/2023,8900,8900,8900,8900,-,8900
90,04/04/2023,9900,8700,8700,9300,5550,9300
91,05/04/2023,9900,8900,9900,8900,1573,8900
92,06/04/2023,9600,9600,9600,9600,-,9600
93,07/04/2023,9700,9300,9300,9700,2300,9700
94,10/04/2023,8800,8800,8800,8800,1020,8800
95,11/04/2023,9400,9100,9400,9200,4310,9200
96,12/04/2023,9200,9200,9200,9200,-,9200
97,13/04/2023,9900,9700,9700,9700,7524,9700
98,14/04/2023,9700,9700,9700,9700,10,9700
99,17/04/2023,9700,9700,9700,9700,-,9700
100,18/04/2023,9100,9100,9100,9100,201,9100
101,19/04/2023,9100,9100,9100,9100,8,9100
102,20/04/2023,9100,9100,9100,9100,-,9100
103,21/04/2023,9900,9500,9900,9700,3402,9700
104,24/04/2023,9700,9700,9700,9700,-,9700
105,25/04/2023,9700,9500,9700,9500,13900,9500
106,26/04/2023,9300,9300,9300,9300,207,9300
107,27/04/2023,9300,9300,9300,9300,-,9300
108,28/04/2023,9700,9300,9300,9300,3900,9300
109,04/05/2023,9000,8200,9000,8400,7600,8400
110,05/05/2023,9500,9500,9500,9500,500,9500
111,08/05/2023,9500,8900,9500,8900,8400,8900
112,09/05/2023,9100,9100,9100,9100,400,9100
113,10/05/2023,8900,8900,8900,8900,300,8900
114,11/05/2023,8900,8900,8900,8900,600,8900
115,12/05/2023,9100,8900,8900,9100,15000,9100
116,15/05/2023,9300,9300,9300,9300,4500,9300
117,16/05/2023,9300,9000,9300,9300,2900,9300
118,17/05/2023,8100,8100,8100,8100,200,8100
119,18/05/2023,7400,7000,7000,7400,3807,7400
120,19/05/2023,7100,7100,7100,7400,1,7100
121,22/05/2023,7100,7100,7100,7100,-,7100
122,23/05/2023,8100,8100,8100,8100,300,8100
123,24/05/2023,9300,8300,9300,8300,1721,8300
124,25/05/2023,9700,8200,8200,8600,400,8600
125,26/05/2023,8900,8700,8700,8900,7600,8900
126,29/05/2023,8900,8900,8900,8900,6500,8900
127,30/05/2023,9100,9100,9100,9100,100,9100
128,31/05/2023,9100,8900,9100,8900,14400,8900
129,01/06/2023,9200,9100,9100,9200,3000,9200
130,02/06/2023,9200,8900,9100,8900,1350,8900
131,05/06/2023,8900,8900,8900,8900,100,8900
132,06/06/2023,8200,8200,8200,8200,121,8200
133,07/06/2023,8000,8000,8000,8000,300,8000
134,08/06/2023,9200,8400,9200,8400,2039,8400
135,09/06/2023,9300,8200,8200,8400,1800,8400
136,12/06/2023,9100,8400,9100,8400,200,8400
137,13/06/2023,8300,8100,8100,8300,10001,8300
138,14/06/2023,9300,8100,8100,8100,13125,8100
139,15/06/2023,7400,7200,7400,7200,950,7200
140,16/06/2023,7200,7200,7200,7200,30,7200
141,19/06/2023,8200,7700,8200,7700,1100,7700
142,20/06/2023,9000,8300,9000,8300,2800,8300
143,21/06/2023,8900,8300,8300,8600,15421,8600
144,22/06/2023,8300,8300,8300,8300,150,8300
145,23/06/2023,9100,8500,9100,8500,1200,8500
146,26/06/2023,9100,8100,8100,8100,2900,8100
147,27/06/2023,9000,8400,8400,8500,2401,8500
148,28/06/2023,9500,8200,8200,8400,6949,8400
149,29/06/2023,8400,7300,8400,7800,3650,7800
150,30/06/2023,8600,8000,8000,8200,7800,8200
151,03/07/2023,9400,8500,9400,8500,1420,8500
152,04/07/2023,8300,8100,8100,8300,9500,8300
153,05/07/2023,9200,8500,8900,8500,3100,8500
154,06/07/2023,8500,8500,8500,8500,500,8500
155,07/07/2023,8300,8300,8300,8300,9200,8300
156,10/07/2023,8600,8500,8500,8600,5600,8600
157,11/07/2023,9200,8600,8900,8600,2700,8600
158,12/07/2023,8600,8600,8600,8600,200,8600
159,13/07/2023,8100,8100,8100,8100,200,8100
160,14/07/2023,8500,8500,8500,8500,100,8500
161,17/07/2023,9000,8600,9000,8600,900,8600
162,18/07/2023,9200,7900,7900,8200,6000,8200
163,19/07/2023,9200,7800,9000,7900,3100,7900
164,20/07/2023,8700,8100,8700,8100,1700,8100
165,21/07/2023,9000,7800,9000,7800,3000,7800
166,24/07/2023,7900,7900,7900,7900,200,7900
167,25/07/2023,9000,8600,9000,8700,4500,8700
168,26/07/2023,8200,8200,8200,8200,200,8200
169,27/07/2023,8200,8200,8200,8200,106,8200
170,28/07/2023,8700,8100,8100,8100,1400,8100
171,31/07/2023,9300,8300,8300,8400,20400,8400
172,01/08/2023,9100,7700,7700,8100,12500,8100
173,02/08/2023,8200,8200,8200,8200,-,8200
174,03/08/2023,8600,8000,8600,8000,4900,8000
175,04/08/2023,7900,7600,7600,7900,1200,7900
176,07/08/2023,7900,7900,7900,7900,-,7900
177,08/08/2023,7800,7800,7800,7800,200,7800
178,09/08/2023,8900,8200,8200,8300,1500,8300
179,10/08/2023,9400,7800,7800,8400,24100,8400
180,11/08/2023,8700,8500,8500,8700,3900,8700
181,14/08/2023,8200,8200,8200,8200,100,8200
182,15/08/2023,9000,7500,7500,7900,3400,7900
183,16/08/2023,8200,8200,8200,8200,-,8200
184,17/08/2023,7800,7800,7800,7800,100,7800
185,18/08/2023,8900,8100,8500,8100,6000,8100
186,21/08/2023,8600,8200,8200,8600,10400,8600
187,22/08/2023,8500,8500,8500,8500,100,8500
188,23/08/2023,7800,7800,7800,7800,100,7800
189,24/08/2023,7600,7600,7600,7600,2000,7600
190,25/08/2023,8700,8100,8700,8100,1600,8100
191,28/08/2023,8600,8200,8200,8600,3300,8600
192,29/08/2023,8600,7800,7800,8200,8000,8200
193,30/08/2023,8700,8200,8200,8200,8700,8200
194,31/08/2023,8300,8100,8100,8300,1700,8300
195,05/09/2023,8400,8100,8100,8400,5300,8400
196,06/09/2023,8300,7900,7900,8200,1500,8200
197,07/09/2023,8300,8300,8300,8300,1000,8300
198,08/09/2023,8300,8100,8100,8300,3000,8300
199,11/09/2023,8300,7800,8300,7800,3000,7800
200,12/09/2023,8300,8100,8300,8100,2800,8100
201,13/09/2023,7900,7900,7900,7900,200,7900
202,14/09/2023,7600,7600,7600,7600,200,7600
203,15/09/2023,8300,8100,8100,8300,3900,8300
204,18/09/2023,7900,7900,7900,7900,1000,7900
205,19/09/2023,7900,7900,7900,7900,-,7900
206,20/09/2023,9000,8100,9000,8100,500,8100
207,21/09/2023,8300,8100,8300,8100,900,8100
208,22/09/2023,8100,8100,8100,8100,6600,8100
209,25/09/2023,8500,7700,8500,7700,1700,7700
210,26/09/2023,7700,7700,7700,7700,200,7700
211,27/09/2023,7700,7700,7700,7700,-,7700
212,28/09/2023,8200,7800,8200,7800,1500,7800
213,29/09/2023,7900,7900,7900,7900,300,7900
214,02/10/2023,8200,7800,7800,8200,3000,8200
215,03/10/2023,8000,7800,7800,8000,4700,8000
216,04/10/2023,7900,7900,7900,7900,-,7900
217,05/10/2023,7800,7700,7800,7700,1300,7700
218,06/10/2023,7900,7900,7900,7900,300,7900
219,09/10/2023,7900,7900,7900,7900,-,7900
220,10/10/2023,8100,7600,7800,8100,5800,8100
221,11/10/2023,8000,7800,7800,7800,5800,7800
222,12/10/2023,7600,6900,7600,6900,4500,6900
223,13/10/2023,6900,6500,6900,6500,1000,6500
224,16/10/2023,7400,7400,7400,7400,178,7400
225,17/10/2023,8200,7000,7500,7000,9500,7000
226,18/10/2023,8000,7100,7400,7100,1800,7100
227,19/10/2023,7500,6900,7500,6900,300,6900
228,20/10/2023,6600,6500,6500,6500,2000,6500
229,23/10/2023,5900,5900,5900,5900,15300,5900
230,24/10/2023,6700,5100,5100,5500,1400,5500
231,25/10/2023,6400,6400,6400,6400,100,6400
232,26/10/2023,7300,6100,7300,7300,5900,7300
233,27/10/2023,7900,6000,7900,6000,2100,6000
234,30/10/2023,7600,7600,7600,7600,200,7600
235,31/10/2023,7600,6700,7600,6700,8600,6700
236,01/11/2023,7600,6600,6600,7600,1300,7600
237,02/11/2023,7600,6400,6400,7600,4100,7600
238,03/11/2023,7600,6300,6300,6400,2000,6400
239,06/11/2023,7600,7600,7600,7600,1000,7600
240,07/11/2023,6800,6800,6800,6800,100,6800
241,08/11/2023,7600,5900,7600,5900,4000,5900
242,09/11/2023,6300,6300,6300,6300,-,6300
243,10/11/2023,7200,7200,7200,7200,5000,7200
244,13/11/2023,6300,6300,6300,6300,200,6300
245,14/11/2023,7200,6800,7200,6800,1400,6800
246,15/11/2023,7300,6500,6500,7200,7000,7200
247,16/11/2023,7600,7000,7000,7000,8100,7000
248,17/11/2023,7400,6900,6900,7400,5500,7400
249,20/11/2023,7200,7200,7200,7200,-,7200
