,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5100,5100,5100,5100,200,5100
1,22/11/2022,5600,5100,5200,5100,5100,5100
2,23/11/2022,5000,4500,5000,4500,3100,4500
3,24/11/2022,4500,4500,4500,4500,1100,4500
4,25/11/2022,5100,4000,4000,5100,6400,5100
5,28/11/2022,5600,5100,5400,5400,10604,5400
6,29/11/2022,6200,5000,6200,5000,3000,5000
7,30/11/2022,5500,5200,5500,5200,2900,5200
8,01/12/2022,5300,5200,5300,5200,1200,5200
9,02/12/2022,5700,5400,5400,5700,2400,5700
10,05/12/2022,6300,4800,6000,5600,1000,5600
11,06/12/2022,5200,5200,5200,5200,101,5200
12,07/12/2022,5000,5000,5000,5000,100,5000
13,08/12/2022,5600,5200,5600,5200,1100,5200
14,09/12/2022,5700,5700,5700,5700,100,5700
15,12/12/2022,5500,5400,5400,5500,2301,5500
16,13/12/2022,5200,5000,5200,5000,4200,5000
17,14/12/2022,5700,5400,5400,5700,9300,5700
18,15/12/2022,6500,6200,6500,6200,2206,6200
19,16/12/2022,6500,5500,6400,6400,1400,6400
20,19/12/2022,6500,5500,5700,5500,32400,5500
21,20/12/2022,5700,5700,5700,5700,200,5700
22,21/12/2022,5500,5500,5500,5500,800,5500
23,22/12/2022,5500,4800,5500,4800,1100,4800
24,23/12/2022,5400,5400,5400,5400,100,5400
25,26/12/2022,5500,5500,5500,5500,510,5500
26,27/12/2022,5500,5500,5500,5500,-,5500
27,28/12/2022,5500,5500,5500,5500,100,5500
28,29/12/2022,5500,5500,5500,5500,300,5500
29,30/12/2022,5500,5500,5500,5500,-,5500
30,03/01/2023,5500,5500,5500,5500,-,5500
31,04/01/2023,5500,5000,5000,5500,1200,5500
32,05/01/2023,5500,5500,5500,5500,1000,5500
33,06/01/2023,5800,5800,5800,5800,5100,5800
34,09/01/2023,5800,5800,5800,5800,-,5800
35,10/01/2023,5800,5800,5800,5800,900,5800
36,11/01/2023,5800,5800,5800,5800,-,5800
37,12/01/2023,5500,5500,5500,5500,120,5500
38,13/01/2023,5500,5500,5500,5500,-,5500
39,16/01/2023,6100,5000,5000,6100,500,6100
40,17/01/2023,6100,6100,6100,6100,1700,6100
41,18/01/2023,5300,5300,5300,5300,584,5300
42,19/01/2023,6000,6000,6000,6000,1500,6000
43,27/01/2023,6200,6200,6200,6200,7000,6200
44,30/01/2023,7000,7000,7000,7000,101,7000
45,31/01/2023,7700,7700,7700,7700,521,7700
46,01/02/2023,7600,7500,7500,7500,950,7500
47,02/02/2023,7400,6400,6400,7400,600,7400
48,03/02/2023,7000,6200,6200,7000,300,7000
49,06/02/2023,7500,7500,7500,7500,500,7500
50,07/02/2023,7500,7500,7500,7500,-,7500
51,08/02/2023,7500,7500,7500,7500,-,7500
52,09/02/2023,7500,7500,7500,7500,-,7500
53,10/02/2023,7000,6800,7000,6800,900,6800
54,13/02/2023,7000,7000,7000,7000,-,7000
55,14/02/2023,7000,6000,7000,6000,2701,6000
56,15/02/2023,6200,6100,6200,6200,1200,6200
57,16/02/2023,6200,6200,6200,6200,-,6200
58,17/02/2023,6600,6200,6600,6200,1100,6200
59,20/02/2023,7100,6400,7100,6400,1373,6400
60,21/02/2023,6800,6600,6800,6800,2800,6800
61,22/02/2023,6100,5800,6100,5800,2700,5800
62,23/02/2023,5500,5200,5200,5500,400,5500
63,24/02/2023,4800,4800,4800,4800,300,4800
64,27/02/2023,5400,5400,5400,5400,100,5400
65,28/02/2023,6200,5300,6200,5300,2000,5300
66,01/03/2023,6700,5800,5800,5900,400,5900
67,02/03/2023,6100,6100,6100,6100,-,6100
68,03/03/2023,6100,6100,6100,6100,-,6100
69,06/03/2023,6500,6500,6500,6500,100,6500
70,07/03/2023,5600,5600,5600,5600,2700,5600
71,08/03/2023,6400,6100,6400,6100,200,6100
72,09/03/2023,7200,6000,7200,6000,1000,6000
73,10/03/2023,6100,6100,6100,6100,-,6100
74,13/03/2023,6100,6100,6100,6100,-,6100
75,14/03/2023,5300,5200,5300,5200,10500,5200
76,15/03/2023,5900,5100,5100,5200,9500,5200
77,16/03/2023,5200,5200,5200,5200,-,5200
78,17/03/2023,5200,5200,5200,5200,-,5200
79,20/03/2023,5100,5000,5000,5100,2500,5100
80,21/03/2023,5200,5100,5100,5200,800,5200
81,22/03/2023,5900,5200,5200,5900,1500,5900
82,23/03/2023,5500,5500,5500,5500,-,5500
83,24/03/2023,6100,6100,6100,6100,100,6100
84,27/03/2023,6600,5400,6600,6500,300,6500
85,28/03/2023,5500,5400,5500,5400,1400,5400
86,29/03/2023,5600,4800,5300,5400,12300,5400
87,30/03/2023,5400,5200,5200,5400,3300,5400
88,31/03/2023,5500,5300,5300,5500,3100,5500
89,03/04/2023,6300,5600,6200,5600,16100,5600
90,04/04/2023,5700,5400,5600,5400,8900,5400
91,05/04/2023,5600,5000,5400,5500,45000,5500
92,06/04/2023,5800,5200,5200,5800,2500,5800
93,07/04/2023,5300,5000,5100,5300,10000,5300
94,10/04/2023,5600,5400,5400,5600,10000,5600
95,11/04/2023,5200,5200,5200,5200,200,5200
96,12/04/2023,5500,5500,5500,5500,1000,5500
97,13/04/2023,5400,5200,5400,5200,10300,5200
98,14/04/2023,5600,5600,5600,5600,12300,5600
99,17/04/2023,5300,5200,5300,5200,1200,5200
100,18/04/2023,5200,5200,5200,5200,2300,5200
101,19/04/2023,5800,5200,5200,5600,4400,5600
102,20/04/2023,5200,5000,5200,5200,28700,5200
103,21/04/2023,5200,5200,5200,5200,800,5200
104,24/04/2023,5500,5200,5400,5400,15600,5400
105,25/04/2023,5500,5400,5400,5500,5200,5500
106,26/04/2023,5500,5500,5500,5500,500,5500
107,27/04/2023,5200,5100,5100,5200,3400,5200
108,28/04/2023,5200,5000,5200,5100,16400,5100
109,04/05/2023,5100,5100,5100,5100,-,5100
110,05/05/2023,5100,5100,5100,5100,-,5100
111,08/05/2023,5200,5200,5200,5200,3000,5200
112,09/05/2023,5300,5200,5200,5200,5500,5200
113,10/05/2023,5200,5200,5200,5200,-,5200
114,11/05/2023,5400,5400,5400,5400,1400,5400
