,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5900,5900,5900,5900,100,5900
1,22/11/2022,5900,5900,5900,5900,-,5900
2,23/11/2022,5900,5900,5900,5900,-,5900
3,24/11/2022,5900,5100,5100,5900,700,5900
4,25/11/2022,6000,6000,6000,6000,100,6000
5,28/11/2022,6100,6100,6100,6100,3600,6100
6,29/11/2022,6100,5600,6100,6000,2800,6000
7,30/11/2022,6000,6000,6000,6000,2509,6000
8,01/12/2022,6100,5800,6100,6000,4300,6000
9,02/12/2022,6800,6800,6800,6800,100,6800
10,05/12/2022,6800,6800,6800,6800,-,6800
11,06/12/2022,6800,6800,6800,6800,-,6800
12,07/12/2022,6800,6800,6800,6800,-,6800
13,08/12/2022,6000,6000,6000,6000,700,6000
14,09/12/2022,6000,6000,6000,6000,1300,6000
15,12/12/2022,6800,6800,6800,6800,100,6800
16,13/12/2022,6800,6800,6800,6800,-,6800
17,14/12/2022,7400,7400,7400,7400,100,7400
18,15/12/2022,7400,7400,7400,7400,-,7400
19,16/12/2022,7400,7400,7400,7400,-,7400
20,19/12/2022,7400,7400,7400,7400,-,7400
21,20/12/2022,7400,7400,7400,7400,-,7400
22,21/12/2022,7400,7400,7400,7400,-,7400
23,22/12/2022,7400,7400,7400,7400,-,7400
24,23/12/2022,8500,7400,7400,8500,300,8500
25,26/12/2022,8600,6700,8600,6700,200,6700
26,27/12/2022,7700,7700,7700,7700,-,7700
27,28/12/2022,7700,7700,7700,7700,-,7700
28,29/12/2022,7700,7700,7700,7700,-,7700
29,30/12/2022,7700,7700,7700,7700,-,7700
30,03/01/2023,7700,7700,7700,7700,-,7700
31,04/01/2023,7700,7700,7700,7700,-,7700
32,05/01/2023,7700,7700,7700,7700,-,7700
33,06/01/2023,7700,7700,7700,7700,-,7700
34,09/01/2023,7700,7700,7700,7700,-,7700
35,10/01/2023,7700,7700,7700,7700,-,7700
36,11/01/2023,7700,7700,7700,7700,-,7700
37,12/01/2023,7700,7700,7700,7700,-,7700
38,13/01/2023,7500,7500,7500,7500,100,7500
39,16/01/2023,7500,7500,7500,7500,-,7500
40,17/01/2023,6500,6500,6500,6500,4200,6500
41,18/01/2023,7400,7300,7300,7400,200,7400
42,19/01/2023,7400,7400,7400,7400,-,7400
43,27/01/2023,7400,7400,7400,7400,-,7400
44,30/01/2023,7400,7400,7400,7400,-,7400
45,31/01/2023,7400,7400,7400,7400,-,7400
46,01/02/2023,7400,7400,7400,7400,-,7400
47,02/02/2023,8200,7400,7400,8200,5100,8200
48,03/02/2023,8200,8200,8200,8200,-,8200
49,06/02/2023,7000,7000,7000,7000,2100,7000
50,07/02/2023,7900,7900,7900,7900,100,7900
51,08/02/2023,7900,7900,7900,7900,-,7900
52,09/02/2023,7900,7900,7900,7900,200,7900
53,10/02/2023,6800,6800,6800,6800,900,6800
54,13/02/2023,6800,6800,6800,6800,-,6800
55,14/02/2023,6800,6800,6800,6800,-,6800
56,15/02/2023,6800,6800,6800,6800,-,6800
57,16/02/2023,6800,6800,6800,6800,-,6800
58,17/02/2023,6800,6800,6800,6800,-,6800
59,20/02/2023,6800,6800,6800,6800,-,6800
60,21/02/2023,6800,6800,6800,6800,-,6800
61,22/02/2023,7700,6800,6800,7700,3000,7700
62,23/02/2023,7500,7500,7500,7500,-,7500
63,24/02/2023,8400,7600,7600,8400,1300,8400
64,27/02/2023,8800,8800,8800,8800,1701,8800
65,28/02/2023,7500,7500,7500,7500,5000,7500
66,01/03/2023,7600,7000,7600,7000,400,7000
67,02/03/2023,8100,8100,8100,8100,1000,8100
68,03/03/2023,8500,8300,8300,8500,1100,8500
69,06/03/2023,8200,7300,7300,7500,1200,7500
70,07/03/2023,7500,6500,6500,7500,5600,7500
71,08/03/2023,7600,7500,7500,7600,19500,7600
72,09/03/2023,6600,6600,6600,6600,100,6600
73,10/03/2023,7500,6600,6600,7500,16900,7500
74,13/03/2023,7600,7500,7500,7600,5600,7600
75,14/03/2023,8300,8300,8300,8300,2008,8300
76,15/03/2023,8900,7600,8900,7600,11300,7600
77,16/03/2023,8100,7500,7500,8100,3244,8100
78,17/03/2023,7700,7700,7700,7700,-,7700
79,20/03/2023,7100,7100,7100,7100,110,7100
80,21/03/2023,7800,7800,7800,7800,51400,7800
81,22/03/2023,8400,8400,8400,8400,2000,8400
82,23/03/2023,8400,8400,8400,8400,-,8400
83,24/03/2023,8400,8400,8400,8400,-,8400
84,27/03/2023,8400,8400,8400,8400,-,8400
85,28/03/2023,8400,8400,8400,8400,-,8400
86,29/03/2023,8400,8400,8400,8400,-,8400
87,30/03/2023,8400,8400,8400,8400,-,8400
88,31/03/2023,7200,7200,7200,7200,900,7200
89,03/04/2023,7200,7200,7200,7200,90,7200
90,04/04/2023,7200,7200,7200,7200,1000,7200
