,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,600,600,600,600,-,600
1,22/11/2022,600,600,600,600,-,600
2,23/11/2022,600,600,600,600,-,600
3,24/11/2022,600,600,600,600,-,600
4,25/11/2022,700,600,700,700,15600,700
5,28/11/2022,700,700,700,700,-,700
6,29/11/2022,700,700,700,700,-,700
7,30/11/2022,700,700,700,700,-,700
8,01/12/2022,700,700,700,700,-,700
9,02/12/2022,800,700,700,800,75700,800
10,05/12/2022,800,800,800,800,-,800
11,06/12/2022,800,800,800,800,-,800
12,07/12/2022,800,800,800,800,-,800
13,08/12/2022,800,800,800,800,-,800
14,09/12/2022,900,800,800,900,27200,900
15,12/12/2022,800,800,800,800,-,800
16,13/12/2022,800,800,800,800,-,800
17,14/12/2022,800,800,800,800,-,800
18,15/12/2022,800,800,800,800,-,800
19,16/12/2022,900,700,800,800,42900,800
20,19/12/2022,800,800,800,800,-,800
21,20/12/2022,800,800,800,800,-,800
22,21/12/2022,800,800,800,800,-,800
23,22/12/2022,800,800,800,800,-,800
24,23/12/2022,800,700,700,700,39700,700
25,26/12/2022,700,700,700,700,-,700
26,27/12/2022,700,700,700,700,-,700
27,28/12/2022,700,700,700,700,-,700
28,29/12/2022,700,700,700,700,-,700
29,30/12/2022,800,600,600,800,19500,800
30,03/01/2023,600,600,600,600,-,600
31,04/01/2023,600,600,600,600,-,600
32,05/01/2023,600,600,600,600,-,600
33,06/01/2023,700,600,600,700,9200,700
34,09/01/2023,700,700,700,700,-,700
35,10/01/2023,700,700,700,700,-,700
36,11/01/2023,700,700,700,700,-,700
37,12/01/2023,700,700,700,700,-,700
38,13/01/2023,700,600,700,700,24700,700
39,16/01/2023,700,700,700,700,-,700
40,17/01/2023,700,700,700,700,-,700
41,18/01/2023,700,700,700,700,-,700
42,19/01/2023,700,700,700,700,-,700
43,27/01/2023,800,700,700,800,9001,800
44,30/01/2023,700,700,700,700,-,700
45,31/01/2023,700,700,700,700,-,700
46,01/02/2023,700,700,700,700,-,700
47,02/02/2023,700,700,700,700,-,700
48,03/02/2023,700,700,700,700,30800,700
49,06/02/2023,700,700,700,700,-,700
50,07/02/2023,700,700,700,700,-,700
51,08/02/2023,700,700,700,700,-,700
52,09/02/2023,700,700,700,700,-,700
53,10/02/2023,700,700,700,700,9501,700
54,13/02/2023,700,700,700,700,-,700
55,14/02/2023,700,700,700,700,-,700
56,15/02/2023,700,700,700,700,-,700
57,16/02/2023,700,700,700,700,-,700
58,17/02/2023,700,600,600,700,21900,700
59,20/02/2023,600,600,600,600,-,600
60,21/02/2023,600,600,600,600,-,600
61,22/02/2023,600,600,600,600,-,600
62,23/02/2023,600,600,600,600,-,600
63,24/02/2023,700,600,600,700,2100,700
64,27/02/2023,700,700,700,700,-,700
65,28/02/2023,700,700,700,700,-,700
66,01/03/2023,700,700,700,700,-,700
67,02/03/2023,700,700,700,700,-,700
68,03/03/2023,800,600,800,600,200,600
69,06/03/2023,700,700,700,700,-,700
70,07/03/2023,700,700,700,700,-,700
71,08/03/2023,700,700,700,700,-,700
72,09/03/2023,700,700,700,700,-,700
73,10/03/2023,600,600,600,600,62600,600
74,13/03/2023,600,600,600,600,-,600
75,14/03/2023,600,600,600,600,-,600
76,15/03/2023,600,600,600,600,-,600
77,16/03/2023,600,600,600,600,-,600
78,17/03/2023,700,600,700,600,2100,600
79,20/03/2023,600,600,600,600,-,600
80,21/03/2023,600,600,600,600,-,600
81,22/03/2023,600,600,600,600,-,600
82,23/03/2023,600,600,600,600,-,600
83,24/03/2023,600,500,500,600,36100,600
84,27/03/2023,600,600,600,600,-,600
85,28/03/2023,600,600,600,600,-,600
86,29/03/2023,600,600,600,600,-,600
87,30/03/2023,600,600,600,600,-,600
88,31/03/2023,500,500,500,500,2800,500
89,03/04/2023,500,500,500,500,-,500
90,04/04/2023,500,500,500,500,-,500
91,05/04/2023,500,500,500,500,-,500
92,06/04/2023,500,500,500,500,-,500
93,07/04/2023,600,500,500,600,9300,600
94,10/04/2023,500,500,500,500,-,500
95,11/04/2023,500,500,500,500,-,500
96,12/04/2023,500,500,500,500,-,500
97,13/04/2023,500,500,500,500,-,500
98,14/04/2023,500,500,500,500,37200,500
99,17/04/2023,500,500,500,500,-,500
100,18/04/2023,500,500,500,500,-,500
101,19/04/2023,500,500,500,500,-,500
102,20/04/2023,500,500,500,500,-,500
103,21/04/2023,600,600,600,600,19600,600
104,24/04/2023,600,600,600,600,-,600
105,25/04/2023,600,600,600,600,-,600
106,26/04/2023,600,600,600,600,-,600
107,27/04/2023,600,600,600,600,-,600
108,28/04/2023,600,500,600,600,26700,600
109,04/05/2023,600,600,600,600,-,600
110,05/05/2023,600,500,500,600,11900,600
111,08/05/2023,600,600,600,600,-,600
112,09/05/2023,600,600,600,600,-,600
113,10/05/2023,600,600,600,600,-,600
114,11/05/2023,600,600,600,600,-,600
115,12/05/2023,700,600,700,700,10201,700
116,15/05/2023,600,600,600,600,-,600
117,16/05/2023,600,600,600,600,-,600
118,17/05/2023,600,600,600,600,-,600
119,18/05/2023,600,600,600,600,-,600
120,19/05/2023,600,600,600,600,12900,600
121,22/05/2023,600,600,600,600,-,600
122,23/05/2023,600,600,600,600,-,600
123,24/05/2023,600,600,600,600,-,600
124,25/05/2023,600,600,600,600,-,600
125,26/05/2023,700,600,600,700,9300,700
126,29/05/2023,600,600,600,600,-,600
127,30/05/2023,600,600,600,600,-,600
128,31/05/2023,600,600,600,600,-,600
129,01/06/2023,600,600,600,600,-,600
130,02/06/2023,700,600,600,700,48701,700
131,05/06/2023,700,700,700,700,-,700
132,06/06/2023,700,700,700,700,-,700
133,07/06/2023,700,700,700,700,-,700
134,08/06/2023,700,700,700,700,-,700
135,09/06/2023,800,700,800,800,83998,800
136,12/06/2023,800,800,800,800,-,800
137,13/06/2023,800,800,800,800,-,800
138,14/06/2023,800,800,800,800,-,800
139,15/06/2023,800,800,800,800,-,800
140,16/06/2023,900,700,800,700,53200,700
141,19/06/2023,700,700,700,700,-,700
142,20/06/2023,700,700,700,700,-,700
143,21/06/2023,700,700,700,700,-,700
144,22/06/2023,700,700,700,700,-,700
145,23/06/2023,700,700,700,700,25500,700
146,26/06/2023,700,700,700,700,-,700
147,27/06/2023,700,700,700,700,-,700
148,28/06/2023,700,700,700,700,-,700
149,29/06/2023,700,700,700,700,-,700
150,30/06/2023,800,700,700,800,3200,800
151,03/07/2023,700,700,700,700,-,700
152,04/07/2023,700,700,700,700,-,700
153,05/07/2023,700,700,700,700,-,700
154,06/07/2023,700,700,700,700,-,700
155,07/07/2023,700,700,700,700,12300,700
156,10/07/2023,700,700,700,700,-,700
157,11/07/2023,700,700,700,700,-,700
158,12/07/2023,700,700,700,700,-,700
159,13/07/2023,700,700,700,700,-,700
160,14/07/2023,700,600,600,700,20300,700
161,17/07/2023,700,700,700,700,-,700
162,18/07/2023,700,700,700,700,-,700
163,19/07/2023,700,700,700,700,-,700
164,20/07/2023,700,700,700,700,-,700
165,21/07/2023,800,700,700,800,4300,800
166,24/07/2023,700,700,700,700,-,700
167,25/07/2023,700,700,700,700,-,700
168,26/07/2023,700,700,700,700,-,700
169,27/07/2023,700,700,700,700,-,700
170,28/07/2023,800,700,800,700,62500,700
171,31/07/2023,800,800,800,800,-,800
172,01/08/2023,800,800,800,800,-,800
173,02/08/2023,800,800,800,800,-,800
174,03/08/2023,800,800,800,800,-,800
175,04/08/2023,900,800,900,800,13522,800
176,07/08/2023,800,800,800,800,-,800
177,08/08/2023,800,800,800,800,-,800
178,09/08/2023,800,800,800,800,-,800
179,10/08/2023,800,800,800,800,-,800
180,11/08/2023,800,800,800,800,16000,800
181,14/08/2023,800,800,800,800,-,800
182,15/08/2023,800,800,800,800,-,800
183,16/08/2023,800,800,800,800,-,800
184,17/08/2023,800,800,800,800,-,800
185,18/08/2023,900,700,800,700,12000,700
186,21/08/2023,700,700,700,700,-,700
187,22/08/2023,700,700,700,700,-,700
188,23/08/2023,700,700,700,700,-,700
189,24/08/2023,700,700,700,700,-,700
190,25/08/2023,700,700,700,700,2400,700
191,28/08/2023,700,700,700,700,-,700
192,29/08/2023,700,700,700,700,-,700
193,30/08/2023,700,700,700,700,-,700
194,31/08/2023,700,700,700,700,-,700
195,05/09/2023,700,700,700,700,-,700
196,06/09/2023,700,700,700,700,-,700
197,07/09/2023,700,700,700,700,-,700
198,08/09/2023,700,600,600,700,8533,700
199,11/09/2023,700,700,700,700,-,700
200,12/09/2023,700,700,700,700,-,700
201,13/09/2023,700,700,700,700,-,700
202,14/09/2023,700,700,700,700,-,700
203,15/09/2023,700,600,600,700,9100,700
204,18/09/2023,700,700,700,700,-,700
205,19/09/2023,700,700,700,700,-,700
206,20/09/2023,700,700,700,700,-,700
207,21/09/2023,700,700,700,700,-,700
208,22/09/2023,700,700,700,700,19100,700
209,25/09/2023,700,700,700,700,-,700
210,26/09/2023,700,700,700,700,-,700
211,27/09/2023,700,700,700,700,-,700
212,28/09/2023,700,700,700,700,-,700
213,29/09/2023,700,700,700,700,100,700
214,02/10/2023,700,700,700,700,-,700
215,03/10/2023,700,700,700,700,-,700
216,04/10/2023,700,700,700,700,-,700
217,05/10/2023,700,700,700,700,-,700
218,06/10/2023,700,700,700,700,-,700
219,09/10/2023,700,700,700,700,-,700
220,10/10/2023,700,700,700,700,-,700
221,11/10/2023,700,700,700,700,-,700
222,12/10/2023,700,700,700,700,-,700
223,13/10/2023,700,700,700,700,3000,700
224,16/10/2023,700,700,700,700,-,700
225,17/10/2023,700,700,700,700,-,700
226,18/10/2023,700,700,700,700,-,700
227,19/10/2023,700,700,700,700,-,700
228,20/10/2023,600,600,600,600,400,600
229,23/10/2023,600,600,600,600,-,600
230,24/10/2023,600,600,600,600,-,600
231,25/10/2023,600,600,600,600,-,600
232,26/10/2023,600,600,600,600,-,600
233,27/10/2023,600,600,600,600,600,600
234,30/10/2023,600,600,600,600,-,600
235,31/10/2023,600,600,600,600,-,600
236,01/11/2023,600,600,600,600,-,600
237,02/11/2023,600,600,600,600,-,600
238,03/11/2023,600,500,600,600,21000,600
239,06/11/2023,500,500,500,500,-,500
240,07/11/2023,500,500,500,500,-,500
241,08/11/2023,500,500,500,500,-,500
242,09/11/2023,500,500,500,500,-,500
243,10/11/2023,600,600,600,600,11600,600
244,13/11/2023,600,600,600,600,-,600
245,14/11/2023,600,600,600,600,-,600
246,15/11/2023,600,600,600,600,-,600
247,16/11/2023,600,600,600,600,-,600
248,17/11/2023,600,600,600,600,-,600
249,20/11/2023,600,600,600,600,-,600
