,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12700,12700,12700,12700,-,12300
1,22/11/2022,12700,12700,12700,12700,-,12300
2,23/11/2022,12700,12700,12700,12700,-,12300
3,24/11/2022,12700,12700,12700,12700,-,12300
4,25/11/2022,12700,12700,12700,12700,-,12300
5,28/11/2022,12700,12700,12700,12700,-,12300
6,29/11/2022,12700,12700,12700,12700,-,12300
7,30/11/2022,12700,12700,12700,12700,-,12300
8,01/12/2022,12700,12700,12700,12700,-,12300
9,02/12/2022,12700,12700,12700,12700,-,12300
10,05/12/2022,12700,12700,12700,12700,-,12300
11,06/12/2022,12700,12700,12700,12700,-,12300
12,07/12/2022,12700,12700,12700,12700,-,12300
13,08/12/2022,12700,12700,12700,12700,-,12300
14,09/12/2022,12700,12700,12700,12700,-,12300
15,12/12/2022,12700,12700,12700,12700,-,12300
16,13/12/2022,12700,12700,12700,12700,-,12300
17,14/12/2022,12700,12700,12700,12700,-,12300
18,15/12/2022,12700,12700,12700,12700,-,12300
19,16/12/2022,12700,12700,12700,12700,-,12300
20,19/12/2022,12700,12700,12700,12700,-,12300
21,20/12/2022,12700,12700,12700,12700,-,12300
22,21/12/2022,12700,12700,12700,12700,-,12300
23,22/12/2022,12700,12700,12700,12700,-,12300
24,23/12/2022,12700,12700,12700,12700,-,12300
25,26/12/2022,12700,12700,12700,12700,-,12300
26,27/12/2022,12700,12700,12700,12700,-,12300
27,28/12/2022,12700,12700,12700,12700,-,12300
28,29/12/2022,12700,12700,12700,12700,-,12300
29,30/12/2022,12700,12700,12700,12700,-,12300
30,03/01/2023,12700,12700,12700,12700,-,12300
31,04/01/2023,12700,12700,12700,12700,-,12300
32,05/01/2023,12700,12700,12700,12700,-,12300
33,06/01/2023,12700,12700,12700,12700,-,12300
34,09/01/2023,12700,12700,12700,12700,-,12300
35,10/01/2023,12700,12700,12700,12700,-,12300
36,11/01/2023,12700,12700,12700,12700,-,12300
37,12/01/2023,12700,12700,12700,12700,-,12300
38,13/01/2023,12700,12700,12700,12700,-,12300
