,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,39900,39900,39900,39900,-,37900
1,22/11/2022,39900,39900,39900,39900,-,37900
2,23/11/2022,34100,34100,34100,34100,700,32400
3,24/11/2022,33300,33000,33000,33000,2200,31400
4,25/11/2022,33000,33000,33000,33000,1500,31400
5,28/11/2022,37900,37900,37900,37900,100,36000
6,29/11/2022,43500,34000,43500,34000,1300,32300
7,30/11/2022,35400,35400,35400,35400,-,33700
8,01/12/2022,37700,34200,34200,37700,536,35800
9,02/12/2022,34500,34500,34500,34500,200,32800
10,05/12/2022,39500,34500,34500,36000,2000,34200
11,06/12/2022,36000,36000,36000,36000,-,34200
12,07/12/2022,36000,36000,36000,36000,-,34200
13,08/12/2022,37000,37000,37000,37000,100,35200
14,09/12/2022,37000,37000,37000,37000,-,35200
15,12/12/2022,37000,37000,37000,37000,-,35200
16,13/12/2022,37000,37000,37000,37000,-,35200
17,14/12/2022,37000,37000,37000,37000,-,35200
18,15/12/2022,37000,37000,37000,37000,6,35200
19,16/12/2022,38500,38500,38500,38500,100,36600
20,19/12/2022,38500,38500,38500,38500,-,36600
21,20/12/2022,38500,38500,38500,38500,-,36600
22,21/12/2022,38500,38500,38500,38500,-,36600
23,22/12/2022,38500,38500,38500,38500,-,36600
24,23/12/2022,36000,36000,36000,36000,500,34200
25,26/12/2022,36000,36000,36000,36000,1,34200
26,27/12/2022,36000,36000,36000,36000,-,34200
27,28/12/2022,36000,36000,36000,36000,-,34200
28,29/12/2022,36000,36000,36000,36000,-,34200
29,30/12/2022,36000,36000,36000,36000,-,34200
30,03/01/2023,36000,36000,36000,36000,125,34200
31,04/01/2023,36000,36000,36000,36000,4,34200
32,05/01/2023,36000,36000,36000,36000,500,34200
33,06/01/2023,41400,36000,36000,41400,400,39400
34,09/01/2023,37400,37400,37400,37400,-,35600
35,10/01/2023,37400,37400,37400,37400,-,35600
36,11/01/2023,36000,36000,36000,36000,100,34200
37,12/01/2023,36000,36000,36000,36000,-,34200
38,13/01/2023,36000,36000,36000,36000,-,34200
39,16/01/2023,36000,36000,36000,36000,-,34200
40,17/01/2023,36000,36000,36000,36000,-,34200
41,18/01/2023,39900,39900,39900,39900,100,37900
42,19/01/2023,45800,45800,45800,45800,100,43500
43,27/01/2023,44900,44000,44900,44000,1300,41800
44,30/01/2023,37900,37900,37900,37900,1600,36000
45,31/01/2023,32300,32300,32300,32300,100,30700
46,01/02/2023,37100,37100,37100,37100,100,35300
47,02/02/2023,32000,32000,32000,32000,100,30400
48,03/02/2023,32000,32000,32000,32000,-,30400
49,06/02/2023,32000,32000,32000,32000,-,30400
50,07/02/2023,32000,32000,32000,32000,-,30400
51,08/02/2023,32000,32000,32000,32000,-,30400
52,09/02/2023,35400,35000,35400,35000,2100,33300
53,10/02/2023,35000,35000,35000,35000,-,33300
54,13/02/2023,35000,34600,35000,34900,4200,33200
55,14/02/2023,33800,33400,33800,33800,1900,32100
56,15/02/2023,33700,33400,33700,33400,1900,31800
57,16/02/2023,33500,33500,33500,33500,600,31900
58,17/02/2023,35500,35500,35500,35500,300,33800
59,20/02/2023,31400,31400,31400,31400,100,29900
60,21/02/2023,35500,32000,32000,32300,1900,30700
61,22/02/2023,32300,32000,32000,32300,600,30700
62,23/02/2023,32100,32100,32100,32100,100,30500
63,24/02/2023,32100,32100,32100,32100,-,30500
64,27/02/2023,32000,32000,32000,32000,100,30400
65,28/02/2023,32000,32000,32000,32000,400,30400
66,01/03/2023,32000,32000,32000,32000,-,30400
67,02/03/2023,32000,31800,31800,32000,500,30400
68,03/03/2023,32000,32000,32000,32000,100,30400
69,06/03/2023,31900,31900,31900,31900,500,30300
70,07/03/2023,31800,31800,31800,31800,300,30200
71,08/03/2023,31800,31800,31800,31800,-,30200
72,09/03/2023,31800,31800,31800,31800,300,30200
73,10/03/2023,31800,31800,31800,31800,1200,30200
74,13/03/2023,31800,31800,31800,31800,-,30200
75,14/03/2023,35900,31000,35900,32000,6154,30400
76,15/03/2023,31700,31700,31700,31700,200,30100
77,16/03/2023,32000,32000,32000,32000,1048,30400
