,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,1900,1900,1900,1900,-,1900
1,22/11/2022,1900,1900,1900,1900,-,1900
2,23/11/2022,1900,1900,1900,1900,-,1900
3,24/11/2022,1900,1900,1900,1900,-,1900
4,25/11/2022,1800,1800,1800,1800,1600,1800
5,28/11/2022,1800,1800,1800,1800,-,1800
6,29/11/2022,1800,1800,1800,1800,-,1800
7,30/11/2022,1800,1800,1800,1800,-,1800
8,01/12/2022,1800,1800,1800,1800,-,1800
9,02/12/2022,1700,1700,1700,1700,49900,1700
10,05/12/2022,1700,1700,1700,1700,-,1700
11,06/12/2022,1700,1700,1700,1700,-,1700
12,07/12/2022,1700,1700,1700,1700,-,1700
13,08/12/2022,1700,1700,1700,1700,-,1700
14,09/12/2022,1700,1700,1700,1700,-,1700
15,12/12/2022,1700,1700,1700,1700,-,1700
16,13/12/2022,1700,1700,1700,1700,-,1700
17,14/12/2022,1700,1700,1700,1700,-,1700
18,15/12/2022,1700,1700,1700,1700,-,1700
19,16/12/2022,1700,1700,1700,1700,-,1700
20,19/12/2022,1700,1700,1700,1700,-,1700
21,20/12/2022,1700,1700,1700,1700,-,1700
22,21/12/2022,1700,1700,1700,1700,-,1700
23,22/12/2022,1700,1700,1700,1700,-,1700
24,23/12/2022,1700,1700,1700,1700,-,1700
25,26/12/2022,1700,1700,1700,1700,-,1700
26,27/12/2022,1700,1700,1700,1700,-,1700
27,28/12/2022,1700,1700,1700,1700,-,1700
28,29/12/2022,1700,1700,1700,1700,-,1700
29,30/12/2022,1700,1700,1700,1700,-,1700
30,03/01/2023,1700,1700,1700,1700,-,1700
31,04/01/2023,1700,1700,1700,1700,-,1700
32,05/01/2023,1700,1700,1700,1700,-,1700
33,06/01/2023,1700,1700,1700,1700,-,1700
34,09/01/2023,1700,1700,1700,1700,-,1700
35,10/01/2023,1700,1700,1700,1700,-,1700
36,11/01/2023,1700,1700,1700,1700,-,1700
37,12/01/2023,1700,1700,1700,1700,-,1700
38,13/01/2023,1700,1700,1700,1700,-,1700
39,16/01/2023,1700,1700,1700,1700,-,1700
40,17/01/2023,1700,1700,1700,1700,-,1700
41,18/01/2023,1700,1700,1700,1700,-,1700
42,19/01/2023,1700,1700,1700,1700,-,1700
43,27/01/2023,1700,1700,1700,1700,-,1700
44,30/01/2023,1700,1700,1700,1700,-,1700
45,31/01/2023,1700,1700,1700,1700,-,1700
46,01/02/2023,1700,1700,1700,1700,-,1700
47,02/02/2023,1700,1700,1700,1700,-,1700
48,03/02/2023,1700,1700,1700,1700,-,1700
